date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-09,1,0,0.0
2020-03-10,0,0,0.0
2020-03-11,0,0,0.0
2020-03-12,2,0,2.2
2020-03-13,0,0,2.2
2020-03-14,1,0,3.3
2020-03-15,1,0,4.4
2020-03-16,1,0,5.5
2020-03-17,4,0,10.0
2020-03-18,3,0,13.3
2020-03-19,1,0,12.2
2020-03-20,1,0,13.3
2020-03-21,1,0,13.3
2020-03-22,2,0,14.4
2020-03-23,1,0,14.4
2020-03-24,0,0,9.9
2020-03-25,1,0,7.7
2020-03-26,6,0,13.3
2020-03-27,6,0,18.8
2020-03-28,4,0,22.2
2020-03-29,3,0,23.3
2020-03-30,8,0,31.0
2020-03-31,1,0,32.1
2020-04-01,8,0,39.9
2020-04-02,3,0,36.5
2020-04-03,3,0,33.2
2020-04-04,1,0,29.8
2020-04-05,1,0,27.7
2020-04-06,5,0,24.4
2020-04-07,6,0,29.9
2020-04-08,7,0,28.8
2020-04-09,3,0,28.8
2020-04-10,7,0,33.3
2020-04-11,6,0,38.8
2020-04-12,7,0,45.3
2020-04-13,3,0,43.2
2020-04-14,7,0,44.3
2020-04-15,7,0,44.3
2020-04-16,8,0,49.8
2020-04-17,9,0,52.0
2020-04-18,5,0,50.9
2020-04-19,4,0,47.6
2020-04-20,4,0,48.7
2020-04-21,7,0,48.7
2020-04-22,4,1,45.4
2020-04-23,11,0,48.7
2020-04-24,14,6,54.2
2020-04-25,4,7,53.2
2020-04-26,6,5,55.4
2020-04-27,3,4,54.2
2020-04-28,1,7,47.6
2020-04-29,2,1,45.3
2020-04-30,4,1,37.7
2020-05-01,4,3,26.6
2020-05-02,9,1,32.1
2020-05-03,1,0,26.6
2020-05-04,4,3,27.7
2020-05-05,0,1,26.6
2020-05-06,5,1,29.9
2020-05-07,3,3,28.8
2020-05-08,0,3,24.4
2020-05-09,2,1,16.6
2020-05-10,4,2,19.9
2020-05-11,2,0,17.7
2020-05-12,8,2,26.6
2020-05-13,3,2,24.4
2020-05-14,1,0,22.1
2020-05-15,3,0,25.4
2020-05-16,3,0,26.5
2020-05-17,1,0,23.3
2020-05-18,2,1,23.3
2020-05-19,3,3,17.7
2020-05-20,1,0,15.5
2020-05-21,1,2,15.5
2020-05-22,0,0,12.2
2020-05-23,3,1,12.2
2020-05-24,0,1,11.0
2020-05-25,0,0,8.8
2020-05-26,1,1,6.6
2020-05-27,7,0,13.3
2020-05-28,5,0,17.7
2020-05-29,5,0,23.2
2020-05-30,1,0,21.1
2020-05-31,0,0,21.1
2020-06-01,0,0,21.1
2020-06-02,2,0,22.2
2020-06-03,0,0,14.4
2020-06-04,3,0,12.2
2020-06-05,0,1,6.7
2020-06-06,1,0,6.6
2020-06-07,0,1,6.6
2020-06-08,0,0,6.6
2020-06-09,1,0,5.5
2020-06-10,1,0,6.6
2020-06-11,4,0,7.7
2020-06-12,0,0,7.7
2020-06-13,1,0,7.7
2020-06-14,1,0,8.9
2020-06-15,2,2,11.1
2020-06-16,1,0,11.1
2020-06-17,0,1,10.0
2020-06-18,0,1,5.6
2020-06-19,1,0,6.7
2020-06-20,0,2,5.6
2020-06-21,2,0,6.6
2020-06-22,1,0,5.5
2020-06-23,2,1,6.6
2020-06-24,0,1,6.6
2020-06-25,0,1,6.6
2020-06-26,2,1,7.7
2020-06-27,0,1,7.7
2020-06-28,0,0,5.5
2020-06-29,0,0,4.4
2020-06-30,1,1,3.3
2020-07-01,0,115,3.3
2020-07-02,0,0,3.3
2020-07-03,1,1,2.2
2020-07-04,0,0,2.2
2020-07-05,1,0,3.4
2020-07-06,1,1,4.5
2020-07-07,0,0,3.4
2020-07-08,3,0,6.7
2020-07-09,1,0,7.8
2020-07-10,0,3,6.7
2020-07-11,0,3,6.7
2020-07-12,0,0,5.5
2020-07-13,0,0,4.4
2020-07-14,0,0,4.4
2020-07-15,0,0,1.1
2020-07-16,0,0,0.0
2020-07-17,1,0,1.1
2020-07-18,0,1,1.1
2020-07-19,0,0,1.1
2020-07-20,2,0,3.3
2020-07-21,1,0,4.4
2020-07-22,0,1,4.4
2020-07-23,0,0,4.4
2020-07-24,1,1,4.4
2020-07-25,0,1,4.4
2020-07-26,0,0,4.4
2020-07-27,2,0,4.4
2020-07-28,0,0,3.3
2020-07-29,0,2,3.3
2020-07-30,1,1,4.4
2020-07-31,2,0,5.6
2020-08-01,1,2,6.7
2020-08-02,0,0,6.7
2020-08-03,1,2,5.6
2020-08-04,0,0,5.6
2020-08-05,1,1,6.7
2020-08-06,0,0,5.6
2020-08-07,1,1,4.4
2020-08-08,0,1,3.3
2020-08-09,0,0,3.3
2020-08-10,1,0,3.3
2020-08-11,0,0,3.3
2020-08-12,1,1,3.3
2020-08-13,3,0,6.6
2020-08-14,2,0,7.7
2020-08-15,0,2,7.7
2020-08-16,1,1,8.8
2020-08-17,0,1,7.7
2020-08-18,1,1,8.9
2020-08-19,0,2,7.8
2020-08-20,4,0,8.9
2020-08-21,0,0,6.7
2020-08-22,2,4,8.9
2020-08-23,0,1,7.8
2020-08-24,1,2,8.9
2020-08-25,0,0,7.7
2020-08-26,1,1,8.8
2020-08-27,2,0,6.6
2020-08-28,1,0,7.7
2020-08-29,1,1,6.6
2020-08-30,0,1,6.6
2020-08-31,1,3,6.6
2020-09-01,2,0,8.9
2020-09-02,2,1,10.0
2020-09-03,1,0,8.9
2020-09-04,6,3,14.4
2020-09-05,2,0,15.5
2020-09-06,1,5,16.6
2020-09-07,4,2,20.0
2020-09-08,2,2,19.9
2020-09-09,4,1,22.1
2020-09-10,3,3,24.3
2020-09-11,6,5,24.4
2020-09-12,0,3,22.2
2020-09-13,7,6,28.8
2020-09-14,3,0,27.6
2020-09-15,3,8,28.8
2020-09-16,6,2,31.0
2020-09-17,1,0,28.8
2020-09-18,4,5,26.5
2020-09-19,0,4,26.5
2020-09-20,5,1,24.4
2020-09-21,6,3,27.7
2020-09-22,5,1,29.9
2020-09-23,5,7,28.8
2020-09-24,1,11,28.8
2020-09-25,3,6,27.7
2020-09-26,2,2,29.9
2020-09-27,2,3,26.6
2020-09-28,7,3,27.7
2020-09-29,7,1,29.9
2020-09-30,8,4,33.2
2020-10-01,10,1,43.2
2020-10-02,9,2,49.8
2020-10-03,2,9,49.9
2020-10-04,12,21,60.8
2020-10-05,10,7,64.2
2020-10-06,19,9,77.4
2020-10-07,17,10,87.5
2020-10-08,10,14,87.4
2020-10-09,8,12,86.4
2020-10-10,10,6,95.2
2020-10-11,7,5,89.7
2020-10-12,14,3,94.1
2020-10-13,15,7,89.7
2020-10-14,17,16,89.6
2020-10-15,16,11,96.4
2020-10-16,11,13,99.6
2020-10-17,11,13,100.7
2020-10-18,12,10,106.3
2020-10-19,16,15,108.5
2020-10-20,22,10,116.3
2020-10-21,24,18,124.0
2020-10-22,27,12,136.1
2020-10-23,29,17,156.1
2020-10-24,14,13,159.4
2020-10-25,11,18,158.3
2020-10-26,42,23,187.1
2020-10-27,19,25,183.7
2020-10-28,19,30,178.3
2020-10-29,18,22,168.3
2020-10-30,11,13,148.4
2020-10-31,12,13,146.2
2020-11-01,19,9,155.0
2020-11-02,18,15,128.4
2020-11-03,35,19,146.2
2020-11-04,15,18,141.7
2020-11-05,30,21,155.0
2020-11-06,23,19,168.3
2020-11-07,18,16,174.9
2020-11-08,31,35,188.2
2020-11-09,34,20,206.0
2020-11-10,33,18,203.7
2020-11-11,42,39,233.6
2020-11-12,29,38,232.5
2020-11-13,29,40,239.1
2020-11-14,15,37,235.8
2020-11-15,31,21,235.8
2020-11-16,33,99,234.7
2020-11-17,48,42,251.3
2020-11-18,19,13,225.8
2020-11-19,26,34,222.5
2020-11-20,17,21,209.2
2020-11-21,19,26,213.7
2020-11-22,15,30,196.0
2020-11-23,21,24,182.6
2020-11-24,19,5,150.6
2020-11-25,13,36,144.0
2020-11-26,25,10,142.8
2020-11-27,28,10,155.0
2020-11-28,23,34,159.4
2020-11-29,39,12,186.0
2020-11-30,31,31,197.1
2020-12-01,35,64,214.7
2020-12-02,49,25,254.6
2020-12-03,49,21,281.2
2020-12-04,40,42,294.5
2020-12-05,20,49,291.2
2020-12-06,15,33,264.6
2020-12-07,33,33,266.8
2020-12-08,25,19,255.8
2020-12-09,30,20,234.7
2020-12-10,30,30,213.7
2020-12-11,32,36,204.8
2020-12-12,31,23,216.9
2020-12-13,39,36,243.5
2020-12-14,48,30,260.2
2020-12-15,73,8,313.3
2020-12-16,56,74,342.1
2020-12-17,54,54,368.7
2020-12-18,49,45,387.5
2020-12-19,36,31,393.1
2020-12-20,50,82,405.2
2020-12-21,80,42,440.6
2020-12-22,72,39,439.5
2020-12-23,70,58,455.0
2020-12-24,56,51,457.2
2020-12-25,25,62,430.7
2020-12-26,78,62,477.1
2020-12-27,88,58,519.2
2020-12-28,58,34,494.8
2020-12-29,99,43,524.8
2020-12-30,132,121,593.4
2020-12-31,83,90,623.3
2021-01-01,53,103,654.3
2021-01-02,80,119,656.5
2021-01-03,78,67,645.5
2021-01-04,108,100,700.8
2021-01-05,115,82,718.5
2021-01-06,85,86,666.5
2021-01-07,79,105,662.0
2021-01-08,61,106,670.8
2021-01-09,51,91,638.8
2021-01-10,45,77,602.2
2021-01-11,64,56,553.6
2021-01-12,73,49,507.0
2021-01-13,50,59,468.3
2021-01-14,62,47,449.5
2021-01-15,56,43,444.0
2021-01-16,33,53,424.0
2021-01-17,47,90,426.3
