date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-23,1,0,0.0
2020-03-24,1,0,2.4
2020-03-25,0,0,2.4
2020-03-26,1,0,4.9
2020-03-27,0,0,4.9
2020-03-28,0,0,4.9
2020-03-29,1,0,7.4
2020-03-30,0,0,7.4
2020-03-31,2,0,9.9
2020-04-01,0,0,9.9
2020-04-02,0,0,7.4
2020-04-03,1,0,9.9
2020-04-04,0,0,9.9
2020-04-05,1,0,9.9
2020-04-06,0,0,9.9
2020-04-07,1,0,7.4
2020-04-08,1,0,9.9
2020-04-09,0,0,9.9
2020-04-10,1,0,9.9
2020-04-11,0,0,9.9
2020-04-12,2,0,12.3
2020-04-13,1,0,14.8
2020-04-14,0,0,12.4
2020-04-15,0,0,9.9
2020-04-16,1,0,12.4
2020-04-17,0,0,9.9
2020-04-18,0,0,9.9
2020-04-19,1,0,7.4
2020-04-20,0,0,4.9
2020-04-21,0,1,4.9
2020-04-22,5,0,17.3
2020-04-23,1,0,17.3
2020-04-24,1,2,19.7
2020-04-25,1,3,22.2
2020-04-26,0,1,19.8
2020-04-27,0,0,19.8
2020-04-28,0,1,19.8
2020-04-29,3,0,14.8
2020-04-30,1,0,14.8
2020-05-01,1,0,14.8
2020-05-02,1,0,14.8
2020-05-03,2,0,19.8
2020-05-04,1,1,22.2
2020-05-05,3,1,29.6
2020-05-06,3,1,29.7
2020-05-07,3,1,34.6
2020-05-08,0,0,32.2
2020-05-09,1,1,32.1
2020-05-10,1,0,29.6
2020-05-11,2,1,32.1
2020-05-12,2,1,29.7
2020-05-13,3,1,29.6
2020-05-14,0,0,22.2
2020-05-15,7,2,39.5
2020-05-16,1,2,39.6
2020-05-17,2,0,42.0
2020-05-18,0,0,37.1
2020-05-19,0,0,32.1
2020-05-20,1,1,27.2
2020-05-21,6,0,42.0
2020-05-22,1,0,27.2
2020-05-23,0,0,24.7
2020-05-24,0,0,19.8
2020-05-25,1,0,22.2
2020-05-26,0,0,22.2
2020-05-27,2,1,24.7
2020-05-28,0,0,9.9
2020-05-29,2,0,12.3
2020-05-30,0,1,12.3
2020-05-31,2,0,17.3
2020-06-01,2,0,19.8
2020-06-02,0,0,19.8
2020-06-03,1,0,17.3
2020-06-04,1,0,19.7
2020-06-05,0,0,14.8
2020-06-06,2,0,19.8
2020-06-07,0,0,14.8
2020-06-08,1,0,12.4
2020-06-09,0,5,12.4
2020-06-10,0,0,9.9
2020-06-11,0,0,7.5
2020-06-12,0,0,7.5
2020-06-13,0,0,2.5
2020-06-14,3,0,9.9
2020-06-15,1,0,9.8
2020-06-16,0,0,9.8
2020-06-17,0,0,9.8
2020-06-18,0,0,9.8
2020-06-19,0,0,9.8
2020-06-20,0,0,9.8
2020-06-21,0,0,2.4
2020-06-22,0,0,0.0
2020-06-23,0,0,0.0
2020-06-24,1,0,2.5
2020-06-25,0,0,2.5
2020-06-26,0,0,2.5
2020-06-27,0,0,2.5
2020-06-28,0,0,2.5
2020-06-29,1,0,5.0
2020-06-30,1,1,7.5
2020-07-01,0,51,5.0
2020-07-02,0,0,5.0
2020-07-03,0,1,5.0
2020-07-04,0,1,5.0
2020-07-05,1,1,7.4
2020-07-06,0,0,4.9
2020-07-07,0,0,2.4
2020-07-08,0,0,2.4
2020-07-09,0,1,2.4
2020-07-10,1,0,4.9
2020-07-11,1,0,7.4
2020-07-12,0,1,5.0
2020-07-13,0,0,5.0
2020-07-14,0,0,5.0
2020-07-15,1,0,7.4
2020-07-16,2,0,12.4
2020-07-17,1,1,12.3
2020-07-18,0,1,9.8
2020-07-19,0,2,9.8
2020-07-20,1,0,12.3
2020-07-21,0,1,12.3
2020-07-22,0,1,9.9
2020-07-23,2,0,9.9
2020-07-24,0,0,7.5
2020-07-25,0,1,7.5
2020-07-26,0,0,7.5
2020-07-27,0,0,5.0
2020-07-28,0,1,5.0
2020-07-29,0,0,5.0
2020-07-30,0,0,0.0
2020-07-31,0,0,0.0
2020-08-01,0,0,0.0
2020-08-02,0,0,0.0
2020-08-03,0,0,0.0
2020-08-04,0,0,0.0
2020-08-05,0,0,0.0
2020-08-06,0,0,0.0
2020-08-07,1,0,2.4
2020-08-08,1,0,4.9
2020-08-09,0,1,4.9
2020-08-10,1,1,7.4
2020-08-11,1,0,9.8
2020-08-12,1,0,12.3
2020-08-13,0,0,12.3
2020-08-14,0,2,9.9
2020-08-15,0,1,7.4
2020-08-16,2,0,12.4
2020-08-17,1,0,12.3
2020-08-18,1,2,12.4
2020-08-19,0,0,9.9
2020-08-20,0,1,9.9
2020-08-21,1,0,12.4
2020-08-22,0,1,12.4
2020-08-23,0,1,7.4
2020-08-24,3,0,12.4
2020-08-25,0,0,9.9
2020-08-26,0,1,9.9
2020-08-27,0,2,9.9
2020-08-28,1,0,9.8
2020-08-29,2,0,14.8
2020-08-30,0,1,14.8
2020-08-31,0,2,7.4
2020-09-01,0,0,7.4
2020-09-02,1,0,9.9
2020-09-03,1,0,12.3
2020-09-04,0,0,9.9
2020-09-05,0,0,4.9
2020-09-06,0,0,4.9
2020-09-07,2,1,9.9
2020-09-08,1,0,12.3
2020-09-09,0,3,9.8
2020-09-10,1,0,9.9
2020-09-11,0,0,9.9
2020-09-12,0,1,9.9
2020-09-13,0,2,9.9
2020-09-14,1,0,7.4
2020-09-15,1,0,7.5
2020-09-16,2,0,12.4
2020-09-17,0,1,9.9
2020-09-18,0,2,9.9
2020-09-19,1,0,12.4
2020-09-20,0,1,12.4
2020-09-21,0,0,9.9
2020-09-22,1,0,9.8
2020-09-23,0,2,4.9
2020-09-24,3,0,12.3
2020-09-25,2,1,17.3
2020-09-26,3,3,22.2
2020-09-27,0,1,22.2
2020-09-28,3,2,29.6
2020-09-29,2,3,32.2
2020-09-30,2,3,37.1
2020-10-01,0,0,29.7
2020-10-02,0,1,24.7
2020-10-03,5,6,29.6
2020-10-04,9,4,51.9
2020-10-05,6,6,59.3
2020-10-06,11,14,81.5
2020-10-07,2,10,81.5
2020-10-08,12,8,111.2
2020-10-09,6,9,126.0
2020-10-10,4,3,123.6
2020-10-11,4,7,111.2
2020-10-12,2,5,101.3
2020-10-13,9,8,96.3
2020-10-14,5,12,103.8
2020-10-15,7,4,91.4
2020-10-16,2,6,81.5
2020-10-17,4,6,81.5
2020-10-18,6,5,86.4
2020-10-19,7,3,98.8
2020-10-20,7,7,93.9
2020-10-21,4,14,91.4
2020-10-22,3,9,81.5
2020-10-23,5,4,89.0
2020-10-24,4,5,89.0
2020-10-25,5,2,86.5
2020-10-26,8,10,89.0
2020-10-27,3,4,79.1
2020-10-28,1,4,71.7
2020-10-29,5,3,76.6
2020-10-30,6,8,79.0
2020-10-31,4,3,79.0
2020-11-01,5,2,79.1
2020-11-02,10,6,84.0
2020-11-03,9,4,98.8
2020-11-04,4,6,106.2
2020-11-05,10,8,118.6
2020-11-06,12,10,133.4
2020-11-07,5,5,135.9
2020-11-08,8,9,143.3
2020-11-09,7,9,135.9
2020-11-10,8,8,133.4
2020-11-11,7,4,140.8
2020-11-12,8,9,135.9
2020-11-13,13,11,138.4
2020-11-14,5,5,138.3
2020-11-15,5,12,130.9
2020-11-16,10,0,138.3
2020-11-17,4,9,128.5
2020-11-18,5,6,123.5
2020-11-19,8,7,123.5
2020-11-20,5,4,103.8
2020-11-21,6,6,106.3
2020-11-22,0,5,93.9
2020-11-23,4,8,79.1
2020-11-24,4,2,79.0
2020-11-25,2,2,71.7
2020-11-26,2,4,56.8
2020-11-27,3,3,51.8
2020-11-28,4,2,46.9
2020-11-29,8,5,66.7
2020-11-30,5,1,69.1
2020-12-01,5,11,71.7
2020-12-02,4,5,76.6
2020-12-03,6,6,86.5
2020-12-04,7,4,96.4
2020-12-05,4,4,96.4
2020-12-06,5,8,88.9
2020-12-07,12,3,106.3
2020-12-08,9,6,116.1
2020-12-09,3,9,113.6
2020-12-10,14,7,133.4
2020-12-11,6,12,130.9
2020-12-12,8,9,140.8
2020-12-13,4,3,138.4
2020-12-14,10,11,133.4
2020-12-15,5,5,123.5
2020-12-16,8,8,135.9
2020-12-17,3,5,108.7
2020-12-18,6,3,108.7
2020-12-19,6,6,103.8
2020-12-20,17,2,135.9
2020-12-21,12,3,140.8
2020-12-22,12,10,158.2
2020-12-23,12,11,168.0
2020-12-24,13,12,192.7
2020-12-25,7,12,195.2
2020-12-26,8,13,200.1
2020-12-27,14,11,192.7
2020-12-28,10,11,187.8
2020-12-29,21,19,210.0
2020-12-30,18,7,224.8
2020-12-31,15,13,229.8
2021-01-01,12,14,242.1
2021-01-02,27,22,289.0
2021-01-03,9,11,276.7
2021-01-04,15,30,289.0
2021-01-05,17,17,279.1
2021-01-06,22,7,289.1
2021-01-07,10,12,276.7
2021-01-08,15,19,284.2
2021-01-09,11,28,244.6
2021-01-10,7,17,239.6
2021-01-11,27,8,269.3
2021-01-12,15,13,264.4
2021-01-13,9,15,232.2
2021-01-14,14,16,242.1
2021-01-15,12,15,234.7
2021-01-16,14,9,242.2
2021-01-17,4,14,234.7
2021-01-18,14,10,202.6
2021-01-19,11,12,192.7
2021-01-20,11,13,197.7
2021-01-21,12,13,192.7
2021-01-22,12,12,192.7
2021-01-23,8,8,177.8
2021-01-24,1,14,170.5
2021-01-25,17,6,177.9
2021-01-26,7,6,168.0
2021-01-27,15,8,177.9
2021-01-28,5,12,160.6
2021-01-29,15,15,168.0
2021-01-30,20,9,197.7
2021-01-31,13,11,227.3
2021-02-01,18,27,229.8
2021-02-02,17,8,254.5
2021-02-03,63,18,373.0
2021-02-04,51,20,486.7
2021-02-05,23,48,506.4
2021-02-06,7,51,474.3
2021-02-07,5,26,454.6
2021-02-08,11,17,437.3
2021-02-09,1,7,397.7
2021-02-10,19,7,289.1
2021-02-11,6,6,177.9
2021-02-12,4,17,131.0
2021-02-13,5,7,126.0
2021-02-14,5,4,126.0
2021-02-15,39,4,195.1
2021-02-16,20,4,242.2
2021-02-17,17,27,237.2
2021-02-18,5,21,234.7
2021-02-19,5,24,237.2
2021-02-20,8,8,244.6
2021-02-21,3,7,239.6
2021-02-22,9,6,165.6
2021-02-23,8,5,135.8
2021-02-24,3,7,101.3
2021-02-25,5,7,101.3
2021-02-26,7,3,106.2
2021-02-27,2,7,91.4
2021-02-28,4,6,93.9
2021-03-01,3,2,79.0
2021-03-02,5,5,71.7
2021-03-03,5,5,76.5
2021-03-04,3,5,71.7
2021-03-05,8,2,74.1
2021-03-06,0,9,69.2
2021-03-07,2,4,64.3
2021-03-08,0,1,56.9
2021-03-09,1,1,46.9
2021-03-10,1,2,37.1
2021-03-11,2,1,34.5
2021-03-12,3,3,22.3
2021-03-13,1,0,24.7
2021-03-14,1,4,22.2
2021-03-15,1,1,24.7
2021-03-16,6,2,37.1
2021-03-17,2,4,39.5
2021-03-18,2,1,39.6
2021-03-19,3,5,39.5
2021-03-20,1,1,39.6
2021-03-21,2,2,42.0
2021-03-22,5,3,51.8
2021-03-23,4,3,46.9
2021-03-24,5,6,54.4
2021-03-25,4,4,59.3
2021-03-26,2,5,56.8
2021-03-27,3,2,61.7
2021-03-28,4,2,66.7
2021-03-29,1,2,56.9
2021-03-30,2,5,51.9
2021-03-31,2,1,44.5
2021-04-01,6,5,49.4
2021-04-02,1,5,46.9
2021-04-03,4,2,49.4
2021-04-04,1,0,42.0
2021-04-05,0,5,39.5
2021-04-06,1,0,37.1
2021-04-07,2,2,37.0
2021-04-08,3,0,29.6
2021-04-09,1,0,29.7
2021-04-10,2,3,24.7
2021-04-11,0,1,22.2
2021-04-12,2,1,27.2
2021-04-13,0,5,24.7
2021-04-14,1,1,22.2
2021-04-15,0,0,14.8
2021-04-16,0,1,12.3
2021-04-17,0,0,7.4
2021-04-18,2,0,12.4
2021-04-19,3,1,14.8
2021-04-20,0,2,14.8
2021-04-21,3,2,19.8
2021-04-22,1,4,22.3
2021-04-23,1,0,24.8
2021-04-24,0,2,24.8
2021-04-25,1,0,22.2
2021-04-26,1,2,17.3
2021-04-27,2,0,22.2
2021-04-28,0,3,14.8
2021-04-29,2,0,17.3
2021-04-30,3,2,22.2
2021-05-01,0,2,22.2
2021-05-02,0,2,19.8
2021-05-03,2,1,22.2
2021-05-04,1,2,19.8
2021-05-05,2,0,24.7
2021-05-06,0,1,19.7
2021-05-07,0,1,12.3
2021-05-08,1,2,14.8
2021-05-09,0,0,14.8
2021-05-10,3,1,17.3
2021-05-11,2,3,19.8
2021-05-12,1,2,17.3
2021-05-13,1,1,19.8
2021-05-14,1,1,22.3
2021-05-15,1,0,22.2
2021-05-16,0,2,22.2
2021-05-17,1,0,17.3
2021-05-18,1,0,14.8
2021-05-19,1,0,14.9
2021-05-20,0,1,12.4
2021-05-21,0,1,9.9
2021-05-22,0,0,7.5
2021-05-23,1,0,9.9
