date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-02-01,0,0,0
2020-02-02,0,0,0
2020-02-03,0,0,0
2020-02-04,0,0,0
2020-02-05,0,0,0
2020-02-06,0,0,0
2020-02-07,0,0,0
2020-02-08,0,0,0
2020-02-09,0,0,0
2020-02-10,0,0,0
2020-02-11,0,0,0
2020-02-12,0,0,0
2020-02-13,0,0,0
2020-02-14,0,0,0
2020-02-15,0,0,0
2020-02-16,0,0,0
2020-02-17,0,0,0
2020-02-18,0,0,0
2020-02-19,0,0,0
2020-02-20,0,0,0
2020-02-21,0,0,0
2020-02-22,0,0,0
2020-02-23,0,0,0
2020-02-24,0,0,0
2020-02-25,0,0,0
2020-02-26,0,0,0
2020-02-27,0,0,0
2020-02-28,0,0,0
2020-02-29,0,0,0
2020-03-01,0,0,0
2020-03-02,0,0,0
2020-03-03,0,0,0
2020-03-04,0,0,0
2020-03-05,0,0,0
2020-03-06,0,0,0
2020-03-07,0,0,0
2020-03-08,0,0,0
2020-03-09,0,0,0
2020-03-10,1,0,0.4
2020-03-11,0,0,0.4
2020-03-12,1,0,0.8
2020-03-13,2,0,1.5
2020-03-14,0,0,1.5
2020-03-15,0,0,1.5
2020-03-16,5,0,3.5
2020-03-17,2,0,3.8
2020-03-18,3,0,5.0
2020-03-19,7,0,7.3
2020-03-20,9,0,10.1
2020-03-21,8,0,13.2
2020-03-22,7,0,15.9
2020-03-23,11,0,18.1
2020-03-24,16,0,23.6
2020-03-25,6,0,24.7
2020-03-26,18,0,29.0
2020-03-27,13,0,30.5
2020-03-28,18,0,34.4
2020-03-29,14,0,37.1
2020-03-30,21,0,41.0
2020-03-31,29,0,46.0
2020-04-01,17,0,50.3
2020-04-02,21,0,51.4
2020-04-03,12,0,51.0
2020-04-04,16,0,50.2
2020-04-05,19,0,52.1
2020-04-06,33,0,56.8
2020-04-07,16,0,51.8
2020-04-08,32,0,57.5
2020-04-09,25,0,59.1
2020-04-10,29,0,65.7
2020-04-11,25,0,69.1
2020-04-12,21,0,70.0
2020-04-13,18,0,64.1
2020-04-14,28,0,68.7
2020-04-15,26,0,66.5
2020-04-16,35,0,70.3
2020-04-17,22,13,67.6
2020-04-18,36,22,71.9
2020-04-19,21,31,71.8
2020-04-20,17,19,71.5
2020-04-21,27,13,71.1
2020-04-22,28,10,71.8
2020-04-23,27,16,68.8
2020-04-24,24,11,69.5
2020-04-25,18,14,62.6
2020-04-26,21,19,62.6
2020-04-27,16,11,62.2
2020-04-28,21,9,59.9
2020-04-29,25,16,58.8
2020-04-30,19,12,55.6
2020-05-01,30,17,58.0
2020-05-02,12,30,55.6
2020-05-03,14,72,52.9
2020-05-04,10,13,50.6
2020-05-05,15,31,48.3
2020-05-06,15,10,44.4
2020-05-07,15,76,42.9
2020-05-08,10,11,35.2
2020-05-09,9,3,34.0
2020-05-10,4,6,30.2
2020-05-11,7,2,29.0
2020-05-12,8,8,26.3
2020-05-13,7,3,23.2
2020-05-14,2,2,18.1
2020-05-15,13,4,19.3
2020-05-16,7,4,18.6
2020-05-17,8,4,20.1
2020-05-18,7,0,20.1
2020-05-19,9,5,20.4
2020-05-20,15,6,23.5
2020-05-21,5,3,24.8
2020-05-22,1,3,20.1
2020-05-23,5,4,19.3
2020-05-24,10,5,20.1
2020-05-25,5,1,19.3
2020-05-26,3,4,17.0
2020-05-27,3,6,12.4
2020-05-28,14,1,15.8
2020-05-29,3,1,16.6
2020-05-30,7,0,17.4
2020-05-31,5,1,15.4
2020-06-01,6,0,15.8
2020-06-02,5,5,16.7
2020-06-03,9,3,18.9
2020-06-04,9,2,17.0
2020-06-05,7,2,18.5
2020-06-06,4,5,17.4
2020-06-07,1,3,15.8
2020-06-08,3,2,14.7
2020-06-09,5,3,14.6
2020-06-10,11,1,15.5
2020-06-11,4,3,13.5
2020-06-12,4,1,12.4
2020-06-13,4,2,12.3
2020-06-14,4,3,13.6
2020-06-15,3,1,13.5
2020-06-16,7,1,14.3
2020-06-17,1,3,10.4
2020-06-18,6,1,11.2
2020-06-19,8,1,12.7
2020-06-20,1,0,11.6
2020-06-21,0,0,10.0
2020-06-22,6,5,11.2
