date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-09,1,0,0.0
2020-03-10,0,0,0.0
2020-03-11,1,0,0.8
2020-03-12,2,0,2.6
2020-03-13,1,0,3.4
2020-03-14,0,0,3.4
2020-03-15,0,0,3.4
2020-03-16,0,0,3.4
2020-03-17,0,0,3.4
2020-03-18,2,0,4.4
2020-03-19,1,0,3.4
2020-03-20,2,0,4.4
2020-03-21,0,0,4.4
2020-03-22,5,0,8.7
2020-03-23,6,0,13.9
2020-03-24,9,0,21.7
2020-03-25,9,0,27.7
2020-03-26,11,0,36.4
2020-03-27,14,0,46.7
2020-03-28,9,0,54.5
2020-03-29,5,0,54.5
2020-03-30,10,0,58.0
2020-03-31,12,0,60.6
2020-04-01,10,0,61.4
2020-04-02,7,0,58.0
2020-04-03,17,0,60.6
2020-04-04,7,0,58.9
2020-04-05,9,0,62.4
2020-04-06,15,0,66.6
2020-04-07,11,0,65.8
2020-04-08,9,0,65.0
2020-04-09,5,0,63.2
2020-04-10,10,0,57.1
2020-04-11,5,0,55.4
2020-04-12,3,0,50.2
2020-04-13,7,0,43.3
2020-04-14,5,0,38.1
2020-04-15,4,0,33.7
2020-04-16,7,0,35.5
2020-04-17,6,0,32.1
2020-04-18,1,0,28.5
2020-04-19,1,0,26.8
2020-04-20,4,0,24.3
2020-04-21,4,0,23.3
2020-04-22,6,0,25.1
2020-04-23,4,0,22.5
2020-04-24,2,0,19.0
2020-04-25,9,0,26.0
2020-04-26,4,0,28.6
2020-04-27,8,0,32.0
2020-04-28,1,0,29.5
2020-04-29,1,0,25.1
2020-04-30,2,0,23.4
2020-05-01,2,0,23.4
2020-05-02,3,0,18.2
2020-05-03,5,0,19.0
2020-05-04,1,0,13.0
2020-05-05,1,0,13.0
2020-05-06,0,0,12.2
2020-05-07,2,0,12.1
2020-05-08,1,0,11.3
2020-05-09,4,0,12.1
2020-05-10,2,0,9.5
2020-05-11,2,0,10.4
2020-05-12,6,0,14.7
2020-05-13,2,0,16.4
2020-05-14,8,0,21.6
2020-05-15,3,0,23.3
2020-05-16,1,0,20.8
2020-05-17,6,0,24.3
2020-05-18,2,0,24.2
2020-05-19,0,0,19.0
2020-05-20,0,0,17.3
2020-05-21,0,0,10.4
2020-05-22,0,0,7.8
2020-05-23,1,0,7.8
2020-05-24,1,0,3.4
2020-05-25,0,0,1.7
2020-05-26,0,0,1.7
2020-05-27,4,0,5.2
2020-05-28,0,0,5.2
2020-05-29,0,0,5.2
2020-05-30,2,0,6.0
2020-05-31,0,0,5.2
2020-06-01,0,0,5.2
2020-06-02,0,0,5.2
2020-06-03,1,0,2.6
2020-06-04,0,0,2.6
2020-06-05,0,0,2.6
2020-06-06,0,0,0.9
2020-06-07,0,0,0.9
2020-06-08,0,0,0.9
2020-06-09,1,0,1.8
2020-06-10,0,0,0.9
2020-06-11,0,0,0.9
2020-06-12,0,0,0.9
2020-06-13,0,0,0.9
2020-06-14,0,0,0.9
2020-06-15,0,0,0.9
2020-06-16,0,0,0.0
2020-06-17,0,0,0.0
2020-06-18,0,0,0.0
2020-06-19,0,0,0.0
2020-06-20,0,0,0.0
2020-06-21,0,0,0.0
2020-06-22,0,0,0.0
2020-06-23,0,0,0.0
2020-06-24,0,0,0.0
2020-06-25,0,0,0.0
2020-06-26,0,0,0.0
2020-06-27,0,0,0.0
2020-06-28,0,0,0.0
2020-06-29,0,0,0.0
2020-06-30,0,0,0.0
2020-07-01,0,0,0.0
2020-07-02,0,0,0.0
2020-07-03,0,0,0.0
2020-07-04,0,0,0.0
2020-07-05,0,0,0.0
2020-07-06,0,0,0.0
2020-07-07,0,0,0.0
2020-07-08,0,0,0.0
2020-07-09,0,0,0.0
2020-07-10,0,0,0.0
2020-07-11,0,0,0.0
2020-07-12,0,0,0.0
2020-07-13,0,0,0.0
2020-07-14,0,0,0.0
2020-07-15,0,0,0.0
2020-07-16,1,0,0.8
2020-07-17,0,0,0.8
2020-07-18,0,0,0.8
2020-07-19,0,0,0.8
2020-07-20,0,0,0.8
2020-07-21,0,0,0.8
2020-07-22,0,0,0.8
2020-07-23,1,0,0.9
2020-07-24,0,0,0.9
2020-07-25,0,0,0.9
2020-07-26,0,0,0.9
2020-07-27,0,0,0.9
2020-07-28,0,0,0.9
2020-07-29,0,0,0.9
2020-07-30,0,0,0.0
2020-07-31,0,0,0.0
2020-08-01,0,0,0.0
2020-08-02,0,0,0.0
2020-08-03,0,0,0.0
2020-08-04,0,0,0.0
2020-08-05,0,0,0.0
2020-08-06,1,0,0.9
2020-08-07,0,0,0.9
2020-08-08,0,1,0.9
2020-08-09,0,0,0.9
2020-08-10,2,0,2.6
2020-08-11,0,1,2.6
2020-08-12,0,0,2.6
2020-08-13,0,1,1.7
2020-08-14,0,0,1.7
2020-08-15,0,0,1.7
2020-08-16,0,0,1.7
2020-08-17,0,0,0.0
2020-08-18,0,0,0.0
2020-08-19,0,0,0.0
2020-08-20,3,0,2.6
2020-08-21,0,0,2.6
2020-08-22,3,2,5.2
2020-08-23,3,1,7.8
2020-08-24,0,2,7.8
2020-08-25,1,1,8.7
2020-08-26,4,3,12.1
2020-08-27,2,1,11.3
2020-08-28,1,4,12.1
2020-08-29,3,2,12.1
2020-08-30,1,1,10.4
2020-08-31,3,3,13.0
2020-09-01,1,2,12.9
2020-09-02,6,1,14.7
2020-09-03,3,2,15.5
2020-09-04,3,3,17.3
2020-09-05,0,1,14.7
2020-09-06,2,4,15.6
2020-09-07,1,1,13.8
2020-09-08,3,2,15.6
2020-09-09,5,3,14.8
2020-09-10,14,4,24.3
2020-09-11,5,2,26.0
2020-09-12,2,6,27.7
2020-09-13,2,12,27.7
2020-09-14,6,2,32.1
2020-09-15,7,5,35.5
2020-09-16,20,4,48.4
2020-09-17,8,9,43.3
2020-09-18,5,14,43.3
2020-09-19,2,13,43.3
2020-09-20,4,5,45.0
2020-09-21,1,8,40.7
2020-09-22,5,0,39.0
2020-09-23,8,5,28.6
2020-09-24,6,1,26.8
2020-09-25,8,8,29.4
2020-09-26,5,6,32.1
2020-09-27,0,4,28.6
2020-09-28,6,4,32.9
2020-09-29,2,8,30.3
2020-09-30,5,5,27.7
2020-10-01,6,1,27.7
2020-10-02,5,5,25.1
2020-10-03,9,4,28.5
2020-10-04,6,6,33.7
2020-10-05,4,10,32.0
2020-10-06,13,4,41.5
2020-10-07,0,5,37.2
2020-10-08,7,11,38.1
2020-10-09,2,4,35.5
2020-10-10,4,3,31.2
2020-10-11,8,3,32.9
2020-10-12,5,4,33.7
2020-10-13,11,11,32.1
2020-10-14,3,4,34.7
2020-10-15,10,11,37.2
2020-10-16,12,5,45.9
2020-10-17,5,7,46.7
2020-10-18,2,2,41.6
2020-10-19,10,5,45.9
2020-10-20,7,11,42.4
2020-10-21,5,10,44.1
2020-10-22,9,6,43.3
2020-10-23,5,7,37.2
2020-10-24,3,3,35.5
2020-10-25,7,5,39.8
2020-10-26,6,11,36.4
2020-10-27,11,5,39.8
2020-10-28,7,3,41.6
2020-10-29,7,10,39.8
2020-10-30,9,9,43.3
2020-10-31,17,8,55.4
2020-11-01,3,10,51.9
2020-11-02,8,11,53.7
2020-11-03,16,12,58.0
2020-11-04,11,10,61.4
2020-11-05,14,3,67.6
2020-11-06,6,14,65.0
2020-11-07,7,18,56.3
2020-11-08,4,7,57.2
2020-11-09,16,6,64.0
2020-11-10,11,8,59.8
2020-11-11,8,6,57.2
2020-11-12,9,19,52.8
2020-11-13,15,10,60.6
2020-11-14,18,7,70.1
2020-11-15,6,19,71.8
2020-11-16,10,14,66.7
2020-11-17,12,7,67.5
2020-11-18,9,8,68.4
2020-11-19,12,14,71.0
2020-11-20,12,11,68.3
2020-11-21,7,12,58.9
2020-11-22,5,9,58.0
2020-11-23,8,8,56.3
2020-11-24,9,6,53.7
2020-11-25,3,6,48.5
2020-11-26,7,0,44.1
2020-11-27,2,11,35.5
2020-11-28,3,6,32.0
2020-11-29,11,1,37.3
2020-11-30,3,3,32.9
2020-12-01,9,11,32.9
2020-12-02,7,6,36.3
2020-12-03,6,7,35.5
2020-12-04,2,7,35.5
2020-12-05,7,6,39.0
2020-12-06,11,3,38.9
2020-12-07,17,6,51.0
2020-12-08,9,12,51.0
2020-12-09,11,15,54.6
2020-12-10,18,11,64.9
2020-12-11,19,12,79.7
2020-12-12,16,25,87.4
2020-12-13,11,14,87.5
2020-12-14,26,11,95.3
2020-12-15,10,15,96.1
2020-12-16,18,18,102.1
2020-12-17,15,11,99.6
2020-12-18,19,22,99.5
2020-12-19,20,10,103.1
2020-12-20,15,11,106.4
2020-12-21,13,28,95.2
2020-12-22,18,23,102.2
2020-12-23,36,16,117.7
2020-12-24,32,22,132.5
2020-12-25,15,0,129.0
2020-12-26,21,0,129.8
2020-12-27,51,0,161.1
2020-12-28,53,0,195.7
2020-12-29,93,152,260.6
2020-12-30,60,50,281.4
2020-12-31,135,79,370.5
2021-01-01,41,0,393.1
2021-01-02,70,0,435.5
2021-01-03,56,0,439.8
2021-01-04,50,0,437.1
2021-01-05,72,378,419.0
2021-01-06,48,49,408.6
2021-01-07,26,58,314.2
2021-01-08,40,30,313.4
2021-01-09,32,44,280.5
2021-01-10,39,39,265.7
2021-01-11,35,37,252.8
2021-01-12,28,45,214.7
2021-01-13,21,25,191.4
2021-01-14,20,21,186.2
2021-01-15,14,35,163.6
2021-01-16,22,25,154.9
2021-01-17,18,10,136.8
