date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-04,1,0,0.0
2020-03-05,0,0,0.0
2020-03-06,0,0,0.0
2020-03-07,0,0,0.0
2020-03-08,0,0,0.0
2020-03-09,1,0,0.9
2020-03-10,0,0,0.9
2020-03-11,0,0,0.9
2020-03-12,1,0,1.8
2020-03-13,1,0,2.8
2020-03-14,0,0,2.8
2020-03-15,1,0,3.7
2020-03-16,2,0,4.6
2020-03-17,2,0,6.4
2020-03-18,1,0,7.3
2020-03-19,4,0,10.1
2020-03-20,1,0,10.0
2020-03-21,1,0,10.9
2020-03-22,3,0,12.7
2020-03-23,6,0,16.4
2020-03-24,2,0,16.5
2020-03-25,1,0,16.5
2020-03-26,4,0,16.4
2020-03-27,6,0,21.0
2020-03-28,1,0,21.0
2020-03-29,3,0,21.1
2020-03-30,3,0,18.3
2020-03-31,8,0,23.7
2020-04-01,12,0,33.8
2020-04-02,3,0,32.9
2020-04-03,9,0,35.6
2020-04-04,7,0,41.1
2020-04-05,1,0,39.2
2020-04-06,3,0,39.3
2020-04-07,9,0,40.2
2020-04-08,7,0,35.6
2020-04-09,10,0,42.0
2020-04-10,8,0,41.1
2020-04-11,5,0,39.3
2020-04-12,8,0,45.7
2020-04-13,4,0,46.5
2020-04-14,4,0,42.0
2020-04-15,2,0,37.4
2020-04-16,7,0,34.7
2020-04-17,9,0,35.6
2020-04-18,4,0,34.7
2020-04-19,3,0,30.1
2020-04-20,3,0,29.2
2020-04-21,5,0,30.1
2020-04-22,6,2,33.8
2020-04-23,6,4,32.9
2020-04-24,8,6,32.0
2020-04-25,13,3,40.1
2020-04-26,9,4,45.7
2020-04-27,4,5,46.6
2020-04-28,2,2,43.8
2020-04-29,7,8,44.7
2020-04-30,2,7,41.1
2020-05-01,5,0,38.3
2020-05-02,3,2,29.3
2020-05-03,4,3,24.6
2020-05-04,3,0,23.8
2020-05-05,9,3,30.2
2020-05-06,11,0,33.8
2020-05-07,5,2,36.5
2020-05-08,5,0,36.5
2020-05-09,6,1,39.2
2020-05-10,1,0,36.5
2020-05-11,7,1,40.1
2020-05-12,5,1,36.5
2020-05-13,3,3,29.2
2020-05-14,7,2,31.0
2020-05-15,5,1,31.1
2020-05-16,4,4,29.2
2020-05-17,2,1,30.2
2020-05-18,2,1,25.6
2020-05-19,4,1,24.6
2020-05-20,4,1,25.6
2020-05-21,6,1,24.7
2020-05-22,7,1,26.5
2020-05-23,2,2,24.7
2020-05-24,6,1,28.3
2020-05-25,10,1,35.6
2020-05-26,0,0,32.0
2020-05-27,4,4,32.0
2020-05-28,2,4,28.3
2020-05-29,2,4,23.7
2020-05-30,1,0,22.8
2020-05-31,1,0,18.2
2020-06-01,2,0,11.0
2020-06-02,2,1,12.8
2020-06-03,2,1,10.9
2020-06-04,5,0,13.7
2020-06-05,1,0,12.8
2020-06-06,0,1,11.9
2020-06-07,0,1,11.0
2020-06-08,2,0,10.9
2020-06-09,0,0,9.1
2020-06-10,2,0,9.1
2020-06-11,1,0,5.5
2020-06-12,0,1,4.6
2020-06-13,1,1,5.5
2020-06-14,1,0,6.4
2020-06-15,1,0,5.5
2020-06-16,0,0,5.5
2020-06-17,1,0,4.6
2020-06-18,0,1,3.6
2020-06-19,0,1,3.6
2020-06-20,1,0,3.6
2020-06-21,2,0,4.6
2020-06-22,1,1,4.6
2020-06-23,0,0,4.6
2020-06-24,0,0,3.7
2020-06-25,1,1,4.6
2020-06-26,1,0,5.5
2020-06-27,0,0,4.6
2020-06-28,1,0,3.6
2020-06-29,0,0,2.7
2020-06-30,1,1,3.6
2020-07-01,0,145,3.6
2020-07-02,0,0,2.7
2020-07-03,0,1,1.8
2020-07-04,0,0,1.8
2020-07-05,1,0,1.8
2020-07-06,1,0,2.7
2020-07-07,0,0,1.8
2020-07-08,0,1,1.8
2020-07-09,0,1,1.8
2020-07-10,0,0,1.8
2020-07-11,0,0,1.8
2020-07-12,2,0,2.8
2020-07-13,1,0,2.8
2020-07-14,0,0,2.8
2020-07-15,1,2,3.7
2020-07-16,0,0,3.7
2020-07-17,1,1,4.6
2020-07-18,0,0,4.6
2020-07-19,0,2,2.7
2020-07-20,0,0,1.8
2020-07-21,1,0,2.7
2020-07-22,0,0,1.8
2020-07-23,1,2,2.7
2020-07-24,1,0,2.7
2020-07-25,0,1,2.7
2020-07-26,0,0,2.7
2020-07-27,1,1,3.7
2020-07-28,0,0,2.8
2020-07-29,1,1,3.7
2020-07-30,2,0,4.6
2020-07-31,1,0,4.6
2020-08-01,1,1,5.5
2020-08-02,2,2,7.4
2020-08-03,2,1,8.2
2020-08-04,0,2,8.2
2020-08-05,2,3,9.1
2020-08-06,0,0,7.3
2020-08-07,3,0,9.1
2020-08-08,0,0,8.2
2020-08-09,3,2,9.1
2020-08-10,1,1,8.2
2020-08-11,1,1,9.1
2020-08-12,1,1,8.2
2020-08-13,0,0,8.2
2020-08-14,0,5,5.5
2020-08-15,0,1,5.5
2020-08-16,1,0,3.6
2020-08-17,0,0,2.7
2020-08-18,0,0,1.8
2020-08-19,0,1,0.9
2020-08-20,0,0,0.9
2020-08-21,0,0,0.9
2020-08-22,0,0,0.9
2020-08-23,0,0,0.0
2020-08-24,0,0,0.0
2020-08-25,2,0,1.9
2020-08-26,1,0,2.8
2020-08-27,1,2,3.7
2020-08-28,2,0,5.5
2020-08-29,0,1,5.5
2020-08-30,2,2,7.3
2020-08-31,3,1,10.1
2020-09-01,2,1,10.0
2020-09-02,5,2,13.7
2020-09-03,8,1,20.1
2020-09-04,3,3,21.0
2020-09-05,3,2,23.8
2020-09-06,2,2,23.8
2020-09-07,8,4,28.3
2020-09-08,6,3,32.0
2020-09-09,5,5,31.9
2020-09-10,5,3,29.2
2020-09-11,2,4,28.3
2020-09-12,2,1,27.3
2020-09-13,1,9,26.5
2020-09-14,4,2,22.8
2020-09-15,6,3,22.8
2020-09-16,5,3,22.9
2020-09-17,3,3,21.0
2020-09-18,7,6,25.6
2020-09-19,3,6,26.5
2020-09-20,6,2,31.0
2020-09-21,6,5,32.9
2020-09-22,1,3,28.3
2020-09-23,7,7,30.1
2020-09-24,8,2,34.7
2020-09-25,7,8,34.7
2020-09-26,6,4,37.5
2020-09-27,2,8,33.8
2020-09-28,12,5,39.3
2020-09-29,5,6,42.9
2020-09-30,13,5,48.4
2020-10-01,14,7,53.9
2020-10-02,6,6,52.9
2020-10-03,12,8,58.4
2020-10-04,6,23,62.1
2020-10-05,8,9,58.4
2020-10-06,13,11,65.8
2020-10-07,15,13,67.6
2020-10-08,17,14,70.3
2020-10-09,15,11,78.6
2020-10-10,13,13,79.4
2020-10-11,16,14,88.6
2020-10-12,25,26,104.1
2020-10-13,19,16,109.5
2020-10-14,28,22,121.4
2020-10-15,28,26,131.5
2020-10-16,28,10,143.3
2020-10-17,21,19,150.7
