date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-03,1,0,0.0
2020-03-04,0,0,0.0
2020-03-05,0,0,0.0
2020-03-06,0,0,0.0
2020-03-07,0,0,0.0
2020-03-08,0,0,0.0
2020-03-09,0,0,0.0
2020-03-10,0,0,0.0
2020-03-11,1,0,0.7
2020-03-12,0,0,0.7
2020-03-13,0,0,0.7
2020-03-14,0,0,0.7
2020-03-15,1,0,1.4
2020-03-16,0,0,1.4
2020-03-17,2,0,2.8
2020-03-18,2,0,3.5
2020-03-19,4,0,6.3
2020-03-20,1,0,7.0
2020-03-21,1,0,7.8
2020-03-22,1,0,7.8
2020-03-23,6,0,12.0
2020-03-24,6,0,14.8
2020-03-25,7,0,18.3
2020-03-26,3,0,17.6
2020-03-27,6,0,21.2
2020-03-28,3,0,22.5
2020-03-29,4,0,24.6
2020-03-30,7,0,25.3
2020-03-31,8,0,26.8
2020-04-01,13,0,31.0
2020-04-02,9,0,35.2
2020-04-03,11,0,38.7
2020-04-04,4,0,39.4
2020-04-05,8,0,42.2
2020-04-06,14,0,47.2
2020-04-07,5,0,45.0
2020-04-08,9,0,42.2
2020-04-09,13,0,45.1
2020-04-10,14,0,47.1
2020-04-11,7,0,49.3
2020-04-12,9,0,50.0
2020-04-13,11,0,47.9
2020-04-14,5,0,47.9
2020-04-15,5,0,45.1
2020-04-16,13,0,45.0
2020-04-17,10,0,42.3
2020-04-18,6,0,41.5
2020-04-19,8,0,40.8
2020-04-20,6,0,37.3
2020-04-21,3,0,35.9
2020-04-22,2,14,33.8
2020-04-23,14,3,34.5
2020-04-24,4,5,30.3
2020-04-25,10,4,33.1
2020-04-26,9,8,33.8
2020-04-27,3,7,31.6
2020-04-28,6,7,33.8
2020-04-29,6,6,36.6
2020-04-30,9,4,33.1
2020-05-01,8,3,35.9
2020-05-02,8,0,34.5
2020-05-03,3,5,30.3
2020-05-04,17,3,40.2
2020-05-05,13,7,45.0
2020-05-06,5,0,44.3
2020-05-07,3,2,40.1
2020-05-08,8,10,40.1
2020-05-09,11,6,42.2
2020-05-10,16,4,51.4
2020-05-11,17,2,51.4
2020-05-12,5,3,45.8
2020-05-13,11,5,50.0
2020-05-14,5,14,51.4
2020-05-15,7,4,50.7
2020-05-16,4,6,45.8
2020-05-17,31,2,56.3
2020-05-18,11,0,52.0
2020-05-19,5,0,52.1
2020-05-20,6,1,48.6
2020-05-21,8,1,50.7
2020-05-22,12,0,54.2
2020-05-23,1,2,52.1
2020-05-24,1,1,31.0
2020-05-25,1,1,24.0
2020-05-26,6,0,24.6
2020-05-27,3,0,22.5
2020-05-28,2,0,18.3
2020-05-29,8,1,15.5
2020-05-30,2,2,16.2
2020-05-31,1,0,16.2
