date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-20,1,0,0.0
2020-03-21,1,0,0.8
2020-03-22,0,0,0.8
2020-03-23,1,0,1.5
2020-03-24,2,0,2.9
2020-03-25,2,0,4.4
2020-03-26,0,0,4.4
2020-03-27,0,0,4.4
2020-03-28,3,0,5.8
2020-03-29,3,0,7.9
2020-03-30,6,0,11.6
2020-03-31,3,0,12.4
2020-04-01,6,0,15.2
2020-04-02,8,0,21.0
2020-04-03,1,0,21.7
2020-04-04,3,0,21.7
2020-04-05,5,0,23.2
2020-04-06,3,0,21.0
2020-04-07,9,0,25.3
2020-04-08,9,0,27.6
2020-04-09,14,0,31.9
2020-04-10,11,0,39.2
2020-04-11,4,0,39.9
2020-04-12,6,0,40.7
2020-04-13,8,0,44.3
2020-04-14,3,0,39.9
2020-04-15,7,0,38.4
2020-04-16,16,0,39.9
2020-04-17,10,0,39.2
2020-04-18,13,0,45.7
2020-04-19,5,0,44.9
2020-04-20,9,0,45.7
2020-04-21,9,0,50.1
2020-04-22,28,5,65.3
2020-04-23,25,3,71.8
2020-04-24,15,9,75.4
2020-04-25,10,9,73.3
2020-04-26,8,12,75.5
2020-04-27,13,9,78.3
2020-04-28,17,3,84.1
2020-04-29,11,0,71.8
2020-04-30,11,10,61.7
2020-05-01,11,12,58.8
2020-05-02,13,4,60.9
2020-05-03,3,3,57.3
2020-05-04,5,7,51.5
2020-05-05,8,2,45.0
2020-05-06,11,4,45.0
2020-05-07,6,4,41.3
2020-05-08,5,8,37.0
2020-05-09,2,0,29.0
2020-05-10,4,0,29.7
2020-05-11,5,2,29.8
2020-05-12,10,1,31.2
2020-05-13,6,2,27.6
2020-05-14,17,4,35.6
2020-05-15,10,2,39.1
2020-05-16,10,3,45.0
2020-05-17,2,4,43.5
2020-05-18,4,6,42.7
2020-05-19,2,8,37.0
2020-05-20,5,3,36.2
2020-05-21,8,2,29.7
2020-05-22,2,6,24.0
2020-05-23,6,3,21.0
2020-05-24,5,3,23.3
2020-05-25,1,2,21.1
2020-05-26,3,0,21.8
2020-05-27,6,1,22.5
2020-05-28,4,0,19.6
2020-05-29,6,4,22.5
2020-05-30,3,2,20.3
2020-05-31,0,2,16.6
2020-06-01,4,0,18.8
2020-06-02,5,2,20.3
2020-06-03,4,2,18.9
2020-06-04,1,2,16.7
2020-06-05,1,1,13.0
2020-06-06,0,0,10.9
2020-06-07,1,0,11.6
2020-06-08,0,1,8.7
2020-06-09,1,0,5.8
2020-06-10,2,0,4.3
2020-06-11,0,0,3.6
2020-06-12,0,2,2.9
2020-06-13,2,0,4.4
2020-06-14,0,0,3.7
2020-06-15,3,1,5.9
2020-06-16,3,0,7.2
2020-06-17,4,0,8.7
2020-06-18,6,1,13.1
2020-06-19,1,2,13.8
2020-06-20,1,1,13.0
2020-06-21,1,2,13.8
2020-06-22,1,0,12.3
2020-06-23,1,1,10.9
2020-06-24,1,0,8.7
2020-06-25,3,1,6.5
2020-06-26,2,0,7.3
2020-06-27,0,0,6.6
2020-06-28,1,0,6.5
2020-06-29,2,0,7.2
2020-06-30,2,0,8.0
2020-07-01,1,225,8.0
2020-07-02,2,1,7.3
2020-07-03,1,1,6.5
2020-07-04,1,2,7.2
2020-07-05,0,3,6.5
2020-07-06,1,0,5.8
2020-07-07,1,0,5.1
2020-07-08,0,0,4.4
2020-07-09,0,1,2.9
2020-07-10,1,1,2.9
2020-07-11,0,0,2.2
2020-07-12,1,1,2.9
2020-07-13,1,1,2.9
2020-07-14,4,1,5.0
2020-07-15,0,0,5.0
2020-07-16,0,1,5.0
2020-07-17,0,1,4.3
2020-07-18,0,2,4.3
2020-07-19,0,0,3.6
2020-07-20,0,0,2.9
2020-07-21,0,0,0.0
2020-07-22,2,0,1.5
2020-07-23,1,2,2.2
2020-07-24,0,0,2.2
2020-07-25,1,1,2.9
2020-07-26,0,0,2.9
2020-07-27,1,1,3.7
2020-07-28,4,0,6.6
2020-07-29,3,1,7.2
2020-07-30,1,4,7.3
2020-07-31,0,3,7.3
2020-08-01,2,0,8.0
2020-08-02,0,1,8.0
2020-08-03,2,2,8.7
2020-08-04,1,0,6.5
2020-08-05,0,2,4.4
2020-08-06,2,0,5.1
2020-08-07,1,0,5.8
2020-08-08,0,2,4.4
2020-08-09,2,1,5.8
2020-08-10,0,0,4.3
2020-08-11,0,1,3.6
2020-08-12,0,1,3.6
2020-08-13,1,0,2.9
2020-08-14,5,1,5.8
2020-08-15,0,1,5.8
2020-08-16,0,0,4.4
2020-08-17,1,0,5.1
2020-08-18,2,5,6.6
2020-08-19,1,0,7.3
2020-08-20,1,1,7.2
2020-08-21,1,1,4.3
2020-08-22,1,0,5.1
2020-08-23,0,1,5.1
2020-08-24,0,3,4.4
2020-08-25,2,0,4.3
2020-08-26,3,1,5.8
2020-08-27,0,1,5.1
2020-08-28,3,1,6.6
2020-08-29,0,1,5.8
2020-08-30,1,1,6.5
2020-08-31,2,0,7.9
2020-09-01,0,3,6.5
2020-09-02,8,3,10.1
2020-09-03,3,0,12.3
2020-09-04,6,3,14.5
2020-09-05,5,5,18.1
2020-09-06,5,4,21.0
2020-09-07,4,2,22.5
2020-09-08,4,8,25.4
2020-09-09,7,3,24.7
2020-09-10,6,5,26.9
2020-09-11,1,5,23.2
2020-09-12,3,0,21.8
2020-09-13,2,4,19.6
2020-09-14,7,8,21.8
2020-09-15,14,5,29.0
2020-09-16,3,6,26.1
2020-09-17,5,4,25.3
2020-09-18,10,4,31.9
2020-09-19,7,7,34.8
2020-09-20,6,13,37.7
2020-09-21,6,8,37.0
2020-09-22,11,9,34.9
2020-09-23,10,7,39.9
2020-09-24,4,5,39.2
2020-09-25,6,15,36.3
2020-09-26,12,5,39.9
2020-09-27,9,12,42.1
2020-09-28,10,4,45.0
2020-09-29,32,12,60.2
2020-09-30,12,6,61.7
2020-10-01,14,23,68.9
2020-10-02,32,14,87.7
2020-10-03,16,23,90.6
2020-10-04,10,51,91.4
2020-10-05,28,20,104.4
2020-10-06,40,18,110.2
2020-10-07,24,21,118.9
2020-10-08,22,24,124.8
2020-10-09,18,33,114.6
2020-10-10,15,26,113.9
2020-10-11,21,19,121.9
2020-10-12,67,24,150.2
2020-10-13,21,18,136.4
2020-10-14,31,73,141.5
2020-10-15,31,24,148.0
2020-10-16,27,37,154.6
2020-10-17,25,23,161.8
2020-10-18,24,30,163.9
2020-10-19,59,33,158.1
2020-10-20,47,32,177.0
2020-10-21,56,48,195.1
2020-10-22,33,43,196.5
2020-10-23,33,43,200.9
2020-10-24,49,41,218.3
2020-10-25,39,31,229.2
2020-10-26,68,48,235.7
2020-10-27,75,70,256.1
2020-10-28,58,69,257.5
2020-10-29,80,66,291.7
2020-10-30,81,50,326.4
2020-10-31,52,57,328.6
2020-11-01,33,106,324.3
2020-11-02,123,58,364.2
2020-11-03,90,31,375.0
2020-11-04,85,127,394.6
2020-11-05,73,63,389.5
2020-11-06,84,78,391.7
2020-11-07,57,70,395.4
2020-11-08,57,73,412.7
2020-11-09,91,83,389.5
2020-11-10,95,59,393.1
2020-11-11,104,87,407.0
2020-11-12,91,121,420.0
2020-11-13,69,66,409.1
2020-11-14,62,89,412.7
2020-11-15,52,89,409.1
2020-11-16,97,4,413.5
2020-11-17,75,67,399.0
2020-11-18,69,49,373.5
2020-11-19,67,93,356.1
2020-11-20,51,90,343.1
2020-11-21,44,57,330.1
2020-11-22,32,46,315.6
2020-11-23,59,75,288.0
2020-11-24,65,39,280.7
2020-11-25,44,52,262.6
2020-11-26,36,51,240.1
2020-11-27,41,50,232.9
2020-11-28,25,35,219.0
2020-11-29,31,25,218.3
2020-11-30,41,53,205.3
2020-12-01,37,33,185.0
2020-12-02,38,44,180.7
2020-12-03,27,14,174.1
2020-12-04,47,34,178.4
2020-12-05,29,39,181.4
2020-12-06,30,41,180.6
2020-12-07,51,40,187.8
2020-12-08,97,37,231.4
2020-12-09,61,39,248.0
2020-12-10,32,79,251.7
2020-12-11,40,60,246.7
2020-12-12,28,51,245.9
2020-12-13,27,32,243.8
2020-12-14,58,24,248.8
2020-12-15,54,30,217.6
2020-12-16,43,50,204.6
2020-12-17,53,33,219.8
2020-12-18,45,41,223.4
2020-12-19,42,47,233.5
2020-12-20,52,59,251.7
2020-12-21,74,53,263.3
2020-12-22,68,55,273.5
2020-12-23,62,68,287.2
2020-12-24,30,57,270.6
2020-12-25,25,70,256.0
2020-12-26,54,38,264.8
2020-12-27,48,25,261.8
2020-12-28,49,46,243.8
2020-12-29,82,68,253.9
2020-12-30,144,46,313.4
2020-12-31,78,66,348.2
2021-01-01,62,101,375.1
2021-01-02,129,109,429.4
2021-01-03,101,70,467.9
2021-01-04,124,127,522.3
2021-01-05,131,116,557.8
2021-01-06,76,116,508.5
2021-01-07,48,90,486.7
2021-01-08,88,77,505.6
2021-01-09,68,81,461.4
2021-01-10,57,66,429.4
2021-01-11,74,90,393.1
2021-01-12,104,82,373.6
2021-01-13,92,58,385.2
2021-01-14,73,78,403.3
2021-01-15,92,133,406.2
2021-01-16,44,82,388.8
2021-01-17,42,64,378.0
2021-01-18,94,74,392.4
2021-01-19,72,52,369.2
2021-01-20,83,89,362.7
2021-01-21,43,44,341.0
2021-01-22,53,94,312.6
2021-01-23,32,54,303.9
2021-01-24,29,49,294.5
2021-01-25,36,36,252.5
2021-01-26,52,24,237.9
2021-01-27,46,51,211.1
2021-01-28,40,41,208.9
2021-01-29,35,49,195.9
2021-01-30,16,39,184.3
2021-01-31,31,31,185.7
2021-02-01,32,17,182.8
2021-02-02,33,33,169.0
2021-02-03,44,34,167.5
2021-02-04,52,29,176.2
2021-02-05,25,49,169.0
2021-02-06,22,58,173.3
2021-02-07,16,22,162.4
2021-02-08,33,22,163.2
2021-02-09,24,25,156.7
2021-02-10,39,35,153.1
2021-02-11,30,25,137.1
2021-02-12,34,28,143.6
2021-02-13,15,32,138.6
2021-02-14,14,29,137.1
2021-02-15,24,18,130.6
2021-02-16,23,15,129.8
2021-02-17,25,20,119.7
2021-02-18,25,35,116.1
2021-02-19,14,11,101.6
2021-02-20,13,26,100.1
2021-02-21,15,15,100.9
2021-02-22,24,13,100.8
2021-02-23,18,19,97.2
2021-02-24,19,25,92.8
2021-02-25,20,17,89.2
2021-02-26,16,21,90.6
2021-02-27,8,18,87.0
2021-02-28,9,17,82.7
2021-03-01,8,9,71.1
2021-03-02,10,2,65.3
2021-03-03,6,4,55.9
2021-03-04,6,15,45.7
2021-03-05,6,9,38.5
2021-03-06,4,3,35.6
2021-03-07,8,8,34.8
2021-03-08,9,8,35.5
2021-03-09,7,7,33.4
2021-03-10,4,11,31.9
2021-03-11,5,3,31.2
2021-03-12,6,7,31.2
2021-03-13,6,6,32.6
2021-03-14,2,8,28.3
2021-03-15,7,2,26.9
2021-03-16,6,1,26.1
2021-03-17,9,8,29.7
2021-03-18,4,7,29.0
2021-03-19,6,6,29.0
2021-03-20,6,9,29.0
2021-03-21,10,5,34.8
2021-03-22,7,11,34.8
2021-03-23,8,7,36.3
2021-03-24,7,7,34.9
2021-03-25,6,7,36.3
2021-03-26,5,5,35.5
2021-03-27,2,9,32.7
2021-03-28,2,3,26.8
2021-03-29,2,2,23.2
2021-03-30,2,1,18.8
2021-03-31,1,3,14.5
2021-04-01,4,0,13.1
2021-04-02,4,4,12.4
2021-04-03,4,2,13.8
2021-04-04,2,6,13.8
2021-04-05,2,5,13.8
2021-04-06,2,1,13.8
2021-04-07,2,4,14.5
2021-04-08,3,1,13.7
2021-04-09,4,0,13.7
2021-04-10,2,3,12.3
2021-04-11,3,2,13.1
2021-04-12,2,8,13.0
2021-04-13,0,1,11.6
2021-04-14,3,0,12.3
2021-04-15,0,2,10.2
2021-04-16,2,1,8.8
2021-04-17,1,0,8.0
2021-04-18,2,1,7.2
2021-04-19,1,6,6.6
2021-04-20,5,1,10.2
2021-04-21,10,2,15.2
2021-04-22,2,11,16.7
2021-04-23,0,4,15.2
2021-04-24,1,0,15.2
2021-04-25,0,0,13.8
2021-04-26,2,3,14.5
2021-04-27,1,3,11.6
2021-04-28,4,2,7.3
2021-04-29,2,4,7.2
2021-04-30,2,3,8.7
2021-05-01,1,3,8.7
2021-05-02,1,1,9.4
2021-05-03,2,2,9.4
2021-05-04,2,2,10.1
2021-05-05,3,2,9.4
2021-05-06,4,2,10.9
2021-05-07,4,5,12.3
2021-05-08,0,0,11.6
2021-05-09,4,3,13.8
2021-05-10,3,4,14.5
2021-05-11,4,5,16.0
2021-05-12,2,2,15.2
2021-05-13,5,2,16.0
2021-05-14,2,7,14.5
2021-05-15,1,2,15.3
2021-05-16,1,1,13.1
2021-05-17,2,2,12.3
2021-05-18,2,0,10.9
2021-05-19,4,1,12.4
2021-05-20,1,1,9.4
2021-05-21,1,2,8.7
2021-05-22,0,2,7.9
2021-05-23,2,0,8.7
2021-05-24,2,2,8.7
2021-05-25,0,0,7.2
2021-05-26,3,2,6.5
2021-05-27,2,1,7.3
2021-05-28,2,3,8.0
2021-05-29,1,1,8.7
2021-05-30,2,1,8.7
2021-05-31,0,2,7.3
2021-06-01,4,0,10.2
2021-06-02,2,0,9.4
2021-06-03,2,8,9.4
2021-06-04,2,1,9.4
2021-06-05,0,3,8.7
2021-06-06,1,3,8.0
2021-06-07,7,0,13.0
2021-06-08,7,7,15.2
2021-06-09,10,5,21.1
2021-06-10,7,4,24.7
2021-06-11,0,10,23.3
2021-06-12,6,7,27.6
2021-06-13,8,3,32.6
2021-06-14,2,9,29.1
2021-06-15,14,3,34.1
2021-06-16,7,7,31.9
2021-06-17,5,8,30.4
2021-06-18,10,8,37.7
2021-06-19,7,6,38.5
2021-06-20,5,11,36.3
2021-06-21,14,7,44.9
2021-06-22,20,7,49.3
2021-06-23,27,9,63.8
2021-06-24,24,27,77.6
2021-06-25,30,28,92.1
2021-06-26,35,32,112.4
2021-06-27,29,22,129.8
2021-06-28,40,38,148.7
2021-06-29,48,27,169.1
2021-06-30,54,43,188.6
2021-07-01,46,53,204.6
2021-07-02,57,40,224.1
2021-07-03,33,56,222.7
2021-07-04,54,41,240.8
2021-07-05,48,48,246.7
2021-07-06,61,47,256.0
2021-07-07,70,48,267.7
2021-07-08,67,59,282.9
2021-07-09,57,69,282.9
2021-07-10,67,60,307.5
2021-07-11,57,60,309.8
2021-07-12,95,60,343.8
2021-07-13,87,83,362.7
2021-07-14,102,74,385.9
2021-07-15,122,122,425.8
2021-07-16,92,126,451.2
2021-07-17,81,100,461.4
2021-07-18,80,80,478.0
2021-07-19,89,66,473.7
2021-07-20,53,80,449.0
2021-07-21,77,70,430.9
2021-07-22,60,48,385.9
2021-07-23,37,89,346.0
2021-07-24,41,66,317.0
2021-07-25,34,44,283.6
2021-07-26,47,43,253.1
2021-07-27,42,32,245.2
2021-07-28,40,44,218.3
2021-07-29,47,40,208.9
2021-07-30,28,45,202.4
2021-07-31,25,42,190.8
2021-08-01,24,32,183.6
2021-08-02,53,29,187.9
2021-08-03,52,37,195.1
2021-08-04,36,40,192.2
2021-08-05,58,49,200.2
2021-08-06,37,34,206.8
2021-08-07,35,49,213.9
2021-08-08,41,48,226.3
2021-08-09,47,34,222.0
2021-08-10,56,39,224.9
2021-08-11,58,52,240.9
2021-08-12,62,57,243.7
2021-08-13,38,66,244.4
2021-08-14,39,58,247.4
2021-08-15,45,31,250.2
2021-08-16,70,47,266.9
2021-08-17,78,54,282.9
2021-08-18,63,74,286.5
2021-08-19,56,67,282.2
2021-08-20,73,59,307.6
2021-08-21,61,53,323.5
2021-08-22,58,82,333.0
2021-08-23,69,57,332.2
2021-08-24,67,61,324.2
2021-08-25,62,49,323.5
2021-08-26,67,67,331.5
2021-08-27,53,80,317.0
2021-08-28,42,55,303.2
2021-08-29,42,52,291.6
2021-08-30,66,45,289.5
2021-08-31,84,59,301.8
2021-09-01,64,57,303.2
2021-09-02,80,83,312.7
2021-09-03,70,83,324.9
2021-09-04,45,62,327.2
2021-09-05,54,60,335.8
2021-09-06,66,56,335.8
2021-09-07,75,55,329.3
2021-09-08,49,72,318.5
2021-09-09,74,77,314.1
2021-09-10,59,41,306.1
2021-09-11,55,71,313.3
2021-09-12,69,44,324.3
2021-09-13,84,85,337.3
2021-09-14,88,62,346.8
2021-09-15,88,76,375.0
2021-09-16,94,89,389.5
2021-09-17,109,96,425.8
2021-09-18,97,109,456.3
2021-09-19,160,108,522.3
2021-09-20,168,138,583.2
2021-09-21,169,129,641.9
2021-09-22,165,163,697.8
2021-09-23,136,124,728.3
2021-09-24,135,154,747.2
2021-09-25,105,141,753.0
2021-09-26,120,147,723.9
2021-09-27,132,114,697.9
2021-09-28,140,132,676.8
2021-09-29,148,112,664.5
2021-09-30,126,152,657.2
2021-10-01,91,129,625.3
2021-10-02,84,139,610.0
2021-10-03,107,102,600.6
2021-10-04,132,87,600.6
2021-10-05,127,113,591.2
2021-10-06,104,154,559.2
2021-10-07,122,107,556.3
2021-10-08,86,100,552.7
2021-10-09,65,124,539.0
2021-10-10,86,86,523.8
2021-10-11,129,62,521.5
2021-10-12,84,123,490.4
2021-10-13,120,104,502.0
2021-10-14,98,82,484.6
2021-10-15,90,111,487.5
2021-10-16,77,95,496.1
2021-10-17,100,96,506.3
2021-10-18,124,101,502.7
2021-10-19,101,99,515.0
2021-10-20,108,114,506.3
2021-10-21,100,115,507.8
2021-10-22,83,96,502.7
2021-10-23,69,85,496.9
2021-10-24,86,80,486.7
2021-10-25,103,80,471.5
2021-10-26,60,100,441.7
2021-10-27,94,86,431.6
2021-10-28,104,77,434.5
2021-10-29,91,82,440.3
2021-10-30,83,84,450.5
2021-10-31,61,112,432.3
2021-11-01,93,86,425.1
2021-11-02,61,58,425.8
2021-11-03,55,91,397.5
2021-11-04,57,58,363.4
2021-11-05,70,59,348.2
2021-11-06,68,54,337.3
2021-11-07,69,68,343.1
2021-11-08,99,57,347.5
2021-11-09,78,103,359.8
2021-11-10,98,78,391.0
2021-11-11,89,88,414.2
2021-11-12,67,72,412.0
2021-11-13,43,82,393.9
2021-11-14,66,67,391.7
2021-11-15,98,57,390.9
2021-11-16,106,79,411.3
2021-11-17,90,51,405.5
2021-11-18,115,132,424.3
2021-11-19,89,112,440.3
2021-11-20,73,96,462.0
2021-11-21,63,60,459.9
2021-11-22,96,82,458.5
2021-11-23,97,94,451.9
2021-11-24,82,66,446.1
2021-11-25,64,115,409.1
2021-11-26,84,78,405.5
2021-11-27,55,76,392.5
2021-11-28,64,75,393.2
2021-11-29,130,68,417.8
2021-11-30,110,66,427.3
2021-12-01,124,112,457.7
2021-12-02,92,90,478.1
2021-12-03,106,152,494.0
2021-12-04,121,86,541.8
2021-12-05,85,121,557.1
2021-12-06,138,136,562.9
2021-12-07,136,65,581.7
2021-12-08,125,150,582.5
2021-12-09,106,84,592.6
2021-12-10,103,136,590.4
2021-12-11,88,135,566.6
2021-12-12,80,74,562.9
2021-12-13,127,43,554.9
2021-12-14,118,170,541.9
2021-12-15,123,109,540.4
2021-12-16,126,114,554.9
2021-12-17,147,45,586.9
2021-12-18,128,132,615.8
2021-12-19,155,86,670.2
2021-12-20,198,139,721.8
2021-12-21,229,225,802.3
2021-12-22,102,262,787.1
2021-12-23,0,307,787.1
