date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-02-01,0,0,0
2020-02-02,0,0,0
2020-02-03,0,0,0
2020-02-04,0,0,0
2020-02-05,0,0,0
2020-02-06,0,0,0
2020-02-07,0,0,0
2020-02-08,0,0,0
2020-02-09,0,0,0
2020-02-10,0,0,0
2020-02-11,0,0,0
2020-02-12,0,0,0
2020-02-13,0,0,0
2020-02-14,0,0,0
2020-02-15,0,0,0
2020-02-16,0,0,0
2020-02-17,0,0,0
2020-02-18,0,0,0
2020-02-19,0,0,0
2020-02-20,0,0,0
2020-02-21,0,0,0
2020-02-22,0,0,0
2020-02-23,0,0,0
2020-02-24,0,0,0
2020-02-25,0,0,0
2020-02-26,0,0,0
2020-02-27,0,0,0
2020-02-28,0,0,0
2020-02-29,0,0,0
2020-03-01,0,0,0
2020-03-02,0,0,0
2020-03-03,0,0,0
2020-03-04,0,0,0
2020-03-05,0,0,0
2020-03-06,0,0,0
2020-03-07,0,0,0
2020-03-08,0,0,0
2020-03-09,0,0,0
2020-03-10,0,0,0
2020-03-11,0,0,0
2020-03-12,2,0,1.7
2020-03-13,0,0,1.7
2020-03-14,0,0,1.7
2020-03-15,0,0,1.7
2020-03-16,1,0,2.5
2020-03-17,0,0,2.5
2020-03-18,1,0,3.3
2020-03-19,0,0,1.6
2020-03-20,1,0,2.5
2020-03-21,1,0,3.3
2020-03-22,1,0,4.1
2020-03-23,2,0,5.0
2020-03-24,1,0,5.8
2020-03-25,4,0,8.4
2020-03-26,0,0,8.4
2020-03-27,2,0,9.1
2020-03-28,3,0,10.8
2020-03-29,7,0,15.9
2020-03-30,6,0,19.2
2020-03-31,2,0,20.0
2020-04-01,4,0,20.0
2020-04-02,4,0,23.3
2020-04-03,8,0,28.4
2020-04-04,8,0,32.5
2020-04-05,2,0,28.3
2020-04-06,5,0,27.5
2020-04-07,16,0,39.2
2020-04-08,14,0,47.5
2020-04-09,7,0,50
2020-04-10,10,0,51.7
2020-04-11,2,0,46.7
2020-04-12,7,0,50.9
2020-04-13,9,0,54.2
2020-04-14,2,0,42.5
2020-04-15,6,0,35.8
2020-04-16,9,0,37.5
2020-04-17,3,0,31.6
2020-04-18,6,0,35
2020-04-19,7,0,35.0
2020-04-20,5,0,31.6
2020-04-21,11,0,39.2
2020-04-22,4,3,37.5
2020-04-23,6,11,35.0
2020-04-24,4,3,35.9
2020-04-25,2,1,32.5
2020-04-26,4,1,30.0
2020-04-27,4,1,29.2
2020-04-28,4,2,23.4
2020-04-29,4,1,23.4
2020-04-30,3,3,20.9
2020-05-01,2,2,19.2
2020-05-02,1,1,18.4
2020-05-03,2,0,16.7
2020-05-04,1,1,14.2
2020-05-05,5,4,15.0
2020-05-06,4,0,15.0
2020-05-07,2,1,14.2
2020-05-08,0,3,12.5
2020-05-09,0,2,11.7
2020-05-10,0,1,10.0
2020-05-11,4,0,12.5
2020-05-12,1,0,9.1
2020-05-13,3,0,8.3
2020-05-14,0,0,6.6
2020-05-15,1,0,7.5
2020-05-16,0,0,7.5
2020-05-17,0,0,7.5
2020-05-18,1,0,5.0
2020-05-19,1,0,5.0
2020-05-20,0,0,2.5
2020-05-21,1,0,3.4
2020-05-22,2,1,4.1
2020-05-23,0,0,4.1
2020-05-24,0,0,4.1
2020-05-25,0,1,3.3
2020-05-26,4,0,5.9
2020-05-27,2,0,7.5
2020-05-28,0,0,6.6
2020-05-29,0,1,5.0
2020-05-30,0,1,5.0
2020-05-31,0,0,5.0
2020-06-01,0,0,5.0
2020-06-02,0,0,1.6
2020-06-03,1,0,0.9
2020-06-04,0,0,0.9
2020-06-05,0,0,0.9
2020-06-06,0,0,0.9
2020-06-07,0,0,0.9
2020-06-08,0,0,0.9
2020-06-09,0,0,0.9
2020-06-10,1,0,0.8
2020-06-11,1,0,1.6
2020-06-12,0,0,1.6
2020-06-13,0,1,1.6
2020-06-14,0,0,1.6
2020-06-15,0,0,1.6
2020-06-16,0,0,1.6
2020-06-17,1,0,1.7
2020-06-18,0,0,0.9
2020-06-19,0,0,0.9
2020-06-20,0,0,0.9
2020-06-21,0,0,0.9
2020-06-22,0,0,0.9
2020-06-23,0,0,0.9
