date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-07,1,0,0.0
2020-03-08,0,0,0.0
2020-03-09,0,0,0.0
2020-03-10,0,0,0.0
2020-03-11,0,0,0.0
2020-03-12,0,0,0.0
2020-03-13,0,0,0.0
2020-03-14,0,0,0.0
2020-03-15,2,0,0.7
2020-03-16,2,0,1.4
2020-03-17,0,0,1.4
2020-03-18,1,0,1.8
2020-03-19,3,0,2.8
2020-03-20,3,0,3.9
2020-03-21,5,0,5.7
2020-03-22,2,0,5.7
2020-03-23,5,0,6.8
2020-03-24,18,0,13.3
2020-03-25,10,0,16.5
2020-03-26,11,0,19.5
2020-03-27,9,0,21.6
2020-03-28,4,0,21.3
2020-03-29,11,0,24.5
2020-03-30,30,0,33.5
2020-03-31,47,0,43.9
2020-04-01,43,0,55.8
2020-04-02,37,0,65.1
2020-04-03,48,0,79.2
2020-04-04,46,0,94.3
2020-04-05,49,0,108.0
2020-04-06,60,0,118.8
2020-04-07,47,0,118.8
2020-04-08,51,0,121.7
2020-04-09,48,0,125.6
2020-04-10,38,0,122.0
2020-04-11,46,0,122.0
2020-04-12,29,0,114.8
2020-04-13,34,0,105.4
2020-04-14,31,0,99.7
2020-04-15,55,0,101.1
2020-04-16,29,0,94.3
2020-04-17,42,32,95.7
2020-04-18,55,36,98.9
2020-04-19,42,72,103.7
2020-04-20,61,29,113.4
2020-04-21,27,24,111.9
2020-04-22,36,87,105.1
2020-04-23,33,17,106.6
2020-04-24,31,11,102.6
2020-04-25,27,29,92.5
2020-04-26,15,12,82.7
2020-04-27,28,15,70.9
2020-04-28,39,5,75.2
2020-04-29,48,0,79.5
2020-04-30,40,40,82.0
2020-05-01,36,26,83.9
2020-05-02,18,6,80.7
2020-05-03,13,36,79.9
2020-05-04,32,6,81.3
2020-05-05,20,11,74.5
2020-05-06,14,4,62.3
2020-05-07,14,41,52.9
2020-05-08,10,8,43.5
2020-05-09,38,7,50.7
2020-05-10,10,7,49.7
2020-05-11,13,34,42.9
2020-05-12,14,1,40.7
2020-05-13,10,7,39.2
2020-05-14,7,5,36.7
2020-05-15,8,1,36.0
2020-05-16,10,10,25.9
2020-05-17,4,3,23.8
2020-05-18,9,1,22.3
2020-05-19,11,4,21.3
2020-05-20,7,5,20.2
2020-05-21,6,3,19.8
2020-05-22,5,1,18.7
2020-05-23,8,4,18.0
2020-05-24,8,0,19.4
2020-05-25,2,3,16.9
2020-05-26,2,2,13.6
2020-05-27,5,1,12.9
2020-05-28,3,1,11.9
2020-05-29,7,1,12.6
2020-05-30,3,1,10.8
2020-05-31,2,1,8.6
2020-06-01,3,1,9.0
2020-06-02,3,1,9.4
2020-06-03,1,0,7.9
2020-06-04,4,1,8.3
2020-06-05,3,0,6.9
2020-06-06,0,3,5.8
2020-06-07,2,0,5.8
2020-06-08,2,0,5.4
2020-06-09,4,0,5.7
2020-06-10,2,0,6.2
2020-06-11,0,0,4.7
2020-06-12,0,1,3.6
2020-06-13,1,0,3.9
2020-06-14,0,0,3.2
2020-06-15,0,0,2.5
2020-06-16,0,0,1.1
2020-06-17,2,0,1.0
2020-06-18,2,0,1.8
2020-06-19,0,0,1.8
2020-06-20,1,0,1.8
2020-06-21,0,0,1.8
2020-06-22,1,0,2.2
2020-06-23,1,0,2.5
2020-06-24,0,0,1.8
2020-06-25,1,0,1.4
2020-06-26,0,0,1.4
2020-06-27,1,1,1.5
2020-06-28,1,0,1.8
2020-06-29,0,0,1.4
2020-06-30,0,1,1.1
2020-07-01,0,373,1.1
2020-07-02,0,0,0.7
2020-07-03,1,0,1.1
2020-07-04,1,0,1.0
2020-07-05,0,0,0.7
2020-07-06,1,2,1.1
2020-07-07,1,0,1.5
2020-07-08,3,0,2.5
2020-07-09,1,0,2.9
2020-07-10,1,3,2.9
2020-07-11,0,1,2.6
2020-07-12,0,2,2.6
2020-07-13,2,1,2.9
2020-07-14,0,0,2.5
2020-07-15,1,2,1.8
2020-07-16,4,0,2.9
2020-07-17,1,0,2.8
2020-07-18,0,1,2.8
2020-07-19,0,3,2.8
2020-07-20,1,1,2.5
2020-07-21,2,0,3.2
2020-07-22,1,0,3.3
2020-07-23,0,1,1.8
2020-07-24,0,1,1.5
2020-07-25,1,0,1.8
2020-07-26,0,0,1.8
2020-07-27,0,0,1.4
2020-07-28,1,2,1.1
2020-07-29,2,0,1.4
2020-07-30,0,1,1.4
2020-07-31,2,3,2.1
2020-08-01,3,0,2.9
2020-08-02,2,2,3.6
2020-08-03,3,3,4.7
2020-08-04,2,2,5.0
2020-08-05,3,0,5.4
2020-08-06,2,4,6.1
2020-08-07,6,3,7.6
2020-08-08,5,2,8.3
2020-08-09,0,4,7.6
2020-08-10,1,4,6.9
2020-08-11,1,1,6.5
2020-08-12,6,3,7.6
2020-08-13,8,0,9.8
2020-08-14,2,5,8.3
2020-08-15,1,7,6.8
2020-08-16,1,1,7.2
2020-08-17,0,2,6.8
2020-08-18,4,4,7.9
2020-08-19,5,0,7.5
2020-08-20,4,1,6.1
2020-08-21,1,4,5.7
2020-08-22,2,4,6.2
2020-08-23,5,1,7.6
2020-08-24,2,5,8.3
2020-08-25,0,1,6.9
2020-08-26,4,6,6.5
2020-08-27,2,0,5.7
2020-08-28,7,1,8.0
2020-08-29,4,0,8.6
2020-08-30,5,12,8.6
2020-08-31,3,4,9.0
2020-09-01,8,5,11.9
2020-09-02,12,4,14.8
2020-09-03,60,2,35.7
2020-09-04,34,6,45.3
2020-09-05,56,32,64.1
2020-09-06,35,51,74.9
2020-09-07,43,50,89.2
2020-09-08,47,24,103.2
2020-09-09,41,44,113.7
2020-09-10,30,32,102.9
2020-09-11,21,35,98.3
2020-09-12,22,36,86.0
2020-09-13,33,32,85.3
2020-09-14,28,21,79.9
2020-09-15,32,34,74.5
2020-09-16,53,40,78.8
2020-09-17,53,34,87.1
2020-09-18,75,54,106.5
2020-09-19,72,53,124.5
2020-09-20,84,65,142.8
2020-09-21,89,51,164.9
2020-09-22,88,85,185.0
2020-09-23,75,96,192.9
2020-09-24,136,86,222.8
2020-09-25,82,74,225.3
2020-09-26,69,74,224.2
2020-09-27,79,79,222.5
2020-09-28,114,28,231.4
2020-09-29,109,98,239.0
2020-09-30,105,80,249.8
2020-10-01,142,48,251.9
2020-10-02,135,47,271.0
2020-10-03,116,99,288.0
2020-10-04,79,347,287.9
2020-10-05,120,142,290.1
2020-10-06,151,118,305.2
2020-10-07,135,117,316.0
2020-10-08,108,130,303.8
2020-10-09,101,117,291.5
2020-10-10,87,120,281.1
2020-10-11,114,81,293.7
2020-10-12,223,136,330.7
2020-10-13,129,106,322.9
2020-10-14,130,153,321.1
2020-10-15,100,182,318.2
2020-10-16,131,168,329.0
2020-10-17,76,114,325.0
2020-10-18,98,71,319.2
2020-10-19,166,77,298.8
2020-10-20,149,163,305.9
2020-10-21,152,192,313.8
2020-10-22,130,145,324.6
2020-10-23,152,127,332.2
2020-10-24,88,125,336.5
2020-10-25,102,143,338.0
2020-10-26,153,121,333.2
2020-10-27,133,121,327.5
2020-10-28,128,135,318.9
2020-10-29,147,123,325.0
2020-10-30,141,133,321.0
2020-10-31,79,130,317.8
2020-11-01,93,118,314.5
2020-11-02,168,111,320.0
2020-11-03,198,117,343.4
2020-11-04,156,135,353.4
2020-11-05,167,195,360.6
2020-11-06,152,161,364.6
2020-11-07,129,164,382.6
2020-11-08,137,149,398.5
2020-11-09,222,147,417.9
2020-11-10,229,133,429.0
2020-11-11,173,144,435.2
2020-11-12,145,271,427.2
2020-11-13,156,185,428.7
2020-11-14,99,158,417.8
2020-11-15,96,161,403.1
2020-11-16,185,78,389.7
2020-11-17,117,123,349.5
2020-11-18,121,179,330.7
2020-11-19,111,122,318.6
2020-11-20,95,135,296.6
2020-11-21,67,108,285.1
2020-11-22,68,85,274.9
2020-11-23,92,70,241.6
2020-11-24,83,68,229.2
2020-11-25,66,77,209.5
2020-11-26,58,72,190.4
2020-11-27,54,53,175.6
2020-11-28,52,92,170.2
2020-11-29,50,48,163.8
2020-11-30,82,57,160.1
2020-12-01,54,83,149.7
2020-12-02,84,49,156.2
2020-12-03,74,67,161.9
2020-12-04,69,76,167.3
2020-12-05,41,73,163.4
2020-12-06,66,67,169.2
2020-12-07,71,57,165.2
2020-12-08,66,57,169.6
2020-12-09,54,59,158.7
2020-12-10,66,64,155.9
2020-12-11,54,55,150.5
2020-12-12,53,85,154.8
2020-12-13,53,49,150.0
2020-12-14,81,54,153.7
2020-12-15,60,39,151.5
2020-12-16,93,81,165.6
2020-12-17,51,40,160.1
2020-12-18,81,46,169.9
2020-12-19,55,44,170.6
2020-12-20,74,57,178.2
2020-12-21,91,110,181.7
2020-12-22,111,128,200.1
2020-12-23,93,79,200.1
2020-12-24,91,98,214.5
2020-12-25,29,88,195.8
2020-12-26,112,87,216.3
2020-12-27,136,36,238.6
2020-12-28,190,78,274.3
2020-12-29,283,115,336.2
2020-12-30,295,281,408.8
2020-12-31,216,245,453.9
2021-01-01,106,162,481.5
2021-01-02,211,224,517.2
2021-01-03,220,216,547.4
2021-01-04,275,268,578.0
2021-01-05,203,188,549.2
2021-01-06,166,228,502.8
2021-01-07,168,179,485.5
2021-01-08,120,167,490.6
2021-01-09,121,106,458.1
2021-01-10,151,161,433.4
2021-01-11,213,138,411.0
2021-01-12,195,198,408.1
2021-01-13,184,283,414.6
2021-01-14,156,102,410.3
2021-01-15,153,287,422.2
2021-01-16,140,142,429.0
2021-01-17,138,129,424.3
2021-01-18,169,125,408.5
2021-01-19,132,171,385.8
2021-01-20,169,151,380.5
2021-01-21,113,173,364.9
2021-01-22,118,142,352.3
2021-01-23,86,128,333.0
2021-01-24,112,107,323.6
2021-01-25,135,66,311.4
2021-01-26,126,117,309.2
2021-01-27,128,143,294.4
2021-01-28,129,147,300.2
2021-01-29,151,160,312.1
2021-01-30,121,114,324.6
2021-01-31,110,127,323.9
2021-02-01,132,121,322.8
2021-02-02,131,124,324.7
2021-02-03,127,116,324.3
2021-02-04,127,128,323.6
2021-02-05,93,135,302.6
2021-02-06,81,126,288.3
2021-02-07,86,85,279.6
2021-02-08,109,84,271.4
2021-02-09,106,110,262.3
2021-02-10,93,75,250.1
2021-02-11,77,129,232.1
2021-02-12,72,89,224.6
2021-02-13,50,63,213.4
2021-02-14,60,75,204.1
2021-02-15,98,60,200.1
2021-02-16,86,83,192.9
2021-02-17,76,92,186.8
2021-02-18,74,73,185.7
2021-02-19,55,67,179.6
2021-02-20,48,67,178.9
2021-02-21,45,31,173.5
2021-02-22,82,74,167.7
2021-02-23,43,75,152.3
2021-02-24,49,65,142.5
2021-02-25,43,42,131.4
2021-02-26,41,38,126.3
2021-02-27,22,40,117.0
2021-02-28,37,38,114.1
2021-03-01,47,32,101.5
2021-03-02,41,49,100.8
2021-03-03,28,36,93.2
2021-03-04,36,43,90.7
2021-03-05,23,19,84.3
2021-03-06,23,37,84.5
2021-03-07,19,23,78.1
2021-03-08,36,22,74.1
2021-03-09,49,26,77.0
2021-03-10,35,38,79.6
2021-03-11,31,42,77.7
2021-03-12,45,47,85.6
2021-03-13,31,33,88.6
2021-03-14,30,34,92.5
2021-03-15,34,41,91.8
2021-03-16,26,31,83.5
2021-03-17,42,25,86.0
2021-03-18,27,41,84.6
2021-03-19,30,34,79.2
2021-03-20,24,31,76.6
2021-03-21,39,28,79.9
2021-03-22,19,29,74.5
2021-03-23,24,25,73.8
2021-03-24,24,40,67.3
2021-03-25,22,70,65.5
2021-03-26,19,71,61.6
2021-03-27,33,0,64.8
2021-03-28,16,3,56.5
2021-03-29,19,41,56.5
2021-03-30,16,16,53.6
2021-03-31,12,19,49.3
2021-04-01,15,19,46.8
2021-04-02,10,14,43.5
2021-04-03,13,17,36.4
2021-04-04,7,14,33.1
2021-04-05,7,13,28.8
2021-04-06,20,3,30.2
2021-04-07,18,13,32.4
2021-04-08,20,19,34.2
2021-04-09,7,0,33.1
2021-04-10,3,10,29.5
2021-04-11,8,4,29.9
2021-04-12,8,12,30.3
2021-04-13,5,9,24.9
2021-04-14,5,9,20.2
2021-04-15,4,6,14.4
2021-04-16,5,3,13.7
2021-04-17,9,5,15.8
2021-04-18,7,6,15.4
2021-04-19,10,8,16.1
2021-04-20,5,8,16.1
2021-04-21,12,9,18.7
2021-04-22,4,13,18.7
2021-04-23,1,8,17.3
2021-04-24,5,4,15.9
2021-04-25,9,3,16.6
2021-04-26,4,9,14.4
2021-04-27,14,8,17.7
2021-04-28,8,6,16.2
2021-04-29,3,11,15.8
2021-04-30,3,9,16.5
2021-05-01,0,4,14.7
2021-05-02,2,1,12.2
2021-05-03,3,1,11.9
2021-05-04,4,3,8.3
2021-05-05,5,3,7.2
2021-05-06,0,7,6.2
2021-05-07,5,1,6.9
2021-05-08,3,3,7.9
2021-05-09,10,4,10.8
2021-05-10,9,5,13.0
2021-05-11,5,11,13.3
2021-05-12,2,8,12.2
2021-05-13,2,4,12.9
2021-05-14,2,3,11.8
2021-05-15,3,3,11.9
2021-05-16,2,3,9.0
2021-05-17,5,4,7.5
2021-05-18,6,0,7.9
2021-05-19,11,7,11.2
2021-05-20,6,8,12.6
2021-05-21,4,7,13.4
2021-05-22,5,5,14.1
2021-05-23,8,8,16.2
2021-05-24,4,4,15.9
2021-05-25,1,7,14.0
2021-05-26,4,3,11.5
2021-05-27,7,3,11.9
2021-05-28,9,4,13.6
2021-05-29,4,9,13.3
2021-05-30,9,7,13.7
2021-05-31,9,6,15.4
2021-06-01,12,9,19.5
2021-06-02,18,13,19.5
2021-06-03,25,10,30.9
2021-06-04,23,16,36.0
2021-06-05,15,31,39.9
2021-06-06,15,20,42.1
2021-06-07,31,15,50.1
2021-06-08,27,22,55.4
2021-06-09,27,35,8092.6
2021-06-10,33,20,61.6
2021-06-11,27,26,63.0
2021-06-12,25,35,66.6
2021-06-13,27,13,70.9
2021-06-14,40,32,74.1
2021-06-15,62,41,86.7
2021-06-16,62,35,99.3
2021-06-17,94,77,121.3
2021-06-18,69,60,136.4
2021-06-19,55,86,147.2
2021-06-20,69,57,162.3
2021-06-21,100,93,183.9
2021-06-22,128,65,207.7
2021-06-23,149,126,239.0
2021-06-24,143,114,256.6
2021-06-25,163,127,290.5
2021-06-26,141,144,321.4
2021-06-27,181,156,361.8
2021-06-28,260,193,419.3
2021-06-29,302,169,481.9
2021-06-30,325,281,545.3
2021-07-01,313,307,606.4
2021-07-02,266,273,643.5
2021-07-03,308,321,703.6
2021-07-04,303,283,747.5
2021-07-05,409,358,801.2
2021-07-06,415,343,841.9
2021-07-07,435,348,881.4
2021-07-08,352,368,895.5
2021-07-09,425,402,952.7
2021-07-10,320,371,957.0
2021-07-11,326,431,965.3
2021-07-12,473,372,988.3
2021-07-13,507,410,1021.4
2021-07-14,485,374,1039.4
2021-07-15,530,467,1103.5
2021-07-16,476,418,1121.8
2021-07-17,299,543,1114.3
2021-07-18,260,487,1090.5
2021-07-19,366,363,1052.0
2021-07-20,292,358,974.6
2021-07-21,210,239,875.7
2021-07-22,205,291,758.7
2021-07-23,167,228,647.5
2021-07-24,140,193,590.3
2021-07-25,142,147,547.8
2021-07-26,143,194,467.6
2021-07-27,157,121,419.0
2021-07-28,141,105,394.1
2021-07-29,113,163,361.0
2021-07-30,108,145,339.8
2021-07-31,86,126,320.3
2021-08-01,93,99,302.7
2021-08-02,99,77,286.8
2021-08-03,113,104,271.0
2021-08-04,122,118,264.2
2021-08-05,118,95,266.0
2021-08-06,105,141,264.8
2021-08-07,96,108,268.5
2021-08-08,90,80,267.4
2021-08-09,101,112,268.1
2021-08-10,100,92,263.4
2021-08-11,117,99,261.6
2021-08-12,85,114,249.7
2021-08-13,75,94,239.0
2021-08-14,70,101,229.6
2021-08-15,98,51,232.5
2021-08-16,119,96,239.0
2021-08-17,116,106,244.8
2021-08-18,117,102,244.8
2021-08-19,106,132,252.3
2021-08-20,100,98,261.3
2021-08-21,94,101,270.0
2021-08-22,120,101,277.8
2021-08-23,149,145,288.7
2021-08-24,147,100,299.8
2021-08-25,136,156,306.6
2021-08-26,141,147,319.3
2021-08-27,112,126,323.6
2021-08-28,104,152,327.1
2021-08-29,102,75,320.7
2021-08-30,163,125,325.7
2021-08-31,180,123,337.6
2021-09-01,188,128,356.3
2021-09-02,163,191,364.2
2021-09-03,152,155,378.6
2021-09-04,151,195,395.6
2021-09-05,143,118,410.3
2021-09-06,211,174,427.6
2021-09-07,185,190,429.4
2021-09-08,143,161,413.2
2021-09-09,143,167,406.0
2021-09-10,102,176,388.0
2021-09-11,97,146,368.5
2021-09-12,94,81,350.9
2021-09-13,123,105,319.2
2021-09-14,92,130,285.7
2021-09-15,135,99,282.9
2021-09-16,127,109,277.1
2021-09-17,114,133,281.4
2021-09-18,113,125,287.2
2021-09-19,130,86,300.2
2021-09-20,169,160,316.7
2021-09-21,155,139,339.4
2021-09-22,146,125,343.4
2021-09-23,166,164,357.4
2021-09-24,140,164,366.8
2021-09-25,128,75,372.2
2021-09-26,87,146,356.7
2021-09-27,169,139,356.7
2021-09-28,143,169,352.4
2021-09-29,137,133,349.1
2021-09-30,96,167,323.9
2021-10-01,103,102,310.6
2021-10-02,88,99,296.2
2021-10-03,116,105,306.6
2021-10-04,181,122,311.0
2021-10-05,149,142,313.1
2021-10-06,177,165,327.5
2021-10-07,127,173,338.7
2021-10-08,147,135,354.5
2021-10-09,103,157,359.9
2021-10-10,148,127,371.5
2021-10-11,191,97,375.0
2021-10-12,167,180,381.5
2021-10-13,170,131,379.0
2021-10-14,179,214,397.7
2021-10-15,153,146,399.9
2021-10-16,124,190,407.4
2021-10-17,181,131,419.2
2021-10-18,228,133,432.6
2021-10-19,179,215,436.9
2021-10-20,180,143,440.5
2021-10-21,153,200,431.2
2021-10-22,162,196,434.4
2021-10-23,127,189,435.5
2021-10-24,142,152,421.5
2021-10-25,191,153,408.1
2021-10-26,191,133,412.5
2021-10-27,175,192,410.7
2021-10-28,203,177,428.6
2021-10-29,198,170,441.6
2021-10-30,161,246,453.8
2021-10-31,168,158,463.2
2021-11-01,184,189,460.7
2021-11-02,171,156,453.5
2021-11-03,146,138,443.0
2021-11-04,128,146,416.1
2021-11-05,128,155,390.9
2021-11-06,136,137,381.9
2021-11-07,115,107,362.8
2021-11-08,176,110,359.9
2021-11-09,146,160,350.9
2021-11-10,131,156,345.5
2021-11-11,125,126,344.4
2021-11-12,123,145,342.6
2021-11-13,98,120,329.0
2021-11-14,114,135,328.6
2021-11-15,158,107,322.2
2021-11-16,173,110,331.8
2021-11-17,166,132,344.5
2021-11-18,141,174,350.2
2021-11-19,142,137,357.0
2021-11-20,112,130,362.0
2021-11-21,144,138,372.9
2021-11-22,196,165,386.5
2021-11-23,148,254,377.6
2021-11-24,174,161,380.4
2021-11-25,171,102,391.2
2021-11-26,127,211,385.9
2021-11-27,62,96,367.9
2021-11-28,149,137,369.6
2021-11-29,141,133,349.8
2021-11-30,167,146,356.7
2021-12-01,144,159,345.9
2021-12-02,143,111,335.8
2021-12-03,131,158,337.2
2021-12-04,103,136,352.0
2021-12-05,93,137,331.8
2021-12-06,149,87,334.8
2021-12-07,109,130,313.8
2021-12-08,117,99,304.1
2021-12-09,130,122,299.5
2021-12-10,94,138,286.1
2021-12-11,93,135,282.5
2021-12-12,95,102,283.3
2021-12-13,151,92,283.9
2021-12-14,176,106,308.1
2021-12-15,165,132,325.4
2021-12-16,180,134,343.3
2021-12-17,149,242,363.2
2021-12-18,147,145,382.6
2021-12-19,167,129,408.5
2021-12-20,202,173,426.9
2021-12-21,232,205,447.0
2021-12-22,333,160,507.4
2021-12-23,364,277,573.7
2021-12-24,361,225,650.0
2021-12-25,206,312,671.2
2021-12-26,371,352,744.6
2021-12-27,522,313,859.8
2021-12-28,681,440,1021.4
2021-12-29,917,517,1231.7
2021-12-30,846,592,1405.1
2021-12-31,867,621,1587.2
2022-01-01,516,1094,1698.8
2022-01-02,875,692,1880.2
2022-01-03,1312,708,2164.5
2022-01-04,1488,1206,2455.0
2022-01-05,1433,1105,2640.6
2022-01-06,1111,1081,2736.1
2022-01-07,910,1218,2751.5
2022-01-08,600,756,2781.8
2022-01-09,641,1030,2697.6
2022-01-10,833,866,2525.2
2022-01-11,798,888,2276.8
2022-01-12,638,1283,1990.7
2022-01-13,577,897,1798.5
2022-01-14,476,653,1642.3
2022-01-15,442,545,1585.4
2022-01-16,510,471,1538.2
2022-01-17,744,479,1506.2
2022-01-18,587,613,1430.3
2022-01-19,531,691,1391.8
2022-01-20,426,505,1337.4
2022-01-21,398,471,1309.3
2022-01-22,310,435,1261.8
2022-01-23,371,368,1211.8
2022-01-24,426,372,1097.4
2022-01-25,385,383,1024.6
2022-01-26,382,423,971.0
2022-01-27,209,365,892.9
2022-01-28,0,361,892.9
2020-03-07,1,0,-27205.3
2020-03-08,0,0,-27338.8
2020-03-09,0,0,-27492.2
2020-03-10,0,0,-27630.7
2020-03-11,0,0,-27768.2
2020-03-12,0,0,-27843.4
2020-03-13,0,0,0.4
2020-03-14,0,0,0.0
2020-03-15,2,0,0.7
2020-03-16,2,0,1.4
2020-03-17,0,0,1.4
2020-03-18,1,0,1.8
2020-03-19,3,0,2.8
2020-03-20,3,0,3.9
2020-03-21,5,0,5.7
2020-03-22,2,0,5.7
2020-03-23,5,0,6.8
2020-03-24,18,0,13.3
2020-03-25,10,0,16.5
2020-03-26,11,0,19.5
2020-03-27,9,0,21.6
2020-03-28,4,0,21.3
2020-03-29,11,0,24.5
2020-03-30,30,0,33.5
2020-03-31,47,0,43.9
2020-04-01,43,0,55.8
2020-04-02,37,0,65.1
2020-04-03,48,0,79.2
2020-04-04,46,0,94.3
2020-04-05,49,0,108.0
2020-04-06,60,0,118.8
2020-04-07,47,0,118.8
2020-04-08,51,0,121.7
2020-04-09,48,0,125.6
2020-04-10,38,0,122.0
2020-04-11,46,0,122.0
2020-04-12,29,0,114.8
2020-04-13,34,0,105.4
2020-04-14,31,0,99.7
