date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-02-01,0,0,0
2020-02-02,0,0,0
2020-02-03,0,0,0
2020-02-04,0,0,0
2020-02-05,0,0,0
2020-02-06,0,0,0
2020-02-07,0,0,0
2020-02-08,0,0,0
2020-02-09,0,0,0
2020-02-10,0,0,0
2020-02-11,0,0,0
2020-02-12,0,0,0
2020-02-13,0,0,0
2020-02-14,0,0,0
2020-02-15,0,0,0
2020-02-16,0,0,0
2020-02-17,0,0,0
2020-02-18,0,0,0
2020-02-19,0,0,0
2020-02-20,0,0,0
2020-02-21,0,0,0
2020-02-22,0,0,0
2020-02-23,0,0,0
2020-02-24,0,0,0
2020-02-25,0,0,0
2020-02-26,0,0,0
2020-02-27,0,0,0
2020-02-28,1,0,0.7
2020-02-29,0,0,0.7
2020-03-01,0,0,0.7
2020-03-02,0,0,0.7
2020-03-03,0,0,0.7
2020-03-04,0,0,0.7
2020-03-05,0,0,0.7
2020-03-06,0,0,0.0
2020-03-07,0,0,0.0
2020-03-08,0,0,0.0
2020-03-09,0,0,0.0
2020-03-10,0,0,0.0
2020-03-11,0,0,0.0
2020-03-12,1,0,0.6
2020-03-13,1,0,1.3
2020-03-14,0,0,1.3
2020-03-15,1,0,2.0
2020-03-16,1,0,2.6
2020-03-17,2,0,4.0
2020-03-18,2,0,5.3
2020-03-19,1,0,5.4
2020-03-20,2,0,6
2020-03-21,0,0,6
2020-03-22,3,0,7.3
2020-03-23,0,0,6.7
2020-03-24,2,0,6.6
2020-03-25,5,0,8.7
2020-03-26,5,0,11.3
2020-03-27,7,0,14.7
2020-03-28,5,0,18
2020-03-29,4,0,18.7
2020-03-30,7,0,23.3
2020-03-31,7,0,26.7
2020-04-01,5,0,26.6
2020-04-02,8,0,28.6
2020-04-03,8,0,29.3
2020-04-04,4,0,28.6
2020-04-05,5,0,29.3
2020-04-06,10,0,31.3
2020-04-07,14,0,36
2020-04-08,7,0,37.3
2020-04-09,4,0,34.7
2020-04-10,17,0,40.6
2020-04-11,6,0,42.0
2020-04-12,4,0,41.3
2020-04-13,6,0,38.7
2020-04-14,4,0,31.9
2020-04-15,13,0,36.0
2020-04-16,16,0,44.0
2020-04-17,15,0,42.7
2020-04-18,4,0,41.3
2020-04-19,3,0,40.6
2020-04-20,7,0,41.3
2020-04-21,7,0,43.4
2020-04-22,3,5,36.7
2020-04-23,10,10,32.6
2020-04-24,6,7,26.6
2020-04-25,4,7,26.7
2020-04-26,4,6,27.3
2020-04-27,6,3,26.6
2020-04-28,9,2,27.9
2020-04-29,9,0,31.9
2020-04-30,8,1,30.7
2020-05-01,8,4,32.0
2020-05-02,8,4,34.6
2020-05-03,7,3,36.7
2020-05-04,5,8,36.0
2020-05-05,7,4,34.7
2020-05-06,3,18,30.7
2020-05-07,7,5,29.9
2020-05-08,5,4,28.0
2020-05-09,2,0,24.0
2020-05-10,6,2,23.3
2020-05-11,12,3,28.0
2020-05-12,7,3,28.0
2020-05-13,13,0,34.6
2020-05-14,5,4,33.4
2020-05-15,5,5,33.3
2020-05-16,1,3,32.7
2020-05-17,7,3,33.3
2020-05-18,4,1,28.0
2020-05-19,5,2,26.6
2020-05-20,3,8,20.0
2020-05-21,1,4,17.3
2020-05-22,0,0,14.0
2020-05-23,1,1,14.0
2020-05-24,1,1,10.0
2020-05-25,1,1,8.0
2020-05-26,1,0,5.4
2020-05-27,1,1,4.0
2020-05-28,4,0,6.0
2020-05-29,2,1,7.3
2020-05-30,3,0,8.6
2020-05-31,1,2,8.7
2020-06-01,2,2,9.3
2020-06-02,3,1,10.6
2020-06-03,9,2,16.0
2020-06-04,10,0,20.0
2020-06-05,3,0,20.7
2020-06-06,11,6,26.0
2020-06-07,2,9,26.6
2020-06-08,9,0,31.3
2020-06-09,7,6,34.0
2020-06-10,7,2,32.7
2020-06-11,1,6,26.6
2020-06-12,3,1,26.6
2020-06-13,2,0,20.7
2020-06-14,1,0,20.0
2020-06-15,3,3,16.0
2020-06-16,1,0,12.0
2020-06-17,2,0,8.6
2020-06-18,0,0,8.0
2020-06-19,0,0,6.0
2020-06-20,4,0,7.3
2020-06-21,4,1,9.4
2020-06-22,2,0,8.7
