date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-02-01,0,0,0
2020-02-02,0,0,0
2020-02-03,0,0,0
2020-02-04,0,0,0
2020-02-05,0,0,0
2020-02-06,0,0,0
2020-02-07,0,0,0
2020-02-08,0,0,0
2020-02-09,0,0,0
2020-02-10,0,0,0
2020-02-11,0,0,0
2020-02-12,0,0,0
2020-02-13,0,0,0
2020-02-14,0,0,0
2020-02-15,0,0,0
2020-02-16,0,0,0
2020-02-17,0,0,0
2020-02-18,0,0,0
2020-02-19,0,0,0
2020-02-20,0,0,0
2020-02-21,0,0,0
2020-02-22,0,0,0
2020-02-23,0,0,0
2020-02-24,0,0,0
2020-02-25,0,0,0
2020-02-26,0,0,0
2020-02-27,0,0,0
2020-02-28,0,0,0
2020-02-29,0,0,0
2020-03-01,0,0,0
2020-03-02,0,0,0
2020-03-03,0,0,0
2020-03-04,0,0,0
2020-03-05,0,0,0
2020-03-06,1,0,0.4
2020-03-07,0,0,0.4
2020-03-08,0,0,0.4
2020-03-09,0,0,0.4
2020-03-10,1,0,0.9
2020-03-11,1,0,1.3
2020-03-12,4,0,3.1
2020-03-13,2,0,3.6
2020-03-14,2,0,4.5
2020-03-15,3,0,5.8
2020-03-16,2,0,6.7
2020-03-17,3,0,7.5
2020-03-18,3,0,8.4
2020-03-19,4,0,8.4
2020-03-20,2,0,8.4
2020-03-21,8,0,11.0
2020-03-22,4,0,11.5
2020-03-23,3,0,11.9
2020-03-24,5,0,12.8
2020-03-25,4,0,13.3
2020-03-26,8,0,15.0
2020-03-27,8,0,17.6
2020-03-28,7,0,17.2
2020-03-29,13,0,21.2
2020-03-30,10,0,24.3
2020-03-31,18,0,30.0
2020-04-01,15,0,34.8
2020-04-02,19,0,39.7
2020-04-03,13,0,42
2020-04-04,15,0,45.5
2020-04-05,14,0,45.9
2020-04-06,28,0,53.8
2020-04-07,10,0,50.3
2020-04-08,27,0,55.7
2020-04-09,14,0,53.5
2020-04-10,10,0,52.1
2020-04-11,8,0,49.0
2020-04-12,18,0,50.7
2020-04-13,20,0,47.3
2020-04-14,15,0,49.5
2020-04-15,17,0,45.0
2020-04-16,21,0,48.1
2020-04-17,12,18,49.0
2020-04-18,28,11,57.8
2020-04-19,13,16,55.7
2020-04-20,14,10,53.0
2020-04-21,14,8,52.5
2020-04-22,18,6,53.0
2020-04-23,15,5,50.3
2020-04-24,19,13,53.4
2020-04-25,12,10,46.4
2020-04-26,16,5,47.7
2020-04-27,17,8,49.0
2020-04-28,8,10,46.4
2020-04-29,25,4,49.4
2020-04-30,20,7,51.7
2020-05-01,28,2,55.6
2020-05-02,10,12,54.7
2020-05-03,30,9,60.9
2020-05-04,9,6,57.4
2020-05-05,18,9,61.8
2020-05-06,14,15,57.0
2020-05-07,15,9,54.7
2020-05-08,16,15,49.5
2020-05-09,14,3,51.3
2020-05-10,16,4,45.0
2020-05-11,34,14,56.0
2020-05-12,20,1,57.0
2020-05-13,25,8,61.8
2020-05-14,48,22,76.4
2020-05-15,17,10,76.8
2020-05-16,14,17,76.8
2020-05-17,14,10,76.0
2020-05-18,20,10,69.8
2020-05-19,52,6,83.9
2020-05-20,27,9,84.8
2020-05-21,27,11,75.5
2020-05-22,22,5,77.7
2020-05-23,17,16,79.0
2020-05-24,12,9,78.1
2020-05-25,13,13,75.1
2020-05-26,14,5,58.2
2020-05-27,17,8,53.8
2020-05-28,7,4,45.0
2020-05-29,7,2,38.4
2020-05-30,12,10,36.2
2020-05-31,14,6,37.1
2020-06-01,16,4,38.4
2020-06-02,15,5,38.9
2020-06-03,14,5,37.6
2020-06-04,11,6,39.3
2020-06-05,12,10,41.5
2020-06-06,6,1,38.9
2020-06-07,6,15,35.3
2020-06-08,9,1,32.2
2020-06-09,12,7,30.9
2020-06-10,13,5,30.4
2020-06-11,8,0,29.2
2020-06-12,13,10,29.6
2020-06-13,7,12,30.0
2020-06-14,10,13,31.8
2020-06-15,12,8,33.1
2020-06-16,16,1,34.9
2020-06-17,14,3,35.4
2020-06-18,10,8,36.2
2020-06-19,11,2,35.3
2020-06-20,10,10,36.6
2020-06-21,3,3,33.6
2020-06-22,12,4,33.6
