date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-18,1,0,0.0
2020-03-19,4,0,5.2
2020-03-20,4,0,10.4
2020-03-21,2,0,13.0
2020-03-22,3,0,17.0
2020-03-23,3,0,20.9
2020-03-24,2,0,23.5
2020-03-25,10,0,36.5
2020-03-26,3,0,35.2
2020-03-27,2,0,32.6
2020-03-28,1,0,31.3
2020-03-29,10,0,40.4
2020-03-30,3,0,40.4
2020-03-31,3,0,41.7
2020-04-01,6,0,36.5
2020-04-02,11,0,47.0
2020-04-03,6,0,52.2
2020-04-04,4,0,56.1
2020-04-05,4,0,48.2
2020-04-06,10,0,57.4
2020-04-07,4,0,58.7
2020-04-08,4,0,56.1
2020-04-09,2,0,44.3
2020-04-10,4,0,41.7
2020-04-11,5,0,43.0
2020-04-12,1,0,39.1
2020-04-13,2,0,28.6
2020-04-14,9,0,35.2
2020-04-15,4,0,35.2
2020-04-16,7,0,41.7
2020-04-17,1,0,37.8
2020-04-18,3,0,35.2
2020-04-19,2,0,36.5
2020-04-20,5,0,40.5
2020-04-21,2,0,31.3
2020-04-22,4,2,31.3
2020-04-23,2,4,24.8
2020-04-24,6,1,31.3
2020-04-25,3,4,31.3
2020-04-26,2,0,31.3
2020-04-27,2,1,27.3
2020-04-28,4,1,30.0
2020-04-29,6,0,32.6
2020-04-30,2,1,32.6
2020-05-01,7,1,33.9
2020-05-02,1,3,31.3
2020-05-03,4,3,33.9
2020-05-04,2,0,33.9
2020-05-05,2,1,31.2
2020-05-06,7,1,32.6
2020-05-07,5,1,36.5
2020-05-08,4,1,32.6
2020-05-09,2,0,33.9
2020-05-10,1,1,30.0
2020-05-11,2,0,30.0
2020-05-12,8,0,37.9
2020-05-13,5,0,35.2
2020-05-14,11,1,43.0
2020-05-15,3,3,41.7
2020-05-16,9,1,50.9
2020-05-17,3,1,53.5
2020-05-18,3,2,54.8
2020-05-19,3,2,48.2
2020-05-20,6,0,49.5
2020-05-21,6,0,43.0
2020-05-22,3,3,43.1
