date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-06,1,0,0.0
2020-03-07,0,0,0.0
2020-03-08,0,0,0.0
2020-03-09,0,0,0.0
2020-03-10,0,0,0.0
2020-03-11,0,0,0.0
2020-03-12,0,0,0.0
2020-03-13,0,0,0.0
2020-03-14,1,0,1.2
2020-03-15,1,0,2.3
2020-03-16,0,0,2.3
2020-03-17,0,0,2.3
2020-03-18,1,0,3.4
2020-03-19,0,0,3.4
2020-03-20,4,0,8.0
2020-03-21,2,0,9.0
2020-03-22,4,0,12.5
2020-03-23,1,0,13.6
2020-03-24,4,0,18.2
2020-03-25,5,0,22.7
2020-03-26,6,0,29.5
2020-03-27,2,0,27.2
2020-03-28,2,0,27.3
2020-03-29,1,0,23.8
2020-03-30,3,0,26.1
2020-03-31,8,0,30.6
2020-04-01,4,0,29.5
2020-04-02,5,0,28.4
2020-04-03,9,0,36.3
2020-04-04,9,0,44.2
2020-04-05,3,0,46.5
2020-04-06,3,0,46.5
2020-04-07,9,0,47.7
2020-04-08,11,0,55.6
2020-04-09,10,0,61.3
2020-04-10,5,0,56.8
2020-04-11,4,0,51.1
2020-04-12,1,0,48.8
2020-04-13,7,0,53.4
2020-04-14,6,0,49.9
2020-04-15,12,0,51.1
2020-04-16,5,0,45.4
2020-04-17,3,0,43.1
2020-04-18,13,0,53.3
2020-04-19,9,0,62.4
2020-04-20,5,0,60.1
2020-04-21,3,0,56.7
2020-04-22,4,0,47.7
2020-04-23,6,4,48.8
2020-04-24,4,3,49.9
2020-04-25,6,2,42.0
2020-04-26,3,3,35.2
2020-04-27,7,2,37.5
2020-04-28,3,1,37.5
2020-04-29,4,11,37.4
2020-04-30,7,1,38.5
2020-05-01,4,2,38.6
2020-05-02,10,4,43.1
2020-05-03,6,4,46.5
2020-05-04,5,1,44.2
2020-05-05,2,0,43.1
2020-05-06,3,5,42.0
2020-05-07,3,3,37.5
2020-05-08,1,1,34.0
2020-05-09,3,0,26.1
2020-05-10,0,1,19.3
2020-05-11,8,0,22.7
2020-05-12,3,0,23.8
2020-05-13,1,0,21.5
2020-05-14,3,1,21.5
2020-05-15,3,2,23.9
2020-05-16,3,0,23.9
2020-05-17,1,0,25.0
2020-05-18,1,1,17.0
2020-05-19,3,1,17.0
2020-05-20,0,0,15.9
2020-05-21,1,0,13.7
2020-05-22,0,0,10.2
2020-05-23,0,2,6.8
2020-05-24,0,0,5.7
2020-05-25,1,0,5.7
2020-05-26,0,0,2.3
2020-05-27,2,0,4.6
2020-05-28,0,0,3.4
2020-05-29,0,0,3.4
2020-05-30,1,2,4.5
2020-05-31,1,0,5.6
2020-06-01,4,0,9.1
2020-06-02,0,0,9.1
2020-06-03,0,1,6.8
2020-06-04,1,1,7.9
2020-06-05,0,0,7.9
2020-06-06,0,0,6.8
2020-06-07,0,1,5.7
2020-06-08,2,0,3.4
2020-06-09,2,0,5.6
2020-06-10,0,0,5.6
2020-06-11,1,1,5.7
2020-06-12,0,1,5.7
2020-06-13,2,0,8.0
2020-06-14,2,1,10.2
2020-06-15,1,0,9.1
2020-06-16,0,0,6.9
2020-06-17,0,2,6.9
2020-06-18,0,6,5.7
2020-06-19,0,0,5.7
2020-06-20,0,0,3.4
2020-06-21,1,0,2.3
2020-06-22,0,0,1.1
2020-06-23,1,0,2.2
2020-06-24,0,0,2.2
2020-06-25,0,0,2.2
2020-06-26,0,0,2.2
2020-06-27,0,1,2.2
2020-06-28,0,0,1.1
2020-06-29,1,0,2.3
2020-06-30,1,0,2.3
2020-07-01,0,100,2.3
2020-07-02,3,0,5.7
2020-07-03,0,0,5.7
2020-07-04,0,2,5.7
2020-07-05,3,0,9.1
2020-07-06,0,1,7.9
2020-07-07,0,2,6.8
2020-07-08,1,0,7.9
2020-07-09,1,2,5.7
2020-07-10,0,0,5.7
2020-07-11,0,1,5.7
2020-07-12,0,1,2.3
2020-07-13,1,0,3.4
2020-07-14,0,0,3.4
2020-07-15,0,0,2.3
2020-07-16,0,0,1.1
2020-07-17,0,0,1.1
2020-07-18,0,1,1.1
2020-07-19,0,0,1.1
2020-07-20,0,0,0.0
2020-07-21,1,0,1.1
2020-07-22,2,0,3.4
2020-07-23,1,0,4.5
2020-07-24,2,1,6.8
2020-07-25,0,2,6.8
2020-07-26,2,1,9.1
2020-07-27,0,0,9.1
2020-07-28,3,2,11.4
2020-07-29,0,2,9.1
2020-07-30,0,0,8.0
2020-07-31,0,1,5.7
2020-08-01,0,2,5.7
2020-08-02,0,0,3.4
2020-08-03,0,0,3.4
2020-08-04,3,0,3.4
2020-08-05,0,1,3.4
2020-08-06,0,0,3.4
2020-08-07,0,0,3.4
2020-08-08,0,0,3.4
2020-08-09,0,2,3.4
2020-08-10,0,0,3.4
2020-08-11,0,0,0.0
2020-08-12,0,0,0.0
2020-08-13,1,0,1.1
2020-08-14,0,0,1.1
2020-08-15,0,1,1.1
2020-08-16,0,0,1.1
2020-08-17,0,0,1.1
2020-08-18,2,0,3.4
2020-08-19,0,0,3.4
2020-08-20,2,1,4.6
2020-08-21,1,1,5.7
2020-08-22,0,1,5.7
2020-08-23,0,1,5.7
2020-08-24,1,1,6.8
2020-08-25,0,0,4.5
2020-08-26,2,1,6.8
2020-08-27,1,0,5.6
2020-08-28,2,0,6.8
2020-08-29,0,1,6.8
2020-08-30,2,2,9.1
2020-08-31,2,0,10.2
2020-09-01,2,3,12.5
2020-09-02,1,3,11.4
2020-09-03,2,1,12.5
2020-09-04,1,1,11.4
2020-09-05,0,1,11.4
2020-09-06,2,0,11.3
2020-09-07,4,2,13.7
2020-09-08,6,3,18.2
2020-09-09,1,2,18.1
2020-09-10,1,2,17.0
2020-09-11,1,1,17.0
2020-09-12,5,5,22.7
2020-09-13,0,2,20.5
2020-09-14,1,3,17.0
2020-09-15,1,1,11.3
2020-09-16,4,3,14.8
2020-09-17,0,3,13.7
2020-09-18,1,1,13.6
2020-09-19,5,5,13.6
2020-09-20,1,0,14.7
2020-09-21,2,1,15.9
2020-09-22,2,1,17.0
2020-09-23,1,1,13.6
2020-09-24,4,6,18.1
2020-09-25,5,2,22.7
2020-09-26,3,1,20.4
2020-09-27,2,8,21.6
2020-09-28,4,0,23.8
2020-09-29,3,3,25.0
2020-09-30,7,3,31.7
2020-10-01,7,5,35.2
2020-10-02,7,1,37.4
2020-10-03,4,5,38.6
2020-10-04,2,15,38.5
2020-10-05,6,13,40.8
2020-10-06,1,6,38.6
2020-10-07,7,7,38.6
2020-10-08,4,5,35.2
2020-10-09,6,4,34.1
2020-10-10,3,10,32.9
2020-10-11,6,3,37.5
2020-10-12,4,4,35.2
2020-10-13,8,7,43.1
2020-10-14,12,11,48.8
2020-10-15,9,7,54.4
2020-10-16,8,12,56.7
2020-10-17,8,6,62.4
2020-10-18,7,10,63.5
2020-10-19,12,8,72.6
2020-10-20,19,9,85.1
2020-10-21,9,20,81.7
2020-10-22,11,16,84.0
2020-10-23,12,11,88.5
2020-10-24,8,11,88.5
2020-10-25,11,6,93.1
2020-10-26,13,15,94.2
2020-10-27,16,12,90.8
2020-10-28,22,12,105.5
2020-10-29,12,9,106.7
2020-10-30,19,23,114.6
2020-10-31,7,10,113.5
2020-11-01,8,14,110.0
2020-11-02,17,10,114.6
2020-11-03,17,6,115.7
2020-11-04,17,16,110.1
2020-11-05,15,13,113.4
2020-11-06,23,12,118.0
2020-11-07,18,21,130.5
2020-11-08,19,18,143.0
2020-11-09,33,18,161.2
2020-11-10,29,16,174.8
2020-11-11,16,30,173.6
2020-11-12,13,37,171.4
2020-11-13,21,26,169.1
2020-11-14,11,12,161.1
2020-11-15,25,9,167.9
2020-11-16,27,0,161.1
2020-11-17,24,24,155.4
2020-11-18,13,19,152.1
2020-11-19,7,18,145.2
2020-11-20,13,11,136.2
2020-11-21,9,15,133.9
2020-11-22,8,16,114.7
2020-11-23,13,14,98.7
2020-11-24,14,3,87.4
2020-11-25,8,22,81.7
2020-11-26,7,10,81.7
2020-11-27,22,10,91.9
2020-11-28,11,6,94.2
2020-11-29,6,14,91.9
2020-11-30,29,10,110.1
2020-12-01,21,15,118.0
2020-12-02,19,29,130.5
2020-12-03,22,13,147.5
2020-12-04,32,19,158.8
2020-12-05,15,26,163.4
2020-12-06,23,26,182.7
2020-12-07,32,18,186.1
2020-12-08,23,17,188.4
2020-12-09,37,30,208.7
2020-12-10,29,21,216.8
2020-12-11,45,47,231.5
2020-12-12,37,41,256.4
2020-12-13,38,30,273.4
2020-12-14,72,38,318.8
2020-12-15,71,30,373.3
2020-12-16,67,59,407.4
2020-12-17,61,54,443.6
2020-12-18,77,50,480.0
2020-12-19,49,64,493.6
2020-12-20,75,66,535.6
2020-12-21,123,65,593.5
2020-12-22,131,58,661.5
2020-12-23,78,59,674.0
2020-12-24,79,86,694.5
2020-12-25,21,109,630.9
2020-12-26,101,87,689.9
2020-12-27,101,51,719.4
2020-12-28,90,81,681.9
2020-12-29,154,94,708.1
2020-12-30,135,105,772.7
2020-12-31,119,91,818.1
2021-01-01,86,123,891.9
2021-01-02,117,110,910.0
2021-01-03,118,113,929.3
2021-01-04,116,112,958.8
2021-01-05,135,153,937.2
2021-01-06,87,135,882.8
2021-01-07,93,120,853.3
2021-01-08,77,102,843.0
2021-01-09,55,111,772.7
2021-01-10,59,109,705.8
2021-01-11,84,40,669.5
2021-01-12,72,98,598.0
2021-01-13,76,83,585.5
2021-01-14,69,66,558.2
2021-01-15,65,85,544.7
2021-01-16,40,50,527.7
2021-01-17,42,61,508.3
2021-01-18,57,60,477.7
2021-01-19,60,57,464.1
2021-01-20,45,34,429.0
2021-01-21,51,71,408.5
2021-01-22,46,71,386.9
2021-01-23,34,46,380.1
2021-01-24,27,52,363.1
2021-01-25,48,24,352.9
2021-01-26,42,39,332.5
2021-01-27,35,37,321.1
2021-01-28,45,36,314.3
2021-01-29,26,48,291.6
2021-01-30,20,36,275.7
2021-01-31,11,27,257.6
2021-02-01,24,19,230.4
2021-02-02,22,19,207.6
2021-02-03,19,19,189.5
2021-02-04,16,26,156.6
2021-02-05,29,12,160.0
2021-02-06,14,16,153.2
2021-02-07,10,28,152.1
2021-02-08,14,19,140.7
2021-02-09,11,12,128.2
2021-02-10,13,10,121.4
2021-02-11,6,9,110.1
2021-02-12,19,16,98.8
2021-02-13,7,7,90.8
2021-02-14,2,10,81.7
2021-02-15,13,18,80.5
2021-02-16,9,2,78.3
2021-02-17,7,10,71.5
2021-02-18,11,8,77.2
2021-02-19,2,9,57.8
2021-02-20,9,8,60.1
2021-02-21,2,5,60.1
2021-02-22,3,4,48.8
2021-02-23,8,8,47.7
2021-02-24,5,1,45.4
2021-02-25,7,8,40.8
2021-02-26,5,4,44.3
2021-02-27,7,10,42.0
2021-02-28,2,2,42.0
2021-03-01,3,9,42.0
2021-03-02,3,65,36.3
2021-03-03,8,3,39.7
2021-03-04,6,3,38.6
2021-03-05,2,9,35.2
2021-03-06,2,3,29.5
2021-03-07,2,5,29.5
2021-03-08,9,2,36.3
2021-03-09,5,2,38.6
2021-03-10,3,7,32.9
2021-03-11,3,5,29.5
2021-03-12,4,2,31.7
