date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-13,2,0,0.0
2020-03-14,2,0,2.1
2020-03-15,0,0,2.1
2020-03-16,1,0,3.2
2020-03-17,0,0,3.2
2020-03-18,0,0,3.2
2020-03-19,0,0,3.2
2020-03-20,1,0,4.3
2020-03-21,3,0,5.4
2020-03-22,0,0,5.4
2020-03-23,4,0,8.6
2020-03-24,2,0,10.8
2020-03-25,5,0,16.2
2020-03-26,1,0,17.2
2020-03-27,5,0,21.5
2020-03-28,4,0,22.6
2020-03-29,2,0,24.8
2020-03-30,3,0,23.7
2020-03-31,5,0,26.9
2020-04-01,3,0,24.8
2020-04-02,4,0,28.1
2020-04-03,3,0,25.9
2020-04-04,4,0,25.9
2020-04-05,2,0,25.9
2020-04-06,6,0,29.1
2020-04-07,3,0,27.0
2020-04-08,8,0,32.3
2020-04-09,4,0,32.3
2020-04-10,2,0,31.3
2020-04-11,3,0,30.2
2020-04-12,3,0,31.2
2020-04-13,2,0,27.0
2020-04-14,3,0,26.9
2020-04-15,6,0,24.8
2020-04-16,3,0,23.7
2020-04-17,2,0,23.7
2020-04-18,4,0,24.8
2020-04-19,8,0,30.2
2020-04-20,5,0,33.4
2020-04-21,4,0,34.5
2020-04-22,6,2,34.5
2020-04-23,7,2,38.8
2020-04-24,7,2,44.2
2020-04-25,2,2,42.0
2020-04-26,7,2,41.0
2020-04-27,10,4,46.4
2020-04-28,12,1,55.0
2020-04-29,5,0,53.9
2020-04-30,5,2,51.8
2020-05-01,16,9,61.4
2020-05-02,2,3,61.5
2020-05-03,4,0,58.2
2020-05-04,2,0,49.6
2020-05-05,27,2,65.8
2020-05-06,3,2,63.6
2020-05-07,4,3,62.5
2020-05-08,4,6,49.6
2020-05-09,1,4,48.5
2020-05-10,4,0,48.5
2020-05-11,2,0,48.5
2020-05-12,5,1,24.8
2020-05-13,0,0,21.6
2020-05-14,3,1,20.5
2020-05-15,2,0,18.4
2020-05-16,0,0,17.3
2020-05-17,0,2,13.0
2020-05-18,0,1,10.8
2020-05-19,0,0,5.4
2020-05-20,1,0,6.4
2020-05-21,1,0,4.3
2020-05-22,0,0,2.1
2020-05-23,0,1,2.1
2020-05-24,0,1,2.1
2020-05-25,0,0,2.1
2020-05-26,0,0,2.1
2020-05-27,2,0,3.3
2020-05-28,0,0,2.2
2020-05-29,0,0,2.2
2020-05-30,2,0,4.3
2020-05-31,0,0,4.3
2020-06-01,2,0,6.5
2020-06-02,1,0,7.6
2020-06-03,1,1,6.4
2020-06-04,0,1,6.4
2020-06-05,0,0,6.4
2020-06-06,0,0,4.3
2020-06-07,0,0,4.3
2020-06-08,1,0,3.2
2020-06-09,0,0,2.1
2020-06-10,0,0,1.1
2020-06-11,1,0,2.2
2020-06-12,0,0,2.2
2020-06-13,1,0,3.3
2020-06-14,0,0,3.3
2020-06-15,0,0,2.2
2020-06-16,0,0,2.2
2020-06-17,0,0,2.2
2020-06-18,0,0,1.1
2020-06-19,0,0,1.1
2020-06-20,0,0,0.0
2020-06-21,0,0,0.0
2020-06-22,0,0,0.0
2020-06-23,0,0,0.0
2020-06-24,0,0,0.0
2020-06-25,0,0,0.0
2020-06-26,0,0,0.0
2020-06-27,0,0,0.0
2020-06-28,0,0,0.0
2020-06-29,0,0,0.0
2020-06-30,0,0,0.0
2020-07-01,0,121,0.0
2020-07-02,0,0,0.0
2020-07-03,0,0,0.0
2020-07-04,0,0,0.0
2020-07-05,0,0,0.0
2020-07-06,0,0,0.0
2020-07-07,0,0,0.0
2020-07-08,0,0,0.0
2020-07-09,0,0,0.0
2020-07-10,0,0,0.0
2020-07-11,0,0,0.0
2020-07-12,0,0,0.0
2020-07-13,2,0,2.1
2020-07-14,0,0,2.1
2020-07-15,0,0,2.1
2020-07-16,1,0,3.2
2020-07-17,2,2,5.4
2020-07-18,1,0,6.4
2020-07-19,1,2,7.5
2020-07-20,0,0,5.4
2020-07-21,3,2,8.6
2020-07-22,0,0,8.6
2020-07-23,0,1,7.5
2020-07-24,0,1,5.3
2020-07-25,0,2,4.3
2020-07-26,0,0,3.2
2020-07-27,1,0,4.3
2020-07-28,1,0,2.2
2020-07-29,0,0,2.2
2020-07-30,0,1,2.2
2020-07-31,0,0,2.2
2020-08-01,0,1,2.2
2020-08-02,1,0,3.3
2020-08-03,1,0,3.3
2020-08-04,0,1,2.2
2020-08-05,0,1,2.2
2020-08-06,0,0,2.2
2020-08-07,0,0,2.2
2020-08-08,0,0,2.2
2020-08-09,1,0,2.1
2020-08-10,1,0,2.1
2020-08-11,1,0,3.2
2020-08-12,1,1,4.3
