date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-02-01,0,0,0
2020-02-02,0,0,0
2020-02-03,0,0,0
2020-02-04,0,0,0
2020-02-05,0,0,0
2020-02-06,0,0,0
2020-02-07,0,0,0
2020-02-08,0,0,0
2020-02-09,0,0,0
2020-02-10,0,0,0
2020-02-11,0,0,0
2020-02-12,0,0,0
2020-02-13,0,0,0
2020-02-14,0,0,0
2020-02-15,0,0,0
2020-02-16,0,0,0
2020-02-17,0,0,0
2020-02-18,0,0,0
2020-02-19,0,0,0
2020-02-20,0,0,0
2020-02-21,0,0,0
2020-02-22,0,0,0
2020-02-23,0,0,0
2020-02-24,0,0,0
2020-02-25,0,0,0
2020-02-26,0,0,0
2020-02-27,0,0,0
2020-02-28,0,0,0
2020-02-29,0,0,0
2020-03-01,0,0,0
2020-03-02,0,0,0
2020-03-03,0,0,0
2020-03-04,0,0,0
2020-03-05,0,0,0
2020-03-06,1,0,0.8
2020-03-07,0,0,0.8
2020-03-08,0,0,0.8
2020-03-09,0,0,0.8
2020-03-10,0,0,0.8
2020-03-11,0,0,0.8
2020-03-12,0,0,0.8
2020-03-13,0,0,0.0
2020-03-14,0,0,0.0
2020-03-15,1,0,0.8
2020-03-16,0,0,0.8
2020-03-17,2,0,2.5
2020-03-18,1,0,3.3
2020-03-19,3,0,5.7
2020-03-20,5,0,9.8
2020-03-21,2,0,11.4
2020-03-22,1,0,11.4
2020-03-23,5,0,15.5
2020-03-24,2,0,15.4
2020-03-25,1,0,15.4
2020-03-26,3,0,15.4
2020-03-27,2,0,13.0
2020-03-28,3,0,13.8
2020-03-29,6,0,17.9
2020-03-30,4,0,17.0
2020-03-31,1,0,16.2
2020-04-01,3,0,17.9
2020-04-02,8,0,22.0
2020-04-03,2,0,21.9
2020-04-04,3,0,22
2020-04-05,5,0,21.1
2020-04-06,7,0,23.6
2020-04-07,8,0,29.3
2020-04-08,5,0,30.9
2020-04-09,7,0,30.1
2020-04-10,3,0,30.9
2020-04-11,9,0,35.7
2020-04-12,3,0,34.1
2020-04-13,0,0,28.4
2020-04-14,5,0,26.0
2020-04-15,10,0,30.0
2020-04-16,5,0,28.4
2020-04-17,4,0,29.3
2020-04-18,1,0,22.8
2020-04-19,7,0,26.1
2020-04-20,2,0,27.7
2020-04-21,4,0,26.8
2020-04-22,11,2,27.7
2020-04-23,7,4,29.3
2020-04-24,1,2,26.8
2020-04-25,1,3,26.8
2020-04-26,7,0,26.8
2020-04-27,5,12,29.2
2020-04-28,5,0,30.1
2020-04-29,13,1,31.7
2020-04-30,7,2,31.7
2020-05-01,15,1,43.0
2020-05-02,5,2,46.3
2020-05-03,1,0,41.4
2020-05-04,4,13,40.7
2020-05-05,1,11,37.4
2020-05-06,7,4,32.5
2020-05-07,6,3,31.7
2020-05-08,7,0,25.2
2020-05-09,8,2,27.6
2020-05-10,1,4,27.7
2020-05-11,5,3,28.4
2020-05-12,9,0,34.9
2020-05-13,16,5,42.2
2020-05-14,5,3,41.4
2020-05-15,4,1,39.1
2020-05-16,2,4,34.2
2020-05-17,3,1,35.7
2020-05-18,18,15,46.3
2020-05-19,3,0,41.5
2020-05-20,6,1,33.4
2020-05-21,5,1,33.3
2020-05-22,6,11,34.9
2020-05-23,2,4,34.9
2020-05-24,0,0,32.5
2020-05-25,2,1,19.6
2020-05-26,2,2,18.7
2020-05-27,1,0,14.6
2020-05-28,1,2,11.4
2020-05-29,1,1,7.3
2020-05-30,1,0,6.5
2020-05-31,1,1,7.3
2020-06-01,1,2,6.5
2020-06-02,3,1,7.3
2020-06-03,1,0,7.3
2020-06-04,4,2,9.8
2020-06-05,5,2,13
2020-06-06,5,0,16.3
2020-06-07,0,0,15.5
2020-06-08,3,0,17.0
2020-06-09,5,1,18.7
2020-06-10,4,0,21.1
2020-06-11,1,0,18.6
2020-06-12,0,0,14.6
2020-06-13,1,0,11.4
2020-06-14,0,1,11.4
2020-06-15,0,0,9.0
2020-06-16,0,0,4.9
2020-06-17,1,0,2.5
2020-06-18,1,0,2.5
2020-06-19,0,0,2.5
2020-06-20,0,1,1.6
2020-06-21,0,0,1.6
2020-06-22,0,0,1.6
