date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-19,2,0,0.0
2020-03-20,0,0,0.0
2020-03-21,0,0,0.0
2020-03-22,0,0,0.0
2020-03-23,3,0,2.7
2020-03-24,4,0,6.2
2020-03-25,4,0,9.7
2020-03-26,6,0,14.9
2020-03-27,4,0,18.4
2020-03-28,4,0,21.9
2020-03-29,3,0,24.5
2020-03-30,11,0,31.4
2020-03-31,12,0,38.4
2020-04-01,17,0,49.7
2020-04-02,14,0,56.8
2020-04-03,17,0,68.1
2020-04-04,8,0,71.6
2020-04-05,10,0,77.7
2020-04-06,13,0,79.5
2020-04-07,15,0,82.1
2020-04-08,16,0,81.3
2020-04-09,6,0,74.2
2020-04-10,3,0,62.0
2020-04-11,6,0,60.3
2020-04-12,7,0,57.7
2020-04-13,2,0,48.0
2020-04-14,8,0,41.9
2020-04-15,9,0,35.8
2020-04-16,16,0,44.5
2020-04-17,9,0,49.8
2020-04-18,18,0,60.2
2020-04-19,11,0,63.7
2020-04-20,13,0,73.4
2020-04-21,4,0,69.9
2020-04-22,17,9,76.8
2020-04-23,16,9,76.9
2020-04-24,28,4,93.5
2020-04-25,4,8,81.3
2020-04-26,8,2,78.6
2020-04-27,19,9,83.8
2020-04-28,16,8,94.3
2020-04-29,13,3,90.9
2020-04-30,12,7,87.3
2020-05-01,17,3,77.7
2020-05-02,3,6,76.8
2020-05-03,17,5,84.8
2020-05-04,11,4,77.8
2020-05-05,10,3,72.5
2020-05-06,7,10,67.2
2020-05-07,16,3,70.8
2020-05-08,15,2,69.0
2020-05-09,5,3,70.8
2020-05-10,10,3,64.6
2020-05-11,18,0,70.7
2020-05-12,15,1,75.1
2020-05-13,10,15,77.7
2020-05-14,3,3,66.4
2020-05-15,7,5,59.4
2020-05-16,9,4,62.8
2020-05-17,5,0,58.5
2020-05-18,8,0,49.8
2020-05-19,9,6,44.6
2020-05-20,1,5,36.7
2020-05-21,11,1,43.6
2020-05-22,5,2,41.9
2020-05-23,2,0,35.9
2020-05-24,0,2,31.5
2020-05-25,5,2,28.8
2020-05-26,6,0,26.2
2020-05-27,4,2,28.9
2020-05-28,4,3,22.7
2020-05-29,8,0,25.3
2020-05-30,1,1,24.4
2020-05-31,3,2,27.0
2020-06-01,3,2,25.3
2020-06-02,12,0,30.5
2020-06-03,3,1,29.6
2020-06-04,3,1,28.9
2020-06-05,3,1,24.5
2020-06-06,1,0,24.5
2020-06-07,0,1,21.9
2020-06-08,3,0,21.9
2020-06-09,1,1,12.3
2020-06-10,2,1,11.4
2020-06-11,3,0,11.3
2020-06-12,3,0,11.3
2020-06-13,0,3,10.4
2020-06-14,2,2,12.2
2020-06-15,3,0,12.2
2020-06-16,0,0,11.3
2020-06-17,1,0,10.5
2020-06-18,2,0,9.6
2020-06-19,0,0,7.0
2020-06-20,1,0,7.9
2020-06-21,0,1,6.1
2020-06-22,4,2,7.0
2020-06-23,2,0,8.7
2020-06-24,2,0,9.6
2020-06-25,2,1,9.6
2020-06-26,3,1,12.3
2020-06-27,0,0,11.4
2020-06-28,0,2,11.4
2020-06-29,0,0,7.9
