date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-02-01,0,0,0
2020-02-02,0,0,0
2020-02-03,0,0,0
2020-02-04,0,0,0
2020-02-05,0,0,0
2020-02-06,0,0,0
2020-02-07,0,0,0
2020-02-08,0,0,0
2020-02-09,0,0,0
2020-02-10,0,0,0
2020-02-11,0,0,0
2020-02-12,0,0,0
2020-02-13,0,0,0
2020-02-14,0,0,0
2020-02-15,0,0,0
2020-02-16,0,0,0
2020-02-17,0,0,0
2020-02-18,0,0,0
2020-02-19,0,0,0
2020-02-20,0,0,0
2020-02-21,0,0,0
2020-02-22,0,0,0
2020-02-23,0,0,0
2020-02-24,0,0,0
2020-02-25,0,0,0
2020-02-26,0,0,0
2020-02-27,0,0,0
2020-02-28,0,0,0
2020-02-29,0,0,0
2020-03-01,1,0,0.2
2020-03-02,0,0,0.2
2020-03-03,2,0,0.6
2020-03-04,1,0,0.8
2020-03-05,0,0,0.8
2020-03-06,0,0,0.8
2020-03-07,1,0,1
2020-03-08,0,0,0.8
2020-03-09,0,0,0.8
2020-03-10,1,0,0.6
2020-03-11,3,0,1.0
2020-03-12,1,0,1.2
2020-03-13,4,0,2.0
2020-03-14,0,0,1.8
2020-03-15,0,0,1.8
2020-03-16,4,0,2.6
2020-03-17,1,0,2.6
2020-03-18,4,0,2.8
2020-03-19,5,0,3.6
2020-03-20,4,0,3.6
2020-03-21,4,0,4.4
2020-03-22,6,0,5.6
2020-03-23,6,0,6.0
2020-03-24,8,0,7.4
2020-03-25,5,0,7.6
2020-03-26,7,0,8.0
2020-03-27,18,0,10.8
2020-03-28,7,0,11.4
2020-03-29,3,0,10.8
2020-03-30,13,0,12.2
2020-03-31,10,0,12.6
2020-04-01,10,0,13.6
2020-04-02,10,0,14.2
2020-04-03,15,0,13.6
2020-04-04,9,0,14.0
2020-04-05,18,0,17.0
2020-04-06,13,0,17.0
2020-04-07,10,0,17.0
2020-04-08,11,0,17.2
2020-04-09,17,0,18.6
2020-04-10,5,0,16.6
2020-04-11,16,0,18.0
2020-04-12,11,0,16.6
2020-04-13,17,0,17.4
2020-04-14,5,0,16.4
2020-04-15,17,0,17.6
2020-04-16,14,0,17.0
2020-04-17,9,23,17.8
2020-04-18,11,34,16.8
2020-04-19,14,9,17.4
2020-04-20,10,29,16.0
2020-04-21,22,14,19.4
2020-04-22,17,17,19.4
2020-04-23,32,3,23.0
2020-04-24,35,0,28.2
2020-04-25,16,16,29.2
2020-04-26,31,6,32.6
2020-04-27,33,3,37.2
2020-04-28,30,9,38.8
2020-04-29,25,2,40.4
2020-04-30,21,10,38.2
2020-05-01,21,19,35.4
2020-05-02,34,7,39.0
2020-05-03,15,9,35.8
2020-05-04,10,7,31.2
2020-05-05,30,8,31.2
2020-05-06,24,2,31.0
2020-05-07,32,9,33.2
2020-05-08,24,3,33.8
2020-05-09,14,3,29.8
2020-05-10,17,2,30.2
2020-05-11,69,7,42.0
2020-05-12,36,0,43.2
2020-05-13,38,8,46.0
2020-05-14,11,0,41.8
2020-05-15,8,2,38.6
2020-05-16,6,0,37.0
2020-05-17,15,3,36.6
2020-05-18,16,4,26.0
2020-05-19,10,1,20.8
2020-05-20,15,2,16.2
2020-05-21,13,5,16.6
2020-05-22,8,6,16.6
2020-05-23,5,1,16.4
2020-05-24,3,1,14.0
2020-05-25,7,0,12.2
2020-05-26,9,0,12.0
2020-05-27,7,1,10.4
2020-05-28,15,0,10.8
2020-05-29,11,5,11.4
2020-05-30,9,0,12.2
2020-05-31,5,1,12.6
2020-06-01,7,3,12.6
2020-06-02,5,2,11.8
2020-06-03,6,1,11.6
2020-06-04,17,3,12
2020-06-05,14,2,12.6
2020-06-06,4,0,11.6
2020-06-07,1,0,10.8
2020-06-08,3,2,10.0
2020-06-09,2,0,9.4
2020-06-10,1,0,8.4
2020-06-11,0,0,5
2020-06-12,2,1,2.6
2020-06-13,0,0,1.8
2020-06-14,0,1,1.6
2020-06-15,2,0,1.4
2020-06-16,0,0,1.0
2020-06-17,2,0,1.2
2020-06-18,0,0,1.2
2020-06-19,1,0,1.0
2020-06-20,1,1,1.2
2020-06-21,1,0,1.4
2020-06-22,2,0,1.4
