date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-06,2,0,0.0
2020-03-07,0,0,0.0
2020-03-08,1,0,0.8
2020-03-09,2,0,2.4
2020-03-10,0,0,2.4
2020-03-11,3,0,4.8
2020-03-12,2,0,6.3
2020-03-13,0,0,6.3
2020-03-14,0,0,6.3
2020-03-15,3,0,7.9
2020-03-16,5,0,10.3
2020-03-17,2,0,11.9
2020-03-18,3,0,11.9
2020-03-19,5,0,14.3
2020-03-20,3,0,16.7
2020-03-21,2,0,18.3
2020-03-22,7,0,21.5
2020-03-23,4,0,20.6
2020-03-24,3,0,21.4
2020-03-25,6,0,23.8
2020-03-26,10,0,27.8
2020-03-27,5,0,29.4
2020-03-28,13,0,38.1
2020-03-29,7,0,38.1
2020-03-30,6,0,39.7
2020-03-31,3,0,39.7
2020-04-01,7,0,40.5
2020-04-02,8,0,38.9
2020-04-03,10,0,42.9
2020-04-04,8,0,38.9
2020-04-05,4,0,36.5
2020-04-06,5,0,35.8
2020-04-07,8,0,39.7
2020-04-08,10,0,42.1
2020-04-09,11,0,44.5
2020-04-10,4,0,39.7
2020-04-11,5,0,37.4
2020-04-12,9,0,41.3
2020-04-13,3,0,39.7
2020-04-14,2,0,35.0
2020-04-15,21,0,43.7
2020-04-16,10,0,42.9
2020-04-17,7,0,45.3
2020-04-18,10,0,49.2
2020-04-19,7,0,47.7
2020-04-20,6,0,50.0
2020-04-21,8,0,54.8
2020-04-22,8,7,44.4
2020-04-23,18,3,50.8
2020-04-24,13,2,55.5
2020-04-25,6,17,52.4
2020-04-26,6,9,51.6
2020-04-27,14,3,58.0
2020-04-28,6,1,56.4
2020-04-29,5,8,54.0
2020-04-30,13,5,50.0
2020-05-01,13,2,50.1
2020-05-02,1,13,46.1
2020-05-03,3,2,43.6
2020-05-04,8,0,38.9
2020-05-05,12,9,43.6
2020-05-06,2,5,41.3
2020-05-07,5,2,35.0
2020-05-08,4,4,27.8
2020-05-09,3,4,29.3
2020-05-10,5,5,31.0
2020-05-11,6,1,29.4
2020-05-12,13,1,30.2
2020-05-13,2,6,30.2
2020-05-14,2,0,27.8
2020-05-15,1,1,25.4
2020-05-16,7,2,28.6
2020-05-17,2,0,26.2
2020-05-18,0,3,21.4
2020-05-19,6,2,15.9
2020-05-20,4,0,17.5
