date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-06,1,0,0.0
2020-03-07,0,0,0.0
2020-03-08,0,0,0.0
2020-03-09,1,0,0.6
2020-03-10,2,0,1.9
2020-03-11,3,0,3.9
2020-03-12,5,0,7.2
2020-03-13,1,0,7.9
2020-03-14,3,0,9.9
2020-03-15,1,0,10.5
2020-03-16,2,0,11.3
2020-03-17,1,0,10.6
2020-03-18,0,0,8.6
2020-03-19,6,0,9.3
2020-03-20,5,0,11.9
2020-03-21,2,0,11.2
2020-03-22,7,0,15.2
2020-03-23,7,0,18.5
2020-03-24,2,0,19.2
2020-03-25,9,0,25.1
2020-03-26,5,0,24.4
2020-03-27,4,0,23.8
2020-03-28,8,0,27.8
2020-03-29,2,0,24.5
2020-03-30,11,0,27.1
2020-03-31,7,0,30.4
2020-04-01,9,0,30.4
2020-04-02,4,0,29.8
2020-04-03,4,0,29.7
2020-04-04,9,0,30.4
2020-04-05,4,0,31.7
2020-04-06,3,0,26.4
2020-04-07,10,0,28.4
2020-04-08,3,0,24.5
2020-04-09,10,0,28.4
2020-04-10,2,0,27.1
2020-04-11,9,0,27.1
2020-04-12,7,0,29.1
2020-04-13,2,0,28.4
2020-04-14,10,0,28.5
2020-04-15,12,0,34.4
2020-04-16,14,0,37.0
2020-04-17,10,3,42.3
2020-04-18,3,2,38.3
2020-04-19,5,14,37.0
2020-04-20,6,2,39.7
2020-04-21,0,21,33.0
2020-04-22,5,1,28.4
2020-04-23,6,0,23.2
2020-04-24,6,11,20.5
2020-04-25,5,2,21.8
2020-04-26,12,5,26.5
2020-04-27,6,5,26.4
2020-04-28,6,4,30.4
2020-04-29,8,7,32.4
2020-04-30,4,5,31.0
2020-05-01,3,6,29.1
2020-05-02,5,2,29.1
2020-05-03,2,3,22.5
2020-05-04,5,3,21.9
2020-05-05,4,2,20.5
2020-05-06,5,3,18.5
2020-05-07,3,4,17.9
2020-05-08,2,2,17.2
2020-05-09,1,2,14.6
2020-05-10,4,1,15.8
2020-05-11,5,1,15.8
2020-05-12,1,1,13.9
2020-05-13,3,0,12.6
2020-05-14,3,1,12.6
2020-05-15,2,1,12.6
2020-05-16,3,1,13.9
2020-05-17,1,0,11.9
2020-05-18,1,2,9.3
2020-05-19,3,0,10.6
2020-05-20,2,0,9.9
2020-05-21,3,1,9.9
2020-05-22,5,0,11.9
2020-05-23,1,1,10.5
2020-05-24,2,2,11.3
2020-05-25,1,0,11.2
2020-05-26,4,5,11.9
2020-05-27,3,1,12.5
2020-05-28,4,3,13.2
2020-05-29,0,0,9.9
2020-05-30,0,0,9.3
2020-05-31,2,0,9.2
2020-06-01,1,0,9.3
2020-06-02,8,0,11.9
2020-06-03,0,0,10.0
2020-06-04,5,1,10.6
2020-06-05,2,5,11.9
2020-06-06,1,0,12.6
2020-06-07,0,0,11.3
2020-06-08,0,0,10.6
2020-06-09,0,3,5.3
2020-06-10,4,0,7.9
2020-06-11,1,1,5.3
2020-06-12,0,0,4.0
2020-06-13,0,3,3.3
2020-06-14,0,1,3.3
2020-06-15,0,0,3.3
2020-06-16,0,0,3.3
2020-06-17,1,0,1.3
2020-06-18,0,0,0.6
2020-06-19,0,0,0.6
2020-06-20,0,1,0.6
2020-06-21,2,0,1.9
2020-06-22,0,0,1.9
2020-06-23,1,1,2.6
2020-06-24,0,1,2.0
2020-06-25,0,0,2.0
2020-06-26,1,3,2.7
2020-06-27,0,0,2.7
2020-06-28,0,0,1.4
2020-06-29,1,0,2.0
2020-06-30,0,0,1.3
2020-07-01,0,85,1.3
2020-07-02,0,2,1.3
2020-07-03,0,0,0.6
2020-07-04,0,0,0.6
2020-07-05,0,0,0.6
2020-07-06,0,0,0.0
2020-07-07,2,0,1.3
2020-07-08,1,0,2.0
2020-07-09,1,2,2.7
2020-07-10,1,0,3.3
2020-07-11,1,0,4.0
2020-07-12,0,1,4.0
2020-07-13,2,2,5.3
2020-07-14,2,2,5.3
2020-07-15,2,0,6.0
2020-07-16,0,2,5.3
2020-07-17,0,2,4.7
2020-07-18,1,1,4.6
2020-07-19,0,0,4.6
2020-07-20,1,0,4.0
2020-07-21,0,0,2.7
2020-07-22,2,1,2.6
2020-07-23,3,0,4.6
2020-07-24,1,1,5.2
2020-07-25,1,1,5.3
2020-07-26,0,2,5.3
2020-07-27,1,1,5.3
2020-07-28,0,1,5.3
2020-07-29,0,1,4.0
2020-07-30,1,0,2.6
2020-07-31,2,1,3.3
2020-08-01,1,0,3.3
2020-08-02,1,1,4.0
2020-08-03,3,1,5.3
2020-08-04,3,1,7.2
2020-08-05,1,1,7.9
2020-08-06,0,0,7.3
2020-08-07,1,1,6.7
2020-08-08,0,4,6.0
2020-08-09,0,2,5.3
2020-08-10,1,0,3.9
2020-08-11,2,0,3.3
2020-08-12,0,1,2.6
2020-08-13,2,0,4.0
2020-08-14,3,3,5.2
2020-08-15,3,2,7.2
2020-08-16,2,2,8.6
2020-08-17,6,1,11.9
2020-08-18,2,4,11.9
2020-08-19,6,4,15.9
2020-08-20,12,3,22.4
2020-08-21,2,5,21.9
2020-08-22,5,4,23.2
2020-08-23,6,3,25.7
2020-08-24,2,10,23.2
2020-08-25,2,8,23.2
2020-08-26,5,3,22.5
2020-08-27,4,3,17.2
2020-08-28,3,4,17.8
2020-08-29,5,3,17.8
2020-08-30,0,4,13.9
2020-08-31,1,6,13.2
2020-09-01,5,0,15.2
2020-09-02,10,2,18.5
2020-09-03,5,3,19.2
2020-09-04,2,7,18.5
2020-09-05,7,4,19.8
2020-09-06,4,0,22.5
2020-09-07,6,5,25.8
2020-09-08,9,3,28.4
2020-09-09,4,10,24.5
2020-09-10,20,3,34.4
2020-09-11,15,9,43.0
2020-09-12,9,22,44.3
2020-09-13,2,7,43.0
2020-09-14,6,14,42.9
2020-09-15,4,5,39.7
2020-09-16,3,9,39.0
2020-09-17,8,4,31.0
2020-09-18,8,3,26.4
2020-09-19,1,4,21.2
2020-09-20,3,5,21.8
2020-09-21,10,5,24.5
2020-09-22,5,3,25.1
2020-09-23,8,3,28.4
2020-09-24,5,8,26.5
2020-09-25,4,10,23.8
2020-09-26,4,2,25.8
2020-09-27,5,5,27.1
2020-09-28,6,2,24.4
2020-09-29,11,6,28.4
2020-09-30,9,6,29.1
2020-10-01,11,10,33.0
2020-10-02,16,6,41.0
2020-10-03,16,17,48.9
2020-10-04,16,38,56.2
2020-10-05,15,16,62.2
2020-10-06,29,8,74.1
2020-10-07,32,37,89.2
2020-10-08,19,31,94.6
2020-10-09,19,32,96.5
2020-10-10,12,20,93.9
2020-10-11,12,13,91.2
2020-10-12,33,19,103.1
2020-10-13,24,21,99.8
2020-10-14,28,31,97.2
2020-10-15,34,41,107.1
2020-10-16,24,25,110.4
2020-10-17,21,22,116.3
2020-10-18,24,30,124.3
2020-10-19,27,33,120.3
2020-10-20,23,24,119.6
2020-10-21,42,54,128.9
2020-10-22,38,27,131.5
2020-10-23,20,18,128.9
2020-10-24,21,32,128.9
2020-10-25,20,42,126.2
2020-10-26,37,18,132.9
2020-10-27,39,21,143.5
2020-10-28,42,53,143.4
2020-10-29,27,32,136.2
2020-10-30,31,40,143.5
2020-10-31,35,23,152.7
2020-11-01,29,36,158.7
2020-11-02,62,34,175.2
2020-11-03,33,31,171.2
2020-11-04,25,39,160.0
2020-11-05,35,51,165.3
2020-11-06,30,29,164.6
2020-11-07,37,31,165.9
2020-11-08,33,31,168.6
2020-11-09,52,38,161.9
2020-11-10,47,19,171.2
2020-11-11,53,39,189.7
2020-11-12,53,66,201.6
2020-11-13,27,60,199.6
2020-11-14,35,43,198.4
2020-11-15,29,29,195.6
2020-11-16,40,0,187.8
2020-11-17,25,31,173.2
2020-11-18,36,20,162.0
2020-11-19,29,29,146.1
2020-11-20,21,10,142.2
2020-11-21,24,51,134.8
2020-11-22,21,34,129.6
2020-11-23,32,40,124.3
2020-11-24,21,7,121.6
2020-11-25,18,40,109.7
2020-11-26,20,16,103.8
2020-11-27,34,20,112.3
2020-11-28,18,21,108.4
2020-11-29,9,21,100.5
2020-11-30,28,21,97.8
2020-12-01,26,26,101.2
2020-12-02,26,18,106.5
2020-12-03,30,26,113.0
2020-12-04,12,30,98.5
2020-12-05,16,31,97.2
2020-12-06,24,22,107.1
2020-12-07,31,11,109.1
2020-12-08,30,25,111.7
2020-12-09,36,29,118.3
2020-12-10,28,29,117.0
2020-12-11,45,35,138.8
2020-12-12,35,35,151.4
2020-12-13,50,36,168.5
2020-12-14,62,32,189.0
2020-12-15,59,46,208.2
2020-12-16,86,39,241.3
2020-12-17,83,62,277.6
2020-12-18,83,49,302.8
2020-12-19,53,75,314.6
2020-12-20,110,116,354.4
2020-12-21,130,54,399.3
2020-12-22,188,114,484.6
2020-12-23,119,83,506.3
2020-12-24,100,150,517.7
2020-12-25,45,83,492.5
2020-12-26,153,118,558.6
2020-12-27,162,105,592.9
2020-12-28,120,139,586.4
2020-12-29,223,188,609.5
2020-12-30,210,137,669.7
2020-12-31,118,192,681.5
2021-01-01,94,150,713.9
2021-01-02,145,176,708.7
2021-01-03,166,86,711.3
2021-01-04,147,156,729.1
2021-01-05,156,219,684.8
2021-01-06,139,114,637.9
2021-01-07,124,116,641.9
2021-01-08,119,157,658.5
2021-01-09,93,134,624.0
2021-01-10,66,130,558.0
2021-01-11,145,87,556.6
2021-01-12,86,120,510.4
2021-01-13,88,77,476.6
2021-01-14,83,102,449.5
2021-01-15,79,120,423.0
2021-01-16,45,104,391.4
2021-01-17,44,78,376.8
2021-01-18,102,54,348.4
2021-01-19,81,59,345.0
2021-01-20,73,77,335.2
2021-01-21,64,65,322.6
2021-01-22,56,102,307.4
2021-01-23,38,58,302.7
2021-01-24,33,59,295.5
2021-01-25,52,41,262.4
2021-01-26,48,26,240.7
2021-01-27,37,59,216.8
2021-01-28,42,50,202.3
2021-01-29,33,50,187.1
2021-01-30,36,43,185.8
2021-01-31,28,33,182.4
2021-02-01,43,35,176.5
2021-02-02,44,32,173.8
2021-02-03,35,39,172.6
2021-02-04,20,50,158.0
2021-02-05,32,35,157.3
2021-02-06,20,19,146.8
2021-02-07,26,38,145.4
2021-02-08,24,19,132.9
2021-02-09,23,25,119.0
2021-02-10,18,18,107.7
2021-02-11,13,29,103.1
2021-02-12,14,18,91.3
2021-02-13,15,16,87.9
2021-02-14,8,9,76.1
2021-02-15,23,13,75.4
2021-02-16,14,12,69.4
2021-02-17,20,16,70.7
2021-02-18,10,18,68.8
2021-02-19,20,11,72.7
2021-02-20,14,17,72.0
2021-02-21,9,20,72.7
2021-02-22,19,23,70.0
2021-02-23,15,10,70.8
2021-02-24,10,16,64.2
2021-02-25,8,14,62.8
2021-02-26,14,11,58.8
2021-02-27,5,11,52.9
2021-02-28,2,5,48.2
2021-03-01,7,5,40.4
2021-03-02,14,7,39.6
2021-03-03,12,5,41.0
2021-03-04,8,14,40.9
2021-03-05,15,12,41.7
2021-03-06,9,13,44.3
2021-03-07,13,12,51.6
2021-03-08,7,10,51.5
2021-03-09,15,12,52.2
2021-03-10,3,5,46.2
2021-03-11,9,18,47.0
2021-03-12,5,10,40.3
