date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-05,2,0,0.0
2020-03-06,2,2,0.1
2020-03-07,5,2,0.4
2020-03-08,3,5,0.5
2020-03-09,3,3,0.7
2020-03-10,5,0,1.0
2020-03-11,11,2,1.5
2020-03-12,4,1,1.7
2020-03-13,11,10,2.2
2020-03-14,10,5,2.5
2020-03-15,2,11,2.5
2020-03-16,8,7,2.7
2020-03-17,8,10,2.8
2020-03-18,13,6,3.0
2020-03-19,14,9,3.5
2020-03-20,17,9,3.8
2020-03-21,20,22,4.3
2020-03-22,18,20,5.1
2020-03-23,41,20,6.9
2020-03-24,41,24,8.7
2020-03-25,56,37,10.9
2020-03-26,76,32,14.2
2020-03-27,67,34,16.9
2020-03-28,76,49,19.8
2020-03-29,62,86,22.2
2020-03-30,84,123,24.4
2020-03-31,111,53,28.1
2020-04-01,101,103,30.5
2020-04-02,105,85,32.0
2020-04-03,102,130,33.8
2020-04-04,86,94,34.4
2020-04-05,60,91,34.2
2020-04-06,105,69,35.4
2020-04-07,129,97,36.3
2020-04-08,102,84,36.4
2020-04-09,99,138,36.1
2020-04-10,94,112,35.7
2020-04-11,67,128,34.6
2020-04-12,73,89,35.4
2020-04-13,106,76,35.4
2020-04-14,95,85,33.6
2020-04-15,133,121,35.2
2020-04-16,138,113,37.3
2020-04-17,154,137,40.4
2020-04-18,85,148,41.4
2020-04-19,41,159,39.7
2020-04-20,112,83,40.0
2020-04-21,131,30,41.9
2020-04-22,96,116,40.0
2020-04-23,72,142,36.5
2020-04-24,82,106,32.7
2020-04-25,52,104,31.0
2020-04-26,44,82,31.1
2020-04-27,71,66,28.9
2020-04-28,74,34,25.9
2020-04-29,91,55,25.6
2020-04-30,115,73,27.9
2020-05-01,97,87,28.7
2020-05-02,89,66,30.6
2020-05-03,53,78,31.1
2020-05-04,74,69,31.3
2020-05-05,73,45,31.3
2020-05-06,80,53,30.7
2020-05-07,97,50,29.7
2020-05-08,72,38,28.4
2020-05-09,54,56,26.6
2020-05-10,61,41,27.0
2020-05-11,74,30,27.0
2020-05-12,91,44,27.9
2020-05-13,75,60,27.7
2020-05-14,73,38,26.4
2020-05-15,66,26,26.1
2020-05-16,39,40,25.3
2020-05-17,36,28,24.0
2020-05-18,62,16,23.4
2020-05-19,72,20,22.4
2020-05-20,74,18,22.3
2020-05-21,56,42,21.4
2020-05-22,33,23,19.7
2020-05-23,53,41,20.4
2020-05-24,30,25,20.1
2020-05-25,39,39,18.8
2020-05-26,27,28,16.4
2020-05-27,33,26,14.3
2020-05-28,28,16,12.9
2020-05-29,20,17,12.1
2020-05-30,13,13,10.0
2020-05-31,26,7,9.8
2020-06-01,24,12,9.1
2020-06-02,20,4,8.7
2020-06-03,11,8,7.5
2020-06-04,11,33,6.6
2020-06-05,23,3,6.8
2020-06-06,8,14,6.5
2020-06-07,5,6,5.4
2020-06-08,14,6,4.8
2020-06-09,11,3,4.4
2020-06-10,16,13,4.6
2020-06-11,10,4,4.6
2020-06-12,10,16,3.9
2020-06-13,10,3,4.0
2020-06-14,8,7,4.1
2020-06-15,19,4,4.4
2020-06-16,11,2,4.4
2020-06-17,5,8,3.9
2020-06-18,7,1,3.7
2020-06-19,12,3,3.8
2020-06-20,5,0,3.6
2020-06-21,3,4,3.3
2020-06-22,4,1,2.5
2020-06-23,8,0,2.4
2020-06-24,4,2,2.3
2020-06-25,5,1,2.1
2020-06-26,3,4,1.7
2020-06-27,4,2,1.6
2020-06-28,5,1,1.8
2020-06-29,4,6,1.8
2020-06-30,2,3,1.4
2020-07-01,4,1,1.4
2020-07-02,3,7,1.3
2020-07-03,8,4,1.6
2020-07-04,1,0,1.4
2020-07-05,2,0,1.2
2020-07-06,8,0,1.4
2020-07-07,5,5,1.6
2020-07-08,6,4,1.7
2020-07-09,5,3,1.9
2020-07-10,4,4,1.6
2020-07-11,6,0,1.9
2020-07-12,4,0,2.0
2020-07-13,3,0,1.8
2020-07-14,7,2,1.9
2020-07-15,15,9,2.4
2020-07-16,19,16,3.1
2020-07-17,8,19,3.3
2020-07-18,7,0,3.3
2020-07-19,3,0,3.3
2020-07-20,3,0,3.3
2020-07-21,12,2,3.5
2020-07-22,8,9,3.1
2020-07-23,12,8,2.8
2020-07-24,14,15,3.1
2020-07-25,4,0,3.0
2020-07-26,1,0,2.9
2020-07-27,12,0,3.3
2020-07-28,13,9,3.4
2020-07-29,11,9,3.6
2020-07-30,10,8,3.4
2020-07-31,13,10,3.4
2020-08-01,10,0,3.7
2020-08-02,9,0,4.1
2020-08-03,18,0,4.4
2020-08-04,17,8,4.6
2020-08-05,29,10,5.6
2020-08-06,17,43,6.0
2020-08-07,16,15,6.1
2020-08-08,27,0,7.0
2020-08-09,25,0,7.8
2020-08-10,44,0,9.3
2020-08-11,38,48,10.4
2020-08-12,39,29,10.8
2020-08-13,51,8,12.6
2020-08-14,57,74,14.8
2020-08-15,22,65,14.6
2020-08-16,20,27,14.4
2020-08-17,52,39,14.7
2020-08-18,43,41,15.0
2020-08-19,41,34,15.1
2020-08-20,71,51,16.2
2020-08-21,80,20,17.4
2020-08-22,42,71,18.4
2020-08-23,51,119,20.0
2020-08-24,45,10,19.7
2020-08-25,65,47,20.8
2020-08-26,71,72,22.5
2020-08-27,77,69,22.7
2020-08-28,84,85,23.0
2020-08-29,42,89,23.0
2020-08-30,35,49,22.2
2020-08-31,53,58,22.5
2020-09-01,65,49,22.6
2020-09-02,90,71,23.5
2020-09-03,106,77,25.1
2020-09-04,129,61,27.4
2020-09-05,90,118,30.0
2020-09-06,101,106,33.4
2020-09-07,72,141,34.5
2020-09-08,56,40,34.0
2020-09-09,98,49,34.5
2020-09-10,78,78,33.0
2020-09-11,73,88,30.0
2020-09-12,104,104,30.7
2020-09-13,91,87,30.2
2020-09-14,119,109,32.7
2020-09-15,107,79,35.4
2020-09-16,130,129,37.0
2020-09-17,168,149,41.8
2020-09-18,168,163,46.9
2020-09-19,161,222,49.9
