date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-02-28,1,0,0
2020-02-29,0,0,0
2020-03-01,2,0,0.1
2020-03-02,1,1,0.1
2020-03-03,3,0,0.1
2020-03-04,6,2,0.2
2020-03-05,2,3,0.3
2020-03-06,6,5,0.4
2020-03-07,6,5,0.5
2020-03-08,3,2,0.4
2020-03-09,16,5,0.7
2020-03-10,21,4,1.1
2020-03-11,25,9,1.5
2020-03-12,38,24,2.1
2020-03-13,48,25,2.9
2020-03-14,19,36,3.1
2020-03-15,12,32,3.3
2020-03-16,21,18,3.4
2020-03-17,43,24,3.8
2020-03-18,41,32,4.0
2020-03-19,50,39,4.3
2020-03-20,84,56,4.9
2020-03-21,67,51,5.8
2020-03-22,74,43,7.0
2020-03-23,138,83,9.1
2020-03-24,167,85,11.4
2020-03-25,188,135,14.1
2020-03-26,223,175,17.2
2020-03-27,274,165,20.7
2020-03-28,204,186,23.2
2020-03-29,197,139,25.4
2020-03-30,317,179,28.7
2020-03-31,341,430,31.9
2020-04-01,389,317,35.6
2020-04-02,351,292,37.9
2020-04-03,381,399,39.9
2020-04-04,261,344,40.9
2020-04-05,225,361,41.5
2020-04-06,404,255,43.1
2020-04-07,352,268,43.2
2020-04-08,343,336,42.4
2020-04-09,304,392,41.5
2020-04-10,329,318,40.5
2020-04-11,185,315,39.2
2020-04-12,220,322,39.1
2020-04-13,359,155,38.2
2020-04-14,346,291,38.2
2020-04-15,331,390,37.9
2020-04-16,428,354,40.2
2020-04-17,394,307,41.5
2020-04-18,264,411,42.9
2020-04-19,159,367,41.7
2020-04-20,348,263,41.6
2020-04-21,400,222,42.5
2020-04-22,340,366,42.7
2020-04-23,314,371,40.6
2020-04-24,306,288,38.9
2020-04-25,184,354,37.5
2020-04-26,171,273,37.7
2020-04-27,434,197,39.3
2020-04-28,383,200,39.0
2020-04-29,431,313,40.7
2020-04-30,337,319,41.1
2020-05-01,375,301,42.4
2020-05-02,222,273,43.1
2020-05-03,188,170,43.4
2020-05-04,329,169,41.4
2020-05-05,288,171,39.7
2020-05-06,307,272,37.4
2020-05-07,297,215,36.7
2020-05-08,258,225,34.5
2020-05-09,180,156,33.7
2020-05-10,153,181,33.1
2020-05-11,265,141,32.0
2020-05-12,230,136,30.9
2020-05-13,198,166,28.9
2020-05-14,211,188,27.4
2020-05-15,151,143,25.4
2020-05-16,103,187,24.0
2020-05-17,93,90,22.9
2020-05-18,141,57,20.6
2020-05-19,182,61,19.7
2020-05-20,121,96,18.4
2020-05-21,111,105,16.5
2020-05-22,91,113,15.4
2020-05-23,50,72,14.5
2020-05-24,53,60,13.7
2020-05-25,96,55,12.9
2020-05-26,478,29,18.3
2020-05-27,66,55,17.2
2020-05-28,55,48,16.2
2020-05-29,30,39,15.2
2020-05-30,40,55,14.9
2020-05-31,23,18,14.4
2020-06-01,38,18,13.3
2020-06-02,46,53,5.5
2020-06-03,34,33,4.9
2020-06-04,35,49,4.5
2020-06-05,24,29,4.4
2020-06-06,22,21,4.1
2020-06-07,17,18,4.0
2020-06-08,18,18,3.6
2020-06-09,27,14,3.2
2020-06-10,29,12,3.2
2020-06-11,22,17,3.0
2020-06-12,30,27,3.0
2020-06-13,22,21,3.0
2020-06-14,13,25,2.9
2020-06-15,21,29,3.0
2020-06-16,17,15,2.8
2020-06-17,33,21,2.8
2020-06-18,14,11,2.7
2020-06-19,24,27,2.6
2020-06-20,6,26,2.3
2020-06-21,9,26,2.3
2020-06-22,10,14,2.1
2020-06-23,20,12,2.2
2020-06-24,8,9,1.7
2020-06-25,19,5,1.8
2020-06-26,6,17,1.5
2020-06-27,4,15,1.4
2020-06-28,3,8,1.3
2020-06-29,14,5,1.3
2020-06-30,8,10,1.1
2020-07-01,11,8,1.2
2020-07-02,13,5,1.0
2020-07-03,7,12,1.1
2020-07-04,5,11,1.2
2020-07-05,2,9,1.1
2020-07-06,8,4,1.0
2020-07-07,11,2,1.0
2020-07-08,10,7,1.0
2020-07-09,8,6,1.0
2020-07-10,12,18,1.0
2020-07-11,9,7,1.1
2020-07-12,2,19,1.1
2020-07-13,19,6,1.3
2020-07-14,10,3,1.3
2020-07-15,16,5,1.4
2020-07-16,22,11,1.6
2020-07-17,8,17,1.6
2020-07-18,14,21,1.6
2020-07-19,17,23,1.9
2020-07-20,14,7,1.9
2020-07-21,19,22,2.0
2020-07-22,18,10,2.1
2020-07-23,23,16,2.1
2020-07-24,11,20,2.1
2020-07-25,3,27,1.9
2020-07-26,7,4,1.8
2020-07-27,13,3,1.7
2020-07-28,24,4,1.8
2020-07-29,30,22,2.0
2020-07-30,28,17,2.1
2020-07-31,21,30,2.3
2020-08-01,23,18,2.7
2020-08-02,19,31,2.9
2020-08-03,60,18,3.8
2020-08-04,57,23,4.4
2020-08-05,65,64,5.0
2020-08-06,63,66,5.6
2020-08-07,46,43,6.1
2020-08-08,27,60,6.2
2020-08-09,26,48,6.2
2020-08-10,58,29,6.2
2020-08-11,65,52,6.4
2020-08-12,48,47,6.1
2020-08-13,53,47,5.9
2020-08-14,51,65,6.0
2020-08-15,21,51,5.9
2020-08-16,30,43,6.0
2020-08-17,72,26,6.2
2020-08-18,78,49,6.5
2020-08-19,91,50,7.2
2020-08-20,141,77,8.9
2020-08-21,90,71,9.5
2020-08-22,47,123,10.0
2020-08-23,65,83,10.7
2020-08-24,60,66,10.5
2020-08-25,71,44,10.3
2020-08-26,98,67,10.5
2020-08-27,100,68,9.7
2020-08-28,104,51,10.0
2020-08-29,95,88,10.9
2020-08-30,102,123,11.5
2020-08-31,144,160,13.1
2020-09-01,199,154,15.4
2020-09-02,192,156,17.1
2020-09-03,201,101,19.0
2020-09-04,171,159,20.2
2020-09-05,136,141,20.9
2020-09-06,153,208,21.9
2020-09-07,168,146,22.3
2020-09-08,104,176,20.6
2020-09-09,222,159,21.1
2020-09-10,216,161,21.4
2020-09-11,210,175,22.1
2020-09-12,208,221,23.4
2020-09-13,168,244,23.7
2020-09-14,177,70,23.9
2020-09-15,227,267,26.1
2020-09-16,269,267,27.0
2020-09-17,254,290,27.7
2020-09-18,269,203,28.8
2020-09-19,232,350,29.2
2020-09-20,315,245,31.9
2020-09-21,455,255,36.9
2020-09-22,493,383,41.8
2020-09-23,568,486,47.3
2020-09-24,715,465,55.7
2020-09-25,579,558,61.4
2020-09-26,434,714,65.2
2020-09-27,358,344,65.9
2020-09-28,624,222,69.0
2020-09-29,659,806,72.1
2020-09-30,794,640,76.2
2020-10-01,778,668,77.3
2020-10-02,818,775,81.7
2020-10-03,695,764,86.4
2020-10-04,742,758,93.5
2020-10-05,1099,697,102.2
2020-10-06,1192,800,111.9
2020-10-07,1253,1054,120.3
2020-10-08,1171,1027,127.5
2020-10-09,1095,1246,132.6
2020-10-10,942,1009,137.1
2020-10-11,960,956,141.1
2020-10-12,1355,961,145.8
2020-10-13,1421,1297,150.0
2020-10-14,1297,1429,150.8
2020-10-15,1294,1351,153.1
2020-10-16,1254,1196,155.9
2020-10-17,855,1167,154.4
2020-10-18,834,316,152.0
2020-10-19,1359,993,152.1
2020-10-20,1690,1456,157.0
2020-10-21,1579,1739,162.2
2020-10-22,1493,1712,165.8
2020-10-23,1282,1401,166.3
2020-10-24,953,1433,168.1
2020-10-25,941,1303,170.1
2020-10-26,1345,1122,169.8
2020-10-27,1307,1327,162.8
2020-10-28,1267,1202,157.1
2020-10-29,1100,1128,149.9
2020-10-30,1089,1281,146.4
2020-10-31,742,1101,142.5
2020-11-01,969,1148,143.0
2020-11-02,1476,951,145.4
2020-11-03,1392,999,147.0
2020-11-04,1302,1433,147.6
2020-11-05,1298,1216,151.3
2020-11-06,1136,1072,152.2
2020-11-07,842,1596,154.0
2020-11-08,874,1115,152.3
2020-11-09,1296,912,149.0
2020-11-10,1289,832,147.1
2020-11-11,1249,1261,146.1
2020-11-12,1196,1212,144.2
2020-11-13,1055,1357,142.7
2020-11-14,905,1118,143.8
2020-11-15,818,1159,142.8
2020-11-16,1278,717,142.5
2020-11-17,1227,1248,141.3
2020-11-18,1115,1264,138.9
2020-11-19,985,1089,135.1
2020-11-20,861,1018,131.5
2020-11-21,764,887,129.0
2020-11-22,709,844,127.0
2020-11-23,1159,949,124.8
2020-11-24,996,771,120.6
2020-11-25,932,880,117.2
2020-11-26,807,1225,113.9
2020-11-27,738,969,111.7
2020-11-28,572,788,108.2
2020-11-29,558,746,105.4
2020-11-30,976,369,102.0
2020-12-01,935,754,100.9
2020-12-02,952,951,101.3
2020-12-03,807,958,101.3
2020-12-04,650,966,99.7
2020-12-05,667,777,101.4
2020-12-06,643,643,103.0
2020-12-07,955,677,102.6
2020-12-08,1048,692,104.7
2020-12-09,1015,897,105.9
2020-12-10,904,933,107.6
2020-12-11,875,1001,111.7
2020-12-12,681,1064,112.0
2020-12-13,719,800,113.3
2020-12-14,1082,734,115.7
2020-12-15,1031,845,115.4
2020-12-16,1028,689,115.6
2020-12-17,913,858,115.8
2020-12-18,921,744,116.7
2020-12-19,748,572,117.8
2020-12-20,813,934,119.6
2020-12-21,1304,1504,123.7
2020-12-22,1330,1316,129.1
2020-12-23,1315,1190,134.4
2020-12-24,1018,1314,136.3
2020-12-25,516,1165,128.8
2020-12-26,1050,1149,134.4
2020-12-27,1682,740,150.3
2020-12-28,1809,967,159.5
2020-12-29,3137,1895,192.6
2020-12-30,2974,2045,222.9
2020-12-31,2379,2622,247.8
2021-01-01,1161,2539,259.7
2021-01-02,2213,2137,281.0
2021-01-03,2221,2464,290.8
2021-01-04,2383,1905,301.3
2021-01-05,3054,2529,299.8
2021-01-06,2550,2039,292.0
2021-01-07,2201,2649,288.8
2021-01-08,1826,2309,300.9
2021-01-09,1499,1865,287.8
2021-01-10,1425,1877,273.3
2021-01-11,2092,1782,268.0
2021-01-12,1991,1875,248.5
2021-01-13,1716,1949,233.3
2021-01-14,1629,1707,222.8
2021-01-15,1538,2160,217.5
2021-01-16,1178,1753,211.7
2021-01-17,1201,1341,207.5
2021-01-18,1744,1429,201.1
2021-01-19,1554,1165,193.2
2021-01-20,1582,1656,190.7
2021-01-21,1244,1636,183.7
2021-01-22,1231,1480,178.1
2021-01-23,940,1307,173.7
2021-01-24,862,1195,167.6
2021-01-25,1326,752,159.9
2021-01-26,1182,1049,153.0
2021-01-27,1118,1330,144.6
2021-01-28,1117,1201,142.2
2021-01-29,965,1155,137.4
2021-01-30,781,994,134.5
2021-01-31,810,1003,133.5
2021-02-01,1104,848,129.5
2021-02-02,1051,758,127.1
2021-02-03,939,978,123.8
2021-02-04,901,1149,119.9
2021-02-05,940,895,119.4
2021-02-06,710,895,118.1
2021-02-07,656,584,115.3
2021-02-08,992,928,113.2
2021-02-09,760,822,107.9
2021-02-10,848,803,106.2
2021-02-11,847,830,105.2
2021-02-12,907,830,104.6
2021-02-13,544,908,101.6
2021-02-14,683,903,102.1
2021-02-15,968,559,101.7
2021-02-16,920,773,104.6
2021-02-17,828,1121,104.3
2021-02-18,881,685,104.9
2021-02-19,893,885,104.6
2021-02-20,665,803,106.8
2021-02-21,610,827,105.4
2021-02-22,790,715,102.2
2021-02-23,693,655,98.1
2021-02-24,702,798,95.7
2021-02-25,633,769,91.2
2021-02-26,526,581,84.5
2021-02-27,418,525,80.0
2021-02-28,431,572,76.8
2021-03-01,555,386,72.4
2021-03-02,522,542,69.3
2021-03-03,496,543,65.5
2021-03-04,563,500,64.2
2021-03-05,467,498,63.2
2021-03-06,484,555,64.3
2021-03-07,436,390,64.4
2021-03-08,594,501,65.2
2021-03-09,658,466,67.6
2021-03-10,628,691,70.1
2021-03-11,665,591,72.0
2021-03-12,584,682,74.1
2021-03-13,466,639,73.8
2021-03-14,447,484,74.0
2021-03-15,688,456,75.6
2021-03-16,575,597,74.2
2021-03-17,603,625,73.7
2021-03-18,556,624,71.7
2021-03-19,547,655,71.0
2021-03-20,459,488,70.9
2021-03-21,465,532,71.2
2021-03-22,687,359,71.2
2021-03-23,607,495,71.8
2021-03-24,547,692,70.8
