date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-11,1,0,0.0
2020-03-12,0,0,0.0
2020-03-13,0,0,0.0
2020-03-14,0,0,0.0
2020-03-15,0,0,0.0
2020-03-16,0,0,0.0
2020-03-17,0,0,0.0
2020-03-18,0,0,0.0
2020-03-19,0,0,0.0
2020-03-20,0,0,0.0
2020-03-21,1,0,1.1
2020-03-22,0,0,1.1
2020-03-23,4,0,5.8
2020-03-24,4,0,10.4
2020-03-25,1,0,11.6
2020-03-26,1,0,12.8
2020-03-27,7,0,20.9
2020-03-28,2,0,22.2
2020-03-29,0,0,22.2
2020-03-30,5,0,23.3
2020-03-31,1,0,19.8
2020-04-01,6,0,25.6
2020-04-02,5,0,30.3
2020-04-03,6,0,29.1
2020-04-04,1,0,27.9
2020-04-05,1,0,29.1
2020-04-06,6,0,30.3
2020-04-07,4,0,33.8
2020-04-08,3,0,30.3
2020-04-09,4,0,29.1
2020-04-10,5,0,28.0
2020-04-11,2,0,29.1
2020-04-12,0,0,27.9
2020-04-13,1,0,22.1
2020-04-14,1,0,18.6
2020-04-15,0,0,15.1
2020-04-16,1,0,11.6
2020-04-17,4,0,10.5
2020-04-18,2,0,10.5
2020-04-19,1,0,11.7
2020-04-20,8,0,19.8
2020-04-21,2,0,21.0
2020-04-22,0,0,21.0
2020-04-23,6,0,26.8
2020-04-24,4,0,26.8
2020-04-25,1,0,25.6
2020-04-26,1,0,25.6
2020-04-27,1,0,17.4
2020-04-28,6,0,22.1
2020-04-29,5,0,28.0
2020-04-30,2,0,23.3
2020-05-01,3,0,22.1
2020-05-02,6,0,28.0
2020-05-03,4,0,31.4
2020-05-04,0,0,30.3
2020-05-05,2,0,25.7
2020-05-06,7,0,27.9
2020-05-07,0,0,25.6
2020-05-08,0,0,22.1
2020-05-09,2,0,17.4
2020-05-10,2,0,15.2
2020-05-11,2,0,17.5
2020-05-12,0,0,15.1
2020-05-13,1,0,8.2
2020-05-14,2,0,10.5
2020-05-15,0,0,10.5
2020-05-16,0,0,8.2
2020-05-17,0,0,5.8
2020-05-18,0,0,3.5
2020-05-19,0,0,3.5
2020-05-20,1,0,3.5
2020-05-21,0,0,1.2
2020-05-22,0,0,1.2
2020-05-23,0,0,1.2
2020-05-24,1,0,2.3
2020-05-25,0,0,2.3
2020-05-26,8,0,11.6
2020-05-27,1,0,11.6
2020-05-28,0,0,11.6
2020-05-29,0,0,11.6
2020-05-30,0,0,11.6
2020-05-31,0,0,10.5
2020-06-01,0,0,10.5
2020-06-02,0,0,1.2
2020-06-03,0,0,0.0
2020-06-04,0,0,0.0
2020-06-05,2,0,2.3
2020-06-06,0,0,2.3
2020-06-07,0,0,2.3
2020-06-08,0,0,2.3
2020-06-09,0,0,2.3
2020-06-10,1,0,3.5
2020-06-11,0,0,3.5
2020-06-12,0,0,1.2
2020-06-13,0,0,1.2
2020-06-14,0,0,1.2
2020-06-15,0,0,1.2
2020-06-16,0,0,1.2
2020-06-17,0,0,0.0
2020-06-18,0,0,0.0
2020-06-19,0,0,0.0
2020-06-20,0,0,0.0
2020-06-21,1,0,1.2
2020-06-22,0,0,1.2
2020-06-23,0,0,1.2
2020-06-24,0,0,1.2
2020-06-25,0,0,1.2
2020-06-26,0,0,1.2
2020-06-27,0,0,1.2
2020-06-28,0,0,0.0
2020-06-29,0,0,0.0
2020-06-30,0,0,0.0
2020-07-01,0,0,0.0
2020-07-02,0,0,0.0
2020-07-03,0,0,0.0
2020-07-04,0,0,0.0
2020-07-05,0,0,0.0
2020-07-06,0,0,0.0
2020-07-07,0,0,0.0
2020-07-08,0,0,0.0
2020-07-09,1,0,1.1
2020-07-10,0,0,1.1
2020-07-11,0,0,1.1
