date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-03,1,0,0.0
2020-03-04,0,0,0.0
2020-03-05,0,0,0.0
2020-03-06,1,0,0.2
2020-03-07,1,0,0.4
2020-03-08,0,0,0.4
2020-03-09,0,0,0.4
2020-03-10,1,0,0.7
2020-03-11,0,0,0.7
2020-03-12,1,0,0.9
2020-03-13,3,0,1.3
2020-03-14,2,0,1.5
2020-03-15,1,0,1.8
2020-03-16,0,0,1.8
2020-03-17,3,0,2.1
2020-03-18,7,0,3.6
2020-03-19,2,0,3.8
2020-03-20,4,0,4.1
2020-03-21,8,0,5.4
2020-03-22,5,0,6.2
2020-03-23,10,0,8.3
2020-03-24,4,0,8.6
2020-03-25,12,0,9.7
2020-03-26,14,0,12.3
2020-03-27,13,0,14.2
2020-03-28,10,0,14.6
2020-03-29,13,0,16.3
2020-03-30,17,0,17.8
2020-03-31,18,0,20.8
2020-04-01,17,0,21.9
2020-04-02,14,0,21.9
2020-04-03,20,0,23.4
2020-04-04,10,0,23.4
2020-04-05,14,0,23.6
2020-04-06,15,0,23.2
2020-04-07,22,0,24.1
2020-04-08,28,0,26.4
2020-04-09,17,0,27.0
2020-04-10,17,0,26.4
2020-04-11,26,0,29.8
2020-04-12,15,0,30.1
2020-04-13,15,0,30.1
2020-04-14,17,0,28.9
2020-04-15,22,0,27.7
2020-04-16,29,0,30.3
2020-04-17,13,39,29.4
2020-04-18,12,25,26.4
2020-04-19,15,16,26.4
2020-04-20,21,15,27.7
2020-04-21,20,8,28.4
2020-04-22,37,19,31.5
2020-04-23,25,23,30.7
2020-04-24,40,24,36.5
2020-04-25,12,16,36.5
2020-04-26,22,12,38.0
2020-04-27,30,5,39.9
2020-04-28,35,8,43.1
2020-04-29,32,9,42.1
2020-04-30,22,8,41.4
2020-05-01,30,7,39.2
2020-05-02,13,8,39.5
2020-05-03,12,10,37.3
2020-05-04,21,8,35.4
2020-05-05,12,0,30.5
2020-05-06,22,6,28.3
2020-05-07,15,11,26.8
2020-05-08,18,6,24.3
2020-05-09,10,10,23.6
2020-05-10,26,3,26.6
2020-05-11,17,2,25.8
2020-05-12,8,0,24.9
2020-05-13,4,7,21.1
2020-05-14,11,2,20.2
2020-05-15,1,1,16.5
2020-05-16,7,4,15.9
2020-05-17,6,1,11.6
2020-05-18,9,0,9.8
2020-05-19,20,0,12.4
2020-05-20,14,1,14.5
2020-05-21,9,3,14.2
2020-05-22,9,1,15.9
2020-05-23,1,1,14.6
2020-05-24,10,1,15.5
2020-05-25,3,0,14.2
2020-05-26,5,2,11.0
2020-05-27,32,2,14.9
2020-05-28,26,0,18.4
2020-05-29,11,3,18.9
2020-05-30,4,1,19.6
2020-05-31,12,2,19.9
