date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-01,1,0,0.0
2020-03-02,0,0,0.0
2020-03-03,0,0,0.0
2020-03-04,0,0,0.0
2020-03-05,0,0,0.0
2020-03-06,0,0,0.0
2020-03-07,0,0,0.0
2020-03-08,1,0,0.3
2020-03-09,1,0,0.6
2020-03-10,2,0,1.2
2020-03-11,5,0,2.7
2020-03-12,6,0,4.5
2020-03-13,4,0,5.7
2020-03-14,6,0,7.5
2020-03-15,7,0,9.3
2020-03-16,6,0,10.8
2020-03-17,9,0,12.9
2020-03-18,13,0,15.3
2020-03-19,6,0,15.3
2020-03-20,18,0,19.5
2020-03-21,16,0,22.6
2020-03-22,24,0,27.7
2020-03-23,36,0,36.7
2020-03-24,31,0,43.3
2020-03-25,26,0,47.2
2020-03-26,27,0,53.5
2020-03-27,29,0,56.8
2020-03-28,33,0,61.9
2020-03-29,22,0,61.3
2020-03-30,39,0,62.2
2020-03-31,45,0,66.4
2020-04-01,49,0,73.3
2020-04-02,39,0,77.0
2020-04-03,31,0,77.6
2020-04-04,37,0,78.7
2020-04-05,28,0,80.5
2020-04-06,40,0,80.8
2020-04-07,38,0,78.8
2020-04-08,47,0,78.2
2020-04-09,33,0,76.3
2020-04-10,24,0,74.2
2020-04-11,25,0,70.6
2020-04-12,13,0,66.1
2020-04-13,33,0,64.0
2020-04-14,23,0,59.5
2020-04-15,26,0,53.2
2020-04-16,29,0,52.0
2020-04-17,26,27,52.6
2020-04-18,15,32,49.6
2020-04-19,13,26,49.6
2020-04-20,19,5,45.4
2020-04-21,11,22,41.7
2020-04-22,14,15,38.1
2020-04-23,39,11,41.2
2020-04-24,23,6,40.3
2020-04-25,21,9,42.1
2020-04-26,12,30,41.8
2020-04-27,24,9,43.3
2020-04-28,11,9,43.3
2020-04-29,35,11,49.6
2020-04-30,24,9,45.0
2020-05-01,15,11,42.6
2020-05-02,14,32,40.6
2020-05-03,11,7,40.3
2020-05-04,15,6,37.6
2020-05-05,14,16,38.5
2020-05-06,37,8,39.1
2020-05-07,20,16,37.9
2020-05-08,24,12,40.6
2020-05-09,4,13,37.5
2020-05-10,12,8,37.8
2020-05-11,7,19,35.4
2020-05-12,20,15,37.2
2020-05-13,7,7,28.2
2020-05-14,7,7,24.3
2020-05-15,10,8,20.2
2020-05-16,5,16,20.5
2020-05-17,2,7,17.5
2020-05-18,5,7,16.9
2020-05-19,5,2,12.4
2020-05-20,4,8,11.5
2020-05-21,1,2,9.7
2020-05-22,5,6,8.1
2020-05-23,1,0,6.9
2020-05-24,3,3,7.2
2020-05-25,3,1,6.6
2020-05-26,0,0,5.1
2020-05-27,4,1,5.1
2020-05-28,7,1,6.9
2020-05-29,1,0,5.7
2020-05-30,0,3,5.4
2020-05-31,1,0,4.8
2020-06-01,2,1,4.5
2020-06-02,2,1,5.1
2020-06-03,3,1,4.8
2020-06-04,2,1,3.3
2020-06-05,1,2,3.3
2020-06-06,1,2,3.6
2020-06-07,1,0,3.6
2020-06-08,2,0,3.6
2020-06-09,1,0,3.3
2020-06-10,1,1,2.7
2020-06-11,0,0,2.1
2020-06-12,0,1,1.8
2020-06-13,1,0,1.8
2020-06-14,2,0,2.1
2020-06-15,1,0,1.8
2020-06-16,1,0,1.8
2020-06-17,0,2,1.5
2020-06-18,4,0,2.7
2020-06-19,1,1,3.0
2020-06-20,0,0,2.7
2020-06-21,0,0,2.1
2020-06-22,0,0,1.8
2020-06-23,0,0,1.5
2020-06-24,0,0,1.5
2020-06-25,0,0,0.3
2020-06-26,1,0,0.3
2020-06-27,1,0,0.6
2020-06-28,0,0,0.6
2020-06-29,2,1,1.2
2020-06-30,2,0,1.8
2020-07-01,0,219,1.8
2020-07-02,2,1,2.4
2020-07-03,1,0,2.4
2020-07-04,1,2,2.4
2020-07-05,1,0,2.7
2020-07-06,0,2,2.1
2020-07-07,2,0,2.1
2020-07-08,1,1,2.4
2020-07-09,2,0,2.4
2020-07-10,1,1,2.4
2020-07-11,0,2,2.1
2020-07-12,0,0,1.8
2020-07-13,1,1,2.1
2020-07-14,1,1,1.8
2020-07-15,2,0,2.1
2020-07-16,1,3,1.8
2020-07-17,0,0,1.5
2020-07-18,2,2,2.1
2020-07-19,0,0,2.1
2020-07-20,2,1,2.4
2020-07-21,0,0,2.1
2020-07-22,1,0,1.8
2020-07-23,1,0,1.8
2020-07-24,0,2,1.8
2020-07-25,1,1,1.5
2020-07-26,0,0,1.5
2020-07-27,2,2,1.5
2020-07-28,1,0,1.8
2020-07-29,3,2,2.4
2020-07-30,2,0,2.7
2020-07-31,2,2,3.3
2020-08-01,0,2,3.0
2020-08-02,1,1,3.3
2020-08-03,1,1,3.0
2020-08-04,2,1,3.3
2020-08-05,6,2,4.2
2020-08-06,1,2,3.9
2020-08-07,5,3,4.8
2020-08-08,0,0,4.8
2020-08-09,1,7,4.8
2020-08-10,5,0,6.0
2020-08-11,8,3,7.8
2020-08-12,5,3,7.5
2020-08-13,1,0,7.5
2020-08-14,2,9,6.6
2020-08-15,2,3,7.2
2020-08-16,4,2,8.1
2020-08-17,7,1,8.7
2020-08-18,2,6,6.9
2020-08-19,7,3,7.5
2020-08-20,8,4,9.6
2020-08-21,1,4,9.3
2020-08-22,6,7,10.5
2020-08-23,6,1,11.2
2020-08-24,4,5,10.3
2020-08-25,4,12,10.9
2020-08-26,5,2,10.3
2020-08-27,4,7,9.1
2020-08-28,3,9,9.7
2020-08-29,5,4,9.4
2020-08-30,3,3,8.4
2020-08-31,2,2,7.8
2020-09-01,12,4,10.2
2020-09-02,13,2,12.6
2020-09-03,6,6,13.2
2020-09-04,8,9,14.7
2020-09-05,10,8,16.2
2020-09-06,4,9,16.5
2020-09-07,10,4,18.9
2020-09-08,12,13,18.9
2020-09-09,7,7,17.1
2020-09-10,12,4,18.9
2020-09-11,6,5,18.3
2020-09-12,1,11,15.6
2020-09-13,6,4,16.2
2020-09-14,13,9,17.1
2020-09-15,3,6,14.4
2020-09-16,4,9,13.5
2020-09-17,6,5,11.7
2020-09-18,12,11,13.5
2020-09-19,7,3,15.3
2020-09-20,8,7,16.0
2020-09-21,14,8,16.3
2020-09-22,10,11,18.4
2020-09-23,20,9,23.2
2020-09-24,10,15,24.4
2020-09-25,11,11,24.1
2020-09-26,9,5,24.7
2020-09-27,7,13,24.3
2020-09-28,17,9,25.2
2020-09-29,18,12,27.6
2020-09-30,31,7,30.9
2020-10-01,22,15,34.5
2020-10-02,20,10,37.3
2020-10-03,26,35,42.4
2020-10-04,35,51,50.8
2020-10-05,29,24,54.4
2020-10-06,43,22,61.9
2020-10-07,25,51,60.1
2020-10-08,29,28,62.2
2020-10-09,35,44,66.7
2020-10-10,25,28,66.4
2020-10-11,28,16,64.3
2020-10-12,44,12,68.8
2020-10-13,40,34,67.9
2020-10-14,63,51,79.4
2020-10-15,32,54,80.3
2020-10-16,40,40,81.7
2020-10-17,24,48,81.4
2020-10-18,46,43,86.8
2020-10-19,67,53,93.8
2020-10-20,56,22,98.6
2020-10-21,64,93,98.8
2020-10-22,61,40,107.6
2020-10-23,62,46,114.2
2020-10-24,47,66,121.1
2020-10-25,32,47,116.9
2020-10-26,81,59,121.1
2020-10-27,65,69,123.8
2020-10-28,42,74,117.2
2020-10-29,40,45,110.9
2020-10-30,55,83,108.8
2020-10-31,26,32,102.5
2020-11-01,30,54,101.9
2020-11-02,79,25,101.3
2020-11-03,56,47,98.6
2020-11-04,57,31,103.1
2020-11-05,59,74,108.8
2020-11-06,56,59,109.1
2020-11-07,48,65,115.7
2020-11-08,57,43,123.8
2020-11-09,75,66,122.6
2020-11-10,77,33,128.9
2020-11-11,83,41,136.8
2020-11-12,84,119,144.2
2020-11-13,86,80,153.3
2020-11-14,78,79,162.3
2020-11-15,62,82,163.8
2020-11-16,91,0,168.6
2020-11-17,77,103,168.6
2020-11-18,85,56,169.2
2020-11-19,47,71,158.1
2020-11-20,52,46,147.8
2020-11-21,39,90,136.1
2020-11-22,33,84,127.5
2020-11-23,81,50,124.4
2020-11-24,83,34,126.2
2020-11-25,74,85,122.9
2020-11-26,70,77,129.8
2020-11-27,91,42,141.6
2020-11-28,58,100,147.3
2020-11-29,52,56,152.9
2020-11-30,126,74,166.5
2020-12-01,87,54,167.7
2020-12-02,92,124,173.1
2020-12-03,84,67,177.3
2020-12-04,111,105,183.3
2020-12-05,90,80,192.9
2020-12-06,112,123,211.0
2020-12-07,117,95,208.2
2020-12-08,154,86,228.4
2020-12-09,209,97,263.5
2020-12-10,190,156,295.4
2020-12-11,197,231,321.2
2020-12-12,179,154,348.0
2020-12-13,206,164,376.2
2020-12-14,286,221,427.1
2020-12-15,354,132,487.2
2020-12-16,389,249,541.3
2020-12-17,381,233,598.7
2020-12-18,432,295,669.3
2020-12-19,302,251,706.3
2020-12-20,385,464,760.1
2020-12-21,552,296,840.0
2020-12-22,583,493,908.8
2020-12-23,474,412,934.3
2020-12-24,352,357,925.6
2020-12-25,162,439,844.5
2020-12-26,448,338,888.3
2020-12-27,578,400,946.3
2020-12-28,447,478,914.8
2020-12-29,893,586,1007.9
2020-12-30,655,564,1062.4
2020-12-31,468,518,1097.2
2021-01-01,276,539,1131.5
2021-01-02,486,632,1142.9
2021-01-03,449,574,1104.1
2021-01-04,583,404,1144.9
2021-01-05,483,523,1021.8
2021-01-06,426,520,952.9
2021-01-07,354,342,918.7
2021-01-08,292,587,923.5
2021-01-09,270,558,858.6
