date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-09,1,0,0.0
2020-03-10,0,0,0.0
2020-03-11,0,0,0.0
2020-03-12,0,0,0.0
2020-03-13,0,0,0.0
2020-03-14,1,0,0.2
2020-03-15,1,0,0.4
2020-03-16,0,0,0.4
2020-03-17,2,0,0.7
2020-03-18,2,0,1.1
2020-03-19,2,0,1.5
2020-03-20,3,0,2.1
2020-03-21,3,0,2.4
2020-03-22,3,0,2.8
2020-03-23,10,0,4.7
2020-03-24,6,0,5.5
2020-03-25,13,0,7.6
2020-03-26,14,0,9.8
2020-03-27,14,0,11.8
2020-03-28,19,0,14.9
2020-03-29,13,0,16.8
2020-03-30,20,0,18.7
2020-03-31,26,0,22.5
2020-04-01,52,0,29.8
2020-04-02,36,0,34.0
2020-04-03,37,0,38.3
2020-04-04,31,0,40.6
2020-04-05,26,0,43.0
2020-04-06,86,0,55.4
2020-04-07,64,0,62.6
2020-04-08,54,0,63.0
2020-04-09,58,0,67.1
2020-04-10,56,0,70.8
2020-04-11,52,0,74.7
2020-04-12,29,0,75.3
2020-04-13,45,0,67.6
2020-04-14,39,0,62.8
2020-04-15,50,0,62.0
2020-04-16,62,0,62.8
2020-04-17,55,59,62.6
2020-04-18,76,28,67.2
2020-04-19,50,37,71.1
2020-04-20,63,50,74.5
2020-04-21,60,22,78.5
2020-04-22,80,61,84.2
2020-04-23,79,44,87.4
2020-04-24,70,44,90.2
2020-04-25,65,37,88.1
2020-04-26,47,41,87.5
2020-04-27,56,40,86.2
2020-04-28,85,23,90.9
2020-04-29,99,23,94.5
2020-04-30,71,61,93.0
2020-05-01,65,67,92.0
2020-05-02,58,40,90.7
2020-05-03,42,57,89.8
2020-05-04,56,28,89.8
2020-05-05,77,19,88.3
2020-05-06,65,21,81.9
2020-05-07,32,46,74.5
2020-05-08,38,28,69.5
2020-05-09,37,20,65.4
2020-05-10,40,16,65.1
2020-05-11,76,16,68.8
2020-05-12,57,30,65.1
2020-05-13,33,41,59.0
2020-05-14,55,10,63.4
2020-05-15,52,15,66.0
2020-05-16,58,19,70.0
2020-05-17,34,8,68.9
2020-05-18,42,8,62.5
2020-05-19,32,24,57.7
2020-05-20,45,14,60.0
2020-05-21,39,12,57.0
2020-05-22,30,19,52.8
2020-05-23,34,32,48.3
2020-05-24,21,6,45.8
2020-05-25,17,24,41.1
2020-05-26,19,7,38.7
2020-05-27,29,9,35.7
2020-05-28,11,4,30.3
2020-05-29,17,14,27.9
2020-05-30,9,6,23.2
2020-05-31,18,5,22.6
2020-06-01,17,7,22.6
2020-06-02,13,1,21.5
2020-06-03,9,6,17.7
2020-06-04,16,3,18.7
2020-06-05,11,6,17.6
2020-06-06,2,3,16.3
2020-06-07,5,1,13.8
2020-06-08,4,0,11.4
2020-06-09,11,2,10.9
2020-06-10,2,2,9.6
2020-06-11,5,2,7.6
2020-06-12,5,2,6.4
2020-06-13,4,2,6.7
2020-06-14,8,2,7.4
2020-06-15,5,0,7.5
2020-06-16,3,1,6.1
2020-06-17,3,5,6.2
2020-06-18,3,2,5.8
2020-06-19,5,1,5.8
2020-06-20,7,2,6.5
2020-06-21,1,4,5.1
2020-06-22,4,4,4.9
2020-06-23,10,0,6.2
2020-06-24,1,0,5.9
2020-06-25,5,0,6.2
2020-06-26,3,0,5.9
2020-06-27,3,2,5.1
2020-06-28,2,0,5.2
2020-06-29,1,0,4.7
2020-06-30,3,0,3.4
2020-07-01,0,1236,3.2
2020-07-02,2,2,2.7
2020-07-03,1,0,2.3
2020-07-04,5,0,2.6
2020-07-05,2,2,2.7
2020-07-06,0,6,2.5
2020-07-07,1,0,2.1
2020-07-08,2,1,2.4
2020-07-09,8,2,3.5
2020-07-10,4,2,4.1
2020-07-11,0,2,3.2
2020-07-12,0,9,2.8
2020-07-13,2,1,3.2
2020-07-14,0,0,3.0
2020-07-15,3,0,3.2
2020-07-16,3,3,2.3
2020-07-17,2,1,1.9
2020-07-18,2,1,2.3
2020-07-19,0,6,2.3
2020-07-20,0,0,1.9
2020-07-21,1,1,2.1
2020-07-22,7,0,2.9
2020-07-23,1,2,2.5
2020-07-24,2,1,2.4
2020-07-25,0,5,2.0
2020-07-26,3,0,2.6
2020-07-27,4,2,3.4
2020-07-28,0,3,3.2
2020-07-29,2,4,2.2
2020-07-30,0,1,2.0
2020-07-31,4,2,2.5
2020-08-01,1,1,2.7
2020-08-02,1,4,2.3
2020-08-03,0,1,1.5
2020-08-04,3,1,2.0
2020-08-05,2,1,2.1
2020-08-06,1,1,2.3
2020-08-07,1,1,1.7
2020-08-08,3,2,2.1
2020-08-09,2,1,2.2
2020-08-10,2,1,2.6
2020-08-11,4,5,2.9
2020-08-12,2,2,2.8
2020-08-13,4,0,3.4
2020-08-14,17,6,6.4
2020-08-15,12,2,8.1
2020-08-16,3,14,8.3
2020-08-17,12,7,10.2
2020-08-18,5,8,10.3
2020-08-19,5,4,11.0
2020-08-20,9,8,11.9
2020-08-21,11,1,10.8
2020-08-22,7,11,9.8
2020-08-23,2,5,9.7
2020-08-24,7,11,8.7
2020-08-25,7,6,9.1
2020-08-26,13,9,10.6
2020-08-27,11,11,10.9
2020-08-28,10,7,10.7
2020-08-29,11,5,11.5
2020-08-30,7,11,12.4
2020-08-31,10,18,13.0
2020-09-01,10,10,13.6
2020-09-02,18,11,14.5
2020-09-03,30,4,18.1
2020-09-04,29,13,21.7
2020-09-05,45,23,28.1
2020-09-06,25,39,31.5
2020-09-07,30,33,35.3
2020-09-08,37,18,40.4
2020-09-09,40,35,44.5
2020-09-10,35,39,45.5
2020-09-11,28,36,45.3
2020-09-12,18,32,40.2
2020-09-13,17,31,38.7
2020-09-14,34,13,39.4
2020-09-15,32,34,38.4
2020-09-16,37,34,37.9
2020-09-17,55,34,41.7
2020-09-18,58,53,47.3
2020-09-19,51,53,53.6
2020-09-20,73,50,64.1
2020-09-21,79,57,72.6
2020-09-22,72,59,80.2
2020-09-23,81,82,88.5
2020-09-24,103,81,97.5
2020-09-25,54,81,96.8
2020-09-26,84,78,103.0
2020-09-27,65,63,101.5
2020-09-28,101,21,105.7
2020-09-29,142,95,118.9
2020-09-30,124,72,126.9
2020-10-01,160,73,137.7
2020-10-02,172,51,160.0
2020-10-03,142,119,170.9
2020-10-04,190,446,194.5
2020-10-05,274,153,227.1
2020-10-06,242,202,246.0
2020-10-07,352,193,289.1
2020-10-08,362,221,327.1
2020-10-09,300,276,351.2
2020-10-10,228,282,367.4
2020-10-11,296,234,387.5
2020-10-12,304,271,393.1
2020-10-13,362,284,415.7
2020-10-14,374,282,419.9
2020-10-15,262,365,401.1
2020-10-16,249,257,391.5
2020-10-17,191,208,384.5
2020-10-18,164,136,359.5
2020-10-19,296,147,358.1
2020-10-20,284,311,343.4
2020-10-21,285,398,326.5
2020-10-22,219,290,318.4
2020-10-23,166,211,302.8
2020-10-24,151,222,295.2
2020-10-25,145,174,291.7
2020-10-26,237,157,280.5
2020-10-27,228,223,269.9
2020-10-28,247,166,262.8
2020-10-29,247,210,268.1
2020-10-30,228,229,279.7
2020-10-31,164,272,282.3
2020-11-01,226,246,297.5
2020-11-02,352,191,319.2
2020-11-03,252,287,323.7
2020-11-04,274,202,328.8
2020-11-05,322,302,343.0
2020-11-06,266,277,350.1
2020-11-07,272,266,370.5
2020-11-08,254,363,375.8
2020-11-09,380,256,381.1
2020-11-10,352,225,400.0
2020-11-11,339,329,412.2
2020-11-12,293,364,406.7
2020-11-13,298,314,412.8
2020-11-14,182,347,395.7
2020-11-15,193,310,384.2
2020-11-16,291,549,367.4
2020-11-17,289,227,355.6
2020-11-18,231,305,335.2
2020-11-19,173,271,312.6
2020-11-20,196,247,293.3
2020-11-21,114,167,280.5
2020-11-22,131,149,268.9
2020-11-23,180,156,247.9
2020-11-24,159,116,223.3
2020-11-25,181,150,214.0
2020-11-26,127,194,205.2
2020-11-27,119,167,190.8
2020-11-28,104,124,188.9
2020-11-29,95,128,182.0
2020-11-30,125,104,171.7
2020-12-01,108,117,162.1
2020-12-02,114,130,149.4
2020-12-03,123,88,148.7
2020-12-04,110,117,146.9
2020-12-05,88,131,143.9
2020-12-06,101,110,145.1
2020-12-07,146,93,149.0
2020-12-08,136,66,154.3
2020-12-09,118,130,155.0
2020-12-10,105,185,151.6
2020-12-11,127,102,154.9
2020-12-12,73,159,152.1
2020-12-13,104,113,152.6
2020-12-14,196,80,162.1
2020-12-15,164,66,167.3
2020-12-16,154,170,174.2
2020-12-17,155,127,183.6
2020-12-18,170,86,191.7
2020-12-19,149,104,206.0
2020-12-20,184,157,221.1
2020-12-21,244,236,230.1
2020-12-22,263,310,248.8
2020-12-23,249,211,266.7
2020-12-24,174,283,270.3
2020-12-25,69,213,251.2
2020-12-26,209,191,262.6
2020-12-27,283,129,281.3
2020-12-28,317,155,295.1
2020-12-29,529,287,345.2
2020-12-30,518,379,396.0
2020-12-31,364,398,431.8
2021-01-01,192,362,455.1
2021-01-02,381,377,487.4
2021-01-03,380,317,505.7
2021-01-04,508,455,541.7
2021-01-05,346,462,507.3
2021-01-06,319,352,469.7
2021-01-07,334,229,464.1
2021-01-08,199,351,465.3
2021-01-09,212,254,433.5
2021-01-10,195,268,398.6
2021-01-11,326,234,364.3
2021-01-12,284,246,352.6
2021-01-13,264,420,342.2
2021-01-14,186,226,314.3
2021-01-15,256,357,325.1
2021-01-16,197,202,322.2
2021-01-17,170,232,317.5
