date,newCasesBySpecimenDate,newCasesByPublishDate
2020-02-01,0,0
2020-02-02,0,0
2020-02-03,0,0
2020-02-04,0,0
2020-02-05,0,0
2020-02-06,0,0
2020-02-07,0,0
2020-02-08,0,0
2020-02-09,0,0
2020-02-10,0,0
2020-02-11,0,0
2020-02-12,0,0
2020-02-13,0,0
2020-02-14,0,0
2020-02-15,0,0
2020-02-16,0,0
2020-02-17,0,0
2020-02-18,0,0
2020-02-19,0,0
2020-02-20,0,0
2020-02-21,0,0
2020-02-22,0,0
2020-02-23,0,0
2020-02-24,0,0
2020-02-25,0,0
2020-02-26,0,0
2020-02-27,0,0
2020-02-28,0,0
2020-02-29,0,0
2020-03-01,0,0
2020-03-02,0,0
2020-03-03,2,0
2020-03-04,0,0
2020-03-05,2,0
2020-03-06,0,0
2020-03-07,2,0
2020-03-08,3,0
2020-03-09,1,0
2020-03-10,0,0
2020-03-11,3,0
2020-03-12,6,0
2020-03-13,7,0
2020-03-14,6,0
2020-03-15,1,0
2020-03-16,12,0
2020-03-17,12,0
2020-03-18,23,0
2020-03-19,26,0
2020-03-20,12,0
2020-03-21,23,0
2020-03-22,16,0
2020-03-23,27,0
2020-03-24,45,0
2020-03-25,47,0
2020-03-26,50,0
2020-03-27,53,0
2020-03-28,29,0
2020-03-29,49,0
2020-03-30,34,0
2020-03-31,68,0
2020-04-01,74,0
2020-04-02,67,0
2020-04-03,44,0
2020-04-04,52,0
2020-04-05,79,0
2020-04-06,97,0
2020-04-07,71,0
2020-04-08,87,0
2020-04-09,69,0
2020-04-10,34,0
2020-04-11,25,0
2020-04-12,34,0
2020-04-13,52,0
2020-04-14,52,0
2020-04-15,36,0
2020-04-16,37,0
2020-04-17,31,58
2020-04-18,24,26
2020-04-19,20,38
2020-04-20,44,29
2020-04-21,44,33
2020-04-22,38,14
2020-04-23,39,41
2020-04-24,46,49
2020-04-25,39,42
2020-04-26,39,22
2020-04-27,58,37
2020-04-28,42,27
2020-04-29,84,32
2020-04-30,64,26
2020-05-01,55,69
2020-05-02,16,26
2020-05-03,11,40
2020-05-04,18,34
2020-05-05,39,19
2020-05-06,31,5
2020-05-07,37,35
2020-05-08,16,15
2020-05-09,4,34
2020-05-10,10,8
2020-05-11,19,11
2020-05-12,9,0
2020-05-13,15,3
2020-05-14,14,4
2020-05-15,6,7
2020-05-16,14,8
2020-05-17,8,5
2020-05-18,15,3
2020-05-19,17,3
2020-05-20,12,5
2020-05-21,5,8
2020-05-22,28,7
2020-05-23,7,8
2020-05-24,6,16
2020-05-25,2,4
2020-05-26,4,4
2020-05-27,8,1
2020-05-28,9,0
2020-05-29,3,4
2020-05-30,8,0
2020-05-31,4,3
2020-06-01,4,3
2020-06-02,17,7
2020-06-03,8,5
2020-06-04,5,10
2020-06-05,2,5
2020-06-06,1,4
2020-06-07,5,1
2020-06-08,1,0
2020-06-09,9,2
2020-06-10,1,2
2020-06-11,6,4
2020-06-12,1,2
2020-06-13,2,1
2020-06-14,2,5
2020-06-15,6,0
2020-06-16,5,2
2020-06-17,3,3
2020-06-18,5,5
2020-06-19,5,0
2020-06-20,3,5
2020-06-21,3,1
2020-06-22,2,5
2020-06-23,5,2
2020-06-24,3,0
2020-06-25,0,3
2020-06-26,6,2
2020-06-27,4,1
2020-06-28,1,2
2020-06-29,4,2
2020-06-30,11,4
2020-07-01,6,354
2020-07-02,2,3
2020-07-03,1,9
2020-07-04,1,6
2020-07-05,6,0
2020-07-06,14,1
2020-07-07,4,3
2020-07-08,0,10
2020-07-09,4,10
2020-07-10,2,2
2020-07-11,4,2
2020-07-12,3,2
2020-07-13,8,5
2020-07-14,6,4
2020-07-15,10,5
2020-07-16,11,5
2020-07-17,13,11
2020-07-18,6,12
2020-07-19,2,8
2020-07-20,9,9
2020-07-21,8,1
2020-07-22,11,8
2020-07-23,8,7
2020-07-24,4,10
2020-07-25,1,2
2020-07-26,8,7
2020-07-27,13,5
2020-07-28,11,6
2020-07-29,11,15
2020-07-30,6,10
2020-07-31,11,6
2020-08-01,5,10
2020-08-02,4,9
2020-08-03,10,10
2020-08-04,9,4
2020-08-05,3,4
2020-08-06,15,15
