date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-02-25,1,0,0.0
2020-02-26,0,0,0.0
2020-02-27,0,0,0.0
2020-02-28,0,0,0.0
2020-02-29,0,0,0.0
2020-03-01,0,0,0.0
2020-03-02,2,0,0.3
2020-03-03,1,0,0.4
2020-03-04,2,0,0.6
2020-03-05,0,0,0.6
2020-03-06,1,0,0.8
2020-03-07,0,0,0.8
2020-03-08,1,0,0.9
2020-03-09,3,0,1.0
2020-03-10,2,0,1.1
2020-03-11,6,0,1.7
2020-03-12,2,0,1.9
2020-03-13,8,0,2.7
2020-03-14,6,0,3.4
2020-03-15,10,0,4.6
2020-03-16,17,0,6.3
2020-03-17,9,0,7.2
2020-03-18,10,0,7.6
2020-03-19,8,0,8.4
2020-03-20,11,0,8.8
2020-03-21,20,0,10.6
2020-03-22,22,0,12.0
2020-03-23,31,0,13.7
2020-03-24,20,0,15.1
2020-03-25,20,0,16.4
2020-03-26,20,0,17.9
2020-03-27,28,0,19.9
2020-03-28,36,0,21.9
2020-03-29,27,0,22.5
2020-03-30,38,0,23.4
2020-03-31,52,0,27.4
2020-04-01,54,0,31.6
2020-04-02,26,0,32.3
2020-04-03,32,0,32.9
2020-04-04,33,0,32.5
2020-04-05,9,0,30.3
2020-04-06,25,0,28.7
2020-04-07,40,0,27.1
2020-04-08,40,0,25.4
2020-04-09,37,0,26.8
2020-04-10,26,0,26.0
2020-04-11,22,0,24.6
2020-04-12,41,0,28.6
2020-04-13,32,0,29.5
2020-04-14,36,0,29.0
2020-04-15,41,0,29.1
2020-04-16,40,0,29.4
2020-04-17,46,37,31.9
2020-04-18,34,31,33.5
2020-04-19,42,30,33.6
2020-04-20,29,30,33.2
2020-04-21,55,15,35.6
2020-04-22,63,23,38.3
2020-04-23,65,18,41.4
2020-04-24,62,51,43.4
2020-04-25,89,10,50.1
2020-04-26,75,15,54.2
2020-04-27,66,37,58.8
2020-04-28,41,19,57.1
2020-04-29,65,76,57.3
2020-04-30,34,48,53.5
2020-05-01,64,29,53.8
2020-05-02,28,31,46.2
2020-05-03,34,17,41.2
2020-05-04,44,11,38.4
2020-05-05,65,13,41.4
2020-05-06,68,11,41.8
2020-05-07,48,24,43.5
2020-05-08,55,22,42.3
2020-05-09,36,16,43.4
2020-05-10,31,10,42.9
2020-05-11,54,28,44.2
2020-05-12,44,25,41.6
2020-05-13,34,21,37.4
2020-05-14,42,13,36.7
2020-05-15,27,13,33.2
2020-05-16,40,9,33.7
2020-05-17,43,12,35.2
2020-05-18,57,20,35.6
2020-05-19,43,6,35.4
2020-05-20,54,19,37.9
2020-05-21,32,13,36.7
2020-05-22,40,19,38.3
2020-05-23,19,18,35.7
2020-05-24,35,11,34.7
2020-05-25,33,8,31.7
2020-05-26,28,6,29.9
2020-05-27,27,9,26.5
2020-05-28,32,7,26.5
2020-05-29,22,10,24.3
2020-05-30,23,5,24.8
2020-05-31,21,3,23.1
2020-06-01,28,5,22.4
2020-06-02,25,4,22.0
2020-06-03,27,3,22.1
2020-06-04,19,2,20.4
2020-06-05,13,6,19.3
2020-06-06,9,7,17.5
2020-06-07,10,4,16.2
2020-06-08,17,0,14.9
2020-06-09,5,5,12.4
