date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-02-01,0,0,0
2020-02-02,0,0,0
2020-02-03,0,0,0
2020-02-04,0,0,0
2020-02-05,0,0,0
2020-02-06,0,0,0
2020-02-07,0,0,0
2020-02-08,0,0,0
2020-02-09,0,0,0
2020-02-10,0,0,0
2020-02-11,0,0,0
2020-02-12,0,0,0
2020-02-13,0,0,0
2020-02-14,0,0,0
2020-02-15,0,0,0
2020-02-16,0,0,0
2020-02-17,0,0,0
2020-02-18,0,0,0
2020-02-19,0,0,0
2020-02-20,0,0,0
2020-02-21,0,0,0
2020-02-22,0,0,0
2020-02-23,0,0,0
2020-02-24,0,0,0
2020-02-25,0,0,0
2020-02-26,0,0,0
2020-02-27,0,0,0
2020-02-28,0,0,0
2020-02-29,0,0,0
2020-03-01,2,0,0.2
2020-03-02,3,0,0.6
2020-03-03,6,0,1.4
2020-03-04,3,0,1.7
2020-03-05,1,0,1.9
2020-03-06,4,0,2.4
2020-03-07,1,0,2.5
2020-03-08,1,0,2.4
2020-03-09,0,0,2.0
2020-03-10,2,0,1.5
2020-03-11,1,0,1.3
2020-03-12,2,0,1.3
2020-03-13,6,0,1.6
2020-03-14,2,0,1.7
2020-03-15,3,0,2.0
2020-03-16,4,0,2.5
2020-03-17,2,0,2.5
2020-03-18,3,0,2.7
2020-03-19,0,0,2.5
2020-03-20,3,0,2.1
2020-03-21,1,0,2.0
2020-03-22,4,0,2.1
2020-03-23,4,0,2.1
2020-03-24,6,0,2.6
2020-03-25,15,0,4.1
2020-03-26,14,0,5.9
2020-03-27,12,0,7.0
2020-03-28,13,0,8.5
2020-03-29,10,0,9.3
2020-03-30,10,0,10.0
2020-03-31,15,0,11.1
2020-04-01,25,0,12.4
2020-04-02,23,0,13.5
2020-04-03,19,0,14.3
2020-04-04,33,0,16.8
2020-04-05,19,0,17.9
2020-04-06,14,0,18.4
2020-04-07,25,0,19.7
2020-04-08,13,0,18.2
2020-04-09,22,0,18.0
2020-04-10,28,0,19.2
2020-04-11,16,0,17.1
2020-04-12,30,0,18.4
2020-04-13,25,0,19.9
2020-04-14,26,0,19.9
2020-04-15,25,0,21.4
2020-04-16,30,0,22.5
2020-04-17,38,11,23.7
2020-04-18,19,11,24.1
2020-04-19,11,35,21.7
2020-04-20,19,26,20.9
2020-04-21,20,18,20.2
2020-04-22,31,20,21.0
2020-04-23,28,13,20.6
2020-04-24,19,10,18.3
2020-04-25,13,25,17.5
2020-04-26,21,14,18.8
2020-04-27,38,9,21.2
2020-04-28,12,6,20.2
2020-04-29,40,18,21.3
2020-04-30,22,10,20.6
2020-05-01,30,15,21.9
2020-05-02,18,11,22.6
2020-05-03,18,15,22.2
2020-05-04,4,6,17.9
2020-05-05,18,17,18.7
2020-05-06,26,3,16.9
2020-05-07,13,2,15.8
2020-05-08,17,12,14.3
2020-05-09,8,1,13.0
2020-05-10,17,7,12.9
2020-05-11,15,1,14.2
2020-05-12,7,1,12.8
2020-05-13,12,7,11.1
2020-05-14,8,3,10.5
2020-05-15,8,3,9.3
2020-05-16,5,4,8.9
2020-05-17,6,1,7.6
2020-05-18,7,0,6.6
2020-05-19,8,1,6.7
2020-05-20,11,6,6.6
2020-05-21,2,5,5.9
2020-05-22,8,1,5.9
2020-05-23,2,0,5.5
2020-05-24,2,1,5.0
2020-05-25,3,1,4.5
2020-05-26,5,0,4.2
2020-05-27,2,0,3.0
2020-05-28,12,2,4.2
2020-05-29,2,0,3.4
2020-05-30,4,1,3.7
2020-05-31,4,2,3.9
2020-06-01,1,1,3.8
2020-06-02,1,2,3.2
2020-06-03,3,3,3.4
2020-06-04,1,1,2.0
2020-06-05,0,1,1.8
2020-06-06,0,0,1.3
2020-06-07,0,0,0.8
2020-06-08,3,1,1.0
2020-06-09,1,0,1.0
2020-06-10,1,1,0.7
2020-06-11,2,0,0.9
2020-06-12,0,0,0.9
2020-06-13,0,2,0.9
2020-06-14,2,0,1.1
2020-06-15,1,0,0.8
2020-06-16,0,1,0.7
2020-06-17,1,0,0.8
2020-06-18,2,0,0.7
2020-06-19,3,1,1.1
2020-06-20,1,1,1.2
2020-06-21,0,0,1.0
