date,newCasesBySpecimenDate,newCasesByPublishDate
2020-02-01,0,0
2020-02-02,0,0
2020-02-03,0,0
2020-02-04,0,0
2020-02-05,0,0
2020-02-06,0,0
2020-02-07,0,0
2020-02-08,0,0
2020-02-09,0,0
2020-02-10,0,0
2020-02-11,0,0
2020-02-12,0,0
2020-02-13,0,0
2020-02-14,0,0
2020-02-15,0,0
2020-02-16,0,0
2020-02-17,0,0
2020-02-18,0,0
2020-02-19,0,0
2020-02-20,0,0
2020-02-21,0,0
2020-02-22,0,0
2020-02-23,0,0
2020-02-24,0,0
2020-02-25,0,0
2020-02-26,0,0
2020-02-27,0,0
2020-02-28,0,0
2020-02-29,0,0
2020-03-01,0,0
2020-03-02,0,0
2020-03-03,0,0
2020-03-04,0,0
2020-03-05,0,0
2020-03-06,0,0
2020-03-07,0,0
2020-03-08,0,0
2020-03-09,0,0
2020-03-10,2,0
2020-03-11,0,0
2020-03-12,0,0
2020-03-13,0,0
2020-03-14,0,0
2020-03-15,0,0
2020-03-16,2,0
2020-03-17,2,0
2020-03-18,1,0
2020-03-19,4,0
2020-03-20,4,0
2020-03-21,0,0
2020-03-22,8,0
2020-03-23,3,0
2020-03-24,9,0
2020-03-25,11,0
2020-03-26,9,0
2020-03-27,3,0
2020-03-28,19,0
2020-03-29,16,0
2020-03-30,19,0
2020-03-31,14,0
2020-04-01,17,0
2020-04-02,11,0
2020-04-03,16,0
2020-04-04,7,0
2020-04-05,0,0
2020-04-06,1,0
2020-04-07,7,0
2020-04-08,15,0
2020-04-09,24,0
2020-04-10,6,0
2020-04-11,15,0
2020-04-12,10,0
2020-04-13,13,0
2020-04-14,6,0
2020-04-15,21,0
2020-04-16,23,0
2020-04-17,24,8
2020-04-18,28,16
2020-04-19,21,2
2020-04-20,19,1
2020-04-21,15,14
2020-04-22,41,29
2020-04-23,38,17
2020-04-24,53,24
2020-04-25,26,22
2020-04-26,29,0
2020-04-27,25,19
2020-04-28,22,20
2020-04-29,54,15
2020-04-30,52,14
2020-05-01,47,32
2020-05-02,29,21
2020-05-03,28,1
2020-05-04,14,4
2020-05-05,19,24
2020-05-06,47,18
2020-05-07,19,40
2020-05-08,35,8
2020-05-09,24,0
2020-05-10,19,3
2020-05-11,33,0
2020-05-12,16,32
2020-05-13,40,0
2020-05-14,31,7
2020-05-15,42,14
2020-05-16,23,20
2020-05-17,32,6
2020-05-18,17,12
2020-05-19,21,14
2020-05-20,13,11
2020-05-21,32,22
2020-05-22,34,4
2020-05-23,25,9
2020-05-24,19,0
2020-05-25,22,3
2020-05-26,25,2
2020-05-27,36,8
2020-05-28,29,11
2020-05-29,24,13
2020-05-30,9,7
2020-05-31,23,1
2020-06-01,29,0
2020-06-02,26,14
2020-06-03,36,16
2020-06-04,17,30
2020-06-05,11,7
2020-06-06,8,25
2020-06-07,13,1
2020-06-08,17,0
2020-06-09,16,8
2020-06-10,8,2
2020-06-11,13,2
2020-06-12,15,11
2020-06-13,9,4
2020-06-14,6,1
2020-06-15,5,0
2020-06-16,5,0
2020-06-17,11,5
2020-06-18,6,0
2020-06-19,12,4
2020-06-20,8,1
2020-06-21,6,2
2020-06-22,21,0
2020-06-23,18,2
2020-06-24,9,2
2020-06-25,6,11
2020-06-26,7,11
2020-06-27,3,5
2020-06-28,2,1
2020-06-29,7,0
2020-06-30,7,0
2020-07-01,8,994
2020-07-02,6,6
2020-07-03,6,6
2020-07-04,3,4
2020-07-05,4,7
2020-07-06,5,2
2020-07-07,5,3
2020-07-08,3,3
2020-07-09,2,11
2020-07-10,0,4
2020-07-11,2,1
2020-07-12,7,1
2020-07-13,5,6
2020-07-14,4,0
2020-07-15,4,7
2020-07-16,3,2
2020-07-17,1,6
2020-07-18,0,4
2020-07-19,0,0
2020-07-20,1,1
2020-07-21,1,0
2020-07-22,1,1
2020-07-23,2,1
2020-07-24,4,1
2020-07-25,1,1
2020-07-26,0,4
2020-07-27,0,1
2020-07-28,1,1
2020-07-29,1,1
2020-07-30,1,2
2020-07-31,2,1
2020-08-01,1,0
2020-08-02,0,2
2020-08-03,0,2
2020-08-04,2,1
2020-08-05,5,0
2020-08-06,4,4
