date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-07,1,0,0.0
2020-03-08,0,0,0.0
2020-03-09,2,0,0.6
2020-03-10,1,0,0.9
2020-03-11,0,0,0.9
2020-03-12,4,0,2.2
2020-03-13,1,0,2.5
2020-03-14,2,0,3.1
2020-03-15,4,0,4.4
2020-03-16,3,0,4.7
2020-03-17,2,0,5.0
2020-03-18,6,0,6.9
2020-03-19,10,0,8.7
2020-03-20,12,0,12.1
2020-03-21,6,0,13.4
2020-03-22,9,0,14.8
2020-03-23,17,0,19.2
2020-03-24,13,0,22.6
2020-03-25,17,0,26.0
2020-03-26,24,0,30.4
2020-03-27,14,0,31.0
2020-03-28,17,0,34.4
2020-03-29,24,0,39.1
2020-03-30,28,0,42.5
2020-03-31,22,0,45.3
2020-04-01,18,0,45.6
2020-04-02,30,0,47.4
2020-04-03,16,0,48.1
2020-04-04,28,0,51.5
2020-04-05,21,0,50.6
2020-04-06,25,0,49.6
2020-04-07,18,0,48.4
2020-04-08,15,0,47.5
2020-04-09,12,0,41.9
2020-04-10,28,0,45.6
2020-04-11,19,0,42.8
2020-04-12,11,0,39.7
2020-04-13,16,0,37.0
2020-04-14,8,0,33.8
2020-04-15,26,0,37.2
2020-04-16,45,0,47.5
2020-04-17,26,28,46.8
2020-04-18,48,17,55.8
2020-04-19,12,29,56.1
2020-04-20,17,22,56.4
2020-04-21,19,21,59.9
2020-04-22,20,10,58.0
2020-04-23,28,26,52.7
2020-04-24,28,10,53.4
2020-04-25,30,8,47.8
2020-04-26,12,24,47.8
2020-04-27,10,6,45.6
2020-04-28,20,26,45.9
2020-04-29,30,3,49.0
2020-04-30,27,14,48.7
2020-05-01,39,20,52.1
2020-05-02,28,20,51.5
2020-05-03,15,11,52.4
2020-05-04,11,40,52.8
2020-05-05,11,18,50.0
2020-05-06,12,12,44.4
2020-05-07,15,7,40.6
2020-05-08,13,5,32.6
2020-05-09,6,2,25.7
2020-05-10,10,3,24.2
2020-05-11,8,4,23.2
2020-05-12,21,5,26.3
2020-05-13,4,3,23.9
2020-05-14,18,5,24.9
2020-05-15,11,2,24.2
2020-05-16,9,4,25.2
2020-05-17,22,5,28.9
2020-05-18,15,7,31.0
2020-05-19,11,8,28.0
2020-05-20,4,4,27.9
2020-05-21,12,9,26.0
2020-05-22,3,8,23.6
2020-05-23,5,0,22.3
2020-05-24,5,1,17.1
2020-05-25,7,1,14.6
2020-05-26,6,3,13.0
2020-05-27,4,0,13.0
2020-05-28,3,4,10.3
2020-05-29,13,3,13.3
2020-05-30,2,0,12.4
2020-05-31,0,0,10.8
2020-06-01,5,0,10.3
2020-06-02,3,2,9.3
2020-06-03,3,1,9.0
2020-06-04,5,0,9.6
2020-06-05,7,1,7.7
2020-06-06,16,2,12.1
2020-06-07,1,1,12.4
2020-06-08,1,0,11.1
2020-06-09,3,3,11.2
2020-06-10,1,0,10.6
2020-06-11,2,0,9.6
2020-06-12,2,0,8.1
2020-06-13,0,0,3.1
2020-06-14,5,0,4.4
2020-06-15,1,0,4.4
2020-06-16,3,1,4.3
2020-06-17,2,2,4.6
2020-06-18,3,0,5.0
2020-06-19,0,4,4.4
2020-06-20,1,0,4.7
2020-06-21,3,0,4.0
2020-06-22,1,0,4.0
2020-06-23,1,1,3.4
2020-06-24,1,0,3.1
2020-06-25,2,0,2.7
2020-06-26,3,0,3.7
2020-06-27,1,0,3.7
2020-06-28,0,2,2.8
2020-06-29,1,0,2.8
2020-06-30,1,0,2.8
2020-07-01,1,395,2.8
2020-07-02,1,1,2.5
2020-07-03,4,1,2.8
2020-07-04,0,2,2.5
2020-07-05,2,4,3.1
2020-07-06,0,0,2.8
2020-07-07,1,0,2.8
2020-07-08,0,1,2.5
2020-07-09,1,1,2.5
2020-07-10,2,0,1.8
2020-07-11,2,3,2.4
2020-07-12,1,0,2.2
2020-07-13,1,2,2.5
2020-07-14,0,1,2.2
2020-07-15,2,0,2.8
2020-07-16,0,0,2.5
2020-07-17,0,1,1.9
2020-07-18,0,1,1.3
2020-07-19,1,1,1.2
2020-07-20,1,0,1.2
2020-07-21,2,1,1.8
2020-07-22,1,0,1.5
2020-07-23,3,0,2.5
2020-07-24,3,0,3.4
2020-07-25,0,5,3.4
2020-07-26,7,4,5.3
2020-07-27,1,1,5.3
2020-07-28,3,8,5.6
2020-07-29,4,0,6.6
2020-07-30,1,3,5.9
2020-07-31,0,0,5.0
2020-08-01,0,1,5.0
2020-08-02,2,1,3.4
2020-08-03,0,4,3.1
2020-08-04,0,1,2.2
2020-08-05,0,2,0.9
2020-08-06,3,0,1.5
2020-08-07,13,0,5.6
2020-08-08,0,2,5.6
2020-08-09,3,4,5.9
2020-08-10,2,8,6.5
2020-08-11,1,1,6.8
2020-08-12,1,4,7.1
2020-08-13,5,0,7.8
2020-08-14,5,2,5.2
2020-08-15,4,4,6.5
2020-08-16,0,2,5.6
2020-08-17,3,2,5.9
2020-08-18,3,7,6.5
2020-08-19,4,2,7.5
2020-08-20,4,3,7.1
2020-08-21,3,2,6.5
2020-08-22,5,2,6.8
2020-08-23,3,4,7.7
2020-08-24,3,3,7.8
2020-08-25,6,4,8.7
2020-08-26,1,4,7.7
2020-08-27,4,6,7.8
2020-08-28,7,1,9.0
2020-08-29,5,3,9.0
2020-08-30,9,7,10.9
2020-08-31,4,3,11.1
2020-09-01,12,10,13.0
2020-09-02,8,9,15.2
2020-09-03,16,5,18.9
2020-09-04,11,7,20.2
2020-09-05,12,4,22.3
2020-09-06,15,12,24.2
2020-09-07,16,14,27.9
2020-09-08,16,11,29.2
2020-09-09,13,13,30.7
2020-09-10,20,15,31.9
2020-09-11,6,19,30.4
2020-09-12,12,17,30.4
2020-09-13,10,17,28.8
2020-09-14,15,14,28.6
2020-09-15,11,7,27.0
2020-09-16,13,17,27.0
2020-09-17,25,11,28.6
2020-09-18,28,13,35.4
2020-09-19,17,9,36.9
2020-09-20,25,26,41.6
2020-09-21,27,12,45.3
2020-09-22,18,34,47.5
2020-09-23,30,30,52.8
2020-09-24,27,17,53.3
2020-09-25,34,24,55.2
2020-09-26,22,29,56.8
2020-09-27,22,28,55.8
2020-09-28,35,12,58.3
2020-09-29,29,23,61.7
2020-09-30,42,23,65.4
2020-10-01,32,30,67.0
2020-10-02,32,11,66.4
2020-10-03,38,39,71.4
2020-10-04,25,84,72.3
2020-10-05,47,32,76.0
2020-10-06,37,37,78.5
2020-10-07,42,44,78.5
2020-10-08,56,54,86.0
2020-10-09,53,32,92.4
2020-10-10,33,41,90.8
2020-10-11,45,38,97.1
2020-10-12,72,39,104.8
2020-10-13,63,44,112.9
2020-10-14,75,89,123.1
2020-10-15,70,65,127.5
2020-10-16,85,64,137.4
2020-10-17,73,53,149.9
2020-10-18,51,67,151.7
2020-10-19,108,55,162.9
2020-10-20,131,101,183.9
2020-10-21,125,144,199.5
2020-10-22,123,81,215.9
2020-10-23,128,127,229.3
2020-10-24,91,112,234.8
2020-10-25,100,52,250.0
2020-10-26,176,140,271.1
2020-10-27,170,137,283.3
2020-10-28,196,177,305.3
2020-10-29,200,169,329.1
2020-10-30,173,170,343.1
2020-10-31,153,122,362.3
2020-11-01,110,267,365.5
2020-11-02,310,122,407.0
2020-11-03,246,150,430.5
2020-11-04,220,236,438.0
2020-11-05,230,187,447.3
2020-11-06,209,268,458.5
2020-11-07,203,168,474.0
2020-11-08,221,192,508.4
2020-11-09,342,222,518.4
2020-11-10,275,279,527.4
2020-11-11,281,142,546.3
2020-11-12,264,419,556.8
2020-11-13,280,247,578.8
2020-11-14,224,272,585.4
2020-11-15,160,258,566.4
2020-11-16,273,296,545.0
2020-11-17,240,195,534.2
2020-11-18,217,114,514.3
2020-11-19,196,250,493.3
2020-11-20,170,242,459.1
2020-11-21,127,281,429.0
2020-11-22,122,133,417.3
2020-11-23,180,209,388.4
2020-11-24,158,71,362.9
2020-11-25,155,206,343.7
2020-11-26,154,177,330.7
2020-11-27,135,135,319.8
2020-11-28,87,118,307.4
2020-11-29,69,106,290.9
2020-11-30,115,162,270.8
2020-12-01,98,115,252.2
2020-12-02,103,79,236.1
2020-12-03,89,76,215.9
2020-12-04,101,111,205.4
2020-12-05,65,91,198.6
2020-12-06,82,108,202.6
2020-12-07,93,95,195.7
2020-12-08,101,50,196.7
2020-12-09,106,82,197.6
2020-12-10,108,102,203.5
2020-12-11,106,116,205.0
2020-12-12,71,77,206.9
2020-12-13,74,109,204.4
2020-12-14,126,79,214.7
2020-12-15,145,69,228.3
2020-12-16,109,108,229.2
2020-12-17,139,68,238.8
2020-12-18,114,113,241.4
2020-12-19,116,64,255.3
2020-12-20,115,199,268.0
2020-12-21,197,111,290.1
2020-12-22,162,125,295.3
2020-12-23,170,230,314.2
2020-12-24,126,111,310.2
2020-12-25,64,167,294.7
2020-12-26,168,136,310.8
2020-12-27,200,68,337.2
2020-12-28,175,119,330.3
2020-12-29,374,278,396.2
2020-12-30,432,194,477.5
2020-12-31,288,314,527.7
2021-01-01,220,161,576.0
2021-01-02,385,455,643.4
2021-01-03,293,233,672.3
2021-01-04,452,423,758.2
2021-01-05,381,309,760.3
2021-01-06,301,371,719.6
2021-01-07,307,316,725.6
2021-01-08,256,306,736.8
2021-01-09,270,298,701.1
2021-01-10,244,231,685.8
2021-01-11,388,341,666.0
2021-01-12,344,315,654.5
2021-01-13,356,280,671.7
2021-01-14,306,278,671.3
2021-01-15,315,513,689.6
2021-01-16,257,301,685.5
2021-01-17,248,242,686.8
2021-01-18,431,313,700.1
2021-01-19,329,279,695.5
2021-01-20,272,323,669.4
2021-01-21,245,357,650.5
2021-01-22,241,278,627.5
2021-01-23,179,245,603.4
2021-01-24,87,229,553.5
2021-01-25,251,164,497.6
2021-01-26,272,91,479.9
2021-01-27,184,250,452.6
2021-01-28,204,261,439.9
2021-01-29,214,210,431.5
2021-01-30,126,207,415.0
2021-01-31,106,196,420.9
2021-02-01,173,104,396.8
2021-02-02,127,114,351.8
2021-02-03,132,162,335.6
2021-02-04,109,125,306.1
2021-02-05,98,102,270.2
2021-02-06,87,113,258.1
2021-02-07,76,105,248.8
2021-02-08,107,113,228.3
2021-02-09,96,59,218.7
2021-02-10,111,92,212.2
2021-02-11,85,99,204.8
2021-02-12,95,99,203.8
2021-02-13,71,99,198.9
2021-02-14,67,94,196.1
2021-02-15,122,52,200.7
2021-02-16,84,76,197.0
2021-02-17,99,112,193.3
2021-02-18,73,69,189.5
2021-02-19,68,90,181.2
2021-02-20,56,68,176.5
2021-02-21,70,61,177.4
2021-02-22,85,74,166.0
2021-02-23,57,58,157.5
2021-02-24,46,68,141.1
2021-02-25,65,70,138.7
2021-02-26,53,47,134.0
2021-02-27,34,64,127.2
2021-02-28,39,53,117.6
2021-03-01,49,33,106.4
2021-03-02,57,38,106.4
2021-03-03,37,35,103.6
2021-03-04,23,59,90.6
2021-03-05,29,43,83.2
2021-03-06,19,21,78.4
2021-03-07,28,26,75.0
2021-03-08,34,18,70.4
2021-03-09,23,29,59.9
2021-03-10,24,26,55.9
2021-03-11,18,32,54.2
2021-03-12,27,18,53.6
2021-03-13,17,23,53.1
2021-03-14,28,14,53.1
2021-03-15,49,27,57.7
2021-03-16,57,37,68.3
2021-03-17,38,53,72.5
2021-03-18,41,55,79.8
2021-03-19,35,31,82.2
2021-03-20,27,34,85.3
2021-03-21,35,30,87.5
2021-03-22,44,35,85.9
2021-03-23,44,35,81.9
2021-03-24,49,45,85.4
2021-03-25,36,51,83.7
2021-03-26,31,33,82.5
2021-03-27,22,31,81.0
2021-03-28,42,32,83.1
2021-03-29,32,37,79.4
2021-03-30,21,31,72.2
2021-03-31,26,26,65.1
2021-04-01,16,23,59.0
2021-04-02,11,22,52.8
2021-04-03,12,16,49.6
2021-04-04,18,10,42.2
2021-04-05,15,16,36.9
2021-04-06,18,15,36.0
2021-04-07,10,11,31.0
2021-04-08,15,22,30.7
2021-04-09,11,0,30.7
2021-04-10,5,11,28.5
2021-04-11,14,5,27.3
2021-04-12,18,15,28.3
2021-04-13,14,11,27.0
2021-04-14,10,13,27.0
2021-04-15,15,16,27.0
2021-04-16,9,14,26.4
2021-04-17,9,8,27.6
2021-04-18,17,9,28.5
2021-04-19,5,19,24.5
2021-04-20,5,9,21.7
2021-04-21,11,3,22.0
2021-04-22,11,9,20.7
2021-04-23,7,11,20.1
2021-04-24,6,9,19.3
2021-04-25,8,4,16.5
2021-04-26,10,5,18.0
2021-04-27,12,17,20.2
2021-04-28,11,6,20.2
2021-04-29,4,14,18.0
2021-04-30,5,7,17.4
2021-05-01,6,5,17.4
2021-05-02,6,5,16.7
2021-05-03,11,8,17.0
2021-05-04,11,11,16.7
2021-05-05,13,12,17.4
2021-05-06,5,13,17.7
2021-05-07,10,6,19.2
2021-05-08,8,10,19.8
2021-05-09,10,5,21.1
2021-05-10,21,11,24.2
2021-05-11,12,15,24.5
2021-05-12,12,12,24.2
2021-05-13,16,13,27.6
2021-05-14,7,17,26.7
2021-05-15,8,11,26.7
2021-05-16,7,7,25.8
2021-05-17,9,9,22.0
2021-05-18,12,0,22.1
2021-05-19,11,1,21.7
2021-05-20,11,22,20.2
2021-05-21,9,6,20.8
2021-05-22,5,8,19.8
2021-05-23,10,8,20.7
2021-05-24,14,8,22.4
2021-05-25,14,9,22.9
2021-05-26,15,18,24.2
2021-05-27,10,5,23.9
2021-05-28,10,12,24.2
2021-05-29,15,12,27.3
2021-05-30,13,7,28.3
2021-05-31,11,17,27.3
2021-06-01,14,13,27.3
2021-06-02,9,12,25.4
2021-06-03,12,11,26.0
2021-06-04,13,7,27.0
2021-06-05,16,9,27.3
2021-06-06,20,8,29.4
2021-06-07,31,20,35.7
2021-06-08,23,23,38.5
2021-06-09,18,24,41.3
2021-06-10,28,22,46.3
2021-06-11,24,23,49.6
2021-06-12,13,24,48.7
2021-06-13,23,14,49.7
2021-06-14,12,18,43.7
2021-06-15,26,18,44.7
2021-06-16,21,13,45.6
2021-06-17,28,28,45.6
2021-06-18,29,28,47.2
2021-06-19,22,23,50.0
2021-06-20,27,25,51.2
2021-06-21,55,20,64.5
2021-06-22,59,35,74.7
2021-06-23,52,42,84.4
2021-06-24,59,55,94.0
2021-06-25,44,37,98.6
2021-06-26,62,68,111.0
2021-06-27,82,46,128.1
2021-06-28,103,76,143.0
2021-06-29,123,90,162.9
2021-06-30,78,97,170.9
2021-07-01,85,100,178.9
2021-07-02,83,81,191.1
2021-07-03,97,76,202.0
2021-07-04,99,94,207.2
2021-07-05,128,97,215.0
2021-07-06,136,99,219.0
2021-07-07,149,105,241.0
2021-07-08,157,132,263.4
2021-07-09,139,139,280.7
2021-07-10,130,146,291.0
2021-07-11,152,139,307.4
2021-07-12,251,147,345.6
2021-07-13,239,175,377.5
2021-07-14,270,150,415.1
2021-07-15,412,313,494.2
2021-07-16,338,297,555.9
2021-07-17,220,337,583.8
2021-07-18,238,263,610.5
2021-07-19,272,230,617.0
2021-07-20,191,240,602.1
2021-07-21,202,259,581.0
2021-07-22,192,198,512.8
2021-07-23,143,237,452.3
2021-07-24,106,214,416.9
2021-07-25,141,134,386.8
2021-07-26,147,129,348.0
2021-07-27,108,139,322.3
2021-07-28,182,129,316.1
2021-07-29,118,147,293.1
2021-07-30,113,153,283.9
2021-07-31,119,137,287.9
2021-08-01,109,85,278.0
2021-08-02,179,123,287.9
2021-08-03,150,97,300.9
2021-08-04,177,186,299.3
2021-08-05,134,148,304.3
2021-08-06,129,142,309.2
2021-08-07,104,113,304.6
2021-08-08,121,158,308.3
2021-08-09,173,127,306.5
2021-08-10,176,108,314.6
2021-08-11,163,169,310.3
2021-08-12,145,143,313.6
2021-08-13,133,168,314.9
2021-08-14,131,142,323.2
2021-08-15,116,118,321.7
2021-08-16,190,139,327.0
2021-08-17,167,159,324.2
2021-08-18,176,161,328.2
2021-08-19,150,174,329.8
2021-08-20,150,125,335.0
2021-08-21,151,150,341.3
2021-08-22,139,167,348.4
2021-08-23,188,133,347.7
2021-08-24,174,149,349.9
2021-08-25,170,158,348.0
2021-08-26,144,167,346.2
2021-08-27,165,186,350.9
2021-08-28,144,104,348.6
2021-08-29,140,159,349.0
2021-08-30,139,161,333.8
2021-08-31,190,140,338.7
2021-09-01,172,161,339.4
2021-09-02,165,135,345.9
2021-09-03,173,206,348.3
2021-09-04,165,143,354.9
2021-09-05,164,146,362.3
2021-09-06,195,188,379.7
2021-09-07,202,180,383.4
2021-09-08,192,172,389.6
2021-09-09,173,191,392.1
2021-09-10,136,195,380.7
2021-09-11,111,155,363.9
2021-09-12,128,108,352.7
2021-09-13,193,144,352.1
2021-09-14,158,136,338.5
2021-09-15,156,173,327.3
2021-09-16,144,136,318.2
2021-09-17,167,159,327.8
2021-09-18,132,169,334.4
2021-09-19,177,159,349.6
2021-09-20,189,164,348.3
2021-09-21,169,179,351.8
2021-09-22,192,135,362.9
2021-09-23,190,125,377.3
2021-09-24,171,197,378.5
2021-09-25,157,200,386.2
2021-09-26,161,188,381.3
2021-09-27,213,151,388.7
2021-09-28,178,166,391.4
2021-09-29,160,175,381.6
2021-09-30,147,144,368.2
2021-10-01,124,208,353.6
2021-10-02,148,153,350.9
2021-10-03,176,146,355.5
2021-10-04,246,195,365.8
2021-10-05,230,149,381.9
2021-10-06,215,243,398.9
2021-10-07,204,186,416.6
2021-10-08,182,209,434.6
2021-10-09,186,201,446.3
2021-10-10,194,172,451.9
2021-10-11,236,191,448.8
2021-10-12,255,220,456.6
2021-10-13,226,212,460.0
2021-10-14,233,194,469.0
2021-10-15,195,169,473.1
2021-10-16,175,321,469.7
2021-10-17,216,187,476.5
2021-10-18,317,214,501.6
2021-10-19,261,228,503.5
2021-10-20,252,289,511.6
2021-10-21,208,233,503.8
2021-10-22,203,255,506.3
2021-10-23,181,210,508.1
2021-10-24,170,167,493.9
2021-10-25,228,200,466.3
2021-10-26,170,199,438.0
2021-10-27,222,219,428.7
2021-10-28,217,150,431.5
2021-10-29,161,202,418.4
2021-10-30,167,199,414.2
2021-10-31,185,179,418.7
2021-11-01,241,215,422.8
2021-11-02,173,143,423.8
2021-11-03,156,212,403.3
2021-11-04,154,142,383.7
2021-11-05,147,174,379.4
2021-11-06,146,169,372.8
2021-11-07,191,123,374.8
2021-11-08,270,141,383.7
2021-11-09,212,271,395.8
2021-11-10,245,200,423.4
2021-11-11,190,194,434.6
2021-11-12,165,221,440.2
2021-11-13,149,162,441.1
2021-11-14,199,131,443.6
2021-11-15,255,223,439.0
2021-11-16,265,180,455.4
2021-11-17,210,123,444.5
2021-11-18,202,322,448.3
2021-11-19,225,242,466.9
2021-11-20,200,160,482.7
2021-11-21,205,189,484.5
2021-11-22,233,269,477.7
2021-11-23,213,213,461.6
2021-11-24,191,200,455.7
2021-11-25,187,227,451.0
2021-11-26,168,225,433.3
2021-11-27,133,149,412.6
2021-11-28,172,157,402.4
2021-11-29,240,155,404.5
2021-11-30,264,155,420.3
2021-12-01,204,197,424.4
2021-12-02,180,212,422.2
2021-12-03,172,211,423.5
2021-12-04,156,192,430.6
2021-12-05,166,166,428.7
2021-12-06,241,239,429.0
2021-12-07,217,124,414.4
2021-12-08,239,203,425.3
2021-12-09,192,201,429.0
2021-12-10,219,243,443.6
2021-12-11,162,217,445.4
2021-12-12,188,124,452.3
2021-12-13,308,141,473.1
2021-12-14,302,254,499.5
2021-12-15,361,340,537.3
2021-12-16,321,262,577.3
2021-12-17,292,287,599.9
2021-12-18,262,279,631.0
2021-12-19,309,239,668.5
2021-12-20,435,215,707.9
2021-12-21,562,354,788.5
2021-12-22,642,386,875.7
2021-12-23,693,488,991.2
2021-12-24,605,353,1088.2
2021-12-25,310,532,1103.1
2021-12-26,597,563,1192.4
2021-12-27,1103,446,1399.7
2021-12-28,1189,716,1594.2
2021-12-29,1359,838,1816.6
2021-12-30,1301,920,2005.2
2021-12-31,1007,950,2129.9
2022-01-01,725,1212,2258.6
2022-01-02,1113,698,2418.7
2022-01-03,1514,997,2546.2
2022-01-04,1586,759,2669.4
2022-01-05,1321,1409,2657.5
2022-01-06,1076,1124,2587.7
2022-01-07,697,1082,2491.6
2022-01-08,555,617,2438.9
2022-01-09,603,903,2280.7
2022-01-10,834,778,2069.7
2022-01-11,659,720,1782.1
2022-01-12,651,1053,1574.4
2022-01-13,629,624,1435.7
2022-01-14,567,598,1395.4
2022-01-15,484,525,1373.3
2022-01-16,650,435,1387.8
2022-01-17,823,601,1384.4
2022-01-18,732,598,1407.1
2022-01-19,709,700,1425.1
2022-01-20,558,543,1403.1
2022-01-21,572,616,1404.6
2022-01-22,513,455,1413.6
2022-01-23,670,501,1419.9
2022-01-24,738,586,1393.5
2022-01-25,652,536,1368.7
2022-01-26,571,559,1325.8
2022-01-27,518,538,1313.4
2022-01-28,441,429,1272.8
2022-01-29,328,486,1215.4
2022-01-30,457,325,1149.3
2022-01-31,518,5811,1081.1
2022-02-01,454,602,1019.6
2022-02-02,391,481,963.8
2022-02-03,332,405,906.1
2022-02-04,259,379,849.6
2022-02-05,187,293,806.0
2022-02-06,247,247,740.8
2022-02-07,259,215,660.4
2022-02-08,245,253,595.6
2022-02-09,198,263,535.7
2022-02-10,158,206,481.8
2022-02-11,145,179,446.4
2022-02-12,124,132,426.8
2022-02-13,173,123,403.9
2022-02-14,164,177,374.4
2022-02-15,146,170,343.7
2022-02-16,176,137,336.9
2022-02-17,131,201,328.5
2022-02-18,119,140,320.5
2022-02-19,79,99,306.5
2022-02-20,81,112,277.9
2022-02-21,135,86,269.0
2022-02-22,94,104,252.9
2022-02-23,89,114,225.9
2022-02-24,76,88,208.7
2022-02-25,75,82,195.1
2022-02-26,60,0,189.2
2022-02-27,92,0,192.7
2022-02-28,106,234,183.6
2022-03-01,98,94,184.8
2022-03-02,101,108,188.6
2022-03-03,94,84,194.2
2022-03-04,104,100,203.2
2022-03-05,81,0,209.7
2022-03-06,127,0,220.5
2022-03-07,173,307,241.4
2022-03-08,178,141,266.2
