date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-07,1,0,0.0
2020-03-08,0,0,0.0
2020-03-09,0,0,0.0
2020-03-10,0,0,0.0
2020-03-11,0,0,0.0
2020-03-12,1,0,0.8
2020-03-13,0,0,0.8
2020-03-14,0,0,0.8
2020-03-15,0,0,0.8
2020-03-16,1,0,1.7
2020-03-17,2,0,3.3
2020-03-18,2,0,4.9
2020-03-19,1,0,5.0
2020-03-20,0,0,5.0
2020-03-21,1,0,5.8
2020-03-22,1,0,6.6
2020-03-23,2,0,7.3
2020-03-24,2,0,7.4
2020-03-25,5,0,9.9
2020-03-26,8,0,15.5
2020-03-27,10,0,23.7
2020-03-28,6,0,27.8
2020-03-29,6,0,32.0
2020-03-30,7,0,36.1
2020-03-31,8,0,41.0
2020-04-01,8,0,43.4
2020-04-02,3,0,39.4
2020-04-03,3,0,33.6
2020-04-04,8,0,35.3
2020-04-05,13,0,40.9
2020-04-06,12,0,45.1
2020-04-07,7,0,44.2
2020-04-08,5,0,41.8
2020-04-09,6,0,44.2
2020-04-10,6,0,46.7
2020-04-11,0,0,40.1
2020-04-12,11,0,38.6
2020-04-13,15,0,41.0
2020-04-14,10,0,43.5
2020-04-15,13,0,50.0
2020-04-16,12,0,54.9
2020-04-17,5,0,54.1
2020-04-18,7,0,59.9
2020-04-19,7,0,56.5
2020-04-20,10,0,52.4
2020-04-21,10,0,52.4
2020-04-22,8,0,48.4
2020-04-23,6,0,43.5
2020-04-24,2,0,41.0
2020-04-25,5,0,39.3
2020-04-26,8,0,40.2
2020-04-27,7,0,37.7
2020-04-28,13,0,40.2
2020-04-29,13,0,44.2
2020-04-30,7,0,45.1
2020-05-01,8,0,50.0
2020-05-02,4,0,49.2
2020-05-03,5,0,46.7
2020-05-04,17,0,54.9
2020-05-05,7,0,50.0
2020-05-06,12,0,49.2
2020-05-07,4,0,46.7
2020-05-08,6,0,45.1
2020-05-09,2,0,43.4
2020-05-10,0,0,39.3
2020-05-11,2,0,27.1
2020-05-12,3,0,23.7
2020-05-13,6,0,18.8
2020-05-14,3,0,18.0
2020-05-15,3,0,15.6
2020-05-16,1,0,14.8
2020-05-17,6,0,19.7
2020-05-18,4,0,21.3
2020-05-19,2,0,20.5
2020-05-20,9,0,23.0
2020-05-21,0,0,20.5
2020-05-22,2,0,19.6
2020-05-23,1,0,19.7
2020-05-24,1,0,15.6
2020-05-25,1,0,13.1
2020-05-26,1,0,12.3
2020-05-27,2,0,6.6
2020-05-28,8,0,13.1
2020-05-29,1,0,12.3
2020-05-30,0,0,11.4
2020-05-31,3,0,13.1
2020-06-01,3,0,14.7
2020-06-02,0,0,13.9
2020-06-03,0,0,12.2
2020-06-04,1,0,6.6
2020-06-05,1,0,6.6
2020-06-06,1,0,7.4
2020-06-07,0,0,4.9
2020-06-08,0,0,2.5
2020-06-09,0,0,2.5
2020-06-10,1,0,3.3
2020-06-11,1,0,3.2
2020-06-12,1,0,3.3
2020-06-13,0,0,2.5
2020-06-14,0,0,2.5
2020-06-15,1,0,3.3
2020-06-16,0,0,3.3
2020-06-17,2,0,4.1
2020-06-18,0,0,3.3
2020-06-19,0,0,2.4
2020-06-20,0,0,2.4
2020-06-21,0,0,2.4
2020-06-22,0,0,1.6
2020-06-23,1,0,2.4
2020-06-24,1,0,1.7
2020-06-25,0,0,1.7
2020-06-26,1,0,2.5
2020-06-27,1,0,3.3
2020-06-28,0,0,3.3
2020-06-29,0,0,3.3
2020-06-30,0,0,2.5
2020-07-01,0,0,1.6
2020-07-02,0,0,1.6
2020-07-03,0,0,0.8
2020-07-04,0,0,0.0
2020-07-05,0,0,0.0
2020-07-06,0,0,0.0
2020-07-07,1,0,0.8
2020-07-08,0,0,0.8
2020-07-09,0,0,0.8
2020-07-10,0,0,0.8
2020-07-11,0,0,0.8
2020-07-12,0,0,0.8
2020-07-13,1,0,1.6
2020-07-14,0,0,0.8
2020-07-15,0,0,0.8
2020-07-16,1,0,1.7
2020-07-17,0,0,1.7
2020-07-18,1,0,2.5
2020-07-19,0,0,2.5
2020-07-20,0,0,1.7
2020-07-21,1,0,2.5
2020-07-22,0,0,2.5
2020-07-23,1,0,2.4
2020-07-24,0,0,2.4
2020-07-25,1,0,2.4
2020-07-26,0,0,2.4
2020-07-27,0,0,2.4
2020-07-28,1,0,2.5
2020-07-29,0,0,2.5
2020-07-30,1,0,2.5
2020-07-31,0,1,2.5
2020-08-01,0,1,1.7
2020-08-02,0,0,1.7
2020-08-03,0,0,1.7
2020-08-04,0,0,0.8
2020-08-05,0,0,0.8
2020-08-06,2,0,1.6
2020-08-07,0,0,1.6
2020-08-08,1,0,2.4
2020-08-09,0,2,2.4
2020-08-10,2,1,4.1
2020-08-11,0,0,4.1
2020-08-12,0,2,4.1
2020-08-13,0,0,2.5
2020-08-14,0,0,2.5
2020-08-15,0,0,1.7
2020-08-16,0,0,1.7
2020-08-17,0,0,0.0
2020-08-18,0,0,0.0
2020-08-19,1,0,0.8
2020-08-20,2,0,2.4
2020-08-21,0,0,2.4
2020-08-22,0,1,2.4
2020-08-23,0,0,2.4
2020-08-24,0,0,2.4
2020-08-25,1,0,3.3
2020-08-26,5,2,6.6
2020-08-27,4,0,8.2
2020-08-28,3,0,10.7
2020-08-29,0,3,10.7
2020-08-30,1,6,11.5
2020-08-31,2,3,13.2
2020-09-01,3,2,14.7
2020-09-02,6,2,15.5
2020-09-03,1,2,13.1
2020-09-04,4,4,13.9
2020-09-05,4,0,17.2
2020-09-06,2,4,18.0
2020-09-07,2,6,18.0
2020-09-08,2,1,17.2
2020-09-09,6,3,17.2
2020-09-10,1,2,17.3
2020-09-11,2,5,15.6
2020-09-12,3,1,14.8
2020-09-13,1,4,14.0
2020-09-14,1,2,13.1
2020-09-15,2,4,13.1
2020-09-16,2,0,9.9
2020-09-17,6,2,13.9
2020-09-18,2,3,13.9
2020-09-19,4,7,14.7
2020-09-20,2,0,15.5
2020-09-21,4,3,18.0
2020-09-22,5,3,20.5
2020-09-23,8,4,25.4
2020-09-24,10,5,28.7
2020-09-25,12,10,36.9
2020-09-26,7,10,39.4
2020-09-27,4,8,41.0
2020-09-28,7,3,43.5
2020-09-29,12,9,49.2
2020-09-30,15,11,54.9
2020-10-01,14,14,58.2
2020-10-02,16,15,61.5
2020-10-03,11,10,64.7
2020-10-04,14,16,73.0
2020-10-05,33,12,94.2
2020-10-06,36,14,113.9
2020-10-07,39,29,133.6
2020-10-08,57,36,168.8
2020-10-09,27,45,177.8
2020-10-10,43,36,204.1
2020-10-11,36,32,222.1
2020-10-12,43,46,230.3
2020-10-13,44,45,236.9
2020-10-14,48,39,244.2
2020-10-15,41,41,231.1
2020-10-16,31,41,234.4
2020-10-17,27,38,221.3
2020-10-18,19,17,207.3
2020-10-19,36,34,201.7
2020-10-20,53,44,209.0
2020-10-21,50,34,210.7
2020-10-22,50,49,218.1
2020-10-23,48,39,232.0
2020-10-24,27,57,231.9
2020-10-25,33,51,243.5
2020-10-26,33,40,240.9
2020-10-27,72,36,256.5
2020-10-28,37,32,245.9
2020-10-29,21,56,222.1
2020-10-30,24,36,202.4
2020-10-31,18,19,195.1
2020-11-01,27,31,190.1
2020-11-02,27,23,185.2
2020-11-03,34,29,154.1
2020-11-04,30,33,148.3
2020-11-05,39,22,163.1
2020-11-06,35,29,172.2
2020-11-07,25,45,177.8
2020-11-08,30,34,180.3
2020-11-09,30,29,182.8
2020-11-10,26,27,176.2
2020-11-11,32,27,177.9
2020-11-12,43,23,181.1
2020-11-13,22,22,170.4
2020-11-14,16,45,163.1
2020-11-15,16,32,151.7
2020-11-16,24,12,146.7
2020-11-17,28,26,148.4
2020-11-18,33,26,149.1
2020-11-19,37,29,144.3
2020-11-20,18,35,141.0
2020-11-21,24,25,147.6
2020-11-22,18,19,149.1
2020-11-23,22,28,147.6
2020-11-24,37,18,154.9
2020-11-25,19,19,143.5
2020-11-26,19,0,128.6
2020-11-27,21,59,131.1
2020-11-28,18,18,126.2
2020-11-29,13,25,122.1
2020-11-30,25,8,124.5
2020-12-01,27,11,116.4
2020-12-02,24,23,120.4
2020-12-03,30,34,129.5
2020-12-04,23,20,131.2
2020-12-05,22,27,134.4
2020-12-06,26,27,145.1
2020-12-07,33,19,151.7
2020-12-08,37,33,159.8
2020-12-09,26,20,161.5
2020-12-10,27,36,159.0
2020-12-11,29,33,163.9
2020-12-12,23,18,164.7
2020-12-13,20,38,159.8
2020-12-14,45,36,169.6
2020-12-15,25,26,159.8
2020-12-16,26,36,159.8
2020-12-17,25,22,158.2
2020-12-18,37,18,164.7
2020-12-19,22,19,164.0
2020-12-20,36,30,177.1
2020-12-21,40,37,173.0
2020-12-22,62,43,203.3
2020-12-23,19,48,197.5
2020-12-24,26,53,198.4
2020-12-25,17,0,182.0
2020-12-26,36,0,193.4
2020-12-27,48,0,203.2
2020-12-28,51,0,212.2
2020-12-29,89,161,234.4
2020-12-30,102,63,302.5
2020-12-31,65,79,334.4
2021-01-01,24,0,340.1
2021-01-02,72,0,369.6
2021-01-03,62,0,381.2
2021-01-04,55,0,384.4
2021-01-05,72,324,370.4
2021-01-06,70,57,344.2
2021-01-07,42,66,325.3
2021-01-08,58,51,353.3
2021-01-09,37,34,324.6
2021-01-10,39,50,305.7
2021-01-11,51,53,302.5
2021-01-12,48,53,282.8
2021-01-13,48,46,264.7
2021-01-14,50,41,271.3
2021-01-15,48,60,263.1
2021-01-16,34,55,260.6
2021-01-17,45,37,265.5
2021-01-18,48,43,263.1
2021-01-19,42,35,258.2
2021-01-20,59,49,267.2
2021-01-21,26,44,247.5
2021-01-22,30,49,232.7
2021-01-23,42,31,239.4
2021-01-24,25,23,223.0
2021-01-25,34,44,211.4
2021-01-26,38,29,208.2
2021-01-27,30,41,184.5
2021-01-28,26,29,184.5
2021-01-29,24,35,179.5
2021-01-30,22,19,163.1
2021-01-31,29,37,166.3
2021-02-01,34,21,166.4
2021-02-02,27,24,157.3
2021-02-03,28,33,155.7
2021-02-04,26,20,155.7
2021-02-05,30,32,160.7
2021-02-06,23,25,161.4
2021-02-07,25,15,158.2
2021-02-08,40,28,163.1
2021-02-09,71,24,199.2
2021-02-10,98,46,256.5
2021-02-11,59,79,283.6
2021-02-12,63,93,310.6
2021-02-13,14,61,303.3
2021-02-14,25,55,303.3
2021-02-15,58,31,318.0
2021-02-16,23,16,278.7
2021-02-17,32,69,224.6
2021-02-18,37,14,206.5
2021-02-19,26,44,176.2
2021-02-20,24,27,184.4
2021-02-21,18,26,178.6
2021-02-22,17,22,145.1
2021-02-23,20,15,142.6
2021-02-24,19,20,131.9
2021-02-25,22,24,119.7
2021-02-26,8,17,104.9
2021-02-27,8,15,91.8
2021-02-28,4,6,80.4
2021-03-01,15,10,78.7
2021-03-02,11,7,71.3
2021-03-03,6,18,60.7
2021-03-04,14,8,54.1
2021-03-05,4,6,50.8
2021-03-06,16,11,57.4
2021-03-07,6,6,59.0
2021-03-08,22,12,64.7
2021-03-09,7,11,61.4
2021-03-10,13,19,67.2
2021-03-11,5,11,59.8
2021-03-12,17,10,70.5
2021-03-13,20,5,73.7
2021-03-14,11,16,77.8
2021-03-15,15,16,72.1
2021-03-16,14,11,77.9
2021-03-17,17,23,81.1
2021-03-18,9,19,84.4
2021-03-19,9,15,77.9
2021-03-20,1,5,62.3
2021-03-21,9,4,60.7
2021-03-22,7,5,54.1
2021-03-23,4,7,45.9
2021-03-24,8,6,38.6
2021-03-25,11,5,40.2
2021-03-26,12,10,42.6
2021-03-27,16,12,54.9
2021-03-28,8,16,54.1
2021-03-29,16,14,61.5
2021-03-30,15,3,70.5
2021-03-31,9,18,71.3
2021-04-01,20,15,78.7
2021-04-02,9,0,76.2
2021-04-03,6,0,68.1
2021-04-04,5,0,65.6
2021-04-05,11,0,61.5
2021-04-06,11,52,58.2
2021-04-07,1,8,51.6
2021-04-08,7,8,40.9
2021-04-09,7,8,39.4
2021-04-10,7,4,40.1
2021-04-11,2,9,37.7
2021-04-12,1,3,29.5
2021-04-13,3,1,22.9
2021-04-14,4,2,25.4
2021-04-15,12,3,29.5
2021-04-16,5,9,27.8
2021-04-17,5,11,26.2
2021-04-18,7,4,30.3
2021-04-19,14,9,41.0
2021-04-20,12,6,48.4
2021-04-21,8,12,51.6
2021-04-22,10,13,50.0
2021-04-23,5,12,50.0
2021-04-24,2,3,47.6
2021-04-25,2,0,43.4
2021-04-26,14,8,43.4
2021-04-27,0,4,33.6
2021-04-28,10,10,35.3
2021-04-29,10,6,35.3
2021-04-30,4,16,34.5
2021-05-01,0,11,34.5
