date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-02-28,1,0,0.0
2020-02-29,0,0,0.0
2020-03-01,0,0,0.0
2020-03-02,0,0,0.0
2020-03-03,0,0,0.0
2020-03-04,0,0,0.0
2020-03-05,0,0,0.0
2020-03-06,0,0,0.0
2020-03-07,0,0,0.0
2020-03-08,0,0,0.0
2020-03-09,0,0,0.0
2020-03-10,2,0,0.6
2020-03-11,2,0,1.2
2020-03-12,2,0,1.7
2020-03-13,4,0,2.9
2020-03-14,0,0,2.9
2020-03-15,0,0,2.9
2020-03-16,2,0,3.5
2020-03-17,1,0,3.2
2020-03-18,1,0,2.9
2020-03-19,2,0,3.0
2020-03-20,0,0,1.8
2020-03-21,0,0,1.8
2020-03-22,2,0,2.3
2020-03-23,2,0,2.3
2020-03-24,0,0,2.0
2020-03-25,4,0,2.9
2020-03-26,3,0,3.2
2020-03-27,3,0,4.0
2020-03-28,3,0,4.9
2020-03-29,10,0,7.3
2020-03-30,12,0,10.2
2020-03-31,14,0,14.3
2020-04-01,9,0,15.7
2020-04-02,7,0,16.9
2020-04-03,10,0,19.0
2020-04-04,14,0,22.2
2020-04-05,10,0,22.2
2020-04-06,20,0,24.5
2020-04-07,20,0,26.2
2020-04-08,20,0,29.4
2020-04-09,9,0,30.0
2020-04-10,22,0,33.5
2020-04-11,6,0,31.1
2020-04-12,16,0,32.9
2020-04-13,17,0,32.0
2020-04-14,27,0,34.1
2020-04-15,25,0,35.6
2020-04-16,21,0,39.0
2020-04-17,13,28,36.4
2020-04-18,13,12,38.5
2020-04-19,23,18,40.5
2020-04-20,32,7,44.9
2020-04-21,21,9,43.1
2020-04-22,23,40,42.5
2020-04-23,29,26,44.9
2020-04-24,42,17,53.3
2020-04-25,38,23,60.6
2020-04-26,39,20,65.3
2020-04-27,44,29,68.8
2020-04-28,42,11,74.9
2020-04-29,48,27,82.2
2020-04-30,54,28,89.4
2020-05-01,46,17,90.6
2020-05-02,19,28,85.1
2020-05-03,27,4,81.5
2020-05-04,20,3,74.6
2020-05-05,28,41,70.5
2020-05-06,22,22,62.9
2020-05-07,19,19,52.8
2020-05-08,14,17,43.5
2020-05-09,16,11,42.5
2020-05-10,12,11,38.2
2020-05-11,43,9,44.8
2020-05-12,26,2,44.3
2020-05-13,30,14,46.7
2020-05-14,28,12,49.2
2020-05-15,23,9,51.8
2020-05-16,20,17,53.0
2020-05-17,20,11,55.4
2020-05-18,24,0,49.9
2020-05-19,21,5,48.4
2020-05-20,14,28,43.7
2020-05-21,30,10,44.3
2020-05-22,16,13,42.3
2020-05-23,9,5,39.1
2020-05-24,10,3,36.1
2020-05-25,47,6,42.8
2020-05-26,13,2,40.5
2020-05-27,17,11,41.3
2020-05-28,14,0,36.7
2020-05-29,15,2,36.4
2020-05-30,8,8,36.1
2020-05-31,5,2,34.7
2020-06-01,8,5,23.3
2020-06-02,4,2,20.7
2020-06-03,7,0,17.8
2020-06-04,4,11,14.9
2020-06-05,6,0,12.2
2020-06-06,7,5,12.0
2020-06-07,6,0,12.2
2020-06-08,11,0,13.1
2020-06-09,13,3,15.7
2020-06-10,10,3,16.6
2020-06-11,8,0,17.8
2020-06-12,3,8,16.9
2020-06-13,12,1,18.3
2020-06-14,8,2,19.0
2020-06-15,5,3,17.2
2020-06-16,18,0,18.7
2020-06-17,9,4,18.4
2020-06-18,9,3,18.6
2020-06-19,5,3,19.3
2020-06-20,2,1,16.3
2020-06-21,1,1,14.2
2020-06-22,6,0,14.6
2020-06-23,4,1,10.4
2020-06-24,0,0,7.8
2020-06-25,0,2,5.2
2020-06-26,3,0,4.6
2020-06-27,2,0,4.7
2020-06-28,0,0,4.4
2020-06-29,2,1,3.2
2020-06-30,2,0,2.7
2020-07-01,2,661,3.3
2020-07-02,3,1,4.1
2020-07-03,2,5,3.8
2020-07-04,1,3,3.5
2020-07-05,0,2,3.5
2020-07-06,4,0,4.1
2020-07-07,0,0,3.5
2020-07-08,2,1,3.4
2020-07-09,0,3,2.6
2020-07-10,1,1,2.3
2020-07-11,2,0,2.6
2020-07-12,0,1,2.6
2020-07-13,0,1,1.4
2020-07-14,0,0,1.4
2020-07-15,0,0,0.9
2020-07-16,0,0,0.9
2020-07-17,1,0,0.9
2020-07-18,1,0,0.6
2020-07-19,1,1,0.9
2020-07-20,0,1,0.9
2020-07-21,1,1,1.2
2020-07-22,0,0,1.2
2020-07-23,0,0,1.2
2020-07-24,3,0,1.8
2020-07-25,0,1,1.5
2020-07-26,0,0,1.2
2020-07-27,3,2,2.0
2020-07-28,0,1,1.7
2020-07-29,1,1,2.0
2020-07-30,0,1,2.0
2020-07-31,0,1,1.1
2020-08-01,0,1,1.1
2020-08-02,1,0,1.4
2020-08-03,2,0,1.2
2020-08-04,0,1,1.2
2020-08-05,1,1,1.2
2020-08-06,1,0,1.5
2020-08-07,0,0,1.5
2020-08-08,0,0,1.5
2020-08-09,1,2,1.5
2020-08-10,6,0,2.6
2020-08-11,2,1,3.2
2020-08-12,3,2,3.8
2020-08-13,2,0,4.1
2020-08-14,1,8,4.4
2020-08-15,1,1,4.6
2020-08-16,0,0,4.3
2020-08-17,1,3,2.9
2020-08-18,3,0,3.2
2020-08-19,8,1,4.6
2020-08-20,3,2,4.9
2020-08-21,4,4,5.8
2020-08-22,1,5,5.9
2020-08-23,1,5,6.2
2020-08-24,7,1,7.9
2020-08-25,1,3,7.3
2020-08-26,0,3,5.0
2020-08-27,2,4,4.7
2020-08-28,2,2,4.1
2020-08-29,3,1,4.6
2020-08-30,1,2,4.6
2020-08-31,4,1,3.8
2020-09-01,5,3,5.0
2020-09-02,8,2,7.3
2020-09-03,4,3,7.8
2020-09-04,6,5,9.0
2020-09-05,4,3,9.4
2020-09-06,0,7,9.1
2020-09-07,14,9,11.9
2020-09-08,9,2,13.1
2020-09-09,21,13,16.9
