date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-11,4,0,0.0
2020-03-12,2,0,0.4
2020-03-13,1,0,0.6
2020-03-14,0,0,0.6
2020-03-15,0,0,0.6
2020-03-16,1,0,0.7
2020-03-17,6,0,1.8
2020-03-18,3,0,2.3
2020-03-19,4,0,2.7
2020-03-20,4,0,3.2
2020-03-21,4,0,3.9
2020-03-22,4,0,4.6
2020-03-23,5,0,5.4
2020-03-24,9,0,5.9
2020-03-25,11,0,7.4
2020-03-26,14,0,9.1
2020-03-27,13,0,10.7
2020-03-28,8,0,11.4
2020-03-29,12,0,12.9
2020-03-30,14,0,14.5
2020-03-31,26,0,17.5
2020-04-01,22,0,19.5
2020-04-02,17,0,20.0
2020-04-03,13,0,20.1
2020-04-04,21,0,22.4
2020-04-05,12,0,22.4
2020-04-06,19,0,23.3
2020-04-07,28,0,23.7
2020-04-08,18,0,22.9
2020-04-09,27,0,24.7
2020-04-10,18,0,25.5
2020-04-11,12,0,24.0
2020-04-12,13,0,24.1
2020-04-13,17,0,23.8
2020-04-14,13,0,21.1
2020-04-15,21,0,21.6
2020-04-16,20,0,20.4
2020-04-17,25,13,21.7
2020-04-18,24,24,23.8
2020-04-19,17,13,24.5
2020-04-20,13,16,23.8
2020-04-21,29,8,26.6
2020-04-22,33,14,28.8
2020-04-23,18,8,28.5
2020-04-24,32,12,29.7
2020-04-25,33,8,31.3
2020-04-26,29,5,33.5
2020-04-27,25,17,35.6
2020-04-28,51,3,39.6
2020-04-29,28,28,38.7
2020-04-30,51,18,44.5
2020-05-01,21,10,42.6
2020-05-02,18,8,39.9
2020-05-03,34,5,40.8
2020-05-04,29,9,41.5
2020-05-05,22,11,36.3
2020-05-06,27,14,36.1
2020-05-07,20,12,30.6
2020-05-08,20,7,30.4
2020-05-09,15,0,29.9
2020-05-10,26,2,28.4
2020-05-11,38,0,30.0
2020-05-12,11,2,28.1
2020-05-13,21,2,27.1
2020-05-14,15,0,26.1
2020-05-15,3,3,23.1
2020-05-16,2,6,20.7
2020-05-17,7,2,17.4
2020-05-18,7,2,11.8
2020-05-19,17,1,12.9
2020-05-20,14,1,11.6
2020-05-21,4,2,9.7
2020-05-22,24,5,13.4
2020-05-23,1,1,13.3
2020-05-24,13,12,14.3
2020-05-25,16,2,16.0
2020-05-26,11,0,14.8
2020-05-27,12,11,14.5
2020-05-28,9,8,15.4
2020-05-29,7,0,12.4
2020-05-30,3,6,12.7
2020-05-31,4,2,11.1
2020-06-01,4,1,8.9
2020-06-02,12,4,9.2
2020-06-03,5,2,7.9
2020-06-04,5,6,7.2
2020-06-05,3,0,6.4
2020-06-06,4,3,6.6
2020-06-07,0,0,5.9
2020-06-08,2,2,5.6
2020-06-09,5,1,4.3
2020-06-10,8,0,4.8
2020-06-11,4,1,4.6
2020-06-12,9,1,5.7
2020-06-13,10,1,6.8
2020-06-14,6,5,7.9
2020-06-15,10,3,9.3
2020-06-16,11,2,10.3
2020-06-17,11,5,10.9
2020-06-18,1,14,10.4
2020-06-19,10,3,10.6
2020-06-20,4,2,9.5
2020-06-21,3,2,8.9
2020-06-22,3,1,7.7
