date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-02-01,0,0,0
2020-02-02,0,0,0
2020-02-03,0,0,0
2020-02-04,0,0,0
2020-02-05,0,0,0
2020-02-06,0,0,0
2020-02-07,0,0,0
2020-02-08,0,0,0
2020-02-09,0,0,0
2020-02-10,0,0,0
2020-02-11,0,0,0
2020-02-12,0,0,0
2020-02-13,0,0,0
2020-02-14,0,0,0
2020-02-15,0,0,0
2020-02-16,0,0,0
2020-02-17,0,0,0
2020-02-18,0,0,0
2020-02-19,0,0,0
2020-02-20,0,0,0
2020-02-21,0,0,0
2020-02-22,0,0,0
2020-02-23,0,0,0
2020-02-24,0,0,0
2020-02-25,0,0,0
2020-02-26,0,0,0
2020-02-27,0,0,0
2020-02-28,0,0,0
2020-02-29,0,0,0
2020-03-01,0,0,0
2020-03-02,0,0,0
2020-03-03,0,0,0
2020-03-04,1,0,0.6
2020-03-05,0,0,0.6
2020-03-06,0,0,0.6
2020-03-07,0,0,0.6
2020-03-08,0,0,0.6
2020-03-09,0,0,0.6
2020-03-10,1,0,1.2
2020-03-11,0,0,0.6
2020-03-12,0,0,0.6
2020-03-13,0,0,0.6
2020-03-14,2,0,1.9
2020-03-15,1,0,2.5
2020-03-16,1,0,3.1
2020-03-17,2,0,3.8
2020-03-18,4,0,6.3
2020-03-19,0,0,6.3
2020-03-20,5,0,9.4
2020-03-21,2,0,9.3
2020-03-22,4,0,11.2
2020-03-23,5,0,13.7
2020-03-24,8,0,17.4
2020-03-25,7,0,19.2
2020-03-26,4,0,21.7
2020-03-27,7,0,23.0
2020-03-28,15,0,31.1
2020-03-29,12,0,36.0
2020-03-30,14,0,41.6
2020-03-31,7,0,41.0
2020-04-01,10,0,42.9
2020-04-02,6,0,44.1
2020-04-03,9,0,45.3
2020-04-04,3,0,37.9
2020-04-05,9,0,36.1
2020-04-06,6,0,31.1
2020-04-07,7,0,31.1
2020-04-08,11,0,31.7
2020-04-09,13,0,36.1
2020-04-10,12,0,38.0
2020-04-11,10,0,42.3
2020-04-12,6,0,40.4
2020-04-13,12,0,44.2
2020-04-14,8,0,44.7
2020-04-15,9,0,43.5
2020-04-16,44,0,62.8
2020-04-17,17,0,65.8
2020-04-18,27,0,76.4
2020-04-19,8,0,77.7
2020-04-20,31,0,89.5
2020-04-21,20,0,97.0
2020-04-22,13,0,99.5
2020-04-23,27,0,88.8
2020-04-24,5,0,81.5
2020-04-25,8,0,69.6
2020-04-26,18,0,75.8
2020-04-27,14,0,65.2
2020-04-28,14,0,61.5
2020-04-29,17,0,64.0
2020-04-30,10,0,53.5
2020-05-01,9,0,55.9
2020-05-02,3,0,52.9
2020-05-03,7,0,46.0
2020-05-04,5,0,40.4
2020-05-05,11,0,38.6
2020-05-06,4,0,30.4
2020-05-07,10,0,30.5
2020-05-08,2,0,26.1
2020-05-09,1,0,24.8
2020-05-10,1,0,21.1
2020-05-11,5,0,21.2
2020-05-12,1,0,14.9
2020-05-13,3,0,14.3
2020-05-14,3,0,9.9
2020-05-15,1,0,9.3
2020-05-16,6,0,12.5
2020-05-17,12,0,19.3
2020-05-18,1,0,16.7
2020-05-19,1,0,16.8
2020-05-20,3,0,16.8
2020-05-21,4,0,17.4
2020-05-22,2,0,18.0
2020-05-23,1,0,14.9
2020-05-24,1,0,8.1
2020-05-25,0,0,7.5
2020-05-26,0,0,6.8
2020-05-27,0,0,5.0
2020-05-28,0,0,2.5
2020-05-29,7,0,5.6
2020-05-30,5,0,8.0
2020-05-31,0,0,7.4
2020-06-01,1,0,8.1
2020-06-02,2,0,9.3
2020-06-03,1,0,9.9
2020-06-04,2,0,11.2
2020-06-05,0,0,6.9
2020-06-06,0,0,3.8
2020-06-07,1,0,4.4
2020-06-08,0,0,3.7
2020-06-09,1,0,3.1
2020-06-10,2,0,3.8
2020-06-11,1,0,3.1
2020-06-12,2,0,4.3
2020-06-13,2,0,5.6
2020-06-14,0,0,5.0
2020-06-15,1,0,5.6
2020-06-16,2,0,6.2
2020-06-17,1,0,5.6
2020-06-18,1,0,5.6
2020-06-19,2,0,5.6
2020-06-20,1,0,4.9
2020-06-21,0,0,4.9
2020-06-22,2,0,5.6
