date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-02-01,0,0,0
2020-02-02,0,0,0
2020-02-03,0,0,0
2020-02-04,0,0,0
2020-02-05,0,0,0
2020-02-06,0,0,0
2020-02-07,0,0,0
2020-02-08,0,0,0
2020-02-09,0,0,0
2020-02-10,0,0,0
2020-02-11,0,0,0
2020-02-12,0,0,0
2020-02-13,0,0,0
2020-02-14,0,0,0
2020-02-15,0,0,0
2020-02-16,0,0,0
2020-02-17,0,0,0
2020-02-18,0,0,0
2020-02-19,0,0,0
2020-02-20,0,0,0
2020-02-21,0,0,0
2020-02-22,0,0,0
2020-02-23,0,0,0
2020-02-24,0,0,0
2020-02-25,0,0,0
2020-02-26,1,0,0.2
2020-02-27,1,0,0.3
2020-02-28,0,0,0.3
2020-02-29,0,0,0.3
2020-03-01,0,0,0.3
2020-03-02,0,0,0.3
2020-03-03,0,0,0.3
2020-03-04,1,0,0.3
2020-03-05,0,0,0.2
2020-03-06,0,0,0.2
2020-03-07,0,0,0.2
2020-03-08,1,0,0.3
2020-03-09,1,0,0.5
2020-03-10,0,0,0.5
2020-03-11,2,0,0.6
2020-03-12,2,0,0.9
2020-03-13,3,0,1.4
2020-03-14,0,0,1.4
2020-03-15,3,0,1.8
2020-03-16,4,0,2.2
2020-03-17,5,0,3.0
2020-03-18,9,0,4.1
2020-03-19,2,0,4.1
2020-03-20,7,0,4.7
2020-03-21,9,0,6.1
2020-03-22,8,0,6.9
2020-03-23,7,0,7.4
2020-03-24,14,0,8.8
2020-03-25,24,0,11.1
2020-03-26,15,0,13.2
2020-03-27,19,0,15.1
2020-03-28,23,0,17.3
2020-03-29,17,0,18.6
2020-03-30,33,0,22.7
2020-03-31,30,0,25.2
2020-04-01,34,0,26.9
2020-04-02,31,0,29.3
2020-04-03,33,0,31.5
2020-04-04,44,0,34.8
2020-04-05,31,0,37.1
2020-04-06,36,0,37.5
2020-04-07,54,0,41.3
2020-04-08,58,0,45.0
2020-04-09,41,0,46.7
2020-04-10,63,0,51.3
2020-04-11,32,0,49.5
2020-04-12,38,0,50.5
2020-04-13,40,0,51.2
2020-04-14,27,0,46.9
2020-04-15,42,0,44.4
2020-04-16,58,0,47.0
2020-04-17,28,57,41.6
2020-04-18,36,62,42.2
2020-04-19,37,17,42.1
2020-04-20,21,30,39.1
2020-04-21,37,38,40.7
2020-04-22,31,17,39.0
2020-04-23,44,32,36.8
2020-04-24,41,32,38.8
2020-04-25,35,31,38.6
2020-04-26,17,14,35.5
2020-04-27,41,14,38.6
2020-04-28,38,27,38.8
2020-04-29,33,13,39.1
2020-04-30,26,29,36.2
2020-05-01,39,33,36.0
2020-05-02,26,14,34.5
2020-05-03,27,3,36.1
2020-05-04,30,12,34.4
2020-05-05,23,24,32.0
2020-05-06,23,1,30.4
2020-05-07,20,24,29.5
2020-05-08,24,23,27.1
2020-05-09,4,10,23.7
2020-05-10,5,2,20.2
2020-05-11,37,1,21.3
2020-05-12,21,2,21.0
2020-05-13,25,0,21.4
2020-05-14,8,4,19.5
2020-05-15,12,3,17.6
2020-05-16,6,5,17.9
2020-05-17,6,3,18.1
2020-05-18,7,1,13.4
2020-05-19,12,7,12.0
2020-05-20,6,1,8.9
2020-05-21,7,0,8.8
2020-05-22,6,4,7.8
2020-05-23,2,2,7.3
2020-05-24,5,3,7.0
2020-05-25,5,2,6.7
2020-05-26,6,3,5.8
2020-05-27,7,1,6.0
2020-05-28,2,0,5.2
2020-05-29,3,1,4.7
2020-05-30,2,3,4.7
2020-05-31,3,1,4.4
2020-06-01,4,0,4.3
2020-06-02,1,0,3.4
2020-06-03,3,2,2.8
2020-06-04,4,0,3.1
2020-06-05,1,0,2.9
2020-06-06,1,1,2.6
2020-06-07,0,0,2.2
2020-06-08,0,0,1.5
2020-06-09,0,1,1.4
2020-06-10,3,0,1.4
2020-06-11,2,0,1.1
2020-06-12,4,0,1.5
2020-06-13,1,1,1.6
2020-06-14,1,1,1.8
2020-06-15,1,1,1.9
2020-06-16,1,0,2.1
2020-06-17,2,0,1.9
2020-06-18,2,1,1.9
2020-06-19,0,0,1.3
2020-06-20,0,0,1.1
2020-06-21,2,0,1.2
