date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-07,1,0,0.0
2020-03-08,0,0,0.0
2020-03-09,0,0,0.0
2020-03-10,3,0,1.1
2020-03-11,4,0,2.5
2020-03-12,6,0,4.5
2020-03-13,5,0,6.3
2020-03-14,2,0,7.0
2020-03-15,6,0,9.0
2020-03-16,5,0,10.8
2020-03-17,14,0,14.5
2020-03-18,12,0,17.3
2020-03-19,6,0,17.3
2020-03-20,14,0,20.4
2020-03-21,18,0,25.9
2020-03-22,6,0,26.0
2020-03-23,13,0,28.7
2020-03-24,16,0,29.4
2020-03-25,17,0,31.1
2020-03-26,10,0,32.6
2020-03-27,18,0,33.9
2020-03-28,14,0,32.5
2020-03-29,11,0,34.2
2020-03-30,16,0,35.3
2020-03-31,30,0,40.2
2020-04-01,32,0,45.3
2020-04-02,27,0,51.2
2020-04-03,26,0,54.0
2020-04-04,15,0,54.4
2020-04-05,25,0,59.2
2020-04-06,36,0,66.1
2020-04-07,20,0,62.6
2020-04-08,26,0,60.6
2020-04-09,21,0,58.4
2020-04-10,19,0,56.0
2020-04-11,16,0,56.3
2020-04-12,15,0,52.9
2020-04-13,11,0,44.2
2020-04-14,31,0,48.1
2020-04-15,16,0,44.6
2020-04-16,13,0,41.9
2020-04-17,12,24,39.5
2020-04-18,10,22,37.4
2020-04-19,8,5,35.0
2020-04-20,9,4,34.3
2020-04-21,10,8,27.0
2020-04-22,14,7,26.3
2020-04-23,12,8,26.0
2020-04-24,14,5,26.6
2020-04-25,10,10,26.7
2020-04-26,11,5,27.7
2020-04-27,10,4,28.0
2020-04-28,11,8,28.3
2020-04-29,22,1,31.1
2020-04-30,10,3,30.4
2020-05-01,11,4,29.4
2020-05-02,3,11,26.9
2020-05-03,1,2,23.5
2020-05-04,6,6,22.2
2020-05-05,6,6,20.4
2020-05-06,4,2,14.2
2020-05-07,9,6,13.8
2020-05-08,10,0,13.5
2020-05-09,2,3,13.2
2020-05-10,6,2,14.9
2020-05-11,4,1,14.1
2020-05-12,7,6,14.6
2020-05-13,10,0,16.6
2020-05-14,2,3,14.2
2020-05-15,7,4,13.1
2020-05-16,3,5,13.5
2020-05-17,2,1,12.1
2020-05-18,5,1,12.5
2020-05-19,5,0,11.7
2020-05-20,1,2,8.7
2020-05-21,5,1,9.7
2020-05-22,1,1,7.7
2020-05-23,3,4,7.6
2020-05-24,0,1,6.9
2020-05-25,3,1,6.2
2020-05-26,5,1,6.3
2020-05-27,3,0,6.9
2020-05-28,1,2,5.5
2020-05-29,5,3,6.9
2020-05-30,0,1,5.9
2020-05-31,1,0,6.2
2020-06-01,1,1,5.6
2020-06-02,3,0,4.8
2020-06-03,3,1,4.8
2020-06-04,3,1,5.6
2020-06-05,3,0,4.8
2020-06-06,1,0,5.2
2020-06-07,1,2,5.2
2020-06-08,2,0,5.5
2020-06-09,5,2,6.2
2020-06-10,1,0,5.6
2020-06-11,1,0,4.8
2020-06-12,3,1,4.9
2020-06-13,0,0,4.5
2020-06-14,0,1,4.2
2020-06-15,1,0,3.8
2020-06-16,1,1,2.5
2020-06-17,3,0,3.1
2020-06-18,3,3,3.8
2020-06-19,1,1,3.1
2020-06-20,0,1,3.1
2020-06-21,0,0,3.1
2020-06-22,4,0,4.2
2020-06-23,2,1,4.5
2020-06-24,0,1,3.5
2020-06-25,1,0,2.8
2020-06-26,0,3,2.4
2020-06-27,0,0,2.4
2020-06-28,1,0,2.7
2020-06-29,1,0,1.7
2020-06-30,1,0,1.3
2020-07-01,0,229,1.3
2020-07-02,1,0,1.4
2020-07-03,1,1,1.7
2020-07-04,1,1,2.1
2020-07-05,2,0,2.5
2020-07-06,1,1,2.4
2020-07-07,2,0,2.8
2020-07-08,1,2,3.2
2020-07-09,0,2,2.8
2020-07-10,1,0,2.8
2020-07-11,1,1,2.7
2020-07-12,1,3,2.4
2020-07-13,2,0,2.8
2020-07-14,0,1,2.1
2020-07-15,3,2,2.7
2020-07-16,1,1,3.1
2020-07-17,1,1,3.1
2020-07-18,0,2,2.8
2020-07-19,0,0,2.4
2020-07-20,0,0,1.7
2020-07-21,4,1,3.1
2020-07-22,4,0,3.5
2020-07-23,3,3,4.1
2020-07-24,2,2,4.5
2020-07-25,3,4,5.5
2020-07-26,4,6,6.9
2020-07-27,3,1,8.0
2020-07-28,0,4,6.6
2020-07-29,0,3,5.2
2020-07-30,6,1,6.2
2020-07-31,1,1,5.9
2020-08-01,1,1,5.2
2020-08-02,2,5,4.5
2020-08-03,1,1,3.8
2020-08-04,2,2,4.5
2020-08-05,5,2,6.2
2020-08-06,3,5,5.2
2020-08-07,0,2,4.8
2020-08-08,0,1,4.5
2020-08-09,1,2,4.2
2020-08-10,2,0,4.5
2020-08-11,3,3,4.8
2020-08-12,6,1,5.2
2020-08-13,1,0,4.5
2020-08-14,0,9,4.5
2020-08-15,2,1,5.2
2020-08-16,0,0,4.8
2020-08-17,2,3,4.8
2020-08-18,2,0,4.5
2020-08-19,1,3,2.8
2020-08-20,3,0,3.5
2020-08-21,4,1,4.9
2020-08-22,0,2,4.2
2020-08-23,3,1,5.2
2020-08-24,4,1,5.9
2020-08-25,7,4,7.6
2020-08-26,0,6,7.2
2020-08-27,4,6,7.6
2020-08-28,10,2,9.7
2020-08-29,7,6,12.1
2020-08-30,7,8,13.5
2020-08-31,2,4,12.8
2020-09-01,9,5,13.5
2020-09-02,10,3,17.0
2020-09-03,5,4,17.3
2020-09-04,5,11,15.5
2020-09-05,4,2,14.5
2020-09-06,4,5,13.5
2020-09-07,11,5,16.6
2020-09-08,8,6,16.3
2020-09-09,10,2,16.2
2020-09-10,5,4,16.3
2020-09-11,11,11,18.4
2020-09-12,14,5,21.8
2020-09-13,1,10,20.8
2020-09-14,6,11,19.0
2020-09-15,4,6,17.6
2020-09-16,6,6,16.3
2020-09-17,7,9,16.9
2020-09-18,7,11,15.5
2020-09-19,5,2,12.5
2020-09-20,9,1,15.2
2020-09-21,9,8,16.3
2020-09-22,18,6,21.1
2020-09-23,19,11,25.6
2020-09-24,20,16,30.1
2020-09-25,15,21,32.9
2020-09-26,16,12,36.6
2020-09-27,15,12,38.7
2020-09-28,18,10,41.9
2020-09-29,19,14,42.2
2020-09-30,19,8,42.2
2020-10-01,28,11,45.0
2020-10-02,30,12,50.2
2020-10-03,16,21,50.2
2020-10-04,13,42,49.5
2020-10-05,30,27,53.6
2020-10-06,35,26,59.2
2020-10-07,48,33,69.2
2020-10-08,32,19,70.6
2020-10-09,21,43,67.4
2020-10-10,20,33,68.9
2020-10-11,17,14,70.2
2020-10-12,40,22,73.7
2020-10-13,31,27,72.3
2020-10-14,43,50,70.6
2020-10-15,35,35,71.6
2020-10-16,39,29,77.9
2020-10-17,23,27,78.8
2020-10-18,26,44,82.0
2020-10-19,51,48,85.8
2020-10-20,47,23,91.3
2020-10-21,47,59,92.7
2020-10-22,60,53,101.4
2020-10-23,36,33,100.3
2020-10-24,44,43,107.6
2020-10-25,37,52,111.4
2020-10-26,70,30,118.0
2020-10-27,47,39,118.0
2020-10-28,50,81,119.0
2020-10-29,47,51,114.5
2020-10-30,45,71,117.7
2020-10-31,33,30,113.9
2020-11-01,23,66,109.0
2020-11-02,74,43,110.3
2020-11-03,59,33,114.5
2020-11-04,46,65,113.2
2020-11-05,49,57,113.8
2020-11-06,52,49,116.2
2020-11-07,39,52,118.3
2020-11-08,32,36,121.5
2020-11-09,92,70,127.7
2020-11-10,87,25,137.4
2020-11-11,96,39,154.6
2020-11-12,82,121,166.1
2020-11-13,58,76,168.1
2020-11-14,70,77,178.9
2020-11-15,53,81,186.1
2020-11-16,117,37,194.8
2020-11-17,101,61,199.6
2020-11-18,80,64,194.1
2020-11-19,86,114,195.5
2020-11-20,61,86,196.6
2020-11-21,37,69,185.1
2020-11-22,41,106,181.0
2020-11-23,95,48,173.3
2020-11-24,64,50,160.6
2020-11-25,69,85,156.7
2020-11-26,57,75,146.7
2020-11-27,57,56,145.3
2020-11-28,43,55,147.4
2020-11-29,48,54,149.8
2020-11-30,67,57,140.1
2020-12-01,99,62,152.2
2020-12-02,89,71,159.2
2020-12-03,106,63,176.1
2020-12-04,108,93,193.7
2020-12-05,66,102,201.7
2020-12-06,67,106,208.2
2020-12-07,129,79,229.8
2020-12-08,88,67,225.9
2020-12-09,165,82,252.2
2020-12-10,173,120,275.4
2020-12-11,154,166,291.3
2020-12-12,118,166,309.3
2020-12-13,170,80,345.0
2020-12-14,248,182,386.1
2020-12-15,262,114,446.3
2020-12-16,345,198,508.6
2020-12-17,285,155,547.3
2020-12-18,328,252,607.6
2020-12-19,215,206,641.1
2020-12-20,260,314,672.2
2020-12-21,406,322,726.9
2020-12-22,404,327,776.1
2020-12-23,406,311,797.1
2020-12-24,236,326,780.2
2020-12-25,131,344,712.0
2020-12-26,377,213,768.0
2020-12-27,410,270,820.0
2020-12-28,395,370,816.2
2020-12-29,720,533,925.5
2020-12-30,557,390,977.8
2020-12-31,404,429,1035.8
2021-01-01,220,465,1066.7
2021-01-02,474,503,1100.3
2021-01-03,415,450,1101.9
2021-01-04,648,370,1189.4
2021-01-05,480,477,1106.4
2021-01-06,476,563,1078.4
2021-01-07,405,310,1078.8
2021-01-08,401,669,1141.4
2021-01-09,295,510,1079.4
2021-01-10,261,525,1026.2
2021-01-11,374,356,931.4
2021-01-12,320,255,876.0
2021-01-13,317,316,821.0
2021-01-14,296,368,783.3
2021-01-15,295,375,746.6
2021-01-16,203,261,714.8
2021-01-17,187,329,689.2
2021-01-18,318,207,669.8
2021-01-19,248,247,644.9
2021-01-20,253,247,622.8
2021-01-21,203,274,590.6
2021-01-22,170,303,547.3
2021-01-23,137,189,524.5
2021-01-24,72,201,484.7
2021-01-25,129,138,419.4
2021-01-26,135,91,380.3
2021-01-27,139,127,340.8
2021-01-28,137,146,318.0
2021-01-29,101,167,294.1
2021-01-30,73,78,272.0
2021-01-31,81,141,275.1
2021-02-01,91,84,261.9
2021-02-02,100,80,249.8
2021-02-03,76,91,228.0
2021-02-04,83,92,209.3
2021-02-05,67,85,197.6
2021-02-06,43,75,187.1
2021-02-07,37,51,171.9
2021-02-08,48,72,157.0
2021-02-09,57,42,142.2
2021-02-10,42,32,130.4
2021-02-11,34,48,113.5
2021-02-12,34,50,102.0
2021-02-13,21,39,94.5
2021-02-14,25,25,90.3
2021-02-15,32,27,84.8
2021-02-16,32,34,76.1
2021-02-17,22,23,69.2
2021-02-18,36,36,69.8
2021-02-19,31,33,68.9
2021-02-20,23,29,69.5
2021-02-21,18,26,67.2
2021-02-22,23,27,64.0
2021-02-23,23,17,60.9
2021-02-24,26,21,62.3
2021-02-25,16,23,55.4
2021-02-26,20,23,51.5
2021-02-27,16,18,49.2
2021-02-28,15,12,48.0
2021-03-01,21,13,47.4
2021-03-02,21,31,46.7
2021-03-03,23,6,45.6
2021-03-04,11,22,43.9
2021-03-05,13,25,41.5
2021-03-06,8,17,38.7
2021-03-07,11,13,37.4
2021-03-08,22,9,37.7
2021-03-09,21,23,37.7
2021-03-10,11,18,33.6
2021-03-11,12,22,33.9
2021-03-12,20,10,36.4
2021-03-13,10,19,37.0
2021-03-14,6,10,35.3
2021-03-15,21,12,35.0
2021-03-16,14,6,32.5
2021-03-17,14,24,33.6
2021-03-18,27,16,38.8
2021-03-19,11,11,35.6
2021-03-20,6,26,34.3
2021-03-21,29,12,42.2
2021-03-22,21,9,42.2
2021-03-23,32,26,48.4
2021-03-24,13,32,48.0
2021-03-25,12,19,42.9
2021-03-26,13,12,43.6
2021-03-27,6,13,43.6
2021-03-28,13,14,38.1
2021-03-29,14,16,35.6
2021-03-30,9,11,27.7
2021-03-31,9,13,26.3
2021-04-01,12,13,26.3
2021-04-02,5,13,23.5
2021-04-03,3,9,22.5
2021-04-04,5,7,19.7
2021-04-05,4,4,16.3
2021-04-06,4,4,14.6
2021-04-07,4,9,12.8
2021-04-08,10,0,12.1
2021-04-09,4,0,11.8
2021-04-10,6,2,12.8
2021-04-11,8,5,13.8
2021-04-12,9,14,15.5
2021-04-13,7,6,16.6
2021-04-14,5,6,17.0
2021-04-15,7,4,15.9
2021-04-16,6,7,16.6
2021-04-17,7,5,16.9
2021-04-18,6,8,16.3
2021-04-19,8,8,16.0
2021-04-20,9,6,16.6
2021-04-21,9,11,18.0
2021-04-22,8,12,18.4
2021-04-23,4,12,17.6
2021-04-24,5,3,17.0
2021-04-25,7,3,17.3
2021-04-26,7,4,16.9
2021-04-27,3,15,14.8
2021-04-28,12,6,15.9
2021-04-29,6,6,15.2
2021-04-30,8,10,16.6
2021-05-01,3,4,15.9
2021-05-02,5,9,15.2
2021-05-03,9,9,15.9
2021-05-04,8,11,17.7
2021-05-05,13,8,18.0
2021-05-06,8,8,18.7
2021-05-07,3,11,17.0
2021-05-08,7,8,18.3
2021-05-09,8,5,19.4
2021-05-10,16,10,21.8
2021-05-11,8,11,21.8
2021-05-12,10,11,20.8
2021-05-13,14,12,22.8
2021-05-14,12,12,25.9
2021-05-15,13,11,28.0
2021-05-16,9,17,28.4
2021-05-17,9,9,26.0
2021-05-18,11,0,27.0
2021-05-19,16,8,29.0
2021-05-20,14,6,29.1
2021-05-21,13,22,29.5
2021-05-22,6,8,27.0
2021-05-23,12,12,28.0
2021-05-24,11,6,28.7
2021-05-25,14,8,29.7
2021-05-26,22,16,31.8
2021-05-27,12,19,31.1
2021-05-28,24,18,34.9
2021-05-29,12,16,37.1
2021-05-30,10,18,36.3
2021-05-31,20,13,39.4
2021-06-01,20,13,41.5
2021-06-02,19,27,40.5
2021-06-03,24,13,44.6
2021-06-04,18,21,42.6
2021-06-05,17,24,44.2
2021-06-06,19,20,47.4
2021-06-07,26,18,49.5
2021-06-08,29,24,52.6
2021-06-09,23,22,54.0
2021-06-10,25,26,54.3
2021-06-11,26,16,57.0
2021-06-12,21,32,58.5
2021-06-13,19,25,58.5
2021-06-14,26,22,58.5
2021-06-15,30,23,58.9
2021-06-16,35,21,63.0
2021-06-17,28,26,64.1
2021-06-18,26,34,64.0
2021-06-19,25,35,65.4
2021-06-20,19,20,65.4
2021-06-21,50,25,73.7
2021-06-22,46,28,79.2
2021-06-23,49,44,84.0
2021-06-24,55,48,93.4
2021-06-25,55,45,103.5
2021-06-26,57,57,114.5
2021-06-27,62,46,129.4
2021-06-28,93,62,144.2
2021-06-29,110,71,166.4
2021-06-30,82,92,177.9
2021-07-01,100,95,193.4
2021-07-02,71,99,198.9
2021-07-03,86,57,209.0
2021-07-04,73,57,212.7
2021-07-05,135,130,227.4
2021-07-06,99,83,223.5
2021-07-07,112,122,233.9
2021-07-08,104,94,235.2
2021-07-09,116,93,250.9
2021-07-10,97,120,254.6
2021-07-11,95,115,262.3
2021-07-12,166,107,272.9
2021-07-13,164,113,295.5
2021-07-14,188,166,321.7
2021-07-15,234,150,366.8
2021-07-16,202,189,396.5
2021-07-17,134,210,409.3
2021-07-18,124,124,419.3
2021-07-19,192,75,428.4
2021-07-20,166,268,429.0
2021-07-21,167,185,421.8
2021-07-22,131,142,386.1
2021-07-23,116,197,356.3
2021-07-24,91,140,341.5
2021-07-25,89,117,329.4
2021-07-26,145,90,313.1
2021-07-27,134,94,302.0
2021-07-28,135,146,290.9
2021-07-29,121,133,287.5
2021-07-30,83,135,276.1
2021-07-31,104,105,280.6
2021-08-01,85,85,279.2
2021-08-02,100,110,263.6
2021-08-03,118,86,258.1
2021-08-04,131,114,256.8
2021-08-05,142,126,264.0
2021-08-06,115,129,275.1
2021-08-07,88,134,269.5
2021-08-08,84,99,269.2
2021-08-09,107,93,271.6
2021-08-10,106,71,267.5
2021-08-11,135,115,268.8
2021-08-12,119,127,260.8
2021-08-13,111,136,259.5
2021-08-14,86,117,258.8
2021-08-15,98,83,263.6
2021-08-16,101,98,261.6
2021-08-17,123,91,267.4
2021-08-18,113,94,259.8
2021-08-19,103,135,254.3
2021-08-20,77,110,242.5
2021-08-21,79,101,240.1
2021-08-22,74,73,231.8
2021-08-23,114,85,236.3
2021-08-24,108,77,231.1
2021-08-25,88,112,222.5
2021-08-26,96,96,220.1
2021-08-27,73,108,218.6
2021-08-28,78,74,218.3
2021-08-29,48,71,209.3
2021-08-30,94,71,202.4
2021-08-31,115,63,204.8
2021-09-01,89,96,205.1
2021-09-02,111,85,210.3
2021-09-03,104,110,221.1
2021-09-04,77,115,220.8
2021-09-05,67,105,227.3
2021-09-06,94,71,227.3
2021-09-07,125,79,230.8
2021-09-08,90,92,231.2
2021-09-09,85,102,222.2
2021-09-10,77,90,212.8
2021-09-11,53,93,204.4
2021-09-12,60,60,202.1
2021-09-13,107,91,206.5
2021-09-14,85,65,192.7
2021-09-15,78,82,188.5
2021-09-16,70,82,183.3
2021-09-17,59,91,177.1
2021-09-18,70,63,183.1
2021-09-19,62,73,183.7
2021-09-20,91,74,178.2
2021-09-21,79,67,176.1
2021-09-22,74,67,174.7
2021-09-23,86,50,180.3
2021-09-24,77,113,186.5
2021-09-25,54,90,180.9
2021-09-26,77,68,186.2
2021-09-27,118,91,195.5
2021-09-28,107,72,205.2
2021-09-29,66,101,202.4
2021-09-30,79,84,200.0
2021-10-01,78,67,200.4
2021-10-02,64,66,203.8
2021-10-03,80,65,204.8
2021-10-04,91,82,195.5
2021-10-05,77,110,185.1
2021-10-06,85,86,191.7
2021-10-07,81,81,192.3
2021-10-08,95,80,198.2
2021-10-09,72,90,201.0
2021-10-10,69,82,197.2
2021-10-11,122,91,207.9
2021-10-12,75,68,207.2
2021-10-13,113,98,216.9
2021-10-14,111,60,227.3
2021-10-15,86,83,224.2
2021-10-16,102,145,234.6
2021-10-17,96,89,243.9
2021-10-18,119,126,242.9
2021-10-19,119,103,258.1
2021-10-20,125,84,262.3
2021-10-21,115,116,263.7
2021-10-22,97,103,267.4
2021-10-23,81,163,260.2
2021-10-24,68,82,250.5
2021-10-25,131,94,254.6
2021-10-26,101,80,248.5
2021-10-27,77,114,231.8
2021-10-28,121,112,233.9
2021-10-29,90,88,231.5
2021-10-30,72,96,228.3
2021-10-31,80,83,232.5
2021-11-01,109,78,224.9
2021-11-02,91,93,221.4
2021-11-03,87,106,224.9
2021-11-04,85,90,212.4
2021-11-05,70,89,205.5
2021-11-06,58,86,200.7
2021-11-07,70,79,197.2
2021-11-08,118,66,200.3
2021-11-09,90,69,200.0
2021-11-10,96,94,203.1
2021-11-11,33,105,185.1
2021-11-12,0,125,185.1
