date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-02-27,1,0,0.0
2020-02-28,0,0,0.0
2020-02-29,0,0,0.0
2020-03-01,0,0,0.0
2020-03-02,0,0,0.0
2020-03-03,0,0,0.0
2020-03-04,1,0,0.0
2020-03-05,1,0,0.1
2020-03-06,6,0,0.5
2020-03-07,0,0,0.5
2020-03-08,1,0,0.6
2020-03-09,7,0,1.1
2020-03-10,2,0,1.3
2020-03-11,9,0,1.9
2020-03-12,26,0,3.7
2020-03-13,15,0,4.4
2020-03-14,5,0,4.7
2020-03-15,11,0,5.4
2020-03-16,19,0,6.3
2020-03-17,15,0,7.2
2020-03-18,18,0,7.9
2020-03-19,25,0,7.8
2020-03-20,30,0,8.8
2020-03-21,23,0,10.2
2020-03-22,35,0,11.9
2020-03-23,49,0,14.0
2020-03-24,34,0,15.4
2020-03-25,43,0,17.2
2020-03-26,55,0,19.3
2020-03-27,58,0,21.4
2020-03-28,79,0,25.4
2020-03-29,49,0,26.4
2020-03-30,85,0,29.0
2020-03-31,78,0,32.1
2020-04-01,71,0,34.2
2020-04-02,87,0,36.5
2020-04-03,89,0,38.7
2020-04-04,73,0,38.3
2020-04-05,74,0,40.1
2020-04-06,102,0,41.4
2020-04-07,115,0,44.0
2020-04-08,86,0,45.0
2020-04-09,73,0,44.1
2020-04-10,83,0,43.6
2020-04-11,52,0,42.1
2020-04-12,77,0,42.3
2020-04-13,80,0,40.7
2020-04-14,66,0,37.2
2020-04-15,99,0,38.2
2020-04-16,78,0,38.5
2020-04-17,95,83,39.4
2020-04-18,78,64,41.2
2020-04-19,63,117,40.3
2020-04-20,84,37,40.5
2020-04-21,102,92,43.2
2020-04-22,132,85,45.5
2020-04-23,144,35,50.2
2020-04-24,113,68,51.6
2020-04-25,105,80,53.5
2020-04-26,81,58,54.8
2020-04-27,100,47,56.0
2020-04-28,110,28,56.5
2020-04-29,101,37,54.2
2020-04-30,109,45,51.8
2020-05-01,93,47,50.3
2020-05-02,50,46,46.4
2020-05-03,60,34,44.8
2020-05-04,87,26,43.9
2020-05-05,55,28,39.9
2020-05-06,57,29,36.8
2020-05-07,48,25,32.4
2020-05-08,45,10,28.9
2020-05-09,33,26,27.7
2020-05-10,40,16,26.3
2020-05-11,55,11,23.9
2020-05-12,67,11,24.9
2020-05-13,66,38,25.5
2020-05-14,29,17,24.1
2020-05-15,36,23,23.5
2020-05-16,33,12,23.5
2020-05-17,27,24,22.5
2020-05-18,51,11,22.3
2020-05-19,72,15,22.6
2020-05-20,42,10,20.9
2020-05-21,38,13,21.5
2020-05-22,46,35,22.2
2020-05-23,29,21,21.9
2020-05-24,22,14,21.6
2020-05-25,29,6,20.0
2020-05-26,18,7,16.1
2020-05-27,21,16,14.6
2020-05-28,22,6,13.5
2020-05-29,12,4,11.0
2020-05-30,8,16,9.5
2020-05-31,14,3,8.9
2020-06-01,15,2,7.9
2020-06-02,36,0,9.2
2020-06-03,12,9,8.6
2020-06-04,24,2,8.7
2020-06-05,21,1,9.4
2020-06-06,4,4,9.1
2020-06-07,3,3,8.3
2020-06-08,8,0,7.8
2020-06-09,12,3,6.0
2020-06-10,7,2,5.6
2020-06-11,6,8,4.4
2020-06-12,2,4,3.0
2020-06-13,2,1,2.9
2020-06-14,3,3,2.9
2020-06-15,3,1,2.5
2020-06-16,4,0,2.0
2020-06-17,1,0,1.6
2020-06-18,3,3,1.3
2020-06-19,3,1,1.4
2020-06-20,4,1,1.5
2020-06-21,0,1,1.3
2020-06-22,1,0,1.2
2020-06-23,2,0,1.0
2020-06-24,0,0,0.9
2020-06-25,0,1,0.7
2020-06-26,5,0,0.9
2020-06-27,1,0,0.6
2020-06-28,1,1,0.7
2020-06-29,5,1,1.0
2020-06-30,2,0,1.0
2020-07-01,1,1602,1.1
2020-07-02,2,2,1.2
2020-07-03,3,1,1.0
2020-07-04,3,1,1.2
2020-07-05,3,1,1.4
2020-07-06,2,4,1.1
2020-07-07,4,4,1.3
2020-07-08,2,6,1.3
2020-07-09,5,1,1.6
2020-07-10,7,2,1.9
2020-07-11,4,6,2.0
2020-07-12,0,5,1.7
2020-07-13,2,6,1.7
2020-07-14,8,2,2.0
2020-07-15,7,3,2.4
2020-07-16,5,1,2.4
2020-07-17,0,1,1.9
2020-07-18,2,7,1.7
2020-07-19,3,2,1.9
2020-07-20,8,3,2.4
2020-07-21,5,2,2.2
2020-07-22,5,2,2.0
2020-07-23,7,17,2.1
2020-07-24,4,1,2.4
2020-07-25,3,4,2.5
2020-07-26,4,5,2.6
2020-07-27,9,5,2.7
2020-07-28,10,4,3.0
2020-07-29,10,8,3.4
2020-07-30,2,5,3.1
2020-07-31,7,5,3.3
2020-08-01,1,5,3.1
2020-08-02,2,11,3.0
2020-08-03,5,3,2.6
2020-08-04,4,2,2.2
2020-08-05,7,1,2.0
2020-08-06,5,4,2.2
2020-08-07,5,3,2.1
2020-08-08,2,6,2.2
2020-08-09,4,6,2.3
2020-08-10,6,4,2.4
2020-08-11,7,5,2.6
2020-08-12,9,4,2.8
2020-08-13,9,0,3.0
2020-08-14,16,10,3.8
2020-08-15,5,9,4.0
2020-08-16,4,6,4.0
2020-08-17,8,9,4.2
2020-08-18,13,14,4.6
2020-08-19,11,4,4.7
2020-08-20,16,7,5.3
2020-08-21,16,5,5.2
2020-08-22,7,12,5.4
2020-08-23,14,14,6.1
2020-08-24,8,11,6.1
2020-08-25,14,24,6.2
2020-08-26,19,6,6.8
2020-08-27,19,13,7.0
2020-08-28,14,17,6.9
2020-08-29,11,11,7.2
2020-08-30,14,15,7.2
2020-08-31,8,13,7.1
2020-09-01,18,17,7.4
2020-09-02,31,10,8.3
2020-09-03,36,9,9.5
2020-09-04,30,20,10.6
2020-09-05,16,22,11.0
2020-09-06,16,20,11.1
2020-09-07,13,19,11.6
2020-09-08,19,24,11.6
2020-09-09,28,34,11.3
2020-09-10,18,18,10.0
2020-09-11,16,28,9.1
2020-09-12,15,26,9.0
2020-09-13,8,10,8.4
2020-09-14,21,12,9.0
2020-09-15,18,20,8.9
2020-09-16,16,11,8.1
2020-09-17,21,11,8.3
2020-09-18,21,14,8.6
2020-09-19,24,28,9.2
2020-09-20,21,11,10.3
2020-09-21,20,28,10.1
2020-09-22,27,29,10.8
2020-09-23,29,17,11.7
2020-09-24,36,38,12.8
2020-09-25,46,28,14.6
2020-09-26,28,24,14.9
2020-09-27,29,37,15.4
2020-09-28,48,18,17.5
2020-09-29,38,44,18.3
2020-09-30,47,21,19.6
2020-10-01,69,22,22.0
2020-10-02,85,26,24.8
2020-10-03,56,72,26.8
2020-10-04,60,125,29.0
2020-10-05,87,99,31.8
2020-10-06,95,75,35.9
2020-10-07,106,91,40.2
2020-10-08,126,151,44.2
2020-10-09,81,115,44.0
2020-10-10,72,88,45.2
2020-10-11,68,48,45.8
2020-10-12,128,77,48.7
2020-10-13,158,135,53.2
2020-10-14,146,155,56.1
2020-10-15,121,142,55.8
2020-10-16,116,116,58.2
2020-10-17,118,137,61.5
2020-10-18,109,108,64.5
2020-10-19,195,92,69.3
2020-10-20,222,183,74.0
2020-10-21,267,207,82.6
2020-10-22,191,204,87.6
2020-10-23,234,167,96.2
2020-10-24,184,271,100.9
2020-10-25,126,218,102.1
2020-10-26,245,206,105.7
2020-10-27,252,214,107.9
2020-10-28,267,247,107.9
2020-10-29,243,211,111.7
2020-10-30,255,248,113.1
2020-10-31,160,276,111.5
2020-11-01,142,180,112.6
2020-11-02,364,256,121.2
2020-11-03,301,224,124.6
2020-11-04,315,299,128.1
2020-11-05,283,223,131.0
2020-11-06,278,294,132.7
2020-11-07,177,262,133.8
2020-11-08,289,156,144.5
2020-11-09,346,254,143.2
2020-11-10,376,283,148.6
2020-11-11,339,292,150.3
2020-11-12,288,342,150.7
2020-11-13,390,308,158.7
2020-11-14,226,619,162.3
2020-11-15,249,313,159.3
2020-11-16,318,0,157.3
2020-11-17,278,246,150.3
2020-11-18,241,207,143.3
2020-11-19,193,279,136.4
2020-11-20,177,246,121.1
2020-11-21,137,181,114.7
2020-11-22,111,226,104.8
2020-11-23,162,186,93.5
2020-11-24,182,121,86.6
2020-11-25,196,144,83.3
2020-11-26,166,195,81.4
2020-11-27,148,141,79.3
2020-11-28,118,169,77.9
2020-11-29,101,149,77.2
2020-11-30,153,106,76.6
2020-12-01,155,172,74.7
2020-12-02,163,149,72.3
2020-12-03,181,118,73.3
2020-12-04,165,152,74.6
2020-12-05,110,187,74.0
2020-12-06,134,180,76.4
2020-12-07,258,122,83.9
2020-12-08,218,128,88.4
2020-12-09,207,239,91.6
2020-12-10,298,167,100.1
