date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-08,1,0,0.0
2020-03-09,2,0,0.7
2020-03-10,3,0,1.9
2020-03-11,6,0,4.1
2020-03-12,7,0,6.7
2020-03-13,8,0,9.7
2020-03-14,1,0,10.1
2020-03-15,4,0,11.6
2020-03-16,2,0,11.7
2020-03-17,4,0,12.0
2020-03-18,13,0,14.6
2020-03-19,10,0,15.8
2020-03-20,11,0,16.9
2020-03-21,11,0,20.7
2020-03-22,11,0,23.3
2020-03-23,15,0,28.1
2020-03-24,19,0,33.8
2020-03-25,13,0,33.8
2020-03-26,10,0,33.8
2020-03-27,19,0,36.8
2020-03-28,16,0,38.6
2020-03-29,16,0,40.5
2020-03-30,20,0,42.4
2020-03-31,18,0,42.0
2020-04-01,23,0,45.8
2020-04-02,28,0,52.6
2020-04-03,27,0,55.6
2020-04-04,17,0,56.0
2020-04-05,9,0,53.3
2020-04-06,14,0,51.1
2020-04-07,30,0,55.6
2020-04-08,15,0,52.6
2020-04-09,20,0,49.5
2020-04-10,11,0,43.5
2020-04-11,10,0,40.9
2020-04-12,12,0,42.1
2020-04-13,17,0,43.2
2020-04-14,10,0,35.6
2020-04-15,14,0,35.3
2020-04-16,5,0,29.7
2020-04-17,7,44,28.2
2020-04-18,4,11,25.9
2020-04-19,17,1,27.8
2020-04-20,5,3,23.3
2020-04-21,11,4,23.7
2020-04-22,7,14,21.0
2020-04-23,13,4,24.0
2020-04-24,9,5,24.8
2020-04-25,9,7,26.7
2020-04-26,7,5,22.9
2020-04-27,9,5,24.4
2020-04-28,4,3,21.8
2020-04-29,10,5,22.9
2020-04-30,3,4,19.1
2020-05-01,9,3,19.1
2020-05-02,3,1,16.8
2020-05-03,1,2,14.6
2020-05-04,3,3,12.4
2020-05-05,5,3,12.7
2020-05-06,6,6,11.3
2020-05-07,13,1,15.1
2020-05-08,6,2,13.9
2020-05-09,2,0,13.6
2020-05-10,4,2,14.7
2020-05-11,5,2,15.3
2020-05-12,1,2,13.9
