date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-06,2,0,0.0
2020-03-07,0,0,0.0
2020-03-08,0,0,0.0
2020-03-09,1,0,0.4
2020-03-10,0,0,0.4
2020-03-11,2,0,1.1
2020-03-12,1,0,1.5
2020-03-13,1,0,1.9
2020-03-14,2,0,2.7
2020-03-15,4,0,4.2
2020-03-16,2,0,4.6
2020-03-17,4,0,6.1
2020-03-18,11,0,9.6
2020-03-19,7,0,11.9
2020-03-20,4,0,13.0
2020-03-21,6,0,14.5
2020-03-22,12,0,17.6
2020-03-23,10,0,20.7
2020-03-24,16,0,25.3
2020-03-25,14,0,26.5
2020-03-26,10,0,27.6
2020-03-27,10,0,30.0
2020-03-28,6,0,30.0
2020-03-29,10,0,29.2
2020-03-30,15,0,31.0
2020-03-31,27,0,35.3
2020-04-01,30,0,41.4
2020-04-02,32,0,49.9
2020-04-03,37,0,60.2
2020-04-04,20,0,65.6
2020-04-05,23,0,70.6
2020-04-06,29,0,76.0
2020-04-07,37,0,79.8
2020-04-08,34,0,81.4
2020-04-09,26,0,79.0
2020-04-10,26,0,74.8
2020-04-11,18,0,74.0
2020-04-12,24,0,74.4
2020-04-13,17,0,69.8
2020-04-14,16,0,61.8
2020-04-15,21,0,56.7
2020-04-16,22,0,55.3
2020-04-17,9,19,48.7
2020-04-18,11,14,46.0
2020-04-19,15,14,42.6
2020-04-20,14,3,41.5
2020-04-21,10,14,39.1
2020-04-22,12,5,35.7
2020-04-23,14,13,32.6
2020-04-24,11,14,33.4
2020-04-25,11,4,33.4
2020-04-26,8,2,30.7
2020-04-27,13,9,30.3
2020-04-28,7,4,29.2
2020-04-29,9,3,28.0
2020-04-30,11,8,26.8
2020-05-01,20,2,30.3
2020-05-02,10,1,29.9
2020-05-03,8,3,29.9
2020-05-04,16,17,31.1
2020-05-05,7,5,31.0
2020-05-06,8,3,30.7
2020-05-07,0,8,26.5
2020-05-08,3,1,20.0
2020-05-09,0,4,16.2
2020-05-10,4,2,14.6
2020-05-11,4,2,9.9
2020-05-12,2,0,8.1
2020-05-13,4,2,6.5
2020-05-14,6,1,8.8
2020-05-15,7,0,10.3
2020-05-16,4,2,11.9
2020-05-17,3,3,11.5
2020-05-18,2,4,10.8
2020-05-19,3,0,11.1
2020-05-20,7,3,12.3
