date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-02-01,0,0,0
2020-02-02,0,0,0
2020-02-03,0,0,0
2020-02-04,0,0,0
2020-02-05,0,0,0
2020-02-06,0,0,0
2020-02-07,0,0,0
2020-02-08,0,0,0
2020-02-09,0,0,0
2020-02-10,0,0,0
2020-02-11,0,0,0
2020-02-12,0,0,0
2020-02-13,0,0,0
2020-02-14,0,0,0
2020-02-15,0,0,0
2020-02-16,0,0,0
2020-02-17,0,0,0
2020-02-18,0,0,0
2020-02-19,0,0,0
2020-02-20,0,0,0
2020-02-21,0,0,0
2020-02-22,0,0,0
2020-02-23,0,0,0
2020-02-24,0,0,0
2020-02-25,0,0,0
2020-02-26,0,0,0
2020-02-27,0,0,0
2020-02-28,0,0,0
2020-02-29,0,0,0
2020-03-01,0,0,0
2020-03-02,0,0,0
2020-03-03,0,0,0
2020-03-04,0,0,0
2020-03-05,0,0,0
2020-03-06,1,0,0.5
2020-03-07,0,0,0.5
2020-03-08,0,0,0.5
2020-03-09,0,0,0.5
2020-03-10,0,0,0.5
2020-03-11,0,0,0.5
2020-03-12,0,0,0.5
2020-03-13,1,0,0.5
2020-03-14,1,0,1.1
2020-03-15,3,0,2.6
2020-03-16,0,0,2.6
2020-03-17,1,0,3.1
2020-03-18,0,0,3.1
2020-03-19,0,0,3.1
2020-03-20,5,0,5.2
2020-03-21,0,0,4.6
2020-03-22,3,0,4.7
2020-03-23,6,0,7.8
2020-03-24,3,0,8.8
2020-03-25,0,0,8.8
2020-03-26,1,0,9.4
2020-03-27,2,0,7.8
2020-03-28,4,0,9.9
2020-03-29,4,0,10.4
2020-03-30,5,0,9.8
2020-03-31,9,0,13.0
2020-04-01,6,0,16.1
2020-04-02,5,0,18.1
2020-04-03,5,0,19.7
2020-04-04,4,0,19.7
2020-04-05,4,0,19.7
2020-04-06,11,0,22.9
2020-04-07,3,0,19.7
2020-04-08,5,0,19.2
2020-04-09,5,0,19.2
2020-04-10,6,0,19.7
2020-04-11,6,0,20.7
2020-04-12,8,0,22.8
2020-04-13,7,0,20.7
2020-04-14,5,0,21.8
2020-04-15,3,0,20.8
2020-04-16,5,0,20.8
2020-04-17,7,2,21.3
2020-04-18,11,5,23.9
2020-04-19,13,7,26.4
2020-04-20,16,8,31.1
2020-04-21,13,10,35.3
2020-04-22,27,9,47.7
2020-04-23,20,7,55.5
2020-04-24,31,23,67.9
2020-04-25,4,13,64.3
2020-04-26,16,20,65.9
2020-04-27,33,13,74.7
2020-04-28,10,15,73.1
2020-04-29,8,23,63.3
2020-04-30,9,16,57.5
2020-05-01,20,4,51.9
2020-05-02,16,1,58.1
2020-05-03,13,4,56.5
2020-05-04,9,13,44.1
2020-05-05,12,3,45.1
2020-05-06,14,6,48.2
2020-05-07,29,6,58.6
2020-05-08,33,13,65.4
2020-05-09,2,10,58.1
2020-05-10,1,33,51.9
2020-05-11,8,12,51.4
2020-05-12,11,2,50.9
2020-05-13,4,3,45.6
2020-05-14,8,5,34.8
2020-05-15,21,0,28.5
2020-05-16,7,1,31.1
2020-05-17,11,4,36.3
2020-05-18,6,5,35.2
2020-05-19,18,0,38.9
2020-05-20,18,4,46.2
2020-05-21,19,3,51.9
2020-05-22,5,5,43.5
2020-05-23,4,2,42
2020-05-24,8,0,40.5
2020-05-25,9,0,42.0
2020-05-26,2,1,33.7
2020-05-27,5,1,27.0
2020-05-28,4,1,19.1
2020-05-29,7,1,20.3
2020-05-30,5,1,20.8
2020-05-31,1,2,17.1
2020-06-01,3,0,14.0
2020-06-02,4,1,15.0
2020-06-03,4,1,14.5
2020-06-04,15,3,20.3
2020-06-05,3,2,18.1
2020-06-06,3,4,17.1
2020-06-07,1,0,17.1
2020-06-08,7,0,19.2
2020-06-09,8,2,21.3
2020-06-10,0,3,19.2
2020-06-11,1,2,11.9
2020-06-12,1,0,10.9
2020-06-13,1,0,9.8
2020-06-14,0,0,9.3
2020-06-15,3,0,7.3
2020-06-16,0,0,3.1
2020-06-17,0,2,3.1
2020-06-18,0,0,2.6
2020-06-19,1,0,2.6
2020-06-20,0,0,2.1
2020-06-21,0,0,2.1
2020-06-22,0,0,0.5
