date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-02-26,1,0,0.0
2020-02-27,1,0,0.1
2020-02-28,1,0,0.2
2020-02-29,0,0,0.2
2020-03-01,1,0,0.2
2020-03-02,0,0,0.2
2020-03-03,5,0,0.7
2020-03-04,2,0,0.8
2020-03-05,0,0,0.7
2020-03-06,4,0,1.0
2020-03-07,2,0,1.1
2020-03-08,2,0,1.3
2020-03-09,2,0,1.5
2020-03-10,5,0,1.4
2020-03-11,6,0,1.8
2020-03-12,2,0,1.9
2020-03-13,9,0,2.3
2020-03-14,4,0,2.5
2020-03-15,15,0,3.6
2020-03-16,6,0,3.9
2020-03-17,5,0,3.9
2020-03-18,24,0,5.4
2020-03-19,23,0,7.2
2020-03-20,21,0,8.2
2020-03-21,20,0,9.6
2020-03-22,13,0,9.4
2020-03-23,58,0,13.7
2020-03-24,45,0,17.1
2020-03-25,56,0,19.8
2020-03-26,49,0,21.9
2020-03-27,52,0,24.5
2020-03-28,44,0,26.5
2020-03-29,64,0,30.7
2020-03-30,86,0,33.1
2020-03-31,77,0,35.8
2020-04-01,85,0,38.2
2020-04-02,103,0,42.8
2020-04-03,80,0,45.1
2020-04-04,55,0,46.0
2020-04-05,62,0,45.9
2020-04-06,91,0,46.3
2020-04-07,79,0,46.4
2020-04-08,86,0,46.5
2020-04-09,79,0,44.5
2020-04-10,77,0,44.2
2020-04-11,55,0,44.2
2020-04-12,52,0,43.4
2020-04-13,56,0,40.5
2020-04-14,62,0,39.0
2020-04-15,66,0,37.4
2020-04-16,69,0,36.5
2020-04-17,88,86,37.5
2020-04-18,55,57,37.5
2020-04-19,83,56,40.0
2020-04-20,58,56,40.2
2020-04-21,67,40,40.7
2020-04-22,85,50,42.2
2020-04-23,73,42,42.6
2020-04-24,61,38,40.3
2020-04-25,52,58,40.0
2020-04-26,52,9,37.5
2020-04-27,66,40,38.1
2020-04-28,74,42,38.7
2020-04-29,93,19,39.4
2020-04-30,54,41,37.8
2020-05-01,81,28,39.5
2020-05-02,34,48,38.0
2020-05-03,31,22,36.2
2020-05-04,64,38,36.1
2020-05-05,44,32,33.5
2020-05-06,65,23,31.2
2020-05-07,43,33,30.3
2020-05-08,37,21,26.6
2020-05-09,48,81,27.8
2020-05-10,15,20,26.4
2020-05-11,52,14,25.4
2020-05-12,51,38,26.1
2020-05-13,59,19,25.5
2020-05-14,20,20,23.6
2020-05-15,23,13,22.4
2020-05-16,19,18,20.0
2020-05-17,18,17,20.3
2020-05-18,43,33,19.5
2020-05-19,31,7,17.8
2020-05-20,32,14,15.5
2020-05-21,17,8,15.3
2020-05-22,22,26,15.2
2020-05-23,24,13,15.6
2020-05-24,9,6,14.9
2020-05-25,19,10,12.9
2020-05-26,20,8,11.9
2020-05-27,15,4,10.6
2020-05-28,20,10,10.8
2020-05-29,19,9,10.5
2020-05-30,9,5,9.3
2020-05-31,4,4,8.8
2020-06-01,16,4,8.6
2020-06-02,8,9,7.6
2020-06-03,7,5,6.9
2020-06-04,8,2,5.9
2020-06-05,16,12,5.7
2020-06-06,12,2,5.9
2020-06-07,3,3,5.9
2020-06-08,14,0,5.7
2020-06-09,20,11,6.7
2020-06-10,11,2,7.1
2020-06-11,12,5,7.4
2020-06-12,9,1,6.8
2020-06-13,8,5,6.5
2020-06-14,5,5,6.6
2020-06-15,9,4,6.1
2020-06-16,4,5,4.9
2020-06-17,9,3,4.6
2020-06-18,16,2,5.0
2020-06-19,14,3,5.4
2020-06-20,1,13,4.8
2020-06-21,5,1,4.8
2020-06-22,5,8,4.6
2020-06-23,5,4,4.6
2020-06-24,3,0,4.1
2020-06-25,3,2,3.0
2020-06-26,7,2,2.5
2020-06-27,6,1,2.9
2020-06-28,2,2,2.6
2020-06-29,13,1,3.2
2020-06-30,5,2,3.2
2020-07-01,2,1055,3.2
2020-07-02,9,6,3.7
2020-07-03,17,5,4.5
2020-07-04,7,3,4.6
2020-07-05,3,13,4.7
2020-07-06,21,4,5.4
2020-07-07,8,8,5.6
2020-07-08,12,21,6.5
2020-07-09,7,12,6.2
2020-07-10,6,7,5.3
2020-07-11,2,6,4.9
2020-07-12,0,5,4.7
2020-07-13,5,6,3.3
2020-07-14,8,8,3.4
2020-07-15,10,1,3.1
2020-07-16,8,6,3.3
2020-07-17,5,8,3.2
2020-07-18,7,17,3.6
2020-07-19,2,2,3.8
2020-07-20,9,5,4.1
2020-07-21,7,3,4.0
2020-07-22,7,4,3.8
2020-07-23,11,7,4.0
2020-07-24,13,8,4.7
2020-07-25,4,11,4.4
2020-07-26,6,7,4.7
2020-07-27,13,9,5.1
2020-07-28,16,5,5.9
2020-07-29,8,7,5.9
2020-07-30,8,18,5.7
2020-07-31,7,14,5.2
2020-08-01,3,7,5.1
2020-08-02,5,8,5.1
2020-08-03,18,5,5.5
2020-08-04,12,5,5.1
2020-08-05,12,16,5.5
2020-08-06,12,5,5.8
2020-08-07,9,15,5.9
2020-08-08,12,11,6.7
2020-08-09,2,9,6.4
2020-08-10,13,11,6.0
2020-08-11,8,9,5.7
2020-08-12,23,11,6.6
2020-08-13,21,0,7.3
2020-08-14,12,23,7.6
2020-08-15,5,12,7.1
2020-08-16,9,22,7.6
2020-08-17,16,6,7.8
2020-08-18,21,16,8.9
2020-08-19,15,14,8.3
2020-08-20,25,13,8.6
2020-08-21,22,18,9.5
2020-08-22,14,22,10.2
2020-08-23,10,14,10.3
2020-08-24,26,13,11.2
2020-08-25,22,24,11.2
2020-08-26,36,14,12.9
2020-08-27,38,27,14.1
2020-08-28,20,47,13.9
2020-08-29,20,23,14.3
2020-08-30,32,25,16.2
2020-08-31,20,24,15.7
2020-09-01,32,30,16.6
2020-09-02,57,19,18.3
2020-09-03,40,22,18.5
2020-09-04,44,40,20.5
2020-09-05,27,39,21.1
2020-09-06,22,38,20.3
2020-09-07,39,29,21.8
2020-09-08,41,32,22.5
2020-09-09,37,34,20.9
2020-09-10,54,43,22.1
2020-09-11,48,44,22.4
2020-09-12,23,44,22.1
2020-09-13,15,42,21.5
2020-09-14,55,31,22.9
2020-09-15,51,25,23.7
2020-09-16,47,34,24.5
2020-09-17,40,50,23.3
2020-09-18,43,36,22.9
2020-09-19,32,37,23.7
2020-09-20,27,38,24.6
2020-09-21,39,49,23.3
2020-09-22,64,38,24.4
2020-09-23,48,53,24.6
2020-09-24,44,65,24.8
2020-09-25,50,44,25.4
2020-09-26,43,45,26.3
2020-09-27,48,40,28.1
2020-09-28,68,35,30.5
2020-09-29,70,51,31.1
2020-09-30,98,41,35.2
2020-10-01,83,75,38.5
2020-10-02,95,56,42.2
2020-10-03,79,84,45.3
2020-10-04,94,207,45.3
2020-10-05,140,107,55.1
2020-10-06,123,133,59.5
2020-10-07,145,154,63.4
2020-10-08,139,198,68.2
2020-10-09,136,175,71.6
2020-10-10,74,173,71.1
2020-10-11,87,70,616.3
2020-10-12,142,73,70.8
2020-10-13,176,149,75.2
2020-10-14,132,227,74.1
2020-10-15,189,178,78.2
2020-10-16,122,136,77.2
2020-10-17,116,122,80.7
2020-10-18,119,185,83.3
2020-10-19,211,165,89.1
2020-10-20,250,144,95.3
2020-10-21,234,269,103.8
2020-10-22,209,201,105.5
2020-10-23,190,181,111.1
2020-10-24,137,227,112.9
2020-10-25,138,167,114.5
2020-10-26,237,211,116.6
2020-10-27,205,174,112.9
2020-10-28,228,274,112.4
2020-10-29,217,205,113.1
2020-10-30,173,265,111.7
2020-10-31,183,167,115.5
2020-11-01,138,207,115.5
2020-11-02,325,187,122.9
2020-11-03,245,166,126.2
2020-11-04,237,262,127.0
2020-11-05,213,221,126.6
2020-11-06,250,190,133.0
2020-11-07,231,240,137.0
2020-11-08,212,210,143.3
2020-11-09,361,273,146.3
2020-11-10,279,199,149.1
2020-11-11,358,298,159.2
2020-11-12,322,436,168.4
2020-11-13,285,352,171.3
2020-11-14,218,232,170.2
2020-11-15,202,329,169.3
2020-11-16,309,0,165.0
2020-11-17,257,265,163.2
2020-11-18,236,197,153.0
2020-11-19,222,259,144.6
2020-11-20,197,166,137.2
2020-11-21,151,259,131.7
2020-11-22,165,299,128.6
2020-11-23,250,251,123.6
2020-11-24,196,156,118.5
2020-11-25,224,226,117.5
2020-11-26,185,219,114.4
2020-11-27,238,169,117.9
2020-11-28,155,176,118.2
2020-11-29,168,201,118.4
2020-11-30,290,268,121.8
2020-12-01,267,215,127.7
2020-12-02,277,244,132.2
2020-12-03,250,212,137.6
2020-12-04,241,237,137.8
2020-12-05,221,249,143.3
2020-12-06,241,290,149.5
2020-12-07,404,266,158.9
2020-12-08,368,261,167.4
2020-12-09,393,270,177.1
2020-12-10,459,382,194.6
2020-12-11,477,387,214.4
2020-12-12,430,424,231.8
2020-12-13,495,453,253.0
2020-12-14,768,509,283.6
2020-12-15,664,449,308.3
2020-12-16,866,513,347.8
2020-12-17,871,650,382.3
2020-12-18,912,703,418.7
2020-12-19,760,518,446.3
2020-12-20,999,961,488.5
2020-12-21,1404,795,541.6
2020-12-22,1369,1072,600.6
2020-12-23,1363,1092,642.2
2020-12-24,1040,1264,656.3
2020-12-25,470,1265,619.3
2020-12-26,1277,932,662.6
2020-12-27,1389,672,695.1
2020-12-28,1129,1124,672.2
2020-12-29,2364,1862,755.4
2020-12-30,1847,1513,795.9
2020-12-31,1269,1204,815.0
2021-01-01,756,1792,838.9
2021-01-02,1357,1075,845.6
2021-01-03,1343,1365,841.8
2021-01-04,1884,1679,904.9
2021-01-05,1441,1636,827.7
2021-01-06,1261,1365,778.7
2021-01-07,1153,1158,769.0
2021-01-08,1009,1556,790.2
2021-01-09,869,1467,749.4
2021-01-10,830,1315,706.5
2021-01-11,1136,863,643.9
2021-01-12,1040,1225,610.4
2021-01-13,948,891,584.2
2021-01-14,984,851,570.1
2021-01-15,854,1319,557.1
2021-01-16,618,955,536.1
2021-01-17,599,639,516.8
2021-01-18,896,910,496.7
2021-01-19,810,724,477.5
2021-01-20,719,828,458.3
