date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-02-01,0,0,0
2020-02-02,0,0,0
2020-02-03,0,0,0
2020-02-04,0,0,0
2020-02-05,0,0,0
2020-02-06,0,0,0
2020-02-07,0,0,0
2020-02-08,0,0,0
2020-02-09,0,0,0
2020-02-10,0,0,0
2020-02-11,0,0,0
2020-02-12,0,0,0
2020-02-13,0,0,0
2020-02-14,0,0,0
2020-02-15,0,0,0
2020-02-16,0,0,0
2020-02-17,0,0,0
2020-02-18,0,0,0
2020-02-19,0,0,0
2020-02-20,0,0,0
2020-02-21,0,0,0
2020-02-22,0,0,0
2020-02-23,0,0,0
2020-02-24,0,0,0
2020-02-25,0,0,0
2020-02-26,0,0,0
2020-02-27,0,0,0
2020-02-28,0,0,0
2020-02-29,1,0,0.6
2020-03-01,0,0,0.6
2020-03-02,0,0,0.6
2020-03-03,0,0,0.6
2020-03-04,0,0,0.6
2020-03-05,0,0,0.6
2020-03-06,0,0,0.6
2020-03-07,0,0,0.0
2020-03-08,1,0,0.5
2020-03-09,0,0,0.5
2020-03-10,0,0,0.5
2020-03-11,1,0,1.1
2020-03-12,1,0,1.7
2020-03-13,1,0,2.2
2020-03-14,3,0,3.9
2020-03-15,2,0,4.5
2020-03-16,5,0,7.4
2020-03-17,6,0,10.7
2020-03-18,2,0,11.3
2020-03-19,6,0,14.0
2020-03-20,6,0,16.9
2020-03-21,1,0,15.8
2020-03-22,1,0,15.2
2020-03-23,11,0,18.5
2020-03-24,16,0,24.3
2020-03-25,13,0,30.4
2020-03-26,13,0,34.4
2020-03-27,11,0,37.2
2020-03-28,6,0,40.0
2020-03-29,13,0,46.8
2020-03-30,19,0,51.3
2020-03-31,12,0,49.0
2020-04-01,9,0,46.7
2020-04-02,16,0,48.5
2020-04-03,20,0,53.5
2020-04-04,11,0,56.3
2020-04-05,9,0,54.1
2020-04-06,13,0,50.7
2020-04-07,18,0,54.0
2020-04-08,21,0,60.9
2020-04-09,19,0,62.5
2020-04-10,10,0,56.9
2020-04-11,4,0,53.0
2020-04-12,23,0,60.8
2020-04-13,13,0,60.9
2020-04-14,19,0,61.5
2020-04-15,17,0,59.1
2020-04-16,20,0,59.7
2020-04-17,22,13,66.5
2020-04-18,20,21,75.5
2020-04-19,10,14,68.2
2020-04-20,10,6,66.4
2020-04-21,16,13,64.7
2020-04-22,10,6,60.9
2020-04-23,18,11,59.7
2020-04-24,7,10,51.3
2020-04-25,5,5,42.8
2020-04-26,5,8,40.0
2020-04-27,10,3,40.0
2020-04-28,3,2,32.7
2020-04-29,19,6,37.7
2020-04-30,16,8,36.6
2020-05-01,9,1,37.7
2020-05-02,12,6,41.7
2020-05-03,5,1,41.7
2020-05-04,8,8,40.6
2020-05-05,5,13,41.7
2020-05-06,5,3,33.8
2020-05-07,6,0,28.2
2020-05-08,4,4,25.4
2020-05-09,2,4,19.7
2020-05-10,9,1,22.0
2020-05-11,9,2,22.5
2020-05-12,9,0,24.8
2020-05-13,8,5,26.5
2020-05-14,12,8,29.9
2020-05-15,3,0,29.2
2020-05-16,1,3,28.7
2020-05-17,0,4,23.6
2020-05-18,2,2,19.7
2020-05-19,2,2,15.8
2020-05-20,7,5,15.2
2020-05-21,4,0,10.7
2020-05-22,4,0,11.3
2020-05-23,0,2,10.7
2020-05-24,1,1,11.3
2020-05-25,3,3,11.9
2020-05-26,2,0,11.8
2020-05-27,1,2,8.5
2020-05-28,1,0,6.7
2020-05-29,6,0,7.9
2020-05-30,1,0,8.5
2020-05-31,0,3,7.9
2020-06-01,1,0,6.7
2020-06-02,1,1,6.2
2020-06-03,2,1,6.7
2020-06-04,3,0,7.9
2020-06-05,0,1,4.5
2020-06-06,2,1,5.0
2020-06-07,2,1,6.2
2020-06-08,2,0,6.8
2020-06-09,2,1,7.3
2020-06-10,1,1,6.8
2020-06-11,1,1,5.6
2020-06-12,2,1,6.8
2020-06-13,2,1,6.8
2020-06-14,0,0,5.6
2020-06-15,0,0,4.5
2020-06-16,0,0,3.4
2020-06-17,1,0,3.4
2020-06-18,0,0,2.9
2020-06-19,0,0,1.7
2020-06-20,0,0,0.6
2020-06-21,0,1,0.6
