date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-01,1,0,0.0
2020-03-02,0,0,0.0
2020-03-03,0,0,0.0
2020-03-04,0,0,0.0
2020-03-05,1,0,0.2
2020-03-06,1,0,0.3
2020-03-07,1,0,0.5
2020-03-08,0,0,0.5
2020-03-09,3,0,0.9
2020-03-10,0,0,0.9
2020-03-11,4,0,1.4
2020-03-12,1,0,1.4
2020-03-13,2,0,1.6
2020-03-14,1,0,1.5
2020-03-15,2,0,1.8
2020-03-16,2,0,1.7
2020-03-17,4,0,2.2
2020-03-18,12,0,3.4
2020-03-19,16,0,5.5
2020-03-20,6,0,6.0
2020-03-21,9,0,7.2
2020-03-22,25,0,10.4
2020-03-23,18,0,12.6
2020-03-24,21,0,15.0
2020-03-25,13,0,15.2
2020-03-26,16,0,15.1
2020-03-27,16,0,16.5
2020-03-28,15,0,17.3
2020-03-29,4,0,14.4
2020-03-30,14,0,13.9
2020-03-31,44,0,17.1
2020-04-01,45,0,21.6
2020-04-02,19,0,22.0
2020-04-03,26,0,23.5
2020-04-04,20,0,24.2
2020-04-05,31,0,27.9
2020-04-06,31,0,30.3
2020-04-07,24,0,27.5
2020-04-08,18,0,23.6
2020-04-09,33,0,25.7
2020-04-10,27,0,25.8
2020-04-11,23,0,26.2
2020-04-12,21,0,24.8
2020-04-13,21,0,23.4
2020-04-14,23,0,23.3
2020-04-15,34,0,25.6
2020-04-16,52,0,28.2
2020-04-17,41,28,30.1
2020-04-18,36,26,32.0
2020-04-19,40,43,34.7
2020-04-20,31,29,36.0
2020-04-21,46,24,39.3
2020-04-22,46,26,40.9
2020-04-23,25,19,37.1
2020-04-24,31,26,35.8
2020-04-25,31,19,35.0
2020-04-26,15,15,31.5
2020-04-27,37,22,32.4
2020-04-28,42,16,31.8
2020-04-29,60,10,33.8
2020-04-30,56,22,38.2
2020-05-01,35,21,38.7
2020-05-02,32,19,38.9
2020-05-03,23,2,40.0
2020-05-04,27,19,38.6
2020-05-05,42,17,38.6
2020-05-06,42,11,36.1
2020-05-07,48,11,34.9
2020-05-08,38,10,35.3
2020-05-09,16,20,33.1
2020-05-10,20,20,32.7
2020-05-11,33,4,33.5
2020-05-12,45,15,33.9
2020-05-13,38,5,33.3
2020-05-14,30,19,30.8
2020-05-15,43,20,31.6
2020-05-16,55,9,37.0
2020-05-17,40,11,39.8
2020-05-18,53,13,42.6
2020-05-19,68,15,45.9
2020-05-20,51,17,47.7
2020-05-21,51,23,50.7
2020-05-22,30,17,48.8
2020-05-23,21,17,44.0
2020-05-24,12,15,40.1
2020-05-25,27,9,36.5
2020-05-26,18,4,29.4
2020-05-27,27,3,26.1
2020-05-28,22,8,22.0
2020-05-29,29,10,21.9
2020-05-30,15,2,21.1
2020-05-31,28,7,23.3
2020-06-01,32,6,24.0
2020-06-02,28,11,25.4
2020-06-03,14,4,23.6
2020-06-04,13,9,22.3
2020-06-05,26,2,21.8
2020-06-06,9,3,21.0
2020-06-07,20,4,19.9
2020-06-08,29,2,19.5
2020-06-09,35,4,20.5
2020-06-10,20,1,21.3
2020-06-11,35,5,24.4
2020-06-12,25,1,24.3
2020-06-13,20,7,25.8
2020-06-14,17,7,25.4
2020-06-15,15,5,23.4
2020-06-16,22,2,21.6
2020-06-17,26,1,22.4
2020-06-18,25,5,21.0
2020-06-19,16,8,19.8
2020-06-20,27,4,20.7
2020-06-21,15,3,20.5
2020-06-22,21,2,21.3
2020-06-23,26,4,21.8
2020-06-24,31,1,22.6
2020-06-25,15,5,21.2
2020-06-26,13,6,20.7
2020-06-27,11,2,18.6
2020-06-28,11,1,17.9
2020-06-29,19,3,17.7
2020-06-30,27,0,17.9
2020-07-01,16,1499,15.7
2020-07-02,13,24,15.4
2020-07-03,16,20,15.9
2020-07-04,12,12,15.9
2020-07-05,22,13,17.5
2020-07-06,17,7,17.2
2020-07-07,14,20,15.4
2020-07-08,19,24,15.8
2020-07-09,10,11,15.4
2020-07-10,7,5,14.1
2020-07-11,11,26,14.1
2020-07-12,4,10,11.5
2020-07-13,14,13,11.1
2020-07-14,12,5,10.8
2020-07-15,22,4,11.3
2020-07-16,15,10,12.0
2020-07-17,10,7,12.4
2020-07-18,12,22,12.5
2020-07-19,9,24,13.2
2020-07-20,8,13,12.3
2020-07-21,14,3,12.6
2020-07-22,11,7,11.0
2020-07-23,8,15,10.1
2020-07-24,17,14,11.0
2020-07-25,4,7,9.9
2020-07-26,6,13,9.5
2020-07-27,10,12,9.9
2020-07-28,10,4,9.3
2020-07-29,17,9,10.1
2020-07-30,15,5,11.0
2020-07-31,16,19,11.0
2020-08-01,10,17,11.8
2020-08-02,10,13,12.4
2020-08-03,9,18,12.2
2020-08-04,7,15,11.7
2020-08-05,11,7,11.0
2020-08-06,11,7,10.4
2020-08-07,9,7,9.4
2020-08-08,5,7,8.7
2020-08-09,5,9,8.0
2020-08-10,19,7,9.3
2020-08-11,12,9,10.1
2020-08-12,13,9,10.4
2020-08-13,14,0,10.8
2020-08-14,14,29,11.5
2020-08-15,4,14,11.3
2020-08-16,5,13,11.3
2020-08-17,15,11,10.8
2020-08-18,5,6,9.8
2020-08-19,13,3,9.8
2020-08-20,16,14,10.1
2020-08-21,16,5,10.4
2020-08-22,9,16,11.1
2020-08-23,6,12,11.3
2020-08-24,10,8,10.6
2020-08-25,9,18,11.1
2020-08-26,13,7,11.0
2020-08-27,9,15,10.1
2020-08-28,14,9,9.8
2020-08-29,6,11,9.4
2020-08-30,7,14,9.5
2020-08-31,9,6,9.4
2020-09-01,16,7,10.4
2020-09-02,28,12,12.5
2020-09-03,40,11,16.8
2020-09-04,30,11,19.0
2020-09-05,34,22,23.0
2020-09-06,19,39,24.7
2020-09-07,41,30,29.1
2020-09-08,62,43,35.6
2020-09-09,51,32,38.9
2020-09-10,43,20,39.3
2020-09-11,50,52,42.1
2020-09-12,30,40,41.5
2020-09-13,17,51,41.2
2020-09-14,34,36,40.3
2020-09-15,51,56,38.7
2020-09-16,31,48,35.9
2020-09-17,53,38,37.3
2020-09-18,37,40,35.5
2020-09-19,33,41,35.9
2020-09-20,52,36,40.8
2020-09-21,64,19,45.0
2020-09-22,44,42,44.1
2020-09-23,47,49,46.3
2020-09-24,63,58,47.7
2020-09-25,39,52,48.0
2020-09-26,43,52,49.4
2020-09-27,46,36,48.5
2020-09-28,46,26,46.0
2020-09-29,57,45,47.8
2020-09-30,78,46,52.1
2020-10-01,86,38,55.4
2020-10-02,119,44,66.6
2020-10-03,83,111,72.2
2020-10-04,93,228,78.9
2020-10-05,171,81,96.3
2020-10-06,135,90,107.3
2020-10-07,159,79,118.7
2020-10-08,190,178,133.2
2020-10-09,177,181,141.3
2020-10-10,149,147,150.6
2020-10-11,148,151,158.3
2020-10-12,216,166,164.7
2020-10-13,159,178,168.0
2020-10-14,265,222,182.8
2020-10-15,167,231,179.6
2020-10-16,159,72,177.1
2020-10-17,170,140,180.1
2020-10-18,155,218,181.0
2020-10-19,351,217,199.9
2020-10-20,299,291,219.6
2020-10-21,302,291,224.8
2020-10-22,327,223,247.3
2020-10-23,280,272,264.2
2020-10-24,243,331,274.4
2020-10-25,277,264,291.6
2020-10-26,359,305,292.7
2020-10-27,286,309,290.8
2020-10-28,319,254,293.3
2020-10-29,286,343,287.5
2020-10-30,252,276,283.6
2020-10-31,219,244,280.2
2020-11-01,178,319,266.3
2020-11-02,492,216,285.0
2020-11-03,328,223,290.9
2020-11-04,309,252,289.4
2020-11-05,375,280,301.9
2020-11-06,345,298,315.0
2020-11-07,317,330,328.7
2020-11-08,357,311,353.8
2020-11-09,547,420,361.5
2020-11-10,408,467,372.7
2020-11-11,437,269,390.7
2020-11-12,407,603,395.2
2020-11-13,334,358,393.6
2020-11-14,328,367,395.2
2020-11-15,245,463,379.5
2020-11-16,465,565,368.0
2020-11-17,352,329,360.1
2020-11-18,290,293,339.5
2020-11-19,221,289,313.4
2020-11-20,243,229,300.7
2020-11-21,180,380,279.9
2020-11-22,160,295,268.0
2020-11-23,191,203,229.5
2020-11-24,202,137,208.6
2020-11-25,181,219,193.3
2020-11-26,153,205,183.7
2020-11-27,159,168,171.9
2020-11-28,118,177,163.3
2020-11-29,87,123,153.0
2020-11-30,168,114,149.8
2020-12-01,153,136,142.9
2020-12-02,168,178,141.0
2020-12-03,204,122,148.2
2020-12-04,159,160,148.2
2020-12-05,137,196,150.9
2020-12-06,152,193,160.0
2020-12-07,199,194,164.4
2020-12-08,190,104,169.5
2020-12-09,144,123,166.2
2020-12-10,151,223,158.8
2020-12-11,195,180,163.8
2020-12-12,137,177,163.7
2020-12-13,138,156,161.8
2020-12-14,251,146,169.1
2020-12-15,218,127,173.1
2020-12-16,204,188,181.5
2020-12-17,213,152,190.1
2020-12-18,204,239,191.5
2020-12-19,201,165,200.4
2020-12-20,219,214,211.8
2020-12-21,326,202,222.3
2020-12-22,306,247,234.6
2020-12-23,279,293,245.1
2020-12-24,193,256,242.4
2020-12-25,83,275,225.3
2020-12-26,236,292,230.3
2020-12-27,304,103,242.1
2020-12-28,340,315,244.1
2020-12-29,485,320,269.2
2020-12-30,437,330,291.4
2020-12-31,429,396,324.5
2021-01-01,224,399,344.3
2021-01-02,419,456,370.0
2021-01-03,393,254,382.5
2021-01-04,506,500,405.7
2021-01-05,394,359,393.0
2021-01-06,326,449,377.4
2021-01-07,357,327,367.3
2021-01-08,298,366,377.6
2021-01-09,298,394,360.6
2021-01-10,277,305,344.4
