date,newCasesBySpecimenDate,newCasesByPublishDate
2020-02-01,0,0
2020-02-02,0,0
2020-02-03,0,0
2020-02-04,0,0
2020-02-05,0,0
2020-02-06,0,0
2020-02-07,0,0
2020-02-08,0,0
2020-02-09,0,0
2020-02-10,0,0
2020-02-11,0,0
2020-02-12,0,0
2020-02-13,0,0
2020-02-14,0,0
2020-02-15,0,0
2020-02-16,0,0
2020-02-17,0,0
2020-02-18,0,0
2020-02-19,0,0
2020-02-20,0,0
2020-02-21,0,0
2020-02-22,0,0
2020-02-23,0,0
2020-02-24,0,0
2020-02-25,0,0
2020-02-26,0,0
2020-02-27,0,0
2020-02-28,0,0
2020-02-29,0,0
2020-03-01,0,0
2020-03-02,0,0
2020-03-03,0,0
2020-03-04,2,0
2020-03-05,0,0
2020-03-06,0,0
2020-03-07,0,0
2020-03-08,0,0
2020-03-09,0,0
2020-03-10,0,0
2020-03-11,0,0
2020-03-12,0,0
2020-03-13,1,0
2020-03-14,0,0
2020-03-15,0,0
2020-03-16,0,0
2020-03-17,5,0
2020-03-18,6,0
2020-03-19,4,0
2020-03-20,9,0
2020-03-21,3,0
2020-03-22,5,0
2020-03-23,7,0
2020-03-24,15,0
2020-03-25,11,0
2020-03-26,9,0
2020-03-27,12,0
2020-03-28,10,0
2020-03-29,10,0
2020-03-30,16,0
2020-03-31,26,0
2020-04-01,17,0
2020-04-02,23,0
2020-04-03,18,0
2020-04-04,14,0
2020-04-05,27,0
2020-04-06,28,0
2020-04-07,30,0
2020-04-08,35,0
2020-04-09,16,0
2020-04-10,22,0
2020-04-11,16,0
2020-04-12,23,0
2020-04-13,15,0
2020-04-14,24,0
2020-04-15,8,0
2020-04-16,5,0
2020-04-17,25,41
2020-04-18,35,24
2020-04-19,4,19
2020-04-20,9,2
2020-04-21,13,12
2020-04-22,18,16
2020-04-23,18,47
2020-04-24,17,6
2020-04-25,21,10
2020-04-26,6,2
2020-04-27,36,1
2020-04-28,15,4
2020-04-29,13,4
2020-04-30,7,20
2020-05-01,26,29
2020-05-02,7,2
2020-05-03,6,0
2020-05-04,19,2
2020-05-05,5,0
2020-05-06,9,0
2020-05-07,11,0
2020-05-08,6,34
2020-05-09,8,3
2020-05-10,10,1
2020-05-11,17,0
2020-05-12,19,0
2020-05-13,7,0
2020-05-14,20,0
2020-05-15,15,0
2020-05-16,11,2
2020-05-17,25,0
2020-05-18,25,0
2020-05-19,24,0
2020-05-20,18,2
2020-05-21,13,13
2020-05-22,9,24
2020-05-23,19,15
2020-05-24,10,0
2020-05-25,12,0
2020-05-26,16,16
2020-05-27,16,2
2020-05-28,11,2
2020-05-29,8,11
2020-05-30,7,3
2020-05-31,0,0
2020-06-01,13,1
2020-06-02,14,14
2020-06-03,11,1
2020-06-04,4,5
2020-06-05,10,4
2020-06-06,8,3
2020-06-07,3,0
2020-06-08,12,0
2020-06-09,14,14
2020-06-10,18,2
2020-06-11,4,3
2020-06-12,6,2
2020-06-13,12,1
2020-06-14,13,0
2020-06-15,5,0
2020-06-16,23,0
2020-06-17,7,4
2020-06-18,7,7
2020-06-19,6,0
2020-06-20,6,7
2020-06-21,7,8
2020-06-22,14,2
2020-06-23,4,0
2020-06-24,3,1
2020-06-25,6,4
2020-06-26,7,0
2020-06-27,0,2
2020-06-28,2,2
2020-06-29,5,7
2020-06-30,5,8
2020-07-01,4,497
2020-07-02,5,2
2020-07-03,5,2
2020-07-04,8,5
2020-07-05,4,4
2020-07-06,1,9
2020-07-07,2,2
2020-07-08,4,5
2020-07-09,10,4
2020-07-10,14,4
2020-07-11,16,8
2020-07-12,7,23
2020-07-13,14,17
2020-07-14,14,8
2020-07-15,9,4
2020-07-16,9,6
2020-07-17,8,7
2020-07-18,3,19
2020-07-19,5,15
2020-07-20,11,2
2020-07-21,9,5
2020-07-22,3,13
2020-07-23,3,3
2020-07-24,10,5
2020-07-25,6,2
2020-07-26,5,7
2020-07-27,7,5
2020-07-28,7,4
2020-07-29,10,7
2020-07-30,5,5
2020-07-31,3,5
2020-08-01,5,7
2020-08-02,5,6
2020-08-03,7,11
2020-08-04,4,6
2020-08-05,7,8
2020-08-06,3,1
