date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-09,1,0,0.0
2020-03-10,1,0,0.3
2020-03-11,3,0,1.1
2020-03-12,2,0,1.7
2020-03-13,3,0,2.5
2020-03-14,4,0,3.6
2020-03-15,7,0,5.6
2020-03-16,9,0,8.1
2020-03-17,5,0,9.3
2020-03-18,11,0,11.5
2020-03-19,6,0,12.6
2020-03-20,14,0,15.8
2020-03-21,6,0,16.4
2020-03-22,14,0,18.3
2020-03-23,24,0,22.6
2020-03-24,11,0,24.2
2020-03-25,33,0,30.4
2020-03-26,38,0,39.4
2020-03-27,38,0,46.1
2020-03-28,35,0,54.3
2020-03-29,22,0,56.6
2020-03-30,38,0,60.5
2020-03-31,44,0,69.8
2020-04-01,40,0,71.8
2020-04-02,34,0,70.7
2020-04-03,60,0,76.9
2020-04-04,46,0,79.9
2020-04-05,26,0,81.1
2020-04-06,44,0,82.7
2020-04-07,44,0,82.7
2020-04-08,38,0,82.2
2020-04-09,40,0,83.9
2020-04-10,24,0,73.7
2020-04-11,29,0,69.0
2020-04-12,15,0,65.8
2020-04-13,20,0,59.1
2020-04-14,17,0,51.5
2020-04-15,19,0,46.2
2020-04-16,16,0,39.4
2020-04-17,16,25,37.2
2020-04-18,9,8,31.5
2020-04-19,8,17,29.6
2020-04-20,9,3,26.5
2020-04-21,12,16,25.1
2020-04-22,16,7,24.2
2020-04-23,17,13,24.5
2020-04-24,11,14,23.1
2020-04-25,14,10,24.5
2020-04-26,7,4,24.2
2020-04-27,16,9,26.2
2020-04-28,8,1,25.0
2020-04-29,12,2,23.9
2020-04-30,12,5,22.5
2020-05-01,4,5,20.5
2020-05-02,9,4,19.1
2020-05-03,5,3,18.6
2020-05-04,8,0,16.3
2020-05-05,8,5,16.4
2020-05-06,16,6,17.5
2020-05-07,6,4,15.8
2020-05-08,4,8,15.8
2020-05-09,7,4,15.2
2020-05-10,9,1,16.3
2020-05-11,5,2,15.5
2020-05-12,4,0,14.3
2020-05-13,1,1,10.1
2020-05-14,5,2,9.8
2020-05-15,3,0,9.5
2020-05-16,2,5,8.2
2020-05-17,7,4,7.6
2020-05-18,4,2,7.3
2020-05-19,0,1,6.2
2020-05-20,0,0,5.9
2020-05-21,8,2,6.8
2020-05-22,2,0,6.5
2020-05-23,7,0,7.9
2020-05-24,1,1,6.2
2020-05-25,2,1,5.6
2020-05-26,1,0,5.9
2020-05-27,3,1,6.8
2020-05-28,5,1,5.9
2020-05-29,1,1,5.7
2020-05-30,5,0,5.1
2020-05-31,0,2,4.8
2020-06-01,2,2,4.8
2020-06-02,0,0,4.5
2020-06-03,3,0,4.5
2020-06-04,9,1,5.6
2020-06-05,3,0,6.1
2020-06-06,2,1,5.3
2020-06-07,2,0,5.9
2020-06-08,2,0,5.9
2020-06-09,3,2,6.8
2020-06-10,1,0,6.2
2020-06-11,1,1,3.9
2020-06-12,2,0,3.7
2020-06-13,5,1,4.5
2020-06-14,1,1,4.2
2020-06-15,3,1,4.5
2020-06-16,2,0,4.2
2020-06-17,1,1,4.2
2020-06-18,2,1,4.5
2020-06-19,2,0,4.5
2020-06-20,0,1,3.1
2020-06-21,2,0,3.4
2020-06-22,1,1,2.9
2020-06-23,0,0,2.3
2020-06-24,0,1,2.0
2020-06-25,2,0,2.0
2020-06-26,5,2,2.8
2020-06-27,2,1,3.4
2020-06-28,1,0,3.1
2020-06-29,1,1,3.0
2020-06-30,6,0,4.7
2020-07-01,5,235,6.1
2020-07-02,1,4,5.9
2020-07-03,0,2,4.5
2020-07-04,2,3,4.5
2020-07-05,1,1,4.5
2020-07-06,1,0,4.6
2020-07-07,1,6,3.1
2020-07-08,3,0,2.6
2020-07-09,3,0,3.1
2020-07-10,2,1,3.7
2020-07-11,2,4,3.6
2020-07-12,3,0,4.2
2020-07-13,7,1,5.9
2020-07-14,3,2,6.5
2020-07-15,5,4,7.0
2020-07-16,2,5,6.8
2020-07-17,3,4,7.0
2020-07-18,3,8,7.4
2020-07-19,1,2,6.7
2020-07-20,1,2,5.0
2020-07-21,1,1,4.5
2020-07-22,2,0,3.7
2020-07-23,4,3,4.2
2020-07-24,1,1,3.7
2020-07-25,6,1,4.5
2020-07-26,3,4,5.1
2020-07-27,6,3,6.5
2020-07-28,2,1,6.8
2020-07-29,5,3,7.6
2020-07-30,0,8,6.5
2020-07-31,1,7,6.5
2020-08-01,3,1,5.6
2020-08-02,1,1,5.1
2020-08-03,1,5,3.7
2020-08-04,8,1,5.3
2020-08-05,2,0,4.5
2020-08-06,11,5,7.6
2020-08-07,2,4,7.8
2020-08-08,4,9,8.2
2020-08-09,2,3,8.4
2020-08-10,5,5,9.5
2020-08-11,3,4,8.2
2020-08-12,6,3,9.3
2020-08-13,10,0,9.0
2020-08-14,4,11,9.6
2020-08-15,6,5,10.1
2020-08-16,8,10,11.8
2020-08-17,6,4,12.1
2020-08-18,4,8,12.4
2020-08-19,4,5,11.8
2020-08-20,2,3,9.6
2020-08-21,2,2,9.0
2020-08-22,7,3,9.3
2020-08-23,4,5,8.2
2020-08-24,6,5,8.2
2020-08-25,6,4,8.7
2020-08-26,5,6,9.0
2020-08-27,15,10,12.6
2020-08-28,8,6,14.4
2020-08-29,3,8,13.2
2020-08-30,4,5,13.2
2020-08-31,11,3,14.6
2020-09-01,7,6,14.9
2020-09-02,10,9,16.3
2020-09-03,29,9,20.3
2020-09-04,19,16,23.3
2020-09-05,18,20,27.6
2020-09-06,9,15,29.0
2020-09-07,17,18,30.7
2020-09-08,23,19,35.2
2020-09-09,14,15,36.3
2020-09-10,18,16,33.2
2020-09-11,14,21,31.8
2020-09-12,16,19,31.2
2020-09-13,0,15,28.7
2020-09-14,16,7,28.4
2020-09-15,13,12,25.6
2020-09-16,15,3,25.9
2020-09-17,22,20,27.0
2020-09-18,12,22,26.5
2020-09-19,26,17,29.3
2020-09-20,23,12,35.8
2020-09-21,28,18,39.2
2020-09-22,20,13,41.1
2020-09-23,34,39,46.5
2020-09-24,35,27,50.1
2020-09-25,49,21,60.5
2020-09-26,37,18,63.6
2020-09-27,34,49,66.7
2020-09-28,37,36,69.2
2020-09-29,34,15,73.2
2020-09-30,20,24,69.2
2020-10-01,44,34,71.8
2020-10-02,46,13,71.0
