date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-02-01,0,0,0
2020-02-02,0,0,0
2020-02-03,0,0,0
2020-02-04,0,0,0
2020-02-05,0,0,0
2020-02-06,0,0,0
2020-02-07,0,0,0
2020-02-08,0,0,0
2020-02-09,0,0,0
2020-02-10,0,0,0
2020-02-11,0,0,0
2020-02-12,0,0,0
2020-02-13,0,0,0
2020-02-14,0,0,0
2020-02-15,0,0,0
2020-02-16,0,0,0
2020-02-17,0,0,0
2020-02-18,0,0,0
2020-02-19,0,0,0
2020-02-20,0,0,0
2020-02-21,0,0,0
2020-02-22,0,0,0
2020-02-23,0,0,0
2020-02-24,0,0,0
2020-02-25,0,0,0
2020-02-26,0,0,0
2020-02-27,0,0,0
2020-02-28,0,0,0
2020-02-29,0,0,0
2020-03-01,0,0,0
2020-03-02,0,0,0
2020-03-03,0,0,0
2020-03-04,0,0,0
2020-03-05,0,0,0
2020-03-06,0,0,0
2020-03-07,0,0,0
2020-03-08,0,0,0
2020-03-09,0,0,0
2020-03-10,1,0,0.1
2020-03-11,1,0,0.2
2020-03-12,1,0,0.3
2020-03-13,6,0,1
2020-03-14,1,0,1.1
2020-03-15,1,0,1.2
2020-03-16,6,0,1.9
2020-03-17,6,0,2.4
2020-03-18,9,0,3.3
2020-03-19,3,0,3.6
2020-03-20,3,0,3.2
2020-03-21,6,0,3.7
2020-03-22,5,0,4.2
2020-03-23,12,0,4.8
2020-03-24,14,0,5.8
2020-03-25,12,0,6.1
2020-03-26,25,0,8.4
2020-03-27,20,0,10.3
2020-03-28,24,0,12.4
2020-03-29,21,0,14.1
2020-03-30,27,0,15.8
2020-03-31,25,0,16.9
2020-04-01,22,0,18.1
2020-04-02,27,0,18.3
2020-04-03,43,0,20.9
2020-04-04,29,0,21.4
2020-04-05,35,0,22.9
2020-04-06,47,0,25.1
2020-04-07,51,0,28.0
2020-04-08,57,0,31.8
2020-04-09,53,0,34.7
2020-04-10,48,0,35.2
2020-04-11,52,0,37.7
2020-04-12,42,0,38.6
2020-04-13,54,0,39.3
2020-04-14,57,0,40.0
2020-04-15,55,0,39.8
2020-04-16,48,0,39.2
2020-04-17,56,56,40.1
2020-04-18,41,90,38.9
2020-04-19,57,45,40.5
2020-04-20,43,20,39.3
2020-04-21,48,56,38.3
2020-04-22,78,65,40.8
2020-04-23,64,51,42.7
2020-04-24,53,39,42.3
2020-04-25,43,60,42.6
2020-04-26,40,47,40.7
2020-04-27,67,40,43.3
2020-04-28,78,31,46.6
2020-04-29,69,41,45.6
2020-04-30,67,54,45.9
2020-05-01,51,43,45.7
2020-05-02,48,83,46.2
2020-05-03,66,19,49.1
2020-05-04,56,36,48.0
2020-05-05,53,35,45.2
2020-05-06,73,36,45.6
2020-05-07,40,56,42.6
2020-05-08,48,46,42.3
2020-05-09,20,29,39.2
2020-05-10,30,34,35.2
2020-05-11,34,15,32.8
2020-05-12,62,15,33.8
2020-05-13,32,2,29.3
2020-05-14,16,14,26.7
2020-05-15,28,39,24.5
2020-05-16,23,19,24.8
2020-05-17,15,6,23.2
2020-05-18,28,22,22.5
2020-05-19,39,10,20.0
2020-05-20,25,14,19.2
2020-05-21,29,14,20.6
2020-05-22,14,32,19.0
2020-05-23,8,15,17.4
2020-05-24,12,8,17.0
2020-05-25,13,1,15.4
2020-05-26,13,4,12.5
2020-05-27,11,7,11.0
2020-05-28,15,13,9.5
2020-05-29,7,9,8.7
2020-05-30,5,4,8.4
2020-05-31,4,7,7.5
2020-06-01,26,3,8.9
2020-06-02,3,2,7.8
2020-06-03,7,8,7.4
2020-06-04,15,6,7.4
2020-06-05,4,16,7.1
2020-06-06,2,2,6.7
2020-06-07,4,5,6.8
2020-06-08,3,0,4.2
2020-06-09,9,2,4.9
2020-06-10,25,2,6.8
2020-06-11,5,3,5.7
2020-06-12,5,5,5.8
2020-06-13,2,5,5.9
2020-06-14,3,3,5.7
2020-06-15,8,0,6.3
2020-06-16,4,0,5.7
2020-06-17,5,0,3.6
2020-06-18,12,0,4.3
2020-06-19,4,10,4.2
2020-06-20,3,0,4.3
2020-06-21,4,1,4.4
2020-06-22,3,1,3.8
2020-06-23,2,1,3.6
