date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-03,1,0,0.0
2020-03-04,0,0,0.0
2020-03-05,0,0,0.0
2020-03-06,0,0,0.0
2020-03-07,0,0,0.0
2020-03-08,0,0,0.0
2020-03-09,1,0,0.1
2020-03-10,2,0,0.4
2020-03-11,0,0,0.4
2020-03-12,3,0,0.9
2020-03-13,1,0,1.1
2020-03-14,1,0,1.3
2020-03-15,0,0,1.3
2020-03-16,3,0,1.6
2020-03-17,2,0,1.7
2020-03-18,3,0,2.2
2020-03-19,3,0,2.1
2020-03-20,8,0,3.2
2020-03-21,11,0,4.8
2020-03-22,2,0,5.1
2020-03-23,13,0,6.8
2020-03-24,9,0,7.9
2020-03-25,12,0,9.3
2020-03-26,12,0,10.9
2020-03-27,18,0,12.5
2020-03-28,13,0,12.8
2020-03-29,13,0,14.6
2020-03-30,31,0,17.5
2020-03-31,19,0,19.1
2020-04-01,32,0,22.4
2020-04-02,19,0,23.4
2020-04-03,32,0,25.7
2020-04-04,27,0,28.0
2020-04-05,22,0,29.4
2020-04-06,29,0,29.1
2020-04-07,32,0,31.2
2020-04-08,29,0,30.7
2020-04-09,26,0,31.9
2020-04-10,27,0,31.1
2020-04-11,24,0,30.6
2020-04-12,27,0,31.4
2020-04-13,27,0,31.1
2020-04-14,16,0,28.5
2020-04-15,44,0,30.9
2020-04-16,32,0,31.9
2020-04-17,26,22,31.7
2020-04-18,26,27,32.0
2020-04-19,41,25,34.3
2020-04-20,47,13,37.5
2020-04-21,33,27,40.3
2020-04-22,43,31,40.1
2020-04-23,56,31,44.0
2020-04-24,63,22,50.0
2020-04-25,31,36,50.8
2020-04-26,67,27,55.0
2020-04-27,51,33,55.7
2020-04-28,49,28,58.2
2020-04-29,86,8,65.2
2020-04-30,60,36,65.8
2020-05-01,53,24,64.2
2020-05-02,39,42,65.5
2020-05-03,40,23,61.2
2020-05-04,44,27,60.0
2020-05-05,57,31,61.3
2020-05-06,51,18,55.7
2020-05-07,78,29,58.6
2020-05-08,37,35,56.0
2020-05-09,32,25,54.9
2020-05-10,31,11,53.4
2020-05-11,33,7,51.6
2020-05-12,46,11,49.9
2020-05-13,32,16,46.8
2020-05-14,31,9,39.2
2020-05-15,22,15,36.7
2020-05-16,14,11,33.8
2020-05-17,19,3,31.9
2020-05-18,12,3,28.5
2020-05-19,34,5,26.5
2020-05-20,18,3,24.2
2020-05-21,29,6,23.9
2020-05-22,19,3,23.5
2020-05-23,23,6,24.9
2020-05-24,11,2,23.6
2020-05-25,16,0,24.3
2020-05-26,15,7,21.2
2020-05-27,28,2,22.8
2020-05-28,35,5,23.8
2020-05-29,14,10,23.0
2020-05-30,20,2,22.5
2020-05-31,18,3,23.6
