date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-02-29,1,0,0.0
2020-03-01,0,0,0.0
2020-03-02,0,0,0.0
2020-03-03,1,0,0.2
2020-03-04,0,0,0.2
2020-03-05,1,0,0.3
2020-03-06,2,0,0.6
2020-03-07,1,0,0.7
2020-03-08,0,0,0.7
2020-03-09,2,0,1.0
2020-03-10,0,0,0.8
2020-03-11,4,0,1.3
2020-03-12,3,0,1.6
2020-03-13,2,0,1.5
2020-03-14,2,0,1.7
2020-03-15,1,0,1.8
2020-03-16,1,0,1.7
2020-03-17,4,0,2.2
2020-03-18,0,0,1.7
2020-03-19,10,0,2.6
2020-03-20,10,0,3.7
2020-03-21,7,0,4.4
2020-03-22,13,0,6.0
2020-03-23,17,0,8.0
2020-03-24,16,0,9.6
2020-03-25,30,0,13.6
2020-03-26,21,0,15.1
2020-03-27,20,0,16.4
2020-03-28,19,0,17.9
2020-03-29,23,0,19.3
2020-03-30,53,0,24.1
2020-03-31,48,0,28.3
2020-04-01,54,0,31.4
2020-04-02,50,0,35.2
2020-04-03,56,0,40.0
2020-04-04,42,0,43.1
2020-04-05,34,0,44.5
2020-04-06,43,0,43.2
2020-04-07,28,0,40.6
2020-04-08,33,0,37.8
2020-04-09,33,0,35.6
2020-04-10,27,0,31.7
2020-04-11,34,0,30.6
2020-04-12,21,0,28.9
2020-04-13,19,0,25.7
2020-04-14,34,0,26.5
2020-04-15,28,0,25.9
2020-04-16,28,0,25.2
2020-04-17,24,17,24.9
2020-04-18,31,19,24.5
2020-04-19,34,57,26.1
2020-04-20,15,5,25.6
2020-04-21,14,22,23.0
2020-04-22,21,41,22.0
2020-04-23,19,7,20.9
2020-04-24,34,14,22.1
2020-04-25,23,9,21.1
2020-04-26,34,9,21.2
2020-04-27,59,6,27.0
2020-04-28,37,18,30.0
2020-04-29,45,5,33.2
2020-04-30,43,6,36.3
2020-05-01,41,17,37.3
2020-05-02,32,11,38.4
2020-05-03,18,9,36.3
2020-05-04,37,4,33.4
2020-05-05,35,4,33.1
2020-05-06,50,8,33.8
2020-05-07,57,12,35.6
2020-05-08,49,25,36.7
2020-05-09,37,12,37.4
2020-05-10,45,7,40.9
2020-05-11,71,22,45.4
2020-05-12,47,15,47.0
2020-05-13,59,15,48.2
2020-05-14,52,19,47.6
2020-05-15,47,44,47.3
2020-05-16,38,18,47.4
2020-05-17,34,20,46.0
2020-05-18,45,30,42.5
2020-05-19,30,14,40.3
2020-05-20,36,29,37.3
2020-05-21,48,10,36.7
2020-05-22,48,9,36.8
2020-05-23,48,14,38.2
2020-05-24,37,19,38.6
2020-05-25,37,16,37.5
2020-05-26,30,13,37.5
2020-05-27,46,8,38.8
2020-05-28,38,15,37.5
2020-05-29,41,16,36.6
2020-05-30,30,11,34.2
2020-05-31,23,13,32.3
2020-06-01,31,14,31.6
2020-06-02,18,16,30.0
2020-06-03,45,14,29.8
2020-06-04,19,10,27.3
2020-06-05,21,4,24.7
2020-06-06,11,10,22.2
2020-06-07,20,5,21.8
2020-06-08,16,1,19.8
2020-06-09,22,10,20.3
2020-06-10,20,4,17.1
2020-06-11,25,8,17.9
2020-06-12,15,12,17.1
2020-06-13,16,6,17.7
2020-06-14,23,4,18.1
2020-06-15,12,6,17.6
2020-06-16,15,10,16.7
2020-06-17,12,3,15.6
2020-06-18,25,9,15.6
2020-06-19,17,5,15.8
2020-06-20,17,15,15.9
2020-06-21,14,3,14.8
2020-06-22,17,4,15.4
2020-06-23,19,4,15.9
2020-06-24,13,3,16.1
2020-06-25,9,5,14.0
2020-06-26,5,1,12.4
2020-06-27,7,2,11.1
2020-06-28,14,2,11.1
2020-06-29,4,1,9.4
2020-06-30,16,2,9.0
2020-07-01,9,1408,8.4
2020-07-02,14,6,9.1
2020-07-03,15,12,10.4
2020-07-04,14,13,11.4
2020-07-05,6,12,10.3
2020-07-06,23,14,12.8
2020-07-07,20,11,13.4
2020-07-08,13,18,13.9
2020-07-09,23,14,15.0
2020-07-10,11,10,14.6
2020-07-11,14,26,14.5
2020-07-12,8,13,14.8
2020-07-13,19,10,14.3
2020-07-14,14,9,13.4
2020-07-15,25,14,15.0
2020-07-16,19,29,14.6
2020-07-17,19,19,15.6
2020-07-18,11,27,15.2
2020-07-19,6,15,14.9
2020-07-20,21,10,15.2
2020-07-21,13,7,15.1
2020-07-22,12,10,13.4
2020-07-23,12,20,12.4
2020-07-24,15,9,11.8
2020-07-25,6,10,11.2
2020-07-26,10,16,11.8
2020-07-27,13,13,10.7
2020-07-28,18,4,11.4
2020-07-29,19,16,12.3
2020-07-30,25,14,14.0
2020-07-31,14,23,13.9
2020-08-01,15,14,15.1
2020-08-02,9,21,14.9
2020-08-03,36,18,17.9
2020-08-04,25,16,18.8
2020-08-05,26,25,19.8
2020-08-06,24,28,19.6
2020-08-07,14,24,19.7
2020-08-08,12,26,19.3
2020-08-09,14,17,19.9
2020-08-10,110,9,29.8
2020-08-11,106,25,40.5
2020-08-12,40,7,42.2
2020-08-13,31,0,43.2
2020-08-14,12,256,42.9
2020-08-15,10,26,42.6
2020-08-16,19,19,43.3
2020-08-17,24,17,31.9
2020-08-18,16,13,20.0
2020-08-19,40,13,20.1
2020-08-20,29,19,19.8
2020-08-21,22,9,21.1
2020-08-22,18,48,22.2
2020-08-23,19,25,22.2
2020-08-24,25,19,22.3
2020-08-25,38,19,25.3
2020-08-26,29,22,23.8
2020-08-27,24,39,23.2
2020-08-28,16,30,22.4
2020-08-29,11,15,21.4
2020-08-30,9,18,20.1
2020-08-31,18,18,19.2
2020-09-01,39,12,19.2
2020-09-02,33,10,19.8
2020-09-03,40,23,21.9
2020-09-04,33,22,24.1
2020-09-05,26,23,26.2
2020-09-06,16,28,27.1
2020-09-07,55,41,31.9
2020-09-08,44,35,32.7
2020-09-09,31,29,32.3
2020-09-10,39,38,32.2
2020-09-11,17,47,30.1
2020-09-12,19,40,29.2
2020-09-13,17,29,29.3
2020-09-14,11,17,23.6
2020-09-15,13,22,19.4
2020-09-16,30,24,19.3
2020-09-17,20,12,16.8
2020-09-18,26,19,18.0
2020-09-19,17,10,17.7
2020-09-20,29,27,19.3
2020-09-21,23,34,20.8
2020-09-22,22,21,22.0
2020-09-23,34,32,22.6
2020-09-24,27,35,23.5
2020-09-25,26,30,23.5
2020-09-26,21,23,24.0
2020-09-27,21,19,23.0
2020-09-28,31,12,24.1
2020-09-29,39,27,26.3
2020-09-30,54,18,28.9
2020-10-01,67,34,34.2
2020-10-02,73,39,40.4
2020-10-03,43,67,43.3
2020-10-04,64,120,49.0
2020-10-05,78,59,55.2
2020-10-06,81,58,60.8
2020-10-07,108,87,67.9
2020-10-08,124,118,75.4
2020-10-09,107,107,79.9
2020-10-10,65,120,82.8
2020-10-11,66,71,83.0
2020-10-12,131,69,90.0
2020-10-13,123,113,95.6
2020-10-14,110,149,95.9
2020-10-15,96,158,92.2
2020-10-16,135,70,95.9
2020-10-17,90,84,99.2
2020-10-18,85,127,101.7
2020-10-19,171,140,107.0
2020-10-20,171,142,113.3
2020-10-21,189,178,123.8
2020-10-22,131,169,128.4
2020-10-23,137,159,128.6
2020-10-24,98,151,129.7
2020-10-25,95,139,131.0
2020-10-26,174,131,131.4
2020-10-27,157,113,129.6
2020-10-28,168,167,126.7
2020-10-29,161,136,130.7
2020-10-30,165,187,134.5
2020-10-31,142,163,140.2
2020-11-01,91,167,139.8
2020-11-02,327,140,160.0
2020-11-03,225,131,168.9
2020-11-04,219,236,175.7
2020-11-05,223,242,183.8
2020-11-06,256,201,195.9
2020-11-07,172,203,199.9
2020-11-08,229,234,218.0
2020-11-09,297,223,214.0
2020-11-10,318,249,226.3
2020-11-11,297,230,236.7
2020-11-12,253,376,240.7
2020-11-13,208,308,234.2
2020-11-14,180,264,235.3
2020-11-15,156,213,225.7
2020-11-16,264,0,221.4
2020-11-17,214,194,207.6
2020-11-18,211,194,196.2
2020-11-19,170,171,185.3
2020-11-20,179,139,181.5
2020-11-21,107,252,171.8
2020-11-22,137,224,169.3
2020-11-23,166,154,156.4
2020-11-24,171,143,150.7
2020-11-25,139,169,141.2
2020-11-26,122,191,134.8
2020-11-27,167,119,133.3
2020-11-28,93,129,131.4
2020-11-29,116,99,128.7
2020-11-30,161,165,127.9
2020-12-01,146,135,124.7
2020-12-02,152,179,126.4
2020-12-03,185,112,134.7
2020-12-04,147,139,132.0
2020-12-05,88,162,131.5
2020-12-06,125,142,132.6
2020-12-07,164,116,133.0
2020-12-08,218,148,142.5
2020-12-09,161,131,143.7
2020-12-10,195,177,145.0
2020-12-11,218,186,154.4
2020-12-12,178,194,166.2
2020-12-13,165,220,171.5
2020-12-14,256,215,183.7
2020-12-15,259,152,189.1
2020-12-16,272,170,203.8
2020-12-17,293,249,216.8
2020-12-18,313,277,229.3
2020-12-19,216,174,234.3
2020-12-20,330,249,256.1
2020-12-21,435,277,279.7
2020-12-22,372,388,294.7
2020-12-23,384,327,309.4
2020-12-24,321,419,313.1
2020-12-25,137,328,289.9
2020-12-26,366,408,309.7
2020-12-27,544,175,338.0
2020-12-28,466,339,342.1
2020-12-29,881,585,409.3
2020-12-30,878,582,474.5
2020-12-31,656,521,518.8
2021-01-01,385,515,551.5
2021-01-02,737,643,600.5
2021-01-03,668,479,616.9
2021-01-04,954,731,681.4
2021-01-05,875,1043,680.5
2021-01-06,727,723,660.6
2021-01-07,657,875,660.7
2021-01-08,584,727,687.0
2021-01-09,498,829,655.5
2021-01-10,443,603,625.7
2021-01-11,698,630,591.9
2021-01-12,574,623,552.2
2021-01-13,578,531,532.5
2021-01-14,604,600,525.5
2021-01-15,481,726,511.9
2021-01-16,402,570,499.2
2021-01-17,396,381,493.0
2021-01-18,634,493,484.5
2021-01-19,557,485,482.3
2021-01-20,454,597,466.0
2021-01-21,488,474,450.6
2021-01-22,434,509,444.4
2021-01-23,315,411,432.9
2021-01-24,158,563,401.5
2021-01-25,321,299,360.2
2021-01-26,501,140,352.8
2021-01-27,381,301,343.1
2021-01-28,457,513,339.0
2021-01-29,316,471,323.5
2021-01-30,250,415,314.9
2021-01-31,229,327,324.2
2021-02-01,333,257,325.8
2021-02-02,316,253,301.3
2021-02-03,294,303,289.9
2021-02-04,271,286,265.4
2021-02-05,262,277,258.2
2021-02-06,210,265,252.9
2021-02-07,176,276,245.9
2021-02-08,260,286,236.3
2021-02-09,212,176,222.6
2021-02-10,183,182,207.8
2021-02-11,216,220,200.6
2021-02-12,188,231,190.8
2021-02-13,149,211,182.8
2021-02-14,154,192,179.9
2021-02-15,228,131,175.6
2021-02-16,199,218,173.9
2021-02-17,215,235,178.2
2021-02-18,214,161,177.9
2021-02-19,175,187,176.2
2021-02-20,138,223,174.7
2021-02-21,121,189,170.4
2021-02-22,180,167,164.1
2021-02-23,128,118,154.7
2021-02-24,146,136,145.5
2021-02-25,101,181,130.6
2021-02-26,76,136,117.5
2021-02-27,55,102,106.6
2021-02-28,65,57,99.2
2021-03-01,95,76,87.9
2021-03-02,87,89,82.5
2021-03-03,79,59,73.7
2021-03-04,77,82,70.5
2021-03-05,65,75,69.1
2021-03-06,71,87,71.2
2021-03-07,73,89,72.2
2021-03-08,94,87,72.1
2021-03-09,81,77,71.3
2021-03-10,85,65,72.2
2021-03-11,90,92,73.8
2021-03-12,96,131,77.9
2021-03-13,53,64,75.5
2021-03-14,76,63,76.0
2021-03-15,89,89,75.3
2021-03-16,92,95,76.8
2021-03-17,83,69,76.4
2021-03-18,78,84,74.9
2021-03-19,81,72,72.9
2021-03-20,87,82,77.4
2021-03-21,78,105,77.6
2021-03-22,88,105,77.5
2021-03-23,94,88,77.7
2021-03-24,97,63,79.7
2021-03-25,84,99,80.5
2021-03-26,68,108,78.7
2021-03-27,63,59,75.6
2021-03-28,86,68,76.6
2021-03-29,53,88,72.0
2021-03-30,68,65,68.6
2021-03-31,70,41,64.9
2021-04-01,78,99,64.1
2021-04-02,52,85,62.1
2021-04-03,57,42,61.2
2021-04-04,33,66,54.3
2021-04-05,36,41,52.0
2021-04-06,73,35,52.7
2021-04-07,53,55,50.5
2021-04-08,66,46,48.9
2021-04-09,42,0,47.5
2021-04-10,43,59,45.7
2021-04-11,39,17,46.5
2021-04-12,41,86,47.2
2021-04-13,43,35,43.2
2021-04-14,43,49,41.9
2021-04-15,31,43,37.2
2021-04-16,35,51,36.4
2021-04-17,34,36,35.2
2021-04-18,39,35,35.1
2021-04-19,31,55,33.8
2021-04-20,41,37,33.5
2021-04-21,38,22,32.8
2021-04-22,27,49,32.4
2021-04-23,26,36,31.1
2021-04-24,14,35,28.5
2021-04-25,38,15,28.4
2021-04-26,37,27,29.2
2021-04-27,29,41,27.6
2021-04-28,23,28,25.7
2021-04-29,35,33,26.7
2021-04-30,18,32,25.7
2021-05-01,15,24,25.7
2021-05-02,25,26,24.0
2021-05-03,35,31,23.8
2021-05-04,44,30,25.8
2021-05-05,44,31,28.5
2021-05-06,35,47,28.5
2021-05-07,30,55,30.1
2021-05-08,25,30,31.5
2021-05-09,26,16,31.6
2021-05-10,47,37,33.1
2021-05-11,15,37,29.3
2021-05-12,16,29,25.6
2021-05-13,19,20,23.5
2021-05-14,14,19,21.4
2021-05-15,14,16,19.9
2021-05-16,26,17,19.9
2021-05-17,28,20,17.4
2021-05-18,19,0,18.0
2021-05-19,31,6,19.9
2021-05-20,17,25,19.7
2021-05-21,11,29,19.2
2021-05-22,15,11,19.4
2021-05-23,23,14,19.1
2021-05-24,27,25,18.9
2021-05-25,20,30,19.0
2021-05-26,19,19,17.5
2021-05-27,24,19,18.4
2021-05-28,18,27,19.3
2021-05-29,22,17,20.2
2021-05-30,18,7,19.5
2021-05-31,17,23,18.3
2021-06-01,27,22,19.1
2021-06-02,31,23,20.7
2021-06-03,41,22,22.9
2021-06-04,45,45,26.6
2021-06-05,39,35,28.8
2021-06-06,50,35,33.0
2021-06-07,50,63,37.3
2021-06-08,39,55,39.0
2021-06-09,48,26,41.2
2021-06-10,57,48,43.3
2021-06-11,45,39,43.3
2021-06-12,40,53,43.5
2021-06-13,26,42,40.3
2021-06-14,74,44,43.5
2021-06-15,52,55,45.1
2021-06-16,52,39,45.7
2021-06-17,43,52,43.9
2021-06-18,44,46,43.7
2021-06-19,29,64,42.2
2021-06-20,23,32,41.9
2021-06-21,52,33,38.9
2021-06-22,63,36,40.5
2021-06-23,53,61,40.6
2021-06-24,59,50,42.7
2021-06-25,93,53,49.1
2021-06-26,82,63,56.2
2021-06-27,80,84,63.6
2021-06-28,155,91,77.3
2021-06-29,158,106,89.8
2021-06-30,142,134,101.5
2021-07-01,160,159,114.9
2021-07-02,180,131,126.4
2021-07-03,142,123,134.3
2021-07-04,186,182,148.3
2021-07-05,204,157,154.8
2021-07-06,217,250,162.5
2021-07-07,219,214,172.8
2021-07-08,187,121,176.3
2021-07-09,196,167,178.5
2021-07-10,179,250,183.3
2021-07-11,212,181,186.8
2021-07-12,332,209,203.6
2021-07-13,364,254,223.1
2021-07-14,543,331,265.8
2021-07-15,632,473,324.6
2021-07-16,562,465,372.9
2021-07-17,407,527,403.1
2021-07-18,377,377,424.9
2021-07-19,519,249,449.6
2021-07-20,477,666,464.5
2021-07-21,404,504,446.2
2021-07-22,356,432,409.7
2021-07-23,310,386,376.4
2021-07-24,278,481,359.3
2021-07-25,245,393,341.9
2021-07-26,330,281,317.0
2021-07-27,352,276,300.5
2021-07-28,367,341,295.5
2021-07-29,304,304,288.7
2021-07-30,281,385,284.9
2021-07-31,256,293,282.0
2021-08-01,264,261,284.5
2021-08-02,341,252,285.9
2021-08-03,331,303,283.1
2021-08-04,412,350,289.1
2021-08-05,347,335,294.7
2021-08-06,288,373,295.7
2021-08-07,253,258,295.3
2021-08-08,289,336,298.6
2021-08-09,397,315,306.0
2021-08-10,340,283,307.2
2021-08-11,423,365,308.7
2021-08-12,372,402,312.0
2021-08-13,319,388,316.0
2021-08-14,279,342,319.5
2021-08-15,290,315,319.6
2021-08-16,414,270,321.8
2021-08-17,367,354,325.4
2021-08-18,404,339,322.9
2021-08-19,335,390,318.0
2021-08-20,325,378,318.8
2021-08-21,329,333,325.4
2021-08-22,303,384,327.1
2021-08-23,414,287,327.2
2021-08-24,367,336,327.2
2021-08-25,410,335,327.9
2021-08-26,363,460,331.6
2021-08-27,336,367,333.1
2021-08-28,284,309,327.1
2021-08-29,290,315,325.4
2021-08-30,338,364,315.4
2021-08-31,464,337,328.1
2021-09-01,480,387,337.4
2021-09-02,478,319,352.7
2021-09-03,396,502,360.6
2021-09-04,384,460,373.8
2021-09-05,365,389,383.7
2021-09-06,485,442,403.0
2021-09-07,432,459,398.9
2021-09-08,361,356,383.2
2021-09-09,396,397,372.3
2021-09-10,295,413,358.9
2021-09-11,244,363,340.5
2021-09-12,319,283,334.4
2021-09-13,438,323,328.2
2021-09-14,458,374,331.6
2021-09-15,448,304,343.1
2021-09-16,442,480,349.2
2021-09-17,386,394,361.2
2021-09-18,396,418,381.2
2021-09-19,544,387,411.0
2021-09-20,786,604,457.0
2021-09-21,720,597,491.6
2021-09-22,664,564,520.1
2021-09-23,657,735,548.4
2021-09-24,610,601,578.1
2021-09-25,513,529,593.6
2021-09-26,590,594,599.6
2021-09-27,748,749,594.6
2021-09-28,752,705,598.8
2021-09-29,685,539,601.5
2021-09-30,562,759,589.1
2021-10-01,600,636,587.7
2021-10-02,482,529,583.6
2021-10-03,671,626,594.3
2021-10-04,806,532,601.9
2021-10-05,685,849,593.1
2021-10-06,750,759,601.7
2021-10-07,697,741,619.5
2021-10-08,664,652,628.0
2021-10-09,555,662,637.6
2021-10-10,656,637,635.6
2021-10-11,910,709,649.4
2021-10-12,760,803,659.3
2021-10-13,730,590,656.7
2021-10-14,699,727,656.9
2021-10-15,603,610,648.8
2021-10-16,511,712,643.0
2021-10-17,598,713,635.4
2021-10-18,823,732,623.9
2021-10-19,682,549,613.6
2021-10-20,641,653,601.8
2021-10-21,526,763,579.0
2021-10-22,461,624,560.3
2021-10-23,486,584,557.0
2021-10-24,419,395,533.3
2021-10-25,518,543,493.0
2021-10-26,469,541,464.9
2021-10-27,463,436,441.4
2021-10-28,484,453,435.8
2021-10-29,456,484,435.2
2021-10-30,366,488,419.3
2021-10-31,375,378,413.5
2021-11-01,576,488,421.2
2021-11-02,470,390,421.3
2021-11-03,428,555,416.7
2021-11-04,419,317,408.1
2021-11-05,380,446,398.0
2021-11-06,358,398,397.0
2021-11-07,387,388,398.6
2021-11-08,587,416,400.0
2021-11-09,576,523,414.0
2021-11-10,518,447,425.9
2021-11-11,466,537,432.2
2021-11-12,434,518,439.3
2021-11-13,375,499,441.5
2021-11-14,444,275,449.0
2021-11-15,554,517,444.7
2021-11-16,546,490,440.7
2021-11-17,536,421,443.1
2021-11-18,514,593,449.4
2021-11-19,458,439,452.6
2021-11-20,416,466,458.0
2021-11-21,480,466,462.8
2021-11-22,626,593,472.3
2021-11-23,628,616,483.1
2021-11-24,607,507,492.5
2021-11-25,525,611,493.9
2021-11-26,514,647,501.3
2021-11-27,406,473,500.0
2021-11-28,585,541,513.9
2021-11-29,728,571,527.3
2021-11-30,719,578,539.4
2021-12-01,730,567,555.6
2021-12-02,630,699,569.5
2021-12-03,630,768,584.8
2021-12-04,506,569,598.0
2021-12-05,491,626,585.6
2021-12-06,775,608,591.8
2021-12-07,691,580,588.1
2021-12-08,685,661,582.2
2021-12-09,692,676,590.3
2021-12-10,591,620,585.2
2021-12-11,569,604,593.5
2021-12-12,495,618,594.0
2021-12-13,748,439,590.5
2021-12-14,694,871,590.9
2021-12-15,0,687,604.6
2021-12-16,159,753,534.3
2021-12-17,0,874,534.3
