date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-02-21,1,0,0.0
2020-02-22,0,0,0.0
2020-02-23,0,0,0.0
2020-02-24,0,0,0.0
2020-02-25,0,0,0.0
2020-02-26,0,0,0.0
2020-02-27,0,0,0.0
2020-02-28,0,0,0.0
2020-02-29,0,0,0.0
2020-03-01,0,0,0.0
2020-03-02,0,0,0.0
2020-03-03,3,0,0.4
2020-03-04,0,0,0.4
2020-03-05,0,0,0.4
2020-03-06,2,0,0.6
2020-03-07,2,0,0.9
2020-03-08,0,0,0.9
2020-03-09,0,0,0.9
2020-03-10,1,0,0.6
2020-03-11,6,0,1.3
2020-03-12,4,0,1.8
2020-03-13,4,0,2.1
2020-03-14,8,0,2.7
2020-03-15,5,0,3.3
2020-03-16,5,0,3.9
2020-03-17,3,0,4.2
2020-03-18,10,0,4.7
2020-03-19,9,0,5.3
2020-03-20,9,0,5.8
2020-03-21,10,0,6.1
2020-03-22,7,0,6.4
2020-03-23,8,0,6.7
2020-03-24,17,0,8.4
2020-03-25,17,0,9.2
2020-03-26,35,0,12.3
2020-03-27,31,0,15.0
2020-03-28,30,0,17.4
2020-03-29,31,0,20.3
2020-03-30,35,0,23.6
2020-03-31,40,0,26.3
2020-04-01,36,0,28.6
2020-04-02,39,0,29.1
2020-04-03,38,0,29.9
2020-04-04,27,0,29.6
2020-04-05,20,0,28.2
2020-04-06,30,0,27.6
2020-04-07,38,0,27.3
2020-04-08,33,0,27.0
2020-04-09,52,0,28.5
2020-04-10,17,0,26.1
2020-04-11,24,0,25.6
2020-04-12,45,0,28.6
2020-04-13,42,0,30.1
2020-04-14,50,0,31.6
2020-04-15,46,0,33.1
2020-04-16,60,0,34.1
2020-04-17,61,34,39.3
2020-04-18,39,15,41.2
2020-04-19,36,49,40.1
2020-04-20,29,15,38.5
2020-04-21,30,20,36.1
2020-04-22,66,40,38.5
2020-04-23,72,18,40.0
2020-04-24,47,7,38.3
2020-04-25,33,40,37.6
2020-04-26,25,15,36.3
2020-04-27,53,6,39.1
2020-04-28,43,8,40.7
2020-04-29,76,8,41.9
2020-04-30,54,59,39.7
2020-05-01,49,29,39.9
2020-05-02,29,16,39.4
2020-05-03,29,14,39.9
2020-05-04,26,2,36.7
2020-05-05,26,15,34.6
2020-05-06,32,13,29.4
2020-05-07,30,18,26.5
2020-05-08,28,7,24.0
2020-05-09,23,8,23.3
2020-05-10,20,10,22.2
2020-05-11,48,3,24.9
2020-05-12,45,8,27.2
2020-05-13,37,7,27.7
2020-05-14,33,26,28.1
2020-05-15,36,13,29.1
2020-05-16,18,12,28.4
2020-05-17,26,9,29.2
2020-05-18,33,8,27.3
2020-05-19,36,16,26.2
2020-05-20,33,4,25.8
2020-05-21,29,19,25.3
2020-05-22,59,17,28.1
2020-05-23,11,13,27.3
2020-05-24,15,1,25.9
2020-05-25,15,6,23.8
2020-05-26,27,1,22.7
2020-05-27,29,4,22.2
2020-05-28,30,10,22.3
2020-05-29,13,4,16.8
2020-05-30,25,2,18.5
2020-05-31,15,8,18.5
2020-06-01,50,3,22.7
2020-06-02,29,2,22.9
2020-06-03,20,4,21.8
2020-06-04,27,13,21.5
2020-06-05,24,3,22.8
2020-06-06,16,8,21.7
2020-06-07,7,1,20.7
2020-06-08,19,0,17.0
2020-06-09,16,6,15.5
2020-06-10,13,1,14.7
2020-06-11,15,2,13.2
2020-06-12,12,3,11.7
2020-06-13,7,3,10.7
2020-06-14,7,0,10.7
2020-06-15,16,0,10.3
2020-06-16,16,4,10.3
2020-06-17,17,2,10.8
2020-06-18,20,4,11.4
2020-06-19,14,2,11.7
2020-06-20,10,5,12.0
2020-06-21,11,5,12.5
2020-06-22,15,1,12.4
2020-06-23,9,1,11.6
2020-06-24,9,1,10.5
2020-06-25,5,3,8.7
2020-06-26,5,0,7.6
2020-06-27,4,1,6.9
2020-06-28,3,0,6.0
2020-06-29,10,1,5.4
2020-06-30,5,0,4.9
2020-07-01,5,1430,4.5
2020-07-02,8,7,4.8
2020-07-03,2,6,4.5
2020-07-04,4,4,4.5
2020-07-05,1,6,4.2
2020-07-06,6,5,3.7
2020-07-07,1,3,3.2
2020-07-08,2,5,2.9
2020-07-09,8,2,2.9
2020-07-10,7,3,3.5
2020-07-11,3,2,3.3
2020-07-12,3,6,3.6
2020-07-13,4,4,3.4
2020-07-14,10,2,4.5
2020-07-15,2,10,4.4
2020-07-16,4,6,4.0
2020-07-17,6,6,3.8
2020-07-18,2,5,3.7
2020-07-19,3,6,3.7
2020-07-20,7,1,4.0
2020-07-21,3,3,3.2
2020-07-22,6,2,3.7
2020-07-23,7,5,4.1
2020-07-24,10,9,4.6
2020-07-25,10,9,5.6
2020-07-26,1,8,5.3
2020-07-27,10,6,5.7
2020-07-28,4,2,5.8
2020-07-29,9,2,6.1
2020-07-30,8,10,6.2
2020-07-31,10,3,6.2
2020-08-01,5,7,5.6
2020-08-02,8,7,6.5
2020-08-03,12,15,6.7
2020-08-04,15,7,8.0
2020-08-05,7,11,7.8
2020-08-06,11,6,8.2
2020-08-07,13,7,8.5
2020-08-08,5,6,8.5
2020-08-09,4,13,8.0
2020-08-10,23,14,9.4
2020-08-11,12,9,9.0
2020-08-12,16,4,10.1
2020-08-13,14,0,10.4
2020-08-14,16,33,10.8
2020-08-15,6,18,10.9
2020-08-16,8,10,11.4
2020-08-17,21,16,11.1
2020-08-18,10,6,10.9
2020-08-19,16,8,10.9
2020-08-20,10,13,10.4
2020-08-21,13,16,10.1
2020-08-22,4,21,9.9
2020-08-23,8,9,9.8
2020-08-24,11,8,8.7
2020-08-25,4,7,7.9
2020-08-26,19,6,8.3
2020-08-27,6,11,7.8
2020-08-28,11,10,7.6
2020-08-29,10,6,8.3
2020-08-30,15,9,9.2
2020-08-31,10,14,9.0
2020-09-01,34,12,12.6
2020-09-02,36,14,14.7
2020-09-03,46,21,19.5
2020-09-04,24,16,21.0
2020-09-05,27,17,23.0
2020-09-06,26,37,24.3
2020-09-07,61,32,30.4
2020-09-08,44,21,31.7
2020-09-09,48,29,33.1
2020-09-10,18,30,29.7
2020-09-11,35,43,31.0
2020-09-12,13,51,29.4
2020-09-13,17,32,28.3
2020-09-14,29,23,24.5
2020-09-15,24,24,22.1
2020-09-16,33,36,20.3
2020-09-17,26,26,21.3
2020-09-18,30,39,20.7
2020-09-19,29,23,22.6
2020-09-20,57,22,27.4
2020-09-21,34,34,28.0
2020-09-22,38,27,29.6
2020-09-23,43,38,30.8
