date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-02,1,0,0.0
2020-03-03,0,0,0.0
2020-03-04,0,0,0.0
2020-03-05,1,0,0.4
2020-03-06,0,0,0.4
2020-03-07,2,0,1.3
2020-03-08,0,0,1.3
2020-03-09,0,0,1.3
2020-03-10,2,0,2.1
2020-03-11,0,0,2.1
2020-03-12,1,0,2.2
2020-03-13,2,0,3.0
2020-03-14,1,0,2.5
2020-03-15,0,0,2.5
2020-03-16,4,0,4.2
2020-03-17,1,0,3.8
2020-03-18,2,0,4.7
2020-03-19,5,0,6.3
2020-03-20,3,0,6.7
2020-03-21,10,0,10.6
2020-03-22,5,0,12.7
2020-03-23,6,0,13.5
2020-03-24,12,0,18.2
2020-03-25,13,0,22.7
2020-03-26,14,0,26.5
2020-03-27,11,0,30.0
2020-03-28,13,0,31.2
2020-03-29,10,0,33.3
2020-03-30,18,0,38.4
2020-03-31,13,0,38.8
2020-04-01,22,0,42.6
2020-04-02,23,0,46.4
2020-04-03,20,0,50.2
2020-04-04,13,0,50.2
2020-04-05,13,0,51.4
2020-04-06,34,0,58.2
2020-04-07,42,0,70.4
2020-04-08,31,0,74.3
2020-04-09,36,0,79.8
2020-04-10,48,0,91.5
2020-04-11,34,0,100.3
2020-04-12,22,0,104.2
2020-04-13,16,0,96.6
2020-04-14,18,0,86.5
2020-04-15,27,0,84.7
2020-04-16,31,0,82.6
2020-04-17,21,17,71.3
2020-04-18,31,29,70.0
2020-04-19,31,21,73.8
2020-04-20,23,17,76.7
2020-04-21,21,23,78.0
2020-04-22,28,10,78.5
2020-04-23,23,14,75.1
2020-04-24,15,20,72.5
2020-04-25,13,20,65.0
2020-04-26,15,12,58.2
2020-04-27,12,9,53.6
2020-04-28,18,6,52.3
2020-04-29,28,6,52.3
2020-04-30,18,12,50.2
2020-05-01,36,28,59.1
2020-05-02,22,36,62.8
2020-05-03,18,100,64.1
2020-05-04,28,18,70.8
2020-05-05,19,22,71.2
2020-05-06,21,10,68.3
2020-05-07,34,78,75.0
2020-05-08,22,17,69.1
2020-05-09,8,12,63.3
2020-05-10,7,24,58.6
2020-05-11,15,4,53.2
2020-05-12,18,14,52.8
2020-05-13,16,3,50.6
2020-05-14,19,16,44.3
2020-05-15,19,9,43.0
2020-05-16,13,7,45.1
2020-05-17,9,5,46.0
2020-05-18,13,7,45.1
2020-05-19,16,8,44.2
2020-05-20,25,5,48.1
2020-05-21,17,7,47.3
2020-05-22,17,5,46.4
2020-05-23,6,14,43.5
2020-05-24,7,10,42.6
2020-05-25,16,5,43.9
2020-05-26,6,7,39.7
2020-05-27,11,0,33.7
2020-05-28,9,2,30.3
2020-05-29,21,1,32.1
2020-05-30,23,4,39.2
2020-05-31,30,4,48.9
2020-06-01,13,3,47.6
2020-06-02,17,5,52.3
2020-06-03,8,7,51.1
