date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-02-08,1,0,0.0
2020-02-09,0,0,0.0
2020-02-10,0,0,0.0
2020-02-11,0,0,0.0
2020-02-12,0,0,0.0
2020-02-13,0,0,0.0
2020-02-14,0,0,0.0
2020-02-15,0,0,0.0
2020-02-16,0,0,0.0
2020-02-17,0,0,0.0
2020-02-18,0,0,0.0
2020-02-19,0,0,0.0
2020-02-20,0,0,0.0
2020-02-21,0,0,0.0
2020-02-22,0,0,0.0
2020-02-23,0,0,0.0
2020-02-24,0,0,0.0
2020-02-25,0,0,0.0
2020-02-26,0,0,0.0
2020-02-27,0,0,0.0
2020-02-28,0,0,0.0
2020-02-29,0,0,0.0
2020-03-01,0,0,0.0
2020-03-02,1,0,0.2
2020-03-03,3,0,0.6
2020-03-04,0,0,0.6
2020-03-05,0,0,0.6
2020-03-06,3,0,1.0
2020-03-07,0,0,1.0
2020-03-08,1,0,1.2
2020-03-09,3,0,1.4
2020-03-10,6,0,1.9
2020-03-11,6,0,2.7
2020-03-12,2,0,3.0
2020-03-13,4,0,3.2
2020-03-14,0,0,3.2
2020-03-15,5,0,3.7
2020-03-16,3,0,3.8
2020-03-17,9,0,4.1
2020-03-18,7,0,4.3
2020-03-19,13,0,5.9
2020-03-20,6,0,6.2
2020-03-21,6,0,7.0
2020-03-22,8,0,7.5
2020-03-23,22,0,10.1
2020-03-24,23,0,12.2
2020-03-25,15,0,13.4
2020-03-26,26,0,15.2
2020-03-27,28,0,18.3
2020-03-28,21,0,20.6
2020-03-29,21,0,22.4
2020-03-30,37,0,24.6
2020-03-31,49,0,28.3
2020-04-01,42,0,32.1
2020-04-02,70,0,38.5
2020-04-03,67,0,44.1
2020-04-04,39,0,46.6
2020-04-05,49,0,50.6
2020-04-06,51,0,52.6
2020-04-07,71,0,55.8
2020-04-08,64,0,59.0
2020-04-09,60,0,57.5
2020-04-10,70,0,58.0
2020-04-11,30,0,56.7
2020-04-12,37,0,55.0
2020-04-13,53,0,55.3
2020-04-14,52,0,52.6
2020-04-15,38,0,48.8
2020-04-16,49,0,47.2
2020-04-17,48,55,44.0
2020-04-18,46,41,46.3
2020-04-19,36,47,46.2
2020-04-20,37,44,43.9
2020-04-21,32,38,41.0
2020-04-22,42,48,41.6
2020-04-23,65,26,43.9
2020-04-24,64,22,46.2
2020-04-25,34,33,44.5
2020-04-26,51,44,46.6
2020-04-27,47,39,48.1
2020-04-28,46,37,50.1
2020-04-29,38,26,49.5
