date,newCasesBySpecimenDate,newCasesByPublishDate
2020-02-01,0,0
2020-02-02,0,0
2020-02-03,0,0
2020-02-04,0,0
2020-02-05,0,0
2020-02-06,0,0
2020-02-07,0,0
2020-02-08,0,0
2020-02-09,0,0
2020-02-10,0,0
2020-02-11,0,0
2020-02-12,0,0
2020-02-13,0,0
2020-02-14,0,0
2020-02-15,0,0
2020-02-16,0,0
2020-02-17,0,0
2020-02-18,0,0
2020-02-19,0,0
2020-02-20,0,0
2020-02-21,0,0
2020-02-22,0,0
2020-02-23,0,0
2020-02-24,0,0
2020-02-25,0,0
2020-02-26,0,0
2020-02-27,0,0
2020-02-28,0,0
2020-02-29,0,0
2020-03-01,0,0
2020-03-02,0,0
2020-03-03,0,0
2020-03-04,0,0
2020-03-05,0,0
2020-03-06,0,0
2020-03-07,0,0
2020-03-08,0,0
2020-03-09,0,0
2020-03-10,0,0
2020-03-11,0,0
2020-03-12,0,0
2020-03-13,2,0
2020-03-14,0,0
2020-03-15,0,0
2020-03-16,0,0
2020-03-17,0,0
2020-03-18,0,0
2020-03-19,1,0
2020-03-20,6,0
2020-03-21,1,0
2020-03-22,5,0
2020-03-23,6,0
2020-03-24,11,0
2020-03-25,13,0
2020-03-26,17,0
2020-03-27,37,0
2020-03-28,14,0
2020-03-29,16,0
2020-03-30,37,0
2020-03-31,27,0
2020-04-01,40,0
2020-04-02,39,0
2020-04-03,42,0
2020-04-04,32,0
2020-04-05,22,0
2020-04-06,38,0
2020-04-07,45,0
2020-04-08,49,0
2020-04-09,43,0
2020-04-10,32,0
2020-04-11,33,0
2020-04-12,21,0
2020-04-13,31,0
2020-04-14,28,0
2020-04-15,46,0
2020-04-16,57,0
2020-04-17,43,0
2020-04-18,22,0
2020-04-19,23,0
2020-04-20,34,0
2020-04-21,29,0
2020-04-22,43,0
2020-04-23,21,0
2020-04-24,34,0
2020-04-25,14,0
2020-04-26,11,0
2020-04-27,22,0
2020-04-28,28,0
2020-04-29,16,0
2020-04-30,20,0
2020-05-01,19,0
2020-05-02,18,0
2020-05-03,16,0
2020-05-04,10,0
2020-05-05,37,0
2020-05-06,10,0
2020-05-07,22,0
2020-05-08,15,0
2020-05-09,14,0
2020-05-10,10,0
2020-05-11,24,0
2020-05-12,20,0
2020-05-13,19,0
2020-05-14,20,0
2020-05-15,23,0
2020-05-16,24,0
2020-05-17,18,0
2020-05-18,27,0
2020-05-19,16,0
2020-05-20,14,0
2020-05-21,19,0
2020-05-22,18,0
2020-05-23,14,0
2020-05-24,13,0
2020-05-25,15,0
2020-05-26,16,0
2020-05-27,20,0
2020-05-28,8,0
2020-05-29,11,18
2020-05-30,9,17
2020-05-31,10,9
2020-06-01,7,14
2020-06-02,10,8
2020-06-03,7,10
2020-06-04,9,5
2020-06-05,6,8
2020-06-06,12,2
2020-06-07,5,7
2020-06-08,8,7
2020-06-09,7,11
2020-06-10,5,2
2020-06-11,7,0
2020-06-12,7,16
2020-06-13,8,7
2020-06-14,7,0
2020-06-15,5,9
2020-06-16,13,13
2020-06-17,8,8
2020-06-18,2,1
2020-06-19,2,3
2020-06-20,4,1
2020-06-21,1,4
2020-06-22,1,7
2020-06-23,1,12
2020-06-24,1,4
2020-06-25,0,2
2020-06-26,2,1
2020-06-27,3,2
2020-06-28,2,0
2020-06-29,2,2
2020-06-30,0,0
2020-07-01,3,4
2020-07-02,2,2
2020-07-03,2,0
2020-07-04,3,2
2020-07-05,2,1
2020-07-06,5,1
2020-07-07,2,1
2020-07-08,0,2
2020-07-09,1,3
2020-07-10,2,0
2020-07-11,0,1
2020-07-12,0,0
2020-07-13,1,0
2020-07-14,0,52
2020-07-15,1,1
2020-07-16,1,0
2020-07-17,1,2
2020-07-18,0,1
2020-07-19,0,0
2020-07-20,2,0
2020-07-21,3,2
2020-07-22,0,1
2020-07-23,1,2
2020-07-24,2,1
2020-07-25,0,1
2020-07-26,1,0
2020-07-27,0,3
2020-07-28,3,1
2020-07-29,0,0
2020-07-30,0,0
2020-07-31,2,0
2020-08-01,2,2
2020-08-02,3,3
2020-08-03,2,2
2020-08-04,1,3
2020-08-05,1,0
2020-08-06,2,3
