date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-02-01,0,0,0
2020-02-02,0,0,0
2020-02-03,0,0,0
2020-02-04,0,0,0
2020-02-05,0,0,0
2020-02-06,0,0,0
2020-02-07,0,0,0
2020-02-08,0,0,0
2020-02-09,0,0,0
2020-02-10,0,0,0
2020-02-11,0,0,0
2020-02-12,0,0,0
2020-02-13,0,0,0
2020-02-14,0,0,0
2020-02-15,0,0,0
2020-02-16,0,0,0
2020-02-17,0,0,0
2020-02-18,0,0,0
2020-02-19,0,0,0
2020-02-20,0,0,0
2020-02-21,0,0,0
2020-02-22,0,0,0
2020-02-23,0,0,0
2020-02-24,0,0,0
2020-02-25,0,0,0
2020-02-26,0,0,0
2020-02-27,0,0,0
2020-02-28,0,0,0
2020-02-29,0,0,0
2020-03-01,0,0,0
2020-03-02,0,0,0
2020-03-03,0,0,0
2020-03-04,0,0,0
2020-03-05,0,0,0
2020-03-06,1,0,0.7
2020-03-07,0,0,0.7
2020-03-08,3,0,2.7
2020-03-09,1,0,3.3
2020-03-10,0,0,3.3
2020-03-11,7,0,8
2020-03-12,6,0,12
2020-03-13,4,0,14.0
2020-03-14,2,0,15.3
2020-03-15,4,0,16.0
2020-03-16,6,0,19.4
2020-03-17,4,0,22.1
2020-03-18,1,0,18.1
2020-03-19,5,0,17.4
2020-03-20,5,0,18.1
2020-03-21,2,0,18.1
2020-03-22,6,0,19.4
2020-03-23,10,0,22.1
2020-03-24,8,0,24.8
2020-03-25,6,0,28.1
2020-03-26,12,0,32.8
2020-03-27,10,0,36.1
2020-03-28,5,0,38.1
2020-03-29,6,0,38.1
2020-03-30,10,0,38.1
2020-03-31,7,0,37.4
2020-04-01,11,0,40.8
2020-04-02,4,0,35.4
2020-04-03,10,0,35.4
2020-04-04,13,0,40.8
2020-04-05,5,0,40.2
2020-04-06,10,0,40.1
2020-04-07,18,0,47.5
2020-04-08,9,0,46.1
2020-04-09,8,0,48.9
2020-04-10,14,0,51.5
2020-04-11,12,0,50.8
2020-04-12,9,0,53.5
2020-04-13,14,0,56.2
2020-04-14,17,0,55.5
2020-04-15,17,0,60.9
2020-04-16,8,0,60.8
2020-04-17,12,8,59.5
2020-04-18,8,2,56.9
2020-04-19,11,23,58.1
2020-04-20,8,1,54.2
2020-04-21,5,21,46.1
2020-04-22,8,8,40.1
2020-04-23,10,0,41.5
2020-04-24,12,16,41.5
2020-04-25,11,4,43.4
2020-04-26,8,9,41.5
2020-04-27,10,7,42.8
2020-04-28,6,4,43.5
2020-04-29,8,5,43.4
2020-04-30,12,6,44.8
2020-05-01,27,6,54.8
2020-05-02,8,2,52.9
2020-05-03,6,5,51.5
2020-05-04,4,12,47.5
2020-05-05,6,16,47.5
2020-05-06,5,2,45.5
2020-05-07,5,5,40.8
2020-05-08,5,4,26.1
2020-05-09,5,4,24
2020-05-10,7,0,24.7
2020-05-11,3,1,24.0
2020-05-12,5,1,23.4
2020-05-13,2,2,21.4
2020-05-14,5,2,21.4
2020-05-15,4,2,20.7
2020-05-16,1,1,18.1
2020-05-17,0,3,13.4
2020-05-18,7,2,16.1
2020-05-19,2,0,14.0
2020-05-20,0,0,12.7
2020-05-21,1,0,10.0
2020-05-22,1,3,8.1
2020-05-23,0,0,7.4
2020-05-24,2,0,8.7
2020-05-25,1,0,4.7
2020-05-26,2,1,4.7
2020-05-27,1,1,5.4
2020-05-28,5,0,8.0
2020-05-29,2,1,8.7
2020-05-30,0,1,8.7
2020-05-31,0,0,7.4
2020-06-01,2,1,8.0
2020-06-02,2,0,8.0
2020-06-03,3,0,9.3
2020-06-04,3,0,8.0
2020-06-05,0,0,6.6
2020-06-06,1,2,7.3
2020-06-07,1,2,8.0
2020-06-08,1,0,7.3
2020-06-09,1,1,6.7
2020-06-10,0,0,4.7
2020-06-11,4,0,5.4
2020-06-12,4,0,8.1
2020-06-13,2,0,8.7
2020-06-14,6,1,12.0
2020-06-15,2,0,12.8
2020-06-16,6,1,16.1
2020-06-17,2,0,17.4
2020-06-18,5,2,18.0
2020-06-19,2,0,16.7
2020-06-20,3,3,17.4
2020-06-21,0,0,13.4
2020-06-22,1,0,12.7
