date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-06,1,0,0.0
2020-03-07,0,0,0.0
2020-03-08,0,0,0.0
2020-03-09,0,0,0.0
2020-03-10,2,0,0.3
2020-03-11,2,0,0.7
2020-03-12,1,0,0.9
2020-03-13,3,0,1.4
2020-03-14,2,0,1.8
2020-03-15,1,0,1.9
2020-03-16,0,0,1.9
2020-03-17,1,0,1.8
2020-03-18,1,0,1.6
2020-03-19,1,0,1.6
2020-03-20,3,0,1.6
2020-03-21,3,0,1.7
2020-03-22,2,0,2.0
2020-03-23,4,0,2.7
2020-03-24,4,0,3.2
2020-03-25,5,0,3.9
2020-03-26,7,0,4.9
2020-03-27,8,0,5.8
2020-03-28,6,0,6.4
2020-03-29,4,0,6.7
2020-03-30,9,0,7.6
2020-03-31,8,0,8.3
2020-04-01,8,0,8.9
2020-04-02,19,0,11.0
2020-04-03,16,0,12.5
2020-04-04,6,0,12.4
2020-04-05,9,0,13.3
2020-04-06,15,0,14.4
2020-04-07,10,0,14.8
2020-04-08,16,0,16.1
2020-04-09,13,0,15.1
2020-04-10,16,0,15.0
2020-04-11,18,0,17.2
2020-04-12,11,0,17.6
2020-04-13,14,0,17.4
2020-04-14,16,0,18.4
2020-04-15,18,0,18.8
2020-04-16,31,0,22.0
2020-04-17,34,26,25.2
2020-04-18,14,36,24.5
2020-04-19,8,35,23.9
2020-04-20,21,16,25.1
2020-04-21,21,5,26.1
2020-04-22,18,18,26.1
2020-04-23,16,17,23.4
2020-04-24,20,23,20.9
2020-04-25,14,4,20.9
2020-04-26,19,13,22.9
2020-04-27,23,13,23.3
2020-04-28,26,8,24.1
2020-04-29,35,2,27.1
2020-04-30,31,18,29.8
2020-05-01,21,10,30.0
2020-05-02,24,14,31.8
2020-05-03,5,12,29.3
2020-05-04,30,12,30.5
2020-05-05,7,9,27.1
2020-05-06,13,10,23.2
2020-05-07,14,7,20.2
2020-05-08,19,1,19.9
2020-05-09,15,6,18.2
2020-05-10,13,1,19.6
2020-05-11,20,7,17.9
2020-05-12,24,14,21.0
2020-05-13,33,6,24.5
2020-05-14,20,6,25.6
2020-05-15,18,9,25.3
2020-05-16,17,12,25.8
2020-05-17,10,2,25.2
2020-05-18,13,1,23.9
2020-05-19,14,2,22.1
2020-05-20,21,3,20.0
2020-05-21,18,14,19.6
2020-05-22,22,15,20.4
2020-05-23,7,7,18.6
2020-05-24,6,7,17.9
2020-05-25,14,3,18.1
2020-05-26,12,0,17.8
2020-05-27,16,5,16.9
2020-05-28,19,2,17.1
2020-05-29,24,8,17.4
2020-05-30,6,2,17.2
2020-05-31,18,6,19.4
2020-06-01,14,3,19.4
2020-06-02,12,5,19.3
2020-06-03,28,42,21.5
2020-06-04,16,12,20.9
2020-06-05,5,24,17.6
2020-06-06,2,5,16.8
2020-06-07,3,0,14.2
2020-06-08,5,1,12.6
2020-06-09,8,2,11.9
2020-06-10,4,0,7.6
2020-06-11,2,0,5.1
2020-06-12,5,0,5.1
2020-06-13,1,0,5.0
2020-06-14,0,1,4.4
2020-06-15,3,0,4.0
2020-06-16,2,0,3.0
2020-06-17,7,0,3.5
2020-06-18,1,1,3.4
2020-06-19,11,1,4.5
2020-06-20,0,1,4.3
2020-06-21,1,1,4.4
2020-06-22,0,0,3.9
2020-06-23,0,1,3.5
2020-06-24,1,0,2.5
2020-06-25,1,0,2.5
2020-06-26,2,3,0.8
2020-06-27,2,0,1.2
2020-06-28,2,0,1.5
2020-06-29,0,1,1.5
2020-06-30,1,0,1.6
2020-07-01,4,473,2.1
2020-07-02,0,1,1.9
2020-07-03,2,1,2.0
2020-07-04,0,1,1.6
2020-07-05,0,1,1.2
2020-07-06,3,2,1.7
2020-07-07,0,1,1.6
2020-07-08,1,2,1.1
2020-07-09,4,0,1.8
2020-07-10,0,2,1.4
2020-07-11,0,4,1.4
2020-07-12,1,0,1.6
2020-07-13,2,0,1.4
2020-07-14,1,0,1.6
2020-07-15,0,1,1.4
2020-07-16,1,0,0.9
2020-07-17,1,0,1.1
2020-07-18,2,2,1.4
2020-07-19,1,2,1.4
2020-07-20,2,2,1.5
2020-07-21,1,2,1.4
2020-07-22,1,1,1.6
2020-07-23,1,1,1.6
2020-07-24,3,0,1.9
2020-07-25,0,2,1.6
2020-07-26,0,2,1.4
2020-07-27,2,0,1.4
2020-07-28,3,0,1.8
2020-07-29,2,2,2.0
2020-07-30,5,4,2.7
2020-07-31,0,2,2.2
2020-08-01,0,1,2.2
2020-08-02,0,1,2.2
2020-08-03,1,1,1.9
2020-08-04,2,1,1.8
2020-08-05,6,2,2.4
2020-08-06,1,2,1.7
2020-08-07,2,2,2.1
2020-08-08,0,1,2.1
2020-08-09,0,4,2.1
2020-08-10,3,3,2.5
2020-08-11,5,0,3.0
2020-08-12,3,0,2.5
2020-08-13,0,0,2.3
2020-08-14,1,7,2.1
2020-08-15,2,2,2.5
2020-08-16,3,3,3.0
2020-08-17,3,2,3.0
2020-08-18,2,1,2.5
2020-08-19,3,1,2.5
2020-08-20,5,2,3.4
2020-08-21,4,3,3.9
2020-08-22,0,6,3.5
2020-08-23,8,3,4.4
2020-08-24,3,4,4.5
2020-08-25,3,8,4.6
2020-08-26,4,3,4.8
2020-08-27,5,2,4.8
2020-08-28,3,2,4.6
2020-08-29,3,2,5.2
2020-08-30,1,7,3.9
2020-08-31,3,3,3.9
2020-09-01,4,1,4.1
2020-09-02,10,2,5.1
2020-09-03,16,3,7.1
2020-09-04,13,3,8.9
2020-09-05,3,4,8.8
2020-09-06,6,7,9.8
2020-09-07,9,9,10.8
2020-09-08,8,9,11.5
2020-09-09,6,10,10.9
2020-09-10,5,5,8.9
2020-09-11,5,11,7.4
2020-09-12,5,11,7.8
2020-09-13,4,4,7.4
2020-09-14,3,6,6.4
2020-09-15,9,5,6.6
2020-09-16,2,6,5.8
2020-09-17,5,1,5.8
2020-09-18,12,7,7.1
2020-09-19,4,7,6.9
2020-09-20,7,3,7.5
2020-09-21,11,6,8.8
2020-09-22,8,2,8.7
2020-09-23,12,15,10.5
2020-09-24,8,14,11.0
2020-09-25,14,9,11.4
2020-09-26,8,8,12.1
2020-09-27,9,11,12.4
2020-09-28,28,9,15.5
2020-09-29,16,8,16.8
2020-09-30,16,7,17.5
2020-10-01,33,17,22.0
2020-10-02,21,11,23.2
2020-10-03,26,27,26.4
2020-10-04,15,53,27.5
2020-10-05,25,32,26.9
2020-10-06,30,26,29.4
2020-10-07,29,26,31.8
2020-10-08,31,36,31.4
2020-10-09,25,25,32.1
2020-10-10,27,24,32.3
2020-10-11,27,21,34.4
2020-10-12,37,19,36.6
2020-10-13,40,44,38.4
2020-10-14,44,53,41.0
2020-10-15,33,45,41.3
2020-10-16,34,40,42.9
2020-10-17,22,42,42.0
2020-10-18,20,20,40.8
2020-10-19,68,31,46.2
2020-10-20,50,39,48.0
2020-10-21,47,38,48.5
2020-10-22,70,53,55.2
2020-10-23,62,67,60.2
2020-10-24,32,45,61.9
2020-10-25,38,72,65.1
2020-10-26,65,64,64.6
2020-10-27,62,52,66.7
2020-10-28,71,66,71.0
2020-10-29,75,58,71.8
2020-10-30,69,69,73.0
2020-10-31,62,72,78.4
2020-11-01,52,59,80.8
2020-11-02,117,64,90.1
2020-11-03,80,102,93.3
2020-11-04,95,85,97.5
2020-11-05,84,72,99.1
2020-11-06,85,98,102.0
2020-11-07,69,77,103.2
2020-11-08,80,60,108.2
2020-11-09,154,77,114.7
2020-11-10,109,52,119.9
2020-11-11,107,66,122.1
2020-11-12,100,120,124.9
2020-11-13,127,89,132.3
2020-11-14,89,264,135.9
2020-11-15,78,136,135.5
2020-11-16,142,0,133.4
2020-11-17,120,98,135.3
2020-11-18,125,89,138.5
2020-11-19,73,144,133.7
2020-11-20,51,123,120.3
2020-11-21,43,57,112.1
2020-11-22,41,74,105.6
2020-11-23,106,53,99.2
2020-11-24,107,56,96.8
2020-11-25,88,71,90.2
2020-11-26,71,128,89.9
2020-11-27,57,72,90.9
2020-11-28,51,85,92.4
2020-11-29,44,43,92.9
2020-11-30,85,64,89.2
2020-12-01,90,54,86.2
2020-12-02,87,67,86.1
2020-12-03,73,60,86.4
2020-12-04,53,100,85.7
2020-12-05,45,82,84.6
2020-12-06,56,75,86.7
2020-12-07,99,57,89.2
2020-12-08,103,51,91.5
2020-12-09,123,75,97.8
2020-12-10,109,78,104.3
2020-12-11,96,102,111.9
2020-12-12,80,116,118.1
2020-12-13,92,124,124.5
2020-12-14,176,98,138.1
2020-12-15,140,79,144.8
2020-12-16,137,136,147.3
2020-12-17,127,157,150.4
2020-12-18,163,123,162.3
2020-12-19,110,101,167.6
2020-12-20,176,103,182.5
2020-12-21,260,149,197.4
2020-12-22,218,233,211.2
2020-12-23,204,169,223.1
2020-12-24,145,189,226.3
2020-12-25,77,152,211.0
2020-12-26,222,225,230.9
2020-12-27,284,173,250.1
2020-12-28,317,266,260.2
2020-12-29,457,301,302.5
2020-12-30,315,286,322.2
2020-12-31,253,299,341.4
2021-01-01,197,147,362.7
2021-01-02,246,403,366.9
2021-01-03,307,198,371.0
2021-01-04,350,358,376.9
2021-01-05,317,215,352.1
2021-01-06,281,315,346.0
2021-01-07,231,291,342.1
2021-01-08,214,378,345.1
2021-01-09,189,217,335.1
2021-01-10,179,271,312.3
2021-01-11,338,202,310.2
2021-01-12,277,205,303.1
2021-01-13,283,224,303.5
2021-01-14,247,363,306.3
2021-01-15,264,245,315.2
2021-01-16,158,231,309.6
2021-01-17,172,200,308.4
2021-01-18,321,263,305.4
2021-01-19,268,227,303.8
2021-01-20,229,246,294.2
2021-01-21,194,239,284.8
2021-01-22,177,261,269.4
2021-01-23,103,208,259.7
2021-01-24,91,181,245.3
2021-01-25,241,159,231.0
2021-01-26,167,114,213.2
2021-01-27,186,138,205.5
2021-01-28,142,264,196.3
2021-01-29,168,149,194.7
2021-01-30,96,147,193.5
2021-01-31,91,161,193.5
2021-02-01,156,139,178.5
2021-02-02,140,92,173.6
2021-02-03,122,100,162.3
2021-02-04,98,186,154.5
2021-02-05,86,136,140.0
2021-02-06,66,111,134.6
2021-02-07,89,87,134.2
2021-02-08,94,89,123.2
2021-02-09,68,110,110.5
2021-02-10,94,54,105.5
2021-02-11,65,64,99.7
2021-02-12,49,85,93.1
2021-02-13,48,88,89.9
2021-02-14,36,51,80.6
2021-02-15,86,60,79.1
2021-02-16,56,42,76.9
2021-02-17,58,48,70.6
2021-02-18,83,81,73.8
2021-02-19,59,53,75.5
2021-02-20,51,83,76.1
2021-02-21,39,53,76.6
2021-02-22,52,79,70.6
2021-02-23,37,39,67.3
2021-02-24,45,39,64.9
2021-02-25,35,47,56.4
2021-02-26,41,43,53.2
2021-02-27,20,40,47.7
2021-02-28,29,30,45.9
2021-03-01,47,36,45.0
2021-03-02,29,37,43.6
2021-03-03,36,29,42.1
2021-03-04,23,45,39.9
2021-03-05,34,30,38.7
2021-03-06,19,33,38.5
2021-03-07,27,26,38.1
2021-03-08,38,31,36.6
2021-03-09,32,33,37.1
2021-03-10,34,16,36.7
2021-03-11,44,55,40.4
2021-03-12,27,42,39.2
