date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-02-25,2,0,0.0
2020-02-26,0,0,0.0
2020-02-27,0,0,0.0
2020-02-28,1,0,0.3
2020-02-29,0,0,0.3
2020-03-01,0,0,0.3
2020-03-02,1,0,0.6
2020-03-03,0,0,0.6
2020-03-04,1,0,1.0
2020-03-05,1,0,1.3
2020-03-06,3,0,1.9
2020-03-07,1,0,2.2
2020-03-08,2,0,2.8
2020-03-09,6,0,4.4
2020-03-10,6,0,6.3
2020-03-11,11,0,9.3
2020-03-12,10,0,12.2
2020-03-13,8,0,13.8
2020-03-14,10,0,16.6
2020-03-15,12,0,19.7
2020-03-16,16,0,22.8
2020-03-17,20,0,27.2
2020-03-18,20,0,30.0
2020-03-19,15,0,31.5
2020-03-20,23,0,36.2
2020-03-21,13,0,37.2
2020-03-22,28,0,42.2
2020-03-23,43,0,50.7
2020-03-24,30,0,53.7
2020-03-25,30,0,56.9
2020-03-26,31,0,61.9
2020-03-27,48,0,69.7
2020-03-28,32,0,75.6
2020-03-29,34,0,77.5
2020-03-30,54,0,80.9
2020-03-31,35,0,82.5
2020-04-01,59,0,91.6
2020-04-02,49,0,97.2
2020-04-03,53,0,98.7
2020-04-04,36,0,100.0
2020-04-05,26,0,97.5
2020-04-06,39,0,92.8
2020-04-07,49,0,97.2
2020-04-08,42,0,91.8
2020-04-09,39,0,88.7
2020-04-10,36,0,83.5
2020-04-11,31,0,81.9
2020-04-12,13,0,77.8
2020-04-13,25,0,73.4
2020-04-14,20,0,64.4
2020-04-15,28,0,60.0
2020-04-16,22,0,54.7
2020-04-17,17,25,48.7
2020-04-18,16,27,44.0
2020-04-19,6,22,41.9
2020-04-20,12,14,37.8
2020-04-21,17,9,36.9
2020-04-22,6,7,30.0
2020-04-23,13,21,27.2
2020-04-24,12,11,25.6
2020-04-25,3,5,21.6
2020-04-26,10,8,22.8
2020-04-27,17,10,24.4
2020-04-28,9,3,21.8
2020-04-29,17,4,25.3
2020-04-30,14,12,25.6
2020-05-01,12,7,25.7
2020-05-02,3,15,25.6
2020-05-03,4,8,23.8
2020-05-04,7,3,20.6
2020-05-05,7,6,20.0
2020-05-06,9,2,17.5
2020-05-07,4,6,14.4
2020-05-08,4,3,11.8
2020-05-09,7,3,13.1
2020-05-10,6,0,13.7
2020-05-11,10,3,14.7
2020-05-12,9,2,15.3
2020-05-13,5,2,14.1
