date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-10,4,0,0.0
2020-03-11,0,0,0.0
2020-03-12,0,0,0.0
2020-03-13,3,0,3.1
2020-03-14,1,0,4.2
2020-03-15,1,0,5.3
2020-03-16,0,0,5.3
2020-03-17,1,0,6.3
2020-03-18,2,0,8.5
2020-03-19,1,0,9.5
2020-03-20,3,0,9.6
2020-03-21,2,0,10.6
2020-03-22,0,0,9.5
2020-03-23,2,0,11.7
2020-03-24,5,0,16.0
2020-03-25,7,0,21.2
2020-03-26,3,0,23.4
2020-03-27,5,0,25.5
2020-03-28,3,0,26.6
2020-03-29,6,0,33.0
2020-03-30,7,0,38.2
2020-03-31,5,0,38.2
2020-04-01,4,0,35.1
2020-04-02,7,0,39.3
2020-04-03,5,0,39.3
2020-04-04,4,0,40.4
2020-04-05,1,0,35.1
2020-04-06,2,0,29.8
2020-04-07,4,0,28.7
2020-04-08,8,0,32.9
2020-04-09,3,0,28.7
2020-04-10,3,0,26.6
2020-04-11,4,0,26.6
2020-04-12,0,0,25.5
2020-04-13,4,0,27.6
2020-04-14,5,0,28.7
2020-04-15,9,0,29.8
2020-04-16,5,0,31.9
2020-04-17,4,0,33.0
2020-04-18,3,0,31.9
2020-04-19,2,0,34.0
2020-04-20,3,0,33.0
2020-04-21,7,0,35.1
2020-04-22,1,0,26.6
2020-04-23,6,0,27.7
2020-04-24,1,0,24.4
2020-04-25,5,0,26.5
2020-04-26,0,0,24.4
2020-04-27,2,0,23.4
2020-04-28,3,0,19.1
2020-04-29,5,0,23.4
2020-04-30,0,0,17.0
2020-05-01,2,0,18.1
2020-05-02,1,0,13.8
2020-05-03,8,0,22.4
2020-05-04,2,0,22.3
2020-05-05,1,0,20.2
2020-05-06,3,0,18.0
2020-05-07,3,0,21.2
2020-05-08,0,0,19.1
2020-05-09,0,0,18.1
2020-05-10,0,0,9.5
2020-05-11,1,0,8.5
2020-05-12,0,0,7.5
2020-05-13,2,0,6.4
2020-05-14,1,0,4.3
2020-05-15,0,0,4.3
2020-05-16,0,0,4.3
2020-05-17,3,0,7.5
2020-05-18,9,0,15.9
2020-05-19,6,0,22.3
2020-05-20,1,0,21.3
2020-05-21,1,0,21.2
2020-05-22,0,0,21.2
2020-05-23,0,0,21.2
2020-05-24,0,0,18.0
2020-05-25,0,0,8.5
2020-05-26,3,0,5.3
2020-05-27,0,0,4.2
2020-05-28,1,0,4.3
2020-05-29,3,0,7.5
2020-05-30,0,0,7.5
2020-05-31,0,0,7.5
2020-06-01,0,0,7.5
2020-06-02,1,0,5.3
2020-06-03,0,0,5.3
2020-06-04,0,0,4.2
2020-06-05,0,0,1.0
2020-06-06,0,0,1.0
2020-06-07,0,0,1.0
2020-06-08,0,0,1.0
2020-06-09,1,0,1.1
2020-06-10,1,0,2.2
2020-06-11,0,0,2.2
2020-06-12,0,0,2.2
2020-06-13,0,0,2.2
2020-06-14,0,0,2.2
2020-06-15,0,0,2.2
2020-06-16,0,0,1.1
2020-06-17,0,0,0.0
2020-06-18,0,0,0.0
2020-06-19,2,0,2.1
2020-06-20,0,0,2.1
2020-06-21,0,0,2.1
2020-06-22,0,0,2.1
2020-06-23,0,0,2.1
2020-06-24,0,0,2.1
2020-06-25,1,0,3.1
2020-06-26,0,0,1.0
2020-06-27,0,0,1.0
2020-06-28,0,0,1.0
2020-06-29,0,0,1.0
2020-06-30,0,0,1.0
2020-07-01,1,0,2.1
2020-07-02,0,0,1.1
2020-07-03,0,0,1.1
2020-07-04,1,0,2.2
2020-07-05,0,0,2.2
2020-07-06,0,0,2.2
2020-07-07,0,0,2.2
2020-07-08,0,0,1.1
2020-07-09,0,0,1.1
2020-07-10,0,0,1.1
2020-07-11,0,0,0.0
2020-07-12,1,0,1.0
2020-07-13,0,0,1.0
2020-07-14,1,0,2.1
2020-07-15,0,0,2.1
2020-07-16,0,0,2.1
2020-07-17,0,0,2.1
2020-07-18,0,0,2.1
2020-07-19,0,0,1.1
2020-07-20,0,0,1.1
2020-07-21,0,0,0.0
2020-07-22,0,0,0.0
2020-07-23,0,0,0.0
2020-07-24,0,0,0.0
2020-07-25,0,0,0.0
2020-07-26,0,0,0.0
2020-07-27,1,0,1.1
2020-07-28,0,0,1.1
2020-07-29,0,0,1.1
2020-07-30,0,1,1.1
2020-07-31,0,0,1.1
2020-08-01,1,0,2.1
2020-08-02,0,0,2.1
2020-08-03,0,0,1.0
2020-08-04,1,0,2.1
2020-08-05,0,0,2.1
2020-08-06,1,1,3.2
2020-08-07,0,0,3.2
2020-08-08,0,1,2.2
2020-08-09,0,2,2.2
2020-08-10,0,0,2.2
2020-08-11,1,0,2.1
2020-08-12,0,1,2.1
2020-08-13,0,0,1.0
2020-08-14,1,0,2.1
2020-08-15,0,0,2.1
2020-08-16,0,0,2.1
2020-08-17,1,0,3.1
2020-08-18,1,1,3.2
2020-08-19,0,1,3.2
2020-08-20,0,1,3.2
2020-08-21,1,0,3.2
2020-08-22,0,0,3.2
2020-08-23,0,0,3.2
2020-08-24,0,0,2.2
2020-08-25,2,1,3.2
2020-08-26,0,0,3.2
2020-08-27,3,0,6.4
2020-08-28,3,0,8.5
2020-08-29,1,1,9.5
2020-08-30,0,4,9.5
2020-08-31,3,2,12.7
2020-09-01,2,1,12.7
2020-09-02,4,4,17.0
2020-09-03,6,0,20.2
2020-09-04,7,4,24.4
2020-09-05,0,6,23.4
2020-09-06,3,8,26.6
2020-09-07,0,0,23.4
2020-09-08,0,2,21.3
2020-09-09,0,0,17.0
2020-09-10,2,1,12.7
2020-09-11,4,0,9.6
2020-09-12,2,0,11.7
2020-09-13,4,3,12.8
2020-09-14,1,1,13.8
2020-09-15,2,3,15.9
2020-09-16,4,5,20.2
2020-09-17,4,3,22.4
2020-09-18,7,4,25.5
2020-09-19,9,3,33.0
2020-09-20,9,6,38.2
2020-09-21,12,11,50.0
2020-09-22,2,12,50.0
2020-09-23,6,7,52.1
2020-09-24,11,6,59.5
2020-09-25,5,6,57.4
2020-09-26,7,11,55.2
2020-09-27,5,4,51.0
2020-09-28,16,7,55.3
2020-09-29,11,7,64.8
2020-09-30,11,16,70.1
2020-10-01,4,7,62.7
2020-10-02,9,10,67.0
2020-10-03,6,9,65.9
2020-10-04,8,8,69.1
2020-10-05,10,4,62.7
2020-10-06,7,9,58.5
2020-10-07,9,11,56.4
2020-10-08,18,5,71.2
2020-10-09,15,15,77.5
2020-10-10,9,9,80.8
2020-10-11,10,20,82.9
2020-10-12,19,9,92.4
2020-10-13,11,12,96.7
2020-10-14,11,15,98.8
2020-10-15,8,14,88.2
2020-10-16,7,9,79.8
2020-10-17,9,6,79.7
2020-10-18,16,1,86.1
2020-10-19,11,7,77.6
2020-10-20,20,11,87.2
2020-10-21,11,26,87.2
2020-10-22,14,21,93.6
2020-10-23,13,7,99.9
2020-10-24,7,16,97.8
2020-10-25,5,12,86.1
2020-10-26,8,7,82.9
2020-10-27,9,9,71.2
2020-10-28,13,7,73.3
2020-10-29,17,1,76.5
2020-10-30,13,12,76.5
2020-10-31,7,13,76.6
2020-11-01,8,21,79.8
2020-11-02,14,10,86.1
2020-11-03,47,7,126.5
2020-11-04,13,13,126.5
2020-11-05,29,38,139.2
2020-11-06,13,14,139.3
2020-11-07,24,35,157.3
2020-11-08,15,25,164.7
2020-11-09,19,11,170.1
2020-11-10,17,14,138.2
2020-11-11,21,22,146.7
2020-11-12,31,12,148.8
2020-11-13,31,29,167.9
2020-11-14,45,31,190.2
2020-11-15,30,41,206.2
