date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-01,1,0,0.0
2020-03-02,0,0,0.0
2020-03-03,0,0,0.0
2020-03-04,0,0,0.0
2020-03-05,1,0,0.4
2020-03-06,0,0,0.4
2020-03-07,0,0,0.4
2020-03-08,0,0,0.4
2020-03-09,0,0,0.4
2020-03-10,1,0,0.7
2020-03-11,2,0,1.4
2020-03-12,1,0,1.3
2020-03-13,3,0,2.4
2020-03-14,3,0,3.4
2020-03-15,0,0,3.4
2020-03-16,3,0,4.4
2020-03-17,6,0,6.1
2020-03-18,6,0,7.5
2020-03-19,7,0,9.6
2020-03-20,2,0,9.1
2020-03-21,6,0,10.2
2020-03-22,6,0,12.2
2020-03-23,6,0,13.3
2020-03-24,10,0,14.7
2020-03-25,9,0,15.6
2020-03-26,15,0,18.3
2020-03-27,8,0,20.4
2020-03-28,10,0,21.7
2020-03-29,12,0,23.8
2020-03-30,23,0,29.5
2020-03-31,18,0,32.2
2020-04-01,33,0,40.5
2020-04-02,28,0,44.9
2020-04-03,31,0,52.7
2020-04-04,26,0,58.2
2020-04-05,26,0,62.9
2020-04-06,45,0,70.4
2020-04-07,28,0,73.8
2020-04-08,30,0,72.7
2020-04-09,36,0,75.4
2020-04-10,32,0,75.8
2020-04-11,27,0,76.1
2020-04-12,14,0,72.1
2020-04-13,38,0,69.7
2020-04-14,21,0,67.3
2020-04-15,32,0,68.0
2020-04-16,37,0,68.4
2020-04-17,21,30,64.6
2020-04-18,39,17,68.7
2020-04-19,34,23,75.4
2020-04-20,30,21,72.7
2020-04-21,28,18,75.1
2020-04-22,55,13,82.9
2020-04-23,42,28,84.6
2020-04-24,29,18,87.4
2020-04-25,25,12,82.6
2020-04-26,18,21,77.2
2020-04-27,27,15,76.1
2020-04-28,21,15,73.8
2020-04-29,35,16,67.0
2020-04-30,47,12,68.7
2020-05-01,29,8,68.6
2020-05-02,12,35,64.2
2020-05-03,22,22,65.6
2020-05-04,23,15,64.3
2020-05-05,21,8,64.2
2020-05-06,27,12,61.5
2020-05-07,24,20,53.7
2020-05-08,17,10,49.6
2020-05-09,13,13,50.0
2020-05-10,15,7,47.6
2020-05-11,13,5,44.2
2020-05-12,17,8,42.9
2020-05-13,22,7,41.1
2020-05-14,11,10,36.7
2020-05-15,9,10,34.0
2020-05-16,12,6,33.6
2020-05-17,18,3,34.6
2020-05-18,13,6,34.7
2020-05-19,11,1,32.6
2020-05-20,17,9,31.0
2020-05-21,19,2,33.6
2020-05-22,16,7,36.1
2020-05-23,10,5,35.4
2020-05-24,8,3,32.0
2020-05-25,9,0,30.5
2020-05-26,6,3,28.9
2020-05-27,7,2,25.5
2020-05-28,5,4,20.8
2020-05-29,8,0,18.0
2020-05-30,7,2,17.0
2020-05-31,3,0,15.3
2020-06-01,3,5,13.3
2020-06-02,7,0,13.6
2020-06-03,11,1,14.9
2020-06-04,5,0,14.9
2020-06-05,7,0,14.6
2020-06-06,2,2,12.9
2020-06-07,5,1,13.6
2020-06-08,5,0,14.3
2020-06-09,2,1,12.6
2020-06-10,5,3,10.6
2020-06-11,3,0,9.9
2020-06-12,2,3,8.2
2020-06-13,3,0,8.5
2020-06-14,3,4,7.8
2020-06-15,3,2,7.1
2020-06-16,7,3,8.8
2020-06-17,4,1,8.5
2020-06-18,5,0,9.2
2020-06-19,9,0,11.5
2020-06-20,3,5,11.5
2020-06-21,7,4,12.9
2020-06-22,6,1,13.9
2020-06-23,5,1,13.2
2020-06-24,2,4,12.5
2020-06-25,1,0,11.2
2020-06-26,1,1,8.5
2020-06-27,4,0,8.9
2020-06-28,4,2,7.8
2020-06-29,9,0,8.9
2020-06-30,0,2,7.2
2020-07-01,6,518,8.5
2020-07-02,1,2,8.5
2020-07-03,5,5,9.9
2020-07-04,0,3,8.5
2020-07-05,3,2,8.2
2020-07-06,2,2,5.8
2020-07-07,2,1,6.4
2020-07-08,2,3,5.1
2020-07-09,3,2,5.7
2020-07-10,2,0,4.7
2020-07-11,1,4,5.1
2020-07-12,0,2,4.1
2020-07-13,2,1,4.0
2020-07-14,6,1,5.5
2020-07-15,4,1,6.1
2020-07-16,2,2,5.8
2020-07-17,4,5,6.5
2020-07-18,4,4,7.4
2020-07-19,2,6,8.1
2020-07-20,6,5,9.6
2020-07-21,0,2,7.5
2020-07-22,6,4,8.2
2020-07-23,18,0,13.6
2020-07-24,5,7,13.9
2020-07-25,9,11,15.7
2020-07-26,6,9,17.0
2020-07-27,5,12,16.6
2020-07-28,18,7,22.7
2020-07-29,18,5,26.9
2020-07-30,9,12,23.8
2020-07-31,18,7,28.2
2020-08-01,2,13,25.8
2020-08-02,5,15,25.5
2020-08-03,5,19,25.5
2020-08-04,9,3,22.5
2020-08-05,19,6,22.7
2020-08-06,16,10,25.2
2020-08-07,12,13,23.1
2020-08-08,10,7,25.8
2020-08-09,8,26,26.9
2020-08-10,12,5,29.2
2020-08-11,12,9,30.2
2020-08-12,6,8,25.9
2020-08-13,7,0,22.7
2020-08-14,9,22,21.8
2020-08-15,9,6,21.5
2020-08-16,2,13,19.3
2020-08-17,5,5,17.0
2020-08-18,7,8,15.3
2020-08-19,6,3,15.3
2020-08-20,8,7,15.7
2020-08-21,5,4,14.3
2020-08-22,5,7,12.9
2020-08-23,3,6,13.3
2020-08-24,3,5,12.6
2020-08-25,3,3,11.2
2020-08-26,8,6,11.9
2020-08-27,1,3,9.5
2020-08-28,2,6,8.5
2020-08-29,8,4,9.5
2020-08-30,8,1,11.2
2020-08-31,10,5,13.6
2020-09-01,6,7,14.7
2020-09-02,17,10,17.6
2020-09-03,16,4,22.8
2020-09-04,19,10,28.5
2020-09-05,16,8,31.3
2020-09-06,17,17,34.3
2020-09-07,34,10,42.5
2020-09-08,24,17,48.6
2020-09-09,21,16,50.0
2020-09-10,16,15,49.9
2020-09-11,21,17,50.7
2020-09-12,11,25,48.9
2020-09-13,13,24,47.6
2020-09-14,31,28,46.6
2020-09-15,30,19,48.6
2020-09-16,33,25,52.7
2020-09-17,42,32,61.6
2020-09-18,22,40,61.8
2020-09-19,49,29,74.8
2020-09-20,50,16,87.4
2020-09-21,19,40,83.2
2020-09-22,47,26,89.0
2020-09-23,44,26,92.8
2020-09-24,54,51,96.8
2020-09-25,55,43,108.1
2020-09-26,44,41,106.4
2020-09-27,47,39,105.4
2020-09-28,71,29,123.1
2020-09-29,75,46,132.6
2020-09-30,103,50,152.6
2020-10-01,103,59,169.3
2020-10-02,98,38,183.9
2020-10-03,90,108,199.5
2020-10-04,75,221,209.0
2020-10-05,144,83,233.8
2020-10-06,134,149,253.9
2020-10-07,112,134,257.0
2020-10-08,135,148,267.9
2020-10-09,111,86,272.3
2020-10-10,83,81,269.9
2020-10-11,104,118,279.7
2020-10-12,124,159,273.0
2020-10-13,131,140,271.9
2020-10-14,134,111,279.4
2020-10-15,118,100,273.6
2020-10-16,119,95,276.3
2020-10-17,147,118,298.1
2020-10-18,101,158,297.1
2020-10-19,164,160,310.7
2020-10-20,216,171,339.6
2020-10-21,193,162,359.6
2020-10-22,163,145,374.9
2020-10-23,168,144,391.6
2020-10-24,151,163,392.9
2020-10-25,133,161,403.8
2020-10-26,279,228,442.9
2020-10-27,208,202,440.2
2020-10-28,191,236,439.5
2020-10-29,181,224,445.6
2020-10-30,177,202,448.7
2020-10-31,127,196,440.5
2020-11-01,139,201,442.6
2020-11-02,258,126,435.4
2020-11-03,175,158,424.2
2020-11-04,133,182,404.5
2020-11-05,143,181,391.6
2020-11-06,132,109,376.3
2020-11-07,124,201,375.3
2020-11-08,108,105,364.7
2020-11-09,186,109,340.2
2020-11-10,167,123,337.5
2020-11-11,162,151,347.4
2020-11-12,151,201,350.1
2020-11-13,109,168,342.2
2020-11-14,101,151,334.5
2020-11-15,81,115,325.3
2020-11-16,122,0,303.6
2020-11-17,116,104,286.2
2020-11-18,87,97,260.7
2020-11-19,92,107,240.7
2020-11-20,69,110,227.1
2020-11-21,67,76,215.5
2020-11-22,59,79,208.0
2020-11-23,88,78,196.4
2020-11-24,66,49,179.5
2020-11-25,65,101,172.0
2020-11-26,53,56,158.7
2020-11-27,38,63,148.2
2020-11-28,47,57,141.4
2020-11-29,20,37,128.2
2020-11-30,56,28,117.3
2020-12-01,88,59,124.7
2020-12-02,46,57,118.3
2020-12-03,46,58,115.9
2020-12-04,45,44,118.3
2020-12-05,35,58,114.2
2020-12-06,45,41,122.7
2020-12-07,64,38,125.4
2020-12-08,50,50,112.5
2020-12-09,50,58,113.8
2020-12-10,42,42,112.5
2020-12-11,39,59,110.5
2020-12-12,32,47,109.4
2020-12-13,32,32,105.0
2020-12-14,69,29,106.8
2020-12-15,68,34,112.9
2020-12-16,61,74,116.6
2020-12-17,52,57,120.0
2020-12-18,58,48,126.4
2020-12-19,66,42,138.0
2020-12-20,88,65,157.1
2020-12-21,133,70,178.8
2020-12-22,100,88,189.7
2020-12-23,108,124,205.7
2020-12-24,89,79,218.2
2020-12-25,44,87,213.5
2020-12-26,115,68,230.2
2020-12-27,119,84,240.6
2020-12-28,130,127,239.6
2020-12-29,189,157,269.8
2020-12-30,200,120,301.1
2020-12-31,180,139,332.1
2021-01-01,103,112,352.1
2021-01-02,202,150,381.7
2021-01-03,167,229,398.0
2021-01-04,209,191,424.9
2021-01-05,222,156,436.1
2021-01-06,171,130,426.3
2021-01-07,163,179,420.5
2021-01-08,166,210,441.9
2021-01-09,118,215,413.3
2021-01-10,175,194,416.1
