date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-02-01,0,0,0
2020-02-02,0,0,0
2020-02-03,0,0,0
2020-02-04,0,0,0
2020-02-05,0,0,0
2020-02-06,0,0,0
2020-02-07,0,0,0
2020-02-08,0,0,0
2020-02-09,0,0,0
2020-02-10,0,0,0
2020-02-11,0,0,0
2020-02-12,0,0,0
2020-02-13,0,0,0
2020-02-14,0,0,0
2020-02-15,0,0,0
2020-02-16,0,0,0
2020-02-17,0,0,0
2020-02-18,0,0,0
2020-02-19,0,0,0
2020-02-20,0,0,0
2020-02-21,0,0,0
2020-02-22,0,0,0
2020-02-23,0,0,0
2020-02-24,0,0,0
2020-02-25,0,0,0
2020-02-26,0,0,0
2020-02-27,0,0,0
2020-02-28,0,0,0
2020-02-29,0,0,0
2020-03-01,0,0,0
2020-03-02,0,0,0
2020-03-03,0,0,0
2020-03-04,0,0,0
2020-03-05,0,0,0
2020-03-06,0,0,0
2020-03-07,0,0,0
2020-03-08,0,0,0
2020-03-09,1,0,0.5
2020-03-10,2,0,1.5
2020-03-11,1,0,2
2020-03-12,0,0,2
2020-03-13,0,0,2
2020-03-14,1,0,2.5
2020-03-15,0,0,2.5
2020-03-16,1,0,2.5
2020-03-17,3,0,3.1
2020-03-18,0,0,2.6
2020-03-19,1,0,3.1
2020-03-20,2,0,4.1
2020-03-21,0,0,3.6
2020-03-22,0,0,3.6
2020-03-23,3,0,4.6
2020-03-24,2,0,4.0
2020-03-25,2,0,5.0
2020-03-26,6,0,7.6
2020-03-27,8,0,10.6
2020-03-28,11,0,16.2
2020-03-29,4,0,18.2
2020-03-30,16,0,24.8
2020-03-31,8,0,27.9
2020-04-01,13,0,33.5
2020-04-02,13,0,37.0
2020-04-03,16,0,41.1
2020-04-04,11,0,41.0
2020-04-05,12,0,45.1
2020-04-06,9,0,41.6
2020-04-07,20,0,47.6
2020-04-08,9,0,45.6
2020-04-09,18,0,48.1
2020-04-10,6,0,43.0
2020-04-11,11,0,43.1
2020-04-12,10,0,42.1
2020-04-13,9,0,42
2020-04-14,15,0,39.5
2020-04-15,11,0,40.5
2020-04-16,10,0,36.5
2020-04-17,7,8,37.0
2020-04-18,13,5,38.0
2020-04-19,12,3,39.0
2020-04-20,17,5,43.1
2020-04-21,15,3,43.1
2020-04-22,20,8,47.6
2020-04-23,14,31,49.6
2020-04-24,15,23,53.7
2020-04-25,9,17,51.7
2020-04-26,10,5,50.7
2020-04-27,10,3,47.1
2020-04-28,31,2,55.2
2020-04-29,15,4,52.7
2020-04-30,14,9,52.7
2020-05-01,27,12,58.8
2020-05-02,17,7,62.8
2020-05-03,19,3,67.4
2020-05-04,15,2,70.0
2020-05-05,18,7,63.4
2020-05-06,15,6,63.4
2020-05-07,14,29,63.4
2020-05-08,11,24,55.3
2020-05-09,9,2,51.2
2020-05-10,11,0,47.1
2020-05-11,13,1,46.1
2020-05-12,16,12,45.1
2020-05-13,9,18,42.0
2020-05-14,11,21,40.5
2020-05-15,13,17,41.5
2020-05-16,11,0,42.6
2020-05-17,6,0,40.0
2020-05-18,17,0,42.0
2020-05-19,14,22,41.0
2020-05-20,8,12,40.6
2020-05-21,9,12,39.5
2020-05-22,6,8,36.0
2020-05-23,14,4,37.5
2020-05-24,10,1,39.5
2020-05-25,8,1,35.0
2020-05-26,10,1,33.0
2020-05-27,5,3,31.4
2020-05-28,6,1,29.9
2020-05-29,6,23,29.9
2020-05-30,3,5,24.3
2020-05-31,4,0,21.3
2020-06-01,6,0,20.3
2020-06-02,12,0,21.2
2020-06-03,4,7,20.8
2020-06-04,9,9,22.3
2020-06-05,7,0,22.8
2020-06-06,2,3,22.3
2020-06-07,0,0,20.3
2020-06-08,7,0,20.7
2020-06-09,3,4,16.3
2020-06-10,7,3,17.7
2020-06-11,4,2,15.2
2020-06-12,19,3,21.3
2020-06-13,1,1,20.8
2020-06-14,0,0,20.8
2020-06-15,7,0,20.8
2020-06-16,3,4,20.7
2020-06-17,1,2,17.7
2020-06-18,10,2,20.8
2020-06-19,2,1,12.1
2020-06-20,6,8,14.7
2020-06-21,1,0,15.2
2020-06-22,3,0,13.2
2020-06-23,3,2,13.2
