date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-02-01,0,0,0
2020-02-02,0,0,0
2020-02-03,0,0,0
2020-02-04,0,0,0
2020-02-05,0,0,0
2020-02-06,0,0,0
2020-02-07,0,0,0
2020-02-08,0,0,0
2020-02-09,0,0,0
2020-02-10,0,0,0
2020-02-11,0,0,0
2020-02-12,0,0,0
2020-02-13,0,0,0
2020-02-14,0,0,0
2020-02-15,0,0,0
2020-02-16,0,0,0
2020-02-17,0,0,0
2020-02-18,0,0,0
2020-02-19,0,0,0
2020-02-20,0,0,0
2020-02-21,0,0,0
2020-02-22,0,0,0
2020-02-23,0,0,0
2020-02-24,0,0,0
2020-02-25,1,0,0.1
2020-02-26,0,0,0.1
2020-02-27,0,0,0.1
2020-02-28,1,0,0.2
2020-02-29,0,0,0.2
2020-03-01,0,0,0.2
2020-03-02,0,0,0.2
2020-03-03,2,0,0.2
2020-03-04,0,0,0.2
2020-03-05,0,0,0.2
2020-03-06,2,0,0.3
2020-03-07,0,0,0.3
2020-03-08,2,0,0.5
2020-03-09,3,0,0.7
2020-03-10,5,0,1.0
2020-03-11,5,0,1.5
2020-03-12,18,0,3.0
2020-03-13,5,0,3.2
2020-03-14,9,0,3.9
2020-03-15,9,0,4.5
2020-03-16,13,0,5.4
2020-03-17,19,0,6.6
2020-03-18,34,0,8.9
2020-03-19,22,0,9.2
2020-03-20,26,0,11.0
2020-03-21,23,0,12.2
2020-03-22,36,0,14.4
2020-03-23,50,0,17.5
2020-03-24,44,0,19.6
2020-03-25,54,0,21.3
2020-03-26,55,0,24.1
2020-03-27,55,0,26.5
2020-03-28,58,0,29.5
2020-03-29,49,0,30.6
2020-03-30,101,0,34.8
2020-03-31,64,0,36.5
2020-04-01,93,0,39.7
2020-04-02,72,0,41.1
2020-04-03,65,0,42.0
2020-04-04,68,0,42.8
2020-04-05,66,0,44.2
2020-04-06,87,0,43.1
2020-04-07,119,0,47.6
2020-04-08,86,0,47.1
2020-04-09,67,0,46.7
2020-04-10,87,0,48.5
2020-04-11,66,0,48.3
2020-04-12,78,0,49.3
2020-04-13,105,0,50.8
2020-04-14,103,0,49.5
2020-04-15,145,0,54.4
2020-04-16,84,0,55.8
2020-04-17,103,32,57.1
2020-04-18,94,61,59.5
2020-04-19,77,109,59.4
2020-04-20,77,20,57.1
2020-04-21,108,139,57.5
2020-04-22,92,34,53.1
2020-04-23,100,42,54.5
2020-04-24,95,112,53.8
2020-04-25,73,45,52.0
2020-04-26,48,48,49.6
2020-04-27,60,53,48.1
2020-04-28,70,28,45.0
2020-04-29,65,36,42.7
2020-04-30,67,32,39.9
2020-05-01,67,29,37.6
2020-05-02,62,29,36.7
2020-05-03,49,20,36.8
2020-05-04,45,18,35.6
2020-05-05,54,21,34.2
2020-05-06,40,30,32.1
2020-05-07,74,16,32.7
2020-05-08,35,27,30.0
2020-05-09,23,20,26.7
2020-05-10,36,15,25.7
2020-05-11,45,4,25.6
2020-05-12,57,4,25.9
2020-05-13,66,11,28.1
2020-05-14,36,12,24.9
2020-05-15,32,6,24.7
2020-05-16,29,11,25.2
2020-05-17,23,8,24.0
2020-05-18,33,8,23.1
2020-05-19,29,13,20.7
2020-05-20,39,3,18.5
2020-05-21,29,12,17.9
2020-05-22,16,14,16.5
2020-05-23,17,23,15.6
2020-05-24,10,12,14.5
2020-05-25,19,7,13.3
2020-05-26,12,5,11.9
2020-05-27,20,5,10.3
2020-05-28,23,4,9.8
2020-05-29,12,2,9.5
2020-05-30,11,5,8.9
2020-05-31,9,0,8.9
2020-06-01,8,1,7.9
2020-06-02,16,6,8.3
2020-06-03,3,3,6.8
2020-06-04,12,3,5.9
2020-06-05,8,4,5.6
2020-06-06,6,4,5.2
2020-06-07,5,3,4.8
2020-06-08,10,1,5.0
2020-06-09,7,2,4.2
2020-06-10,11,1,4.9
2020-06-11,15,5,5.2
2020-06-12,5,2,4.9
2020-06-13,6,1,4.9
2020-06-14,9,7,5.3
2020-06-15,12,8,5.5
2020-06-16,6,1,5.4
2020-06-17,7,6,5.1
2020-06-18,8,12,4.4
2020-06-19,6,1,4.5
2020-06-20,0,10,4.0
2020-06-21,7,1,3.8
