date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-06,1,0,0.0
2020-03-07,0,0,0.0
2020-03-08,0,0,0.0
2020-03-09,0,0,0.0
2020-03-10,1,0,0.5
2020-03-11,1,0,0.9
2020-03-12,4,0,2.7
2020-03-13,2,0,3.6
2020-03-14,2,0,4.4
2020-03-15,3,0,5.8
2020-03-16,2,0,6.6
2020-03-17,3,0,7.5
2020-03-18,3,0,8.4
2020-03-19,4,0,8.3
2020-03-20,2,0,8.3
2020-03-21,8,0,11.1
2020-03-22,4,0,11.4
2020-03-23,3,0,11.9
2020-03-24,5,0,12.7
2020-03-25,4,0,13.2
2020-03-26,8,0,15.0
2020-03-27,8,0,17.6
2020-03-28,7,0,17.1
2020-03-29,13,0,21.1
2020-03-30,10,0,24.2
2020-03-31,18,0,30.0
2020-04-01,15,0,34.8
2020-04-02,19,0,39.6
2020-04-03,13,0,41.9
2020-04-04,15,0,45.4
2020-04-05,14,0,45.8
2020-04-06,28,0,53.8
2020-04-07,10,0,50.2
2020-04-08,27,0,55.5
2020-04-09,14,0,53.3
2020-04-10,10,0,51.9
2020-04-11,8,0,48.8
2020-04-12,18,0,50.7
2020-04-13,20,0,47.1
2020-04-14,15,0,49.3
2020-04-15,18,0,45.3
2020-04-16,21,0,48.5
2020-04-17,12,18,49.3
2020-04-18,29,11,58.6
2020-04-19,13,16,56.3
2020-04-20,14,10,53.7
2020-04-21,14,8,53.3
2020-04-22,18,6,53.3
2020-04-23,15,5,50.6
2020-04-24,19,13,53.8
2020-04-25,12,10,46.2
2020-04-26,16,5,47.6
2020-04-27,17,8,48.9
2020-04-28,8,10,46.2
2020-04-29,25,4,49.3
2020-04-30,20,7,51.5
2020-05-01,27,2,55.0
2020-05-02,10,12,54.2
2020-05-03,30,9,60.3
2020-05-04,9,6,56.8
2020-05-05,18,9,61.2
2020-05-06,14,15,56.4
2020-05-07,15,9,54.2
2020-05-08,16,15,49.3
2020-05-09,14,3,51.1
2020-05-10,16,4,44.9
2020-05-11,34,14,55.9
2020-05-12,20,1,56.8
2020-05-13,25,8,61.6
2020-05-14,47,22,75.7
2020-05-15,17,10,76.2
2020-05-16,14,17,76.1
2020-05-17,14,10,75.3
2020-05-18,20,10,69.1
2020-05-19,52,6,83.2
2020-05-20,27,9,84.1
2020-05-21,27,11,75.3
2020-05-22,22,5,77.5
2020-05-23,17,16,78.9
2020-05-24,12,9,77.9
2020-05-25,13,13,74.9
2020-05-26,14,5,58.1
2020-05-27,17,8,53.7
2020-05-28,7,4,44.9
2020-05-29,7,2,38.3
2020-05-30,12,10,36.1
2020-05-31,13,6,36.6
2020-06-01,16,4,37.8
2020-06-02,17,5,39.2
2020-06-03,15,5,38.3
2020-06-04,11,6,40.1
2020-06-05,12,10,42.2
2020-06-06,6,1,39.6
2020-06-07,6,15,36.5
2020-06-08,9,1,33.5
2020-06-09,12,7,31.3
2020-06-10,13,5,30.4
2020-06-11,8,0,29.0
2020-06-12,13,10,29.5
2020-06-13,7,12,29.9
2020-06-14,10,13,31.7
2020-06-15,11,8,32.6
2020-06-16,16,1,34.3
2020-06-17,14,3,34.8
2020-06-18,10,8,35.7
2020-06-19,11,2,34.8
2020-06-20,10,10,36.1
2020-06-21,2,3,32.6
2020-06-22,12,4,33.0
2020-06-23,4,0,27.8
2020-06-24,10,0,26.0
2020-06-25,6,3,24.2
2020-06-26,1,4,19.8
2020-06-27,5,4,17.6
2020-06-28,2,7,17.6
2020-06-29,7,0,15.4
2020-06-30,3,3,14.9
2020-07-01,11,610,15.4
2020-07-02,4,2,14.5
2020-07-03,4,3,15.9
2020-07-04,0,5,13.7
2020-07-05,5,6,15.0
2020-07-06,1,2,12.3
2020-07-07,6,4,13.7
2020-07-08,6,2,11.4
2020-07-09,2,2,10.6
2020-07-10,1,4,9.2
2020-07-11,5,5,11.4
2020-07-12,0,2,9.2
2020-07-13,1,4,9.3
2020-07-14,2,1,7.5
2020-07-15,4,0,6.6
2020-07-16,1,1,6.2
2020-07-17,2,3,6.6
2020-07-18,3,4,5.8
2020-07-19,2,1,6.6
2020-07-20,7,2,9.2
2020-07-21,4,0,10.1
2020-07-22,6,5,11.0
2020-07-23,6,4,13.2
2020-07-24,11,5,17.2
2020-07-25,2,5,16.7
2020-07-26,1,12,16.3
2020-07-27,8,5,16.8
2020-07-28,9,3,18.9
2020-07-29,21,5,25.6
2020-07-30,15,8,29.5
2020-07-31,2,11,25.6
2020-08-01,4,15,26.4
2020-08-02,4,13,27.8
2020-08-03,16,5,31.2
2020-08-04,18,4,35.2
2020-08-05,13,11,31.7
2020-08-06,19,17,33.4
2020-08-07,9,12,36.5
2020-08-08,4,5,36.6
2020-08-09,6,30,37.4
2020-08-10,12,2,35.7
2020-08-11,13,12,33.5
2020-08-12,13,11,33.4
2020-08-13,9,0,29.1
2020-08-14,9,21,29.1
2020-08-15,5,4,29.5
2020-08-16,1,11,27.3
2020-08-17,14,6,28.2
2020-08-18,12,8,27.8
2020-08-19,10,7,26.5
2020-08-20,9,5,26.4
2020-08-21,12,11,27.7
2020-08-22,11,10,30.3
2020-08-23,6,12,32.6
2020-08-24,11,13,31.2
2020-08-25,6,10,28.6
2020-08-26,19,5,32.5
2020-08-27,16,10,35.7
2020-08-28,14,11,36.5
2020-08-29,14,22,37.9
2020-08-30,8,16,38.7
2020-08-31,11,21,38.8
2020-09-01,25,6,47.1
2020-09-02,40,10,56.4
2020-09-03,22,15,59.0
2020-09-04,23,24,63.0
2020-09-05,25,12,67.8
2020-09-06,29,28,77.1
2020-09-07,51,30,94.6
2020-09-08,49,31,105.2
2020-09-09,20,20,96.4
2020-09-10,34,38,101.7
2020-09-11,43,44,110.5
2020-09-12,32,26,113.6
2020-09-13,13,40,106.5
2020-09-14,43,49,103.1
2020-09-15,40,25,99.1
2020-09-16,46,41,110.5
2020-09-17,45,22,115.3
2020-09-18,54,50,120.2
2020-09-19,54,49,129.9
2020-09-20,44,40,143.6
2020-09-21,40,57,142.2
2020-09-22,66,40,153.6
2020-09-23,69,38,163.8
2020-09-24,66,62,173.1
2020-09-25,47,65,170.0
2020-09-26,59,43,172.2
2020-09-27,58,50,178.3
2020-09-28,83,29,197.2
2020-09-29,98,58,211.4
2020-09-30,56,56,205.6
2020-10-01,69,44,206.9
2020-10-02,85,21,223.7
2020-10-03,77,102,231.6
2020-10-04,72,183,237.8
2020-10-05,123,96,255.4
2020-10-06,111,111,261.1
2020-10-07,112,115,285.8
2020-10-08,119,96,307.8
2020-10-09,96,62,312.6
2020-10-10,72,122,310.4
2020-10-11,93,82,319.6
2020-10-12,149,74,331.1
2020-10-13,123,162,336.4
2020-10-14,153,96,354.4
2020-10-15,111,136,350.9
2020-10-16,103,104,354.0
2020-10-17,105,151,368.5
2020-10-18,94,102,369.0
2020-10-19,197,157,390.1
2020-10-20,209,134,428.0
2020-10-21,203,184,450.0
2020-10-22,178,144,479.5
2020-10-23,171,156,509.4
2020-10-24,131,163,520.9
2020-10-25,140,164,541.1
2020-10-26,213,181,548.2
2020-10-27,230,200,557.4
2020-10-28,193,186,553.1
2020-10-29,179,185,553.5
2020-10-30,172,195,553.9
2020-10-31,122,198,549.9
2020-11-01,125,173,543.4
2020-11-02,242,119,556.1
2020-11-03,179,172,533.6
2020-11-04,110,177,497.1
2020-11-05,161,190,489.1
2020-11-06,136,103,473.3
2020-11-07,116,183,470.7
2020-11-08,98,88,458.8
2020-11-09,162,110,423.6
2020-11-10,147,118,409.5
2020-11-11,155,121,429.3
2020-11-12,143,188,421.4
2020-11-13,104,172,407.3
2020-11-14,86,157,394.1
2020-11-15,70,89,381.7
2020-11-16,145,177,374.2
2020-11-17,95,64,351.4
2020-11-18,78,127,317.4
2020-11-19,79,96,289.3
2020-11-20,65,88,272.1
2020-11-21,50,78,256.2
2020-11-22,32,66,239.5
2020-11-23,69,59,206.1
2020-11-24,60,39,190.6
2020-11-25,47,67,177.0
2020-11-26,59,58,168.2
2020-11-27,31,41,153.2
2020-11-28,35,57,146.6
2020-11-29,35,37,148.0
2020-11-30,61,21,144.4
2020-12-01,56,65,142.7
2020-12-02,33,59,136.5
2020-12-03,20,42,119.3
2020-12-04,35,40,121.1
2020-12-05,29,29,118.5
2020-12-06,17,39,110.5
2020-12-07,49,28,105.2
2020-12-08,23,18,90.7
2020-12-09,34,32,91.1
2020-12-10,34,38,97.3
2020-12-11,26,33,93.4
2020-12-12,22,33,90.2
2020-12-13,28,25,95.1
2020-12-14,47,17,94.3
2020-12-15,47,40,104.8
2020-12-16,44,34,109.2
2020-12-17,56,45,118.9
2020-12-18,41,30,125.4
2020-12-19,39,49,133.0
2020-12-20,42,49,139.1
2020-12-21,71,38,149.7
2020-12-22,71,49,160.2
2020-12-23,63,77,168.7
2020-12-24,76,61,177.4
2020-12-25,21,62,168.7
2020-12-26,64,46,179.7
2020-12-27,81,67,196.8
2020-12-28,66,75,194.6
2020-12-29,129,95,220.2
2020-12-30,139,46,253.6
2020-12-31,108,103,267.7
2021-01-01,63,112,286.2
2021-01-02,121,97,311.3
2021-01-03,120,91,328.5
2021-01-04,142,132,361.9
2021-01-05,176,65,382.6
2021-01-06,141,129,383.5
2021-01-07,118,120,387.9
2021-01-08,102,123,405.1
2021-01-09,88,177,390.5
2021-01-10,98,126,380.9
2021-01-11,151,88,384.8
2021-01-12,165,143,380.0
2021-01-13,130,121,375.1
2021-01-14,104,167,369.0
2021-01-15,93,159,365.0
2021-01-16,81,101,361.9
2021-01-17,77,75,352.6
2021-01-18,138,104,347.0
2021-01-19,123,85,328.5
2021-01-20,118,125,323.2
2021-01-21,79,125,312.2
2021-01-22,92,139,311.7
2021-01-23,74,104,308.7
2021-01-24,86,78,312.7
2021-01-25,98,90,295.0
2021-01-26,113,84,290.6
2021-01-27,94,101,280.0
2021-01-28,98,99,288.4
2021-01-29,83,108,284.4
2021-01-30,66,85,280.9
2021-01-31,51,108,265.5
2021-02-01,69,61,252.7
2021-02-02,54,67,226.7
2021-02-03,69,55,215.8
2021-02-04,57,51,197.7
2021-02-05,56,71,185.8
2021-02-06,59,60,182.7
2021-02-07,40,71,177.8
2021-02-08,70,46,178.4
2021-02-09,66,54,183.6
2021-02-10,65,45,181.8
2021-02-11,85,75,194.2
2021-02-12,66,63,198.6
2021-02-13,44,77,192.0
2021-02-14,49,78,196.0
2021-02-15,87,41,203.4
2021-02-16,80,74,209.6
2021-02-17,62,65,208.3
2021-02-18,61,62,197.7
2021-02-19,52,85,191.6
2021-02-20,51,40,194.6
2021-02-21,53,43,196.3
2021-02-22,76,90,191.5
2021-02-23,57,39,181.4
2021-02-24,42,81,172.6
2021-02-25,49,45,167.3
2021-02-26,24,45,154.9
2021-02-27,26,45,144.0
2021-02-28,22,31,130.4
2021-03-01,42,25,115.4
2021-03-02,32,37,104.4
2021-03-03,32,33,99.9
2021-03-04,42,38,96.8
2021-03-05,34,37,101.3
2021-03-06,35,35,105.2
2021-03-07,20,37,104.3
2021-03-08,48,30,107.0
2021-03-09,44,38,112.2
2021-03-10,46,35,118.5
2021-03-11,35,44,115.4
2021-03-12,32,56,114.5
