date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-07,1,0,0.0
2020-03-08,0,0,0.0
2020-03-09,0,0,0.0
2020-03-10,0,0,0.0
2020-03-11,0,0,0.0
2020-03-12,0,0,0.0
2020-03-13,0,0,0.0
2020-03-14,1,0,0.5
2020-03-15,0,0,0.5
2020-03-16,1,0,1.1
2020-03-17,0,0,1.1
2020-03-18,1,0,1.6
2020-03-19,2,0,2.7
2020-03-20,1,0,3.3
2020-03-21,2,0,3.9
2020-03-22,0,0,3.9
2020-03-23,5,0,6.0
2020-03-24,4,0,8.2
2020-03-25,3,0,9.4
2020-03-26,6,0,11.6
2020-03-27,8,0,15.4
2020-03-28,6,0,17.6
2020-03-29,10,0,23.1
2020-03-30,6,0,23.7
2020-03-31,6,0,24.8
2020-04-01,4,0,25.4
2020-04-02,7,0,25.9
2020-04-03,7,0,25.4
2020-04-04,7,0,25.9
2020-04-05,10,0,25.9
2020-04-06,3,0,24.3
2020-04-07,12,0,27.6
2020-04-08,6,0,28.6
2020-04-09,2,0,25.9
2020-04-10,7,0,25.9
2020-04-11,2,0,23.2
2020-04-12,3,0,19.4
2020-04-13,3,0,19.3
2020-04-14,5,0,15.5
2020-04-15,7,0,16.0
2020-04-16,7,0,18.8
2020-04-17,10,4,20.4
2020-04-18,18,3,29.2
2020-04-19,6,9,30.8
2020-04-20,10,8,34.7
2020-04-21,9,13,36.9
2020-04-22,20,14,44.1
2020-04-23,14,11,48.0
2020-04-24,4,5,44.7
2020-04-25,11,9,40.8
2020-04-26,6,3,40.8
2020-04-27,9,3,40.3
2020-04-28,7,17,39.2
2020-04-29,10,2,33.7
2020-04-30,9,10,30.8
2020-05-01,9,6,33.6
2020-05-02,5,7,30.4
2020-05-03,5,10,29.8
2020-05-04,7,6,28.7
2020-05-05,9,6,29.8
2020-05-06,19,0,34.7
2020-05-07,3,10,31.5
2020-05-08,3,4,28.1
2020-05-09,7,5,29.2
2020-05-10,7,3,30.4
2020-05-11,13,0,33.6
2020-05-12,11,6,34.7
2020-05-13,5,5,27.1
2020-05-14,13,8,32.5
2020-05-15,9,3,35.9
2020-05-16,3,1,33.6
2020-05-17,7,5,33.6
2020-05-18,5,5,29.3
2020-05-19,16,1,32.0
2020-05-20,20,4,40.2
2020-05-21,6,1,36.4
2020-05-22,9,5,36.4
2020-05-23,8,3,39.2
2020-05-24,4,1,37.5
2020-05-25,5,3,37.5
2020-05-26,2,0,29.8
2020-05-27,6,0,22.1
2020-05-28,5,2,21.5
2020-05-29,5,0,19.3
2020-05-30,5,3,17.6
2020-05-31,0,0,15.4
2020-06-01,2,1,13.7
2020-06-02,3,0,14.3
2020-06-03,2,0,12.1
2020-06-04,6,0,12.7
2020-06-05,1,2,10.5
2020-06-06,1,1,8.3
2020-06-07,3,1,10.0
2020-06-08,2,0,10.0
2020-06-09,2,0,9.4
2020-06-10,2,1,9.4
2020-06-11,2,1,7.2
2020-06-12,4,0,8.8
2020-06-13,3,0,9.9
2020-06-14,3,0,9.9
2020-06-15,8,0,13.2
2020-06-16,2,1,13.2
2020-06-17,2,2,13.2
2020-06-18,1,0,12.7
2020-06-19,0,2,10.5
2020-06-20,2,0,10.0
2020-06-21,0,0,8.3
2020-06-22,1,1,4.4
2020-06-23,0,1,3.3
2020-06-24,1,0,2.8
2020-06-25,3,0,3.8
2020-06-26,2,0,4.9
2020-06-27,2,0,4.9
2020-06-28,0,0,4.9
2020-06-29,1,1,5.0
2020-06-30,1,0,5.5
2020-07-01,0,213,4.9
2020-07-02,3,2,5.0
2020-07-03,1,0,4.4
2020-07-04,0,3,3.3
2020-07-05,0,1,3.3
2020-07-06,2,0,3.8
2020-07-07,3,1,5.0
2020-07-08,0,0,5.0
2020-07-09,1,3,3.9
2020-07-10,1,1,3.9
2020-07-11,0,0,3.9
2020-07-12,5,1,6.7
2020-07-13,3,2,7.2
2020-07-14,1,3,6.1
2020-07-15,5,3,8.8
2020-07-16,1,2,8.8
2020-07-17,3,2,9.9
2020-07-18,2,3,11.0
2020-07-19,0,3,8.2
2020-07-20,1,2,7.2
2020-07-21,2,1,7.7
2020-07-22,0,1,5.0
2020-07-23,2,2,5.5
2020-07-24,0,1,3.9
2020-07-25,0,1,2.8
2020-07-26,0,0,2.8
2020-07-27,1,0,2.7
2020-07-28,2,0,2.7
2020-07-29,2,3,3.9
2020-07-30,1,0,3.3
2020-07-31,1,0,3.9
2020-08-01,2,1,5.0
2020-08-02,0,1,5.0
2020-08-03,0,3,4.5
2020-08-04,0,1,3.4
2020-08-05,2,0,3.3
2020-08-06,0,0,2.8
2020-08-07,2,0,3.3
2020-08-08,0,0,2.2
2020-08-09,1,1,2.7
2020-08-10,6,2,6.0
2020-08-11,4,1,8.2
2020-08-12,12,6,13.7
2020-08-13,2,0,14.9
2020-08-14,1,12,14.3
2020-08-15,0,4,14.3
2020-08-16,2,3,14.9
2020-08-17,8,0,16.0
2020-08-18,3,2,15.5
2020-08-19,5,3,11.6
2020-08-20,0,4,10.4
2020-08-21,3,4,11.6
2020-08-22,1,0,12.1
2020-08-23,0,3,11.0
2020-08-24,1,1,7.2
2020-08-25,1,3,6.0
2020-08-26,0,1,3.3
2020-08-27,1,3,3.9
2020-08-28,0,0,2.2
2020-08-29,3,0,3.3
2020-08-30,0,0,3.3
2020-08-31,1,2,3.3
2020-09-01,5,2,5.6
2020-09-02,5,1,8.3
2020-09-03,6,0,11.0
2020-09-04,5,0,13.8
2020-09-05,1,1,12.7
2020-09-06,2,8,13.8
2020-09-07,9,6,18.2
2020-09-08,1,4,15.9
2020-09-09,2,2,14.4
2020-09-10,1,7,11.6
2020-09-11,5,6,11.6
2020-09-12,1,5,11.6
2020-09-13,0,1,10.5
2020-09-14,4,5,7.7
2020-09-15,4,0,9.4
2020-09-16,6,6,11.5
2020-09-17,6,1,14.3
2020-09-18,9,8,16.5
2020-09-19,4,8,18.2
2020-09-20,3,4,19.9
2020-09-21,8,5,22.1
2020-09-22,4,8,22.1
2020-09-23,11,8,24.8
2020-09-24,2,6,22.7
2020-09-25,11,13,23.7
2020-09-26,12,4,28.1
2020-09-27,19,7,36.9
2020-09-28,15,11,40.8
2020-09-29,11,11,44.7
2020-09-30,5,14,41.4
2020-10-01,15,12,48.5
2020-10-02,14,2,50.2
2020-10-03,14,21,51.3
2020-10-04,11,34,46.9
2020-10-05,19,14,49.1
2020-10-06,18,19,52.9
2020-10-07,18,13,60.1
2020-10-08,17,21,61.2
2020-10-09,32,19,71.2
2020-10-10,14,14,71.2
2020-10-11,13,20,72.2
2020-10-12,47,19,87.7
2020-10-13,38,21,98.7
2020-10-14,43,42,112.5
2020-10-15,43,32,126.8
2020-10-16,58,43,141.1
2020-10-17,40,30,155.5
2020-10-18,32,36,166.0
2020-10-19,76,44,182.0
2020-10-20,65,52,196.9
2020-10-21,63,71,208.0
2020-10-22,60,42,217.3
2020-10-23,68,74,222.8
2020-10-24,41,45,223.4
2020-10-25,52,45,234.4
2020-10-26,80,64,236.6
2020-10-27,68,65,238.3
2020-10-28,84,80,249.8
2020-10-29,61,64,250.4
2020-10-30,71,62,252.1
2020-10-31,56,50,260.3
2020-11-01,52,96,260.3
2020-11-02,110,45,276.8
2020-11-03,97,57,292.8
2020-11-04,90,99,296.1
2020-11-05,95,57,314.9
2020-11-06,92,97,326.5
2020-11-07,70,96,334.2
2020-11-08,76,50,347.5
2020-11-09,134,107,360.7
2020-11-10,93,88,358.5
2020-11-11,126,109,378.4
2020-11-12,90,119,375.6
2020-11-13,74,114,365.6
2020-11-14,51,79,355.1
2020-11-15,57,81,344.7
2020-11-16,101,71,326.5
2020-11-17,77,61,317.7
2020-11-18,49,58,275.2
2020-11-19,53,79,254.8
2020-11-20,67,79,251.0
2020-11-21,53,61,252.1
2020-11-22,44,62,244.9
2020-11-23,77,68,231.6
2020-11-24,64,31,224.4
2020-11-25,36,81,217.3
2020-11-26,59,64,220.6
2020-11-27,39,34,205.1
2020-11-28,24,43,189.2
2020-11-29,22,29,177.0
2020-11-30,37,48,155.0
2020-12-01,28,31,135.1
2020-12-02,26,23,129.6
2020-12-03,35,29,116.4
2020-12-04,37,25,115.3
2020-12-05,26,26,116.3
2020-12-06,21,40,115.8
2020-12-07,27,38,110.3
2020-12-08,46,14,120.3
2020-12-09,54,25,135.6
2020-12-10,38,43,137.3
2020-12-11,35,48,136.2
2020-12-12,21,38,133.5
2020-12-13,22,30,134.0
2020-12-14,61,20,152.8
2020-12-15,44,24,151.6
2020-12-16,44,45,146.2
2020-12-17,41,35,147.8
2020-12-18,49,52,155.5
2020-12-19,40,29,166.0
2020-12-20,40,44,175.9
2020-12-21,51,48,170.4
2020-12-22,34,47,164.9
2020-12-23,57,71,172.1
2020-12-24,22,29,161.6
2020-12-25,13,39,141.8
2020-12-26,49,45,146.7
2020-12-27,53,13,153.9
2020-12-28,73,31,166.0
2020-12-29,132,72,220.1
2020-12-30,141,70,266.3
2020-12-31,82,119,299.5
2021-01-01,71,48,331.4
2021-01-02,180,146,403.7
2021-01-03,150,95,457.2
2021-01-04,186,186,519.5
2021-01-05,148,146,528.3
2021-01-06,145,149,530.6
2021-01-07,137,115,560.8
2021-01-08,156,132,607.8
2021-01-09,122,145,575.8
2021-01-10,99,125,547.7
2021-01-11,160,156,533.3
2021-01-12,153,175,536.1
2021-01-13,140,98,533.3
2021-01-14,130,119,529.5
2021-01-15,164,185,533.8
2021-01-16,81,140,511.2
2021-01-17,114,105,519.5
2021-01-18,176,128,528.3
2021-01-19,115,124,507.4
2021-01-20,106,149,488.6
2021-01-21,92,95,467.7
2021-01-22,96,108,430.2
2021-01-23,82,109,430.7
2021-01-24,62,104,402.0
2021-01-25,105,75,362.9
2021-01-26,98,59,353.5
2021-01-27,98,98,349.1
2021-01-28,87,111,346.3
2021-01-29,79,91,337.0
2021-01-30,55,79,322.1
2021-01-31,67,66,324.9
2021-02-01,95,65,319.4
2021-02-02,81,79,309.9
2021-02-03,78,75,298.9
2021-02-04,76,87,292.9
2021-02-05,61,63,282.9
2021-02-06,42,76,275.8
2021-02-07,42,51,261.9
2021-02-08,77,57,252.0
2021-02-09,63,48,242.1
2021-02-10,46,90,224.5
2021-02-11,43,50,206.2
2021-02-12,49,40,199.6
2021-02-13,40,45,198.5
2021-02-14,28,49,190.8
2021-02-15,68,34,185.8
2021-02-16,69,35,189.2
2021-02-17,47,68,189.7
2021-02-18,42,62,189.2
2021-02-19,43,52,185.9
2021-02-20,34,41,182.6
2021-02-21,39,36,188.7
2021-02-22,58,47,183.1
2021-02-23,49,32,172.1
2021-02-24,49,51,173.2
2021-02-25,18,53,159.9
2021-02-26,34,40,155.0
2021-02-27,11,25,142.2
2021-02-28,12,25,127.4
2021-03-01,24,18,108.7
2021-03-02,11,14,87.7
2021-03-03,12,17,67.3
2021-03-04,18,17,67.3
2021-03-05,14,14,56.2
2021-03-06,6,11,53.5
2021-03-07,6,13,50.1
2021-03-08,13,7,44.1
2021-03-09,8,6,42.4
2021-03-10,3,10,37.5
2021-03-11,5,5,30.3
2021-03-12,8,6,27.1
2021-03-13,6,8,27.1
2021-03-14,8,7,28.2
2021-03-15,7,7,24.8
2021-03-16,11,6,26.5
2021-03-17,13,9,32.0
2021-03-18,4,18,31.5
2021-03-19,8,4,31.4
2021-03-20,10,3,33.6
2021-03-21,6,13,32.5
2021-03-22,12,8,35.3
2021-03-23,10,9,34.7
2021-03-24,7,8,31.4
2021-03-25,3,12,30.9
2021-03-26,7,7,30.3
2021-03-27,6,6,28.1
2021-03-28,6,5,28.1
2021-03-29,4,5,23.7
2021-03-30,3,2,19.9
2021-03-31,8,3,20.4
2021-04-01,11,4,24.8
2021-04-02,3,6,22.6
2021-04-03,3,11,21.0
2021-04-04,4,1,19.9
2021-04-05,5,5,20.4
2021-04-06,9,3,23.7
2021-04-07,5,10,22.1
2021-04-08,6,7,19.3
2021-04-09,3,0,19.3
2021-04-10,5,5,20.4
2021-04-11,6,0,21.5
2021-04-12,7,15,22.7
2021-04-13,2,0,18.8
2021-04-14,6,3,19.3
2021-04-15,6,4,19.3
2021-04-16,5,7,20.4
2021-04-17,8,1,22.1
2021-04-18,10,6,24.3
2021-04-19,5,11,23.1
2021-04-20,3,10,23.7
2021-04-21,8,10,24.8
2021-04-22,8,4,25.9
2021-04-23,4,6,25.4
2021-04-24,8,8,25.3
2021-04-25,7,4,23.7
2021-04-26,5,2,23.7
2021-04-27,3,11,23.7
2021-04-28,6,4,22.6
2021-04-29,9,5,23.2
2021-04-30,9,9,25.9
2021-05-01,4,4,23.7
2021-05-02,1,7,20.4
2021-05-03,3,7,19.3
2021-05-04,7,5,21.5
2021-05-05,3,6,19.9
2021-05-06,1,6,15.4
2021-05-07,0,1,10.5
2021-05-08,1,1,8.9
2021-05-09,3,0,9.9
2021-05-10,10,5,13.8
2021-05-11,2,7,11.0
2021-05-12,7,3,13.2
2021-05-13,2,3,13.8
2021-05-14,5,4,16.6
2021-05-15,4,6,18.2
2021-05-16,0,5,16.6
2021-05-17,1,3,11.6
2021-05-18,1,0,11.1
2021-05-19,3,0,8.8
2021-05-20,3,2,9.4
2021-05-21,7,2,10.4
2021-05-22,6,4,11.5
2021-05-23,0,3,11.5
2021-05-24,6,4,14.3
2021-05-25,5,5,16.5
2021-05-26,4,6,17.1
2021-05-27,8,3,19.8
2021-05-28,12,6,22.6
2021-05-29,5,7,22.1
2021-05-30,11,7,28.2
2021-05-31,11,7,30.9
2021-06-01,19,14,38.6
2021-06-02,12,11,43.0
2021-06-03,12,12,45.2
2021-06-04,25,13,52.4
2021-06-05,7,11,53.5
2021-06-06,8,18,51.8
2021-06-07,9,13,50.8
2021-06-08,13,8,47.4
2021-06-09,24,7,54.1
2021-06-10,16,20,56.3
2021-06-11,21,17,54.1
2021-06-12,8,19,54.6
2021-06-13,13,15,57.4
2021-06-14,25,14,66.2
2021-06-15,24,9,72.3
2021-06-16,24,17,72.2
2021-06-17,27,23,78.3
2021-06-18,30,17,83.3
2021-06-19,13,34,86.0
2021-06-20,26,29,93.2
2021-06-21,31,18,96.5
2021-06-22,48,34,109.7
2021-06-23,49,42,123.6
2021-06-24,39,44,130.2
2021-06-25,33,33,131.8
2021-06-26,40,42,146.7
2021-06-27,65,24,168.2
2021-06-28,70,59,189.7
2021-06-29,71,59,202.4
2021-06-30,76,66,217.3
2021-07-01,52,94,224.4
2021-07-02,81,44,250.9
2021-07-03,67,56,265.9
2021-07-04,79,84,273.5
2021-07-05,86,57,282.4
2021-07-06,74,72,284.1
2021-07-07,83,81,287.8
2021-07-08,68,54,296.7
2021-07-09,57,94,283.5
2021-07-10,73,67,286.7
2021-07-11,72,60,282.9
2021-07-12,112,68,297.2
2021-07-13,140,104,333.6
2021-07-14,159,100,375.6
2021-07-15,216,134,457.2
2021-07-16,181,175,525.6
2021-07-17,117,185,549.9
2021-07-18,120,154,576.4
2021-07-19,150,108,597.3
2021-07-20,109,121,580.2
2021-07-21,107,146,551.5
2021-07-22,103,105,489.2
2021-07-23,72,118,429.0
2021-07-24,43,98,388.2
2021-07-25,67,77,359.0
2021-07-26,77,63,318.8
2021-07-27,60,66,291.8
2021-07-28,69,65,270.8
2021-07-29,59,63,246.5
2021-07-30,52,57,235.5
2021-07-31,41,46,234.4
2021-08-01,55,54,227.8
2021-08-02,65,48,221.1
2021-08-03,53,52,217.2
2021-08-04,78,61,222.3
2021-08-05,71,70,228.9
2021-08-06,82,56,245.4
2021-08-07,45,71,247.7
2021-08-08,71,77,256.4
2021-08-09,104,58,278.0
2021-08-10,83,74,294.6
2021-08-11,85,100,298.3
2021-08-12,96,76,312.2
2021-08-13,88,80,315.5
2021-08-14,81,78,335.3
2021-08-15,84,89,342.5
2021-08-16,110,103,345.8
2021-08-17,97,73,353.5
2021-08-18,106,102,365.1
2021-08-19,123,108,380.0
2021-08-20,80,101,375.6
2021-08-21,83,112,376.7
2021-08-22,83,91,376.1
2021-08-23,83,64,361.2
2021-08-24,122,92,375.0
2021-08-25,126,66,386.1
2021-08-26,88,123,366.7
2021-08-27,108,121,382.2
2021-08-28,65,91,372.2
2021-08-29,104,92,383.9
2021-08-30,118,77,403.2
2021-08-31,120,113,402.0
2021-09-01,133,102,405.9
2021-09-02,122,99,424.7
2021-09-03,123,144,432.9
2021-09-04,131,119,469.4
2021-09-05,107,116,471.0
2021-09-06,167,131,498.0
2021-09-07,134,142,505.8
2021-09-08,125,124,501.3
2021-09-09,85,134,480.9
2021-09-10,98,135,467.1
2021-09-11,72,79,434.5
2021-09-12,84,89,421.9
2021-09-13,111,89,391.0
2021-09-14,106,87,375.5
2021-09-15,114,93,369.5
2021-09-16,115,103,386.0
2021-09-17,91,118,382.2
2021-09-18,99,116,397.1
2021-09-19,126,93,420.2
2021-09-20,169,114,452.2
2021-09-21,140,113,471.0
2021-09-22,152,150,492.0
2021-09-23,121,112,495.3
2021-09-24,118,148,510.2
2021-09-25,117,128,520.1
2021-09-26,135,116,525.0
2021-09-27,157,124,518.4
2021-09-28,112,152,503.0
2021-09-29,131,104,491.3
2021-09-30,136,120,499.7
2021-10-01,122,154,501.8
2021-10-02,91,122,487.5
2021-10-03,135,130,487.6
2021-10-04,169,117,494.2
2021-10-05,171,132,526.7
2021-10-06,147,166,535.6
2021-10-07,143,138,539.3
2021-10-08,118,155,537.2
2021-10-09,103,134,543.8
2021-10-10,127,102,539.3
2021-10-11,181,122,546.0
2021-10-12,153,138,536.1
2021-10-13,191,182,560.3
2021-10-14,156,150,567.5
2021-10-15,130,181,574.1
2021-10-16,120,132,583.5
2021-10-17,148,132,595.1
2021-10-18,224,154,618.8
2021-10-19,201,141,645.2
2021-10-20,173,197,635.3
2021-10-21,161,199,638.1
2021-10-22,130,154,638.1
2021-10-23,130,161,643.6
2021-10-24,111,124,623.2
2021-10-25,157,134,586.2
2021-10-26,137,108,551.0
2021-10-27,166,161,547.1
2021-10-28,133,144,531.7
2021-10-29,145,149,539.9
2021-10-30,109,138,528.3
2021-10-31,111,139,528.4
2021-11-01,162,129,531.1
2021-11-02,131,107,527.8
2021-11-03,143,112,515.1
2021-11-04,110,160,502.4
2021-11-05,106,129,480.9
2021-11-06,90,97,470.5
2021-11-07,98,88,463.2
2021-11-08,156,124,460.0
2021-11-09,167,108,479.8
2021-11-10,144,118,480.4
2021-11-11,145,168,499.7
2021-11-12,156,97,527.3
2021-11-13,106,148,536.0
2021-11-14,117,151,546.6
2021-11-15,202,155,571.9
2021-11-16,162,102,569.1
2021-11-17,172,117,584.6
2021-11-18,152,207,588.4
2021-11-19,154,191,587.3
2021-11-20,124,123,597.3
2021-11-21,143,108,611.6
2021-11-22,221,177,622.1
2021-11-23,166,166,624.3
2021-11-24,188,199,633.1
2021-11-25,147,171,630.4
2021-11-26,147,182,626.5
2021-11-27,122,148,625.4
2021-11-28,130,129,618.2
2021-11-29,213,133,613.8
2021-11-30,184,122,623.8
2021-12-01,179,195,618.8
2021-12-02,167,158,629.8
2021-12-03,145,187,628.8
2021-12-04,125,184,630.4
2021-12-05,131,140,630.9
2021-12-06,208,114,628.2
2021-12-07,153,164,611.0
2021-12-08,156,106,598.4
2021-12-09,168,146,598.9
2021-12-10,124,205,587.3
2021-12-11,94,151,570.3
2021-12-12,109,112,558.2
2021-12-13,197,63,552.0
2021-12-14,189,155,572.0
2021-12-15,189,213,590.1
2021-12-16,162,148,586.8
2021-12-17,161,153,607.2
2021-12-18,131,157,627.6
2021-12-19,142,120,645.8
2021-12-20,208,143,651.9
2021-12-21,270,112,696.5
2021-12-22,268,200,740.1
2021-12-23,326,292,830.6
2021-12-24,275,182,893.5
2021-12-25,176,181,918.2
2021-12-26,277,243,992.7
2021-12-27,385,235,1090.3
2021-12-28,466,371,1198.4
2021-12-29,596,281,1379.3
2021-12-30,605,391,1533.2
2021-12-31,533,425,1675.4
2022-01-01,361,569,1777.5
2022-01-02,470,301,1883.9
2022-01-03,696,604,2055.5
2022-01-04,745,337,2209.4
2022-01-05,593,476,2207.7
2022-01-06,551,646,2177.9
2022-01-07,344,468,2073.7
2022-01-08,307,409,2043.9
2022-01-09,352,504,1978.8
2022-01-10,456,406,1846.4
2022-01-11,436,330,1676.0
2022-01-12,443,581,1593.3
2022-01-13,373,405,1495.1
2022-01-14,349,408,1497.9
2022-01-15,328,306,1509.5
2022-01-16,483,292,1581.8
2022-01-17,618,369,1671.1
2022-01-18,563,505,1741.1
2022-01-19,473,463,1757.6
2022-01-20,432,505,1790.2
2022-01-21,360,406,1796.2
2022-01-22,332,328,1798.4
2022-01-23,414,332,1760.4
2022-01-24,495,353,1692.6
2022-01-25,402,336,1603.8
2022-01-26,377,404,1550.9
2022-01-27,315,338,1486.3
2022-01-28,297,306,1451.6
2022-01-29,234,301,1397.5
2022-01-30,303,241,1336.3
2022-01-31,313,2934,1235.9
2022-02-01,268,349,1162.0
2022-02-02,278,282,1107.4
2022-02-03,251,279,1072.1
2022-02-04,199,259,1018.1
2022-02-05,146,211,969.6
2022-02-06,157,187,889.0
2022-02-07,223,161,839.4
2022-02-08,201,180,802.4
2022-02-09,183,244,750.0
2022-02-10,123,152,679.5
2022-02-11,123,155,637.5
2022-02-12,101,123,612.7
2022-02-13,119,97,591.7
2022-02-14,127,137,538.8
2022-02-15,125,118,496.9
2022-02-16,110,131,456.7
2022-02-17,115,103,452.2
2022-02-18,81,126,429.1
2022-02-19,59,92,405.9
2022-02-20,76,66,382.2
2022-02-21,90,66,361.8
2022-02-22,76,83,334.8
2022-02-23,86,98,321.5
2022-02-24,60,74,291.2
2022-02-25,63,76,281.3
2022-02-26,62,0,282.9
2022-02-27,71,0,280.2
2022-02-28,113,188,292.8
2022-03-01,101,84,306.6
2022-03-02,93,118,310.5
2022-03-03,91,100,327.6
2022-03-04,92,84,343.5
2022-03-05,93,0,360.7
2022-03-06,134,0,395.4
2022-03-07,169,301,426.3
2022-03-08,167,140,462.7
2022-03-09,171,178,505.7
