date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-01,1,0,0.0
2020-03-02,0,0,0.0
2020-03-03,0,0,0.0
2020-03-04,0,0,0.0
2020-03-05,0,0,0.0
2020-03-06,0,0,0.0
2020-03-07,0,0,0.0
2020-03-08,0,0,0.0
2020-03-09,0,0,0.0
2020-03-10,1,0,0.4
2020-03-11,4,0,1.8
2020-03-12,7,0,4.2
2020-03-13,2,0,4.9
2020-03-14,2,0,5.6
2020-03-15,4,0,7.0
2020-03-16,1,0,7.4
2020-03-17,4,0,8.4
2020-03-18,5,0,8.7
2020-03-19,8,0,9.1
2020-03-20,9,0,11.5
2020-03-21,12,0,15.0
2020-03-22,10,0,17.1
2020-03-23,19,0,23.3
2020-03-24,16,0,27.5
2020-03-25,16,0,31.4
2020-03-26,19,0,35.2
2020-03-27,21,0,39.5
2020-03-28,32,0,46.4
2020-03-29,21,0,50.2
2020-03-30,28,0,53.4
2020-03-31,29,0,57.9
2020-04-01,36,0,64.9
2020-04-02,48,0,75.0
2020-04-03,27,0,77.0
2020-04-04,26,0,75.0
2020-04-05,18,0,74.0
2020-04-06,32,0,75.3
2020-04-07,32,0,76.4
2020-04-08,14,0,68.7
2020-04-09,33,0,63.5
2020-04-10,18,0,60.4
2020-04-11,9,0,54.4
2020-04-12,13,0,52.6
2020-04-13,20,0,48.5
2020-04-14,20,0,44.3
2020-04-15,23,0,47.4
2020-04-16,32,0,47.1
2020-04-17,34,18,52.6
2020-04-18,24,27,57.9
2020-04-19,15,11,58.6
2020-04-20,36,22,64.2
2020-04-21,41,27,71.5
2020-04-22,32,21,74.7
2020-04-23,27,18,72.9
2020-04-24,50,25,78.5
2020-04-25,29,20,80.2
2020-04-26,26,23,84.1
2020-04-27,29,15,81.6
2020-04-28,39,52,80.9
2020-04-29,18,32,76.0
2020-04-30,29,14,76.7
2020-05-01,36,23,71.9
2020-05-02,8,13,64.5
2020-05-03,10,20,58.9
2020-05-04,5,2,50.6
2020-05-05,18,18,43.3
2020-05-06,7,11,39.4
2020-05-07,11,4,33.1
2020-05-08,14,19,25.4
2020-05-09,7,2,25.2
2020-05-10,9,8,24.8
2020-05-11,11,6,26.8
2020-05-12,13,4,25.1
2020-05-13,9,4,25.8
2020-05-14,10,3,25.5
2020-05-15,9,9,23.7
2020-05-16,4,2,22.6
2020-05-17,10,4,23.0
2020-05-18,8,5,22.0
2020-05-19,4,7,18.8
2020-05-20,12,7,19.9
2020-05-21,7,6,18.8
2020-05-22,7,6,18.2
2020-05-23,6,4,18.9
2020-05-24,2,1,16.1
2020-05-25,7,2,15.7
2020-05-26,6,0,16.4
2020-05-27,6,4,14.3
2020-05-28,6,2,14.0
2020-05-29,5,3,13.2
2020-05-30,3,0,12.2
2020-05-31,2,0,12.2
2020-06-01,8,2,12.6
2020-06-02,1,2,10.8
2020-06-03,4,2,10.1
2020-06-04,9,0,11.1
2020-06-05,0,1,9.4
2020-06-06,3,1,9.4
2020-06-07,2,2,9.4
2020-06-08,4,0,8.0
2020-06-09,2,2,8.4
2020-06-10,7,1,9.4
2020-06-11,1,0,6.7
2020-06-12,4,2,8.1
2020-06-13,3,2,8.0
2020-06-14,0,0,7.3
2020-06-15,5,0,7.7
2020-06-16,3,2,8.0
2020-06-17,1,0,6.0
2020-06-18,2,0,6.2
2020-06-19,0,0,4.8
2020-06-20,1,1,4.2
2020-06-21,1,0,4.5
2020-06-22,3,1,3.8
2020-06-23,0,0,2.8
2020-06-24,0,0,2.4
2020-06-25,5,2,3.5
2020-06-26,0,0,3.5
2020-06-27,0,2,3.1
2020-06-28,1,0,3.2
2020-06-29,4,0,3.5
2020-06-30,1,0,3.8
2020-07-01,3,334,4.9
2020-07-02,1,4,3.5
2020-07-03,2,0,4.2
2020-07-04,0,2,4.2
2020-07-05,1,0,4.2
2020-07-06,4,0,4.2
2020-07-07,2,1,4.6
2020-07-08,2,2,4.2
2020-07-09,4,2,5.3
2020-07-10,4,1,6.0
2020-07-11,7,7,8.4
2020-07-12,4,4,9.4
2020-07-13,10,7,11.5
2020-07-14,5,6,12.5
2020-07-15,5,5,13.6
2020-07-16,5,7,13.9
2020-07-17,2,5,13.2
2020-07-18,4,3,12.2
2020-07-19,2,3,11.5
2020-07-20,7,4,10.4
2020-07-21,3,0,9.8
2020-07-22,1,6,8.3
2020-07-23,4,2,8.0
2020-07-24,3,1,8.4
2020-07-25,3,7,8.0
2020-07-26,2,3,8.0
2020-07-27,7,4,8.1
2020-07-28,1,1,7.3
2020-07-29,4,3,8.4
2020-07-30,4,4,8.4
2020-07-31,6,7,9.4
2020-08-01,2,1,9.1
2020-08-02,2,5,9.1
2020-08-03,4,3,8.0
2020-08-04,4,2,9.1
2020-08-05,2,2,8.4
2020-08-06,4,6,8.4
2020-08-07,1,4,6.6
2020-08-08,1,3,6.3
2020-08-09,2,3,6.3
2020-08-10,9,0,8.0
2020-08-11,12,3,10.8
2020-08-12,9,6,13.2
2020-08-13,6,0,13.9
2020-08-14,7,20,16.1
2020-08-15,2,5,16.4
2020-08-16,4,6,17.1
2020-08-17,5,5,15.7
2020-08-18,6,3,13.6
2020-08-19,5,6,12.2
2020-08-20,16,6,15.7
2020-08-21,2,4,13.9
2020-08-22,2,1,13.9
2020-08-23,1,6,12.9
2020-08-24,6,9,13.3
2020-08-25,2,6,11.9
2020-08-26,6,1,12.2
2020-08-27,7,3,9.1
2020-08-28,6,9,10.5
2020-08-29,1,6,10.1
2020-08-30,3,7,10.8
2020-08-31,5,1,10.4
2020-09-01,15,2,14.9
2020-09-02,9,7,16.1
2020-09-03,9,4,16.7
2020-09-04,18,11,20.9
2020-09-05,6,3,22.7
2020-09-06,10,10,25.1
2020-09-07,23,17,31.4
2020-09-08,21,9,33.5
2020-09-09,14,10,35.2
2020-09-10,15,14,37.3
2020-09-11,18,19,37.3
2020-09-12,11,16,39.1
2020-09-13,9,18,38.7
2020-09-14,19,7,37.3
2020-09-15,17,19,36.0
2020-09-16,25,21,39.8
2020-09-17,28,16,44.3
2020-09-18,36,27,50.6
2020-09-19,32,17,57.9
2020-09-20,31,33,65.6
2020-09-21,37,28,71.9
2020-09-22,26,37,74.9
2020-09-23,38,57,79.5
2020-09-24,36,33,82.4
2020-09-25,32,24,80.9
2020-09-26,26,25,78.8
2020-09-27,28,33,77.7
2020-09-28,39,16,78.4
2020-09-29,42,33,84.1
2020-09-30,52,16,88.9
2020-10-01,62,36,98.0
2020-10-02,51,44,104.6
2020-10-03,49,67,112.6
2020-10-04,38,83,116.2
2020-10-05,65,57,125.3
2020-10-06,62,72,132.2
2020-10-07,76,59,140.6
2020-10-08,61,66,140.2
2020-10-09,88,50,153.2
2020-10-10,58,54,156.3
2020-10-11,58,67,163.2
2020-10-12,76,58,167.0
2020-10-13,82,68,174.0
2020-10-14,79,100,175.1
2020-10-15,101,61,189.0
2020-10-16,101,97,193.5
2020-10-17,87,55,203.7
2020-10-18,77,100,210.3
2020-10-19,144,91,234.1
2020-10-20,156,120,259.9
2020-10-21,156,153,286.7
2020-10-22,134,96,298.2
2020-10-23,140,136,311.8
2020-10-24,98,165,315.6
2020-10-25,111,97,327.5
2020-10-26,168,139,335.8
2020-10-27,156,155,335.8
2020-10-28,147,188,332.7
2020-10-29,129,144,331.0
2020-10-30,151,130,334.9
2020-10-31,112,111,339.7
2020-11-01,93,198,333.5
2020-11-02,193,61,342.2
2020-11-03,184,141,352.0
2020-11-04,143,199,350.5
2020-11-05,159,117,361.0
2020-11-06,134,188,355.0
2020-11-07,134,108,362.8
2020-11-08,149,137,382.2
2020-11-09,210,131,388.2
2020-11-10,190,203,390.2
2020-11-11,204,131,411.6
2020-11-12,174,255,416.8
2020-11-13,160,149,425.9
2020-11-14,116,140,419.5
2020-11-15,127,179,411.9
2020-11-16,198,125,407.7
2020-11-17,153,135,394.8
2020-11-18,123,106,366.5
2020-11-19,130,174,351.2
2020-11-20,127,172,339.7
2020-11-21,89,162,330.3
2020-11-22,85,151,315.7
2020-11-23,130,101,291.9
2020-11-24,123,77,281.5
2020-11-25,118,129,279.8
2020-11-26,89,146,265.4
2020-11-27,80,101,249.0
2020-11-28,72,90,243.1
2020-11-29,95,51,246.6
2020-11-30,95,122,234.4
2020-12-01,90,104,222.9
2020-12-02,79,86,209.2
2020-12-03,73,77,203.7
2020-12-04,72,74,200.9
2020-12-05,62,72,197.4
2020-12-06,54,86,183.1
2020-12-07,90,54,181.4
2020-12-08,70,61,174.4
2020-12-09,74,70,172.7
2020-12-10,74,80,173.0
2020-12-11,84,62,177.2
2020-12-12,86,76,185.6
2020-12-13,69,99,190.7
2020-12-14,126,84,203.3
2020-12-15,108,73,216.6
2020-12-16,103,110,226.7
2020-12-17,91,65,232.6
2020-12-18,109,94,241.3
2020-12-19,93,86,243.8
2020-12-20,117,121,260.6
2020-12-21,178,96,278.7
2020-12-22,150,122,293.3
2020-12-23,157,216,312.1
2020-12-24,102,116,316.0
2020-12-25,66,128,301.0
2020-12-26,131,134,314.2
2020-12-27,160,79,329.2
2020-12-28,186,122,332.0
2020-12-29,385,197,414.0
2020-12-30,389,196,495.0
2020-12-31,340,305,577.9
2021-01-01,189,215,620.9
2021-01-02,369,436,703.9
2021-01-03,312,135,756.9
2021-01-04,406,502,833.6
2021-01-05,355,329,823.1
2021-01-06,362,340,813.7
2021-01-07,261,274,786.2
2021-01-08,275,360,816.1
2021-01-09,251,328,774.9
2021-01-10,235,271,748.1
