date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-09,1,0,0.0
2020-03-10,1,0,0.6
2020-03-11,0,0,0.6
2020-03-12,0,0,0.6
2020-03-13,0,0,0.6
2020-03-14,0,0,0.6
2020-03-15,1,0,1.1
2020-03-16,0,0,1.1
2020-03-17,2,0,1.6
2020-03-18,1,0,2.2
2020-03-19,0,0,2.2
2020-03-20,3,0,3.8
2020-03-21,1,0,4.3
2020-03-22,4,0,6.0
2020-03-23,4,0,8.2
2020-03-24,1,0,7.6
2020-03-25,1,0,7.6
2020-03-26,6,0,10.8
2020-03-27,9,0,14.1
2020-03-28,9,0,18.5
2020-03-29,1,0,16.9
2020-03-30,7,0,18.5
2020-03-31,15,0,26.1
2020-04-01,11,0,31.5
2020-04-02,8,0,32.7
2020-04-03,10,0,33.2
2020-04-04,8,0,32.7
2020-04-05,6,0,35.3
2020-04-06,4,0,33.7
2020-04-07,10,0,31.1
2020-04-08,5,0,27.8
2020-04-09,4,0,25.6
2020-04-10,4,0,22.3
2020-04-11,2,0,19.0
2020-04-12,1,0,16.4
2020-04-13,8,0,18.5
2020-04-14,7,0,16.8
2020-04-15,5,0,16.8
2020-04-16,9,0,19.5
2020-04-17,9,0,22.3
2020-04-18,10,0,26.7
2020-04-19,7,0,29.9
2020-04-20,9,0,30.5
2020-04-21,11,0,32.7
2020-04-22,10,0,35.4
2020-04-23,5,0,33.2
2020-04-24,7,0,32.1
2020-04-25,7,0,30.4
2020-04-26,4,0,28.8
2020-04-27,13,0,31.0
2020-04-28,10,0,30.4
2020-04-29,11,0,31.0
2020-04-30,5,0,31.0
2020-05-01,9,0,32.1
2020-05-02,1,0,28.9
2020-05-03,5,0,29.4
2020-05-04,17,0,31.5
2020-05-05,7,0,29.9
2020-05-06,8,0,28.3
2020-05-07,9,0,30.5
2020-05-08,16,0,34.3
2020-05-09,5,0,36.4
2020-05-10,6,0,37.0
2020-05-11,9,0,32.7
2020-05-12,11,0,34.9
2020-05-13,4,0,32.6
2020-05-14,18,0,37.5
2020-05-15,8,0,33.2
2020-05-16,3,0,32.1
2020-05-17,0,0,28.8
2020-05-18,2,0,25.0
2020-05-19,6,0,22.3
2020-05-20,7,0,24.0
2020-05-21,4,0,16.4
2020-05-22,4,0,14.1
2020-05-23,0,0,12.5
2020-05-24,1,0,13.1
2020-05-25,1,0,12.5
2020-05-26,23,0,21.7
2020-05-27,3,0,19.6
2020-05-28,0,0,17.4
2020-05-29,2,0,16.3
2020-05-30,4,0,18.5
2020-05-31,0,0,17.9
2020-06-01,1,0,18.0
2020-06-02,11,0,11.5
2020-06-03,1,0,10.3
2020-06-04,2,0,11.4
2020-06-05,1,0,10.9
2020-06-06,1,0,9.3
2020-06-07,0,0,9.3
2020-06-08,0,0,8.7
2020-06-09,0,0,2.7
2020-06-10,0,0,2.2
2020-06-11,2,0,2.2
2020-06-12,0,0,1.7
2020-06-13,6,0,4.3
2020-06-14,0,0,4.3
2020-06-15,0,0,4.3
2020-06-16,0,0,4.3
2020-06-17,4,0,6.5
2020-06-18,0,0,5.4
2020-06-19,0,0,5.4
2020-06-20,1,0,2.7
2020-06-21,0,0,2.7
2020-06-22,0,0,2.7
2020-06-23,0,0,2.7
2020-06-24,0,0,0.5
2020-06-25,0,0,0.5
2020-06-26,0,0,0.5
2020-06-27,0,0,0.0
2020-06-28,0,0,0.0
2020-06-29,0,0,0.0
2020-06-30,0,0,0.0
2020-07-01,0,0,0.0
2020-07-02,0,0,0.0
2020-07-03,0,0,0.0
2020-07-04,0,0,0.0
2020-07-05,0,0,0.0
2020-07-06,0,0,0.0
2020-07-07,0,0,0.0
2020-07-08,0,0,0.0
2020-07-09,0,0,0.0
2020-07-10,0,0,0.0
2020-07-11,0,0,0.0
2020-07-12,0,0,0.0
2020-07-13,0,0,0.0
2020-07-14,0,0,0.0
2020-07-15,0,0,0.0
2020-07-16,0,0,0.0
2020-07-17,0,0,0.0
2020-07-18,1,0,0.6
2020-07-19,1,0,1.1
2020-07-20,0,0,1.1
2020-07-21,0,0,1.1
2020-07-22,0,0,1.1
2020-07-23,0,0,1.1
2020-07-24,0,0,1.1
2020-07-25,0,0,0.5
2020-07-26,0,0,0.0
2020-07-27,2,0,1.1
2020-07-28,0,0,1.1
2020-07-29,1,0,1.7
2020-07-30,2,0,2.8
2020-07-31,0,1,2.8
2020-08-01,0,2,2.8
2020-08-02,1,1,3.3
2020-08-03,0,0,2.2
2020-08-04,1,0,2.7
2020-08-05,0,1,2.1
2020-08-06,0,2,1.0
2020-08-07,0,0,1.0
2020-08-08,0,0,1.0
2020-08-09,1,0,1.1
2020-08-10,1,0,1.6
2020-08-11,0,1,1.1
2020-08-12,0,1,1.1
2020-08-13,0,0,1.1
2020-08-14,1,0,1.7
2020-08-15,0,1,1.7
2020-08-16,0,0,1.1
2020-08-17,1,0,1.1
2020-08-18,1,0,1.7
2020-08-19,0,0,1.7
2020-08-20,3,0,3.3
2020-08-21,6,0,6.0
2020-08-22,0,3,6.0
2020-08-23,2,5,7.0
2020-08-24,0,0,6.5
2020-08-25,1,0,6.5
2020-08-26,2,3,7.6
2020-08-27,2,2,7.1
2020-08-28,5,2,6.5
2020-08-29,4,1,8.7
2020-08-30,2,6,8.7
2020-08-31,0,3,8.7
