date,newCasesBySpecimenDate,newCasesByPublishDate
2020-02-01,0,0
2020-02-02,0,0
2020-02-03,0,0
2020-02-04,0,0
2020-02-05,0,0
2020-02-06,0,0
2020-02-07,0,0
2020-02-08,0,0
2020-02-09,0,0
2020-02-10,0,0
2020-02-11,0,0
2020-02-12,0,0
2020-02-13,0,0
2020-02-14,0,0
2020-02-15,0,0
2020-02-16,0,0
2020-02-17,0,0
2020-02-18,0,0
2020-02-19,0,0
2020-02-20,0,0
2020-02-21,0,0
2020-02-22,0,0
2020-02-23,0,0
2020-02-24,0,0
2020-02-25,0,0
2020-02-26,0,0
2020-02-27,0,0
2020-02-28,0,0
2020-02-29,0,0
2020-03-01,1,0
2020-03-02,0,0
2020-03-03,0,0
2020-03-04,0,0
2020-03-05,0,0
2020-03-06,0,0
2020-03-07,0,0
2020-03-08,2,0
2020-03-09,0,0
2020-03-10,0,0
2020-03-11,1,0
2020-03-12,1,0
2020-03-13,1,0
2020-03-14,2,0
2020-03-15,0,0
2020-03-16,2,0
2020-03-17,0,0
2020-03-18,0,0
2020-03-19,1,0
2020-03-20,2,0
2020-03-21,3,0
2020-03-22,5,0
2020-03-23,7,0
2020-03-24,10,0
2020-03-25,6,0
2020-03-26,11,0
2020-03-27,15,0
2020-03-28,13,0
2020-03-29,22,0
2020-03-30,18,0
2020-03-31,16,0
2020-04-01,18,0
2020-04-02,51,0
2020-04-03,44,0
2020-04-04,42,0
2020-04-05,43,0
2020-04-06,47,0
2020-04-07,48,0
2020-04-08,49,0
2020-04-09,40,0
2020-04-10,30,0
2020-04-11,35,0
2020-04-12,27,0
2020-04-13,35,0
2020-04-14,46,0
2020-04-15,40,0
2020-04-16,30,0
2020-04-17,30,65
2020-04-18,45,39
2020-04-19,42,35
2020-04-20,22,26
2020-04-21,31,25
2020-04-22,46,17
2020-04-23,39,17
2020-04-24,26,30
2020-04-25,20,24
2020-04-26,17,19
2020-04-27,19,24
2020-04-28,24,16
2020-04-29,21,11
2020-04-30,16,19
2020-05-01,35,12
2020-05-02,25,16
2020-05-03,23,11
2020-05-04,30,15
2020-05-05,36,12
2020-05-06,20,11
2020-05-07,36,8
2020-05-08,29,18
2020-05-09,16,12
2020-05-10,23,14
2020-05-11,30,10
2020-05-12,24,11
2020-05-13,43,4
2020-05-14,19,16
2020-05-15,17,3
2020-05-16,22,7
2020-05-17,16,7
2020-05-18,19,3
2020-05-19,23,7
2020-05-20,15,11
2020-05-21,17,6
2020-05-22,15,19
2020-05-23,6,4
2020-05-24,21,6
2020-05-25,15,10
2020-05-26,19,9
2020-05-27,18,5
2020-05-28,14,6
2020-05-29,15,8
2020-05-30,2,12
2020-05-31,7,3
2020-06-01,15,7
2020-06-02,10,2
2020-06-03,13,6
2020-06-04,13,7
2020-06-05,4,2
2020-06-06,5,6
2020-06-07,3,1
2020-06-08,7,2
2020-06-09,3,1
2020-06-10,11,2
2020-06-11,9,3
2020-06-12,10,6
2020-06-13,3,4
2020-06-14,5,4
2020-06-15,15,4
2020-06-16,17,4
2020-06-17,11,3
2020-06-18,6,2
2020-06-19,4,2
2020-06-20,4,0
2020-06-21,4,2
2020-06-22,2,3
2020-06-23,11,3
2020-06-24,7,0
2020-06-25,6,0
2020-06-26,1,3
2020-06-27,1,2
2020-06-28,0,0
2020-06-29,2,1
2020-06-30,2,0
2020-07-01,1,650
2020-07-02,0,1
2020-07-03,3,0
2020-07-04,1,2
2020-07-05,2,0
2020-07-06,7,1
2020-07-07,0,1
2020-07-08,3,4
2020-07-09,2,5
2020-07-10,1,0
2020-07-11,1,6
2020-07-12,0,2
2020-07-13,1,2
2020-07-14,2,1
2020-07-15,1,0
2020-07-16,0,0
2020-07-17,0,1
2020-07-18,4,2
2020-07-19,0,3
2020-07-20,5,0
2020-07-21,2,3
2020-07-22,2,2
2020-07-23,2,5
2020-07-24,1,1
2020-07-25,1,3
2020-07-26,0,1
2020-07-27,1,2
2020-07-28,1,0
2020-07-29,7,1
2020-07-30,4,1
2020-07-31,1,5
2020-08-01,4,0
2020-08-02,0,3
2020-08-03,1,5
2020-08-04,1,2
2020-08-05,2,0
2020-08-06,2,3
